	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	357	169	385	26	280
31	28	367	140	143	49
32	166	319	254	101	6
33	9	130	192	222	226
34	31	252	325	49	182
35	88	20	150	211	217
36	0	86	17	28	174
37	94	246	375	359	134
38	101	44	315	46	271
39	387	116	3	30	29
40	21	184	209	335	131
41	195	231	56	349	107
42	53	297	200	263	238
43	83	363	398	267	204
44	122	106	50	397	115
45	292	180	118	185	47
46	203	350	372	272	137
47	303	310	43	89	87
48	77	26	343	300	10
49	36	46	105	381	36
50	232	239	137	53	79
51	55	50	357	129	373
52	134	12	384	13	60
53	182	13	25	284	190
54	27	125	306	236	250
55	108	49	324	110	381
56	188	36	253	225	27
57	340	55	157	239	81
58	209	162	61	186	292
59	13	329	14	394	340
60	131	8	126	226	68
61	196	353	175	153	108
62	313	76	378	202	319
63	282	178	197	152	301
64	224	174	145	190	286
65	38	228	231	36	359
66	344	224	102	291	267
67	269	287	313	355	135
68	351	311	271	180	197
69	305	202	210	382	302
70	363	64	115	81	177
71	299	25	60	78	227
72	210	115	184	151	207
73	119	302	330	141	98
74	213	179	129	37	141
75	59	128	177	175	183
76	204	219	278	329	166
77	5	325	238	374	144
78	165	154	21	368	296
79	309	93	280	342	154
80	113	127	308	336	44
81	64	263	251	390	46
82	12	176	71	375	200
83	42	159	72	96	391
84	295	168	13	333	117
85	71	222	185	281	370
86	322	214	292	52	59
87	46	340	387	176	21
88	156	92	62	170	30
89	384	131	377	1	399
90	10	38	188	245	9
91	123	268	349	108	333
92	316	247	139	283	93
93	341	167	390	353	263
94	242	272	376	243	149
95	280	73	223	279	377
96	220	124	173	39	357
97	222	392	99	334	83
98	114	380	242	182	279
99	275	338	273	166	128
100	368	361	290	338	198
101	320	140	168	5	88
102	324	347	218	160	127
103	233	320	360	392	206
104	297	360	355	92	75
105	246	236	361	19	223
106	329	66	180	229	65
107	98	303	199	162	110
108	253	1	389	134	199
109	159	33	220	270	109
110	304	299	340	391	151
111	267	281	386	105	32
112	32	279	135	200	318
113	225	218	291	237	325
114	70	177	190	207	369
115	19	253	107	252	235
116	285	192	94	238	139
117	41	343	182	285	375
118	277	109	110	34	63
119	16	147	362	55	48
120	241	45	5	188	167
121	394	207	111	357	203
122	125	322	239	31	228
123	274	71	64	303	385
124	215	43	337	159	189
125	330	183	65	312	221
126	116	150	101	228	23
127	82	345	98	255	8
128	281	213	154	142	308
129	169	257	195	310	114
130	29	68	162	25	386
131	25	172	49	147	297
132	140	153	59	324	362
133	152	188	268	196	324
134	44	152	270	386	288
135	91	77	309	204	363
136	30	72	130	82	4
137	158	59	332	269	245
138	211	254	120	73	85
139	258	280	121	158	71
140	202	356	388	301	268
141	34	227	346	20	158
142	96	374	189	371	61
143	24	29	193	218	356
144	164	7	216	157	293
145	300	384	42	23	208
146	207	175	27	230	347
147	1	107	393	17	91
148	362	197	103	350	82
149	372	344	203	215	317
150	168	23	40	298	104
151	61	362	151	294	234
152	191	121	10	302	233
153	112	67	91	317	15
154	7	193	125	24	157
155	385	160	331	66	314
156	287	117	237	346	196
157	157	91	163	3	210
158	106	203	287	79	16
159	197	185	215	125	349
160	276	267	263	352	272
161	136	209	267	244	51
162	178	145	79	296	78
163	314	60	336	194	230
164	245	289	205	146	273
165	243	189	58	219	33
166	265	129	15	74	153
167	104	324	395	351	126
168	273	171	204	144	50
169	100	396	245	9	120
170	63	40	225	11	298
171	301	323	328	184	40
172	137	17	128	65	11
173	325	387	191	138	112
174	86	138	156	321	295
175	54	232	356	41	242
176	56	270	89	274	97
177	103	226	181	112	306
178	365	321	211	288	260
179	65	259	97	258	39
180	185	190	234	163	336
181	67	262	0	191	339
182	66	377	51	68	213
183	47	51	368	347	348
184	181	314	301	260	143
185	87	372	36	330	278
186	382	264	84	384	160
187	171	233	359	370	201
188	331	94	9	168	148
189	256	155	143	61	73
190	141	82	149	137	2
191	68	282	33	113	218
192	186	9	54	121	341
193	364	113	296	29	38
194	291	306	160	8	343
195	138	235	93	183	133
196	247	95	23	173	180
197	319	112	327	174	214
198	144	229	229	286	169
199	257	206	399	299	393
200	175	341	122	149	262
201	302	286	179	210	344
202	336	53	272	132	105
203	97	331	20	214	253
204	174	351	207	304	106
205	173	28	353	223	111
206	149	24	16	257	58
207	18	62	206	40	124
208	339	258	240	58	125
209	321	32	364	348	291
210	262	173	113	97	384
211	346	305	275	124	212
212	102	251	304	364	186
213	17	336	201	145	193
214	395	84	198	38	122
215	81	359	284	369	254
216	133	205	311	362	43
217	51	364	365	104	290
218	308	296	95	268	320
219	390	273	244	7	335
220	311	10	252	63	394
221	179	108	148	150	14
222	148	365	153	54	187
223	150	149	82	164	256
224	348	97	303	256	269
225	199	69	232	80	281
226	328	335	219	118	184
227	307	244	351	295	243
228	218	102	248	315	150
229	358	256	307	212	379
230	306	278	87	115	220
231	216	100	269	27	113
232	366	88	326	273	276
233	214	243	241	33	266
234	371	141	374	250	175
235	230	87	339	254	354
236	189	16	68	187	37
237	145	277	312	247	389
238	180	225	39	326	289
239	15	156	57	133	24
240	386	15	300	366	161
241	45	137	132	88	179
242	375	187	166	42	258
243	142	135	127	313	236
244	212	42	196	154	361
245	163	210	172	325	352
246	360	391	146	251	383
247	399	383	92	398	89
248	323	318	4	140	345
249	326	290	299	32	5
250	115	200	106	389	96
251	39	309	314	203	378
252	74	208	178	99	103
253	317	119	41	216	366
254	49	308	83	181	275
255	121	75	250	161	255
256	354	85	230	344	328
257	219	105	138	91	132
258	90	161	183	311	330
259	391	103	344	169	307
260	244	342	112	224	264
261	377	313	341	367	52
262	279	111	108	90	145
263	260	241	233	0	390
264	177	395	86	305	240
265	229	348	32	130	140
266	263	332	381	69	195
267	73	298	310	123	398
268	161	39	235	339	241
269	283	166	379	195	162
270	48	399	28	271	99
271	89	265	316	77	92
272	248	382	358	323	146
273	335	238	45	109	246
274	3	61	144	340	329
275	228	285	134	71	164
276	270	316	369	120	338
277	396	134	246	94	192
278	312	371	394	122	25
279	227	333	283	139	188
280	252	22	174	84	129
281	261	237	12	276	374
282	167	291	391	378	123
283	154	80	305	117	334
284	389	370	22	155	90
285	162	2	281	365	388
286	75	14	53	167	100
287	118	27	371	48	176
288	373	398	131	227	368
289	284	355	6	377	327
290	226	245	169	44	66
291	11	304	158	18	119
292	172	132	38	345	19
293	151	54	261	127	294
294	124	143	348	177	185
295	288	369	55	93	312
296	231	315	262	201	380
297	146	21	255	85	303
298	60	375	228	221	170
299	289	307	221	327	42
300	23	104	8	171	18
301	58	194	342	264	304
302	370	274	90	385	84
303	193	144	133	354	351
304	76	393	213	337	163
305	20	157	119	156	353
306	147	122	277	278	225
307	205	123	396	287	102
308	128	114	334	363	53
309	198	79	52	282	395
310	268	201	243	111	116
311	155	165	164	208	382
312	200	354	347	165	305
313	184	3	350	233	211
314	135	30	319	100	54
315	35	182	116	306	311
316	85	357	247	383	45
317	217	230	363	72	55
318	359	142	382	242	209
319	249	110	297	59	222
320	236	255	257	393	62
321	62	186	159	16	316
322	139	126	96	213	94
323	160	56	236	50	247
324	107	199	317	102	72
325	99	198	73	193	287
326	33	136	260	62	252
327	259	195	288	380	35
328	111	271	152	320	332
329	239	5	170	379	342
330	43	151	1	314	0
331	255	234	136	318	239
332	337	118	85	57	284
333	170	294	141	56	323
334	250	295	186	135	397
335	237	31	335	265	322
336	298	328	124	198	130
337	254	120	380	343	101
338	327	301	78	307	34
339	286	99	373	361	13
340	347	164	366	103	57
341	84	242	2	316	244
342	367	4	74	83	76
343	349	81	397	395	274
344	95	326	318	131	172
