	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	29	245	66	8	328
31	36	39	112	226	126
32	114	94	141	237	96
33	236	207	195	72	10
34	201	359	324	102	380
35	307	242	254	288	366
36	166	271	64	9	239
37	173	103	211	122	286
38	107	149	236	185	132
39	62	234	311	269	297
40	343	246	176	292	298
41	315	257	241	323	167
42	11	13	97	362	55
43	189	397	6	340	396
44	288	313	9	57	256
45	387	49	43	305	17
46	317	299	203	14	43
47	300	27	171	398	205
48	313	343	155	311	213
49	28	301	56	316	8
50	282	311	166	163	252
51	306	21	246	295	158
52	359	50	152	324	58
53	86	124	61	223	218
54	289	108	313	103	114
55	77	354	343	291	135
56	132	106	26	299	222
57	40	209	303	385	172
58	255	216	125	196	188
59	120	89	376	300	300
60	323	325	62	321	130
61	316	321	380	309	347
62	41	90	245	31	110
63	113	63	302	39	351
64	98	368	41	229	280
65	320	272	158	330	54
66	292	123	134	33	248
67	265	332	271	200	365
68	150	237	27	63	9
69	329	99	351	387	75
70	219	256	83	265	318
71	109	273	265	342	323
72	363	230	220	379	28
73	381	109	308	93	330
74	275	30	317	141	246
75	30	40	320	251	61
76	274	333	99	112	104
77	32	80	210	67	13
78	220	17	192	394	161
79	33	9	2	378	94
80	285	228	218	353	343
81	230	217	360	176	270
82	34	247	378	279	255
83	178	298	33	243	225
84	380	66	263	274	62
85	72	107	208	124	269
86	341	95	264	364	37
87	192	274	87	108	311
88	176	384	10	111	30
89	237	266	16	215	265
90	349	93	339	233	14
91	96	198	154	345	31
92	179	128	13	301	234
93	169	345	164	128	211
94	299	285	238	13	247
95	347	177	129	247	64
96	16	14	375	347	378
97	125	382	95	204	362
98	225	140	198	286	99
99	197	172	34	376	348
100	13	168	342	377	227
101	63	203	345	75	88
102	362	304	191	329	353
103	376	178	347	84	266
104	342	12	178	261	117
105	281	222	12	183	169
106	202	327	278	97	349
107	233	268	117	12	326
108	273	253	258	283	224
109	129	236	353	4	198
110	47	25	11	27	102
111	185	187	113	41	342
112	269	307	21	363	34
113	45	326	272	42	184
114	81	59	323	21	68
115	344	280	74	85	278
116	53	347	262	322	268
117	21	57	54	191	287
118	308	350	291	341	113
119	287	70	229	24	253
120	172	260	377	391	162
121	243	44	163	245	202
122	42	265	39	331	40
123	385	196	290	361	42
124	391	286	349	80	57
125	65	5	172	44	296
126	364	367	362	62	324
127	314	7	58	350	377
128	187	251	329	197	12
129	23	357	189	203	150
130	7	306	68	146	181
131	226	249	249	303	361
132	264	171	280	281	304
133	277	365	331	81	71
134	310	144	330	37	19
135	241	214	300	209	235
136	148	369	338	365	320
137	360	297	392	50	189
138	117	72	363	270	196
139	105	75	183	51	24
140	326	143	196	77	7
141	44	290	7	188	331
142	297	179	385	234	229
143	214	393	213	236	274
144	70	92	71	140	236
145	232	35	230	374	35
146	94	76	169	390	373
147	82	183	15	47	390
148	112	43	373	318	47
149	174	323	242	95	250
150	69	202	255	177	382
151	134	294	286	7	155
152	131	348	45	319	238
153	345	47	81	180	22
154	156	132	221	133	369
155	104	380	22	333	376
156	330	238	252	231	321
157	0	324	105	195	391
158	206	235	318	257	385
159	257	34	72	149	49
160	203	231	306	48	77
161	38	278	60	296	5
162	215	379	107	327	204
163	212	146	199	320	264
164	301	213	287	252	210
165	108	334	128	36	38
166	325	336	55	121	123
167	296	22	337	17	226
168	251	38	137	228	384
169	83	224	228	267	262
170	223	121	179	135	33
171	8	130	17	396	249
172	254	81	40	6	220
173	51	239	148	175	197
174	228	232	389	307	72
175	76	164	135	211	148
176	37	176	180	125	245
177	279	175	219	213	293
178	199	77	8	60	333
179	68	189	32	16	46
180	182	229	138	262	272
181	19	398	65	78	322
182	24	134	267	214	76
183	231	193	115	193	141
184	375	303	200	130	119
185	135	78	341	131	375
186	46	361	270	138	124
187	209	62	168	156	98
188	191	362	50	82	214
189	139	225	307	157	147
190	276	125	119	395	310
191	368	396	325	74	345
192	25	219	224	90	153
193	50	182	122	241	74
194	361	19	279	5	0
195	216	330	111	132	134
196	84	117	319	106	174
197	386	112	204	66	115
198	149	36	397	289	392
199	180	24	240	174	168
200	22	45	116	190	290
201	339	148	387	145	185
202	152	322	386	373	316
203	294	51	394	308	92
204	222	317	75	344	357
205	123	37	216	101	120
206	56	366	190	143	386
207	383	192	361	242	175
208	331	58	53	26	45
209	210	262	57	220	11
210	322	395	76	147	395
211	1	28	69	375	397
212	356	158	73	268	137
213	140	181	273	23	217
214	58	215	285	0	319
215	61	86	170	86	327
216	311	184	326	219	16
217	168	335	368	352	183
218	162	353	328	118	65
219	235	292	327	151	157
220	3	264	1	171	308
221	229	370	297	217	344
222	101	316	162	354	128
223	205	258	185	313	199
224	39	331	314	68	154
225	324	167	398	346	105
226	27	399	336	389	138
227	175	4	4	105	207
228	167	150	315	317	81
229	111	114	382	325	352
230	286	79	104	92	50
231	321	389	108	397	276
232	181	342	205	349	263
233	319	165	284	182	116
234	133	341	310	272	381
235	88	102	237	164	209
236	224	227	260	54	285
237	165	201	335	335	314
238	252	65	167	218	279
239	204	26	206	120	159
240	388	185	305	1	52
241	217	381	36	368	354
242	116	55	197	239	299
243	121	160	145	161	164
244	250	255	38	178	208
245	268	204	209	179	109
246	398	383	257	306	215
247	17	104	142	277	302
248	395	68	215	187	149
249	99	129	86	99	156
250	284	289	67	371	228
251	92	136	193	123	82
252	218	241	346	369	251
253	358	281	367	28	15
254	43	197	391	129	142
255	157	157	304	244	305
256	103	169	201	181	221
257	239	73	98	53	89
258	124	319	70	96	232
259	266	1	127	359	44
260	106	137	151	287	223
261	35	88	182	310	383
262	18	126	126	337	186
263	79	113	348	372	374
264	122	120	366	383	301
265	211	85	144	280	23
266	170	8	294	168	350
267	151	387	82	198	160
268	75	33	358	297	193
269	73	259	28	35	143
270	177	263	399	52	90
271	249	254	350	71	6
272	351	305	14	29	339
273	399	119	248	393	329
274	188	42	153	255	180
275	10	338	379	284	122
276	312	152	85	165	60
277	59	32	161	89	281
278	334	351	140	159	83
279	352	375	384	240	133
280	2	385	355	154	398
281	100	170	124	104	97
282	5	386	159	18	106
283	396	186	146	194	292
284	71	318	106	276	212
285	354	212	18	91	91
286	302	60	93	338	244
287	87	127	234	167	368
288	95	296	359	380	233
289	304	116	156	73	112
290	291	346	90	2	206
291	85	218	91	162	108
292	247	15	88	56	379
293	373	344	78	134	100
294	298	309	383	326	338
295	328	279	225	49	85
296	154	162	312	184	240
297	272	329	390	65	359
298	263	111	121	314	66
299	389	46	212	343	39
300	195	315	181	370	370
301	245	199	101	336	271
302	213	210	186	58	131
303	74	355	301	384	394
304	66	118	20	304	387
305	369	208	92	382	312
306	153	220	47	127	29
307	145	10	277	227	79
308	164	64	276	87	25
309	365	284	370	69	337
310	138	328	23	100	48
311	350	29	239	25	21
312	259	105	3	302	36
313	336	371	188	110	393
314	327	16	52	20	139
315	15	166	247	114	363
316	377	244	256	278	273
317	146	71	149	32	284
318	227	295	110	285	69
319	290	391	231	79	242
320	348	84	133	250	325
321	54	302	352	3	340
322	115	142	243	315	275
323	346	337	244	11	307
324	267	320	49	186	18
325	366	69	118	148	317
326	248	308	354	256	295
327	370	155	223	260	267
328	78	352	364	366	336
329	55	364	174	155	107
330	196	156	250	172	146
331	163	226	372	55	179
332	394	363	369	273	306
333	260	310	0	339	1
334	158	174	160	275	254
335	4	221	42	392	152
336	31	392	332	332	59
337	64	31	59	294	277
338	280	267	157	312	78
339	90	206	281	264	258
340	270	96	371	38	288
341	221	372	25	94	282
342	147	356	365	246	103
343	242	145	143	225	241
344	141	282	357	40	335
