	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	328	123	152	298	382
31	352	320	25	186	377
32	370	205	272	264	215
33	138	137	362	170	278
34	312	161	136	168	212
35	102	201	55	369	316
36	263	329	277	244	319
37	389	30	74	166	356
38	58	75	174	82	106
39	99	173	97	246	222
40	357	312	27	376	83
41	395	210	181	46	271
42	89	216	124	204	292
43	291	112	232	148	27
44	198	6	127	309	373
45	107	35	373	334	334
46	305	167	242	238	336
47	373	207	297	341	66
48	160	65	382	28	97
49	149	197	358	359	273
50	363	196	7	395	52
51	323	299	355	330	376
52	50	19	287	254	38
53	74	246	351	362	104
54	16	263	76	213	341
55	253	164	192	269	386
56	108	64	178	67	235
57	168	77	104	24	13
58	230	177	213	106	14
59	280	204	155	129	93
60	114	363	142	12	361
61	83	58	161	0	166
62	117	182	4	271	181
63	274	170	365	325	365
64	133	279	372	308	161
65	169	258	313	35	149
66	113	89	116	200	214
67	106	3	20	229	275
68	27	290	149	316	108
69	300	369	176	340	306
70	211	91	324	60	159
71	37	381	100	79	387
72	70	159	345	157	263
73	316	152	193	377	325
74	129	364	107	372	5
75	189	26	156	303	0
76	275	149	157	108	59
77	40	193	243	175	29
78	132	14	54	329	8
79	388	86	23	315	100
80	394	90	153	120	281
81	295	202	251	381	111
82	53	260	143	300	145
83	109	224	223	364	296
84	96	36	195	275	144
85	270	166	105	29	30
86	95	303	247	353	77
87	304	322	210	286	205
88	191	115	350	201	78
89	62	289	267	373	87
90	294	169	397	87	384
91	195	34	377	354	31
92	8	59	239	140	12
93	385	154	145	294	64
94	20	8	337	217	115
95	310	172	99	194	229
96	229	23	249	346	245
97	120	20	148	187	157
98	176	66	68	151	48
99	38	227	292	93	55
100	297	219	92	1	185
101	88	360	72	379	249
102	212	4	70	112	366
103	94	249	60	319	199
104	289	352	1	352	299
105	256	378	265	301	60
106	13	67	308	134	183
107	269	113	82	386	63
108	251	244	15	16	197
109	115	97	395	393	123
110	192	93	154	177	338
111	180	371	331	20	363
112	223	222	220	197	379
113	243	385	51	96	330
114	381	340	201	278	226
115	359	47	40	65	385
116	220	252	162	23	219
117	268	121	366	290	355
118	59	304	129	261	120
119	313	44	79	380	204
120	368	165	26	398	11
121	34	128	81	83	266
122	0	324	330	174	317
123	234	107	183	252	24
124	91	387	17	127	179
125	320	338	49	75	261
126	350	148	306	63	155
127	159	319	281	52	134
128	387	168	335	147	208
129	11	214	392	237	158
130	23	347	194	172	19
131	182	131	387	394	49
132	161	346	273	367	88
133	2	126	144	94	162
134	324	143	378	243	7
135	46	362	315	80	301
136	140	266	141	68	332
137	24	393	53	31	10
138	69	110	218	25	184
139	398	96	150	226	380
140	366	317	396	8	289
141	264	229	294	318	81
142	384	399	390	37	177
143	144	236	120	292	42
144	306	27	185	397	300
145	367	46	163	348	354
146	341	203	374	115	141
147	5	366	230	190	99
148	380	25	360	220	310
149	203	52	342	383	312
150	4	238	336	110	73
151	225	307	370	322	323
152	340	179	84	227	22
153	76	302	270	74	268
154	204	114	291	241	349
155	153	261	364	295	125
156	206	29	394	256	264
157	32	198	384	135	318
158	216	287	198	366	225
159	342	141	66	280	258
160	187	83	276	338	54
161	148	361	260	130	167
162	322	321	133	38	256
163	185	17	139	347	163
164	121	78	393	171	186
165	61	327	383	331	238
166	18	253	115	42	399
167	72	374	354	146	122
168	273	237	216	209	195
169	41	82	166	276	272
170	290	142	353	198	190
171	67	10	367	173	243
172	197	55	36	101	133
173	173	209	205	92	244
174	369	397	9	169	180
175	282	296	34	72	364
176	54	16	168	3	84
177	77	380	285	218	46
178	375	63	180	391	32
179	22	342	301	109	79
180	371	311	309	212	35
181	303	382	290	66	329
182	196	245	352	262	279
183	85	265	83	132	98
184	266	370	254	258	207
185	167	192	293	159	362
186	232	332	399	191	290
187	9	31	328	6	53
188	101	99	284	122	2
189	31	51	363	304	213
190	47	39	264	81	112
191	285	7	8	257	165
192	226	38	118	305	96
193	147	100	379	69	113
194	258	297	147	216	126
195	178	40	386	396	90
196	286	231	219	344	396
197	150	102	94	181	328
198	246	22	75	324	116
199	362	37	275	153	276
200	29	57	207	85	220
201	299	368	266	40	350
202	170	178	43	11	154
203	158	194	140	51	333
204	314	271	231	58	33
205	123	117	296	299	251
206	82	308	341	230	47
207	156	122	87	30	102
208	336	259	268	374	337
209	51	87	14	245	21
210	210	348	299	356	200
211	254	334	347	236	160
212	131	291	227	287	303
213	337	215	326	185	89
214	68	344	234	202	294
215	213	5	102	131	326
216	214	286	208	312	395
217	55	72	225	2	176
218	63	355	316	255	262
219	98	189	391	114	359
220	267	331	283	339	211
221	302	336	98	351	351
222	166	81	288	57	230
223	309	124	228	288	192
224	257	273	359	314	119
225	292	274	96	365	36
226	335	278	305	4	85
227	219	367	311	250	393
228	151	200	112	313	94
229	105	251	248	371	304
230	399	315	312	281	135
231	30	174	164	104	287
232	186	233	146	221	242
233	393	146	338	50	130
234	86	309	197	306	391
235	119	337	126	27	138
236	349	151	135	56	293
237	283	85	318	247	284
238	217	54	125	113	369
239	272	386	258	21	109
240	1	310	381	100	210
241	157	92	215	345	143
242	199	150	32	349	17
243	334	218	250	274	72
244	73	243	398	355	221
245	301	226	132	145	175
246	348	350	108	180	39
247	154	155	103	156	254
248	155	106	235	77	146
249	200	232	64	161	240
250	79	262	175	117	234
251	276	256	246	138	156
252	287	13	349	78	128
253	242	268	262	234	375
254	396	282	91	48	232
255	360	195	357	90	201
256	218	333	343	59	347
257	325	242	130	335	397
258	174	292	5	34	398
259	7	186	38	363	4
260	21	80	304	225	124
261	139	398	332	123	103
262	15	341	186	158	247
263	356	235	22	326	320
264	44	94	56	164	236
265	343	359	245	36	248
266	78	144	356	195	305
267	377	306	212	49	314
268	241	313	323	337	196
269	112	132	339	282	58
270	97	129	236	382	277
271	358	357	238	297	353
272	104	316	171	289	164
273	236	280	327	390	25
274	227	220	375	291	297
275	249	343	303	137	1
276	288	160	86	139	142
277	261	24	111	89	178
278	184	187	319	239	188
279	311	354	344	118	394
280	321	314	101	152	44
281	146	208	252	165	392
282	175	241	237	242	280
283	331	158	226	61	233
284	390	217	314	163	327
285	142	185	256	327	51
286	228	391	329	5	151
287	338	42	28	392	174
288	171	234	380	196	28
289	100	156	317	73	118
290	181	153	224	111	307
291	137	116	88	102	286
292	87	392	279	273	282
293	39	108	188	150	295
294	351	345	325	86	265
295	354	157	241	370	153
296	193	230	261	277	250
297	135	375	346	133	198
298	81	272	16	333	150
299	45	225	52	224	302
300	141	15	200	260	68
301	252	84	159	336	241
302	279	69	278	95	285
303	165	103	389	267	114
304	12	28	310	193	288
305	245	145	340	71	368
306	372	365	67	154	82
307	235	176	10	207	101
308	3	105	371	32	193
309	326	295	244	155	15
310	48	12	45	9	217
311	66	53	286	389	182
312	136	328	18	128	139
313	382	254	177	188	189
314	75	379	361	121	335
315	60	2	47	265	23
316	307	181	173	19	92
317	111	79	376	270	357
318	118	76	368	350	172
319	90	60	151	167	252
320	33	61	131	385	381
321	298	104	2	14	291
322	260	125	85	268	378
323	128	223	89	361	270
324	346	318	42	321	342
325	239	384	182	219	352
326	43	140	65	203	388
327	284	325	271	311	170
328	248	377	80	272	76
329	244	206	388	47	147
330	391	171	263	99	69
331	188	199	59	231	117
332	277	95	211	384	152
333	281	389	300	125	345
334	42	45	167	143	339
335	222	188	203	144	348
336	296	285	204	149	74
337	164	21	122	160	224
338	125	68	184	310	168
339	376	175	229	179	57
340	386	43	179	44	383
341	347	326	138	88	260
342	319	281	134	387	227
343	134	1	307	54	206
344	122	372	90	215	131
