	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	291	96	64	288	97
31	261	226	224	391	227
32	389	67	2	329	260
33	326	199	194	171	389
34	200	295	312	395	102
35	138	392	323	365	359
36	107	39	326	111	391
37	279	331	135	305	75
38	144	396	359	114	76
39	337	144	363	306	109
40	272	337	28	146	270
41	18	347	14	117	16
42	124	84	335	342	146
43	112	277	181	381	307
44	118	245	248	312	51
45	119	189	89	178	373
46	246	345	186	274	151
47	249	122	380	27	92
48	28	251	381	221	343
49	383	157	382	255	127
50	223	217	324	97	192
51	3	198	325	131	226
52	67	327	230	164	355
53	165	296	164	325	122
54	230	329	73	38	199
55	327	393	43	295	218
56	329	236	141	104	394
57	45	270	143	355	395
58	334	271	113	12	106
59	79	79	338	174	393
60	78	335	18	303	73
61	146	338	307	80	170
62	54	177	150	209	74
63	182	24	342	115	370
64	344	377	120	21	213
65	345	346	90	376	150
66	122	60	91	121	282
67	283	221	252	29	347
68	188	62	349	222	252
69	191	95	158	319	381
70	192	160	384	65	384
71	161	257	387	162	162
72	258	162	357	227	322
73	292	344	294	58	228
74	391	196	199	101	387
75	72	8	72	231	7
76	173	12	41	200	104
77	174	237	377	72	11
78	302	146	171	78	155
79	304	115	13	79	398
80	16	212	334	336	272
81	179	213	175	240	305
82	277	86	367	210	29
83	309	252	177	275	116
84	375	120	110	213	21
85	125	58	374	55	54
86	21	219	87	23	215
87	86	188	121	218	312
88	349	125	247	28	247
89	61	287	62	95	349
90	289	384	98	66	321
91	129	194	99	387	386
92	195	354	100	357	130
93	323	324	229	37	68
94	357	166	69	71	197
95	70	361	71	197	353
96	8	9	231	169	357
97	393	395	313	137	72
98	170	109	201	299	167
99	74	206	76	364	2
100	366	82	332	233	203
101	368	50	301	270	332
102	113	180	112	283	211
103	305	93	145	48	340
104	339	311	337	52	22
105	150	55	153	86	184
106	121	88	155	247	281
107	155	183	316	25	27
108	380	181	157	317	190
109	29	317	94	61	30
110	32	321	353	96	0
111	4	130	3	353	32
112	217	229	4	321	128
113	264	70	36	385	163
114	106	263	260	352	36
115	236	264	197	69	6
116	301	169	168	6	71
117	398	106	255	7	8
118	207	203	204	141	361
119	206	204	140	142	264
120	273	269	366	144	300
121	367	364	271	273	367
122	399	143	209	54	188
123	343	368	243	183	53
124	185	397	341	56	341
125	154	334	182	89	23
126	251	310	376	346	246
127	221	216	219	187	28
128	350	90	61	380	61
129	63	319	319	285	351
130	352	34	128	129	153
131	227	387	34	289	195
132	68	68	162	2	292
133	69	136	389	132	165
134	168	328	134	292	166
135	299	362	136	166	267
136	172	363	296	262	44
137	269	27	394	294	205
138	363	77	236	167	397
139	335	366	47	198	79
140	243	367	144	297	301
141	341	10	208	168	331
142	22	243	178	366	396
143	151	116	82	369	243
144	24	307	51	212	84
145	214	379	149	149	245
146	58	19	185	246	348
147	187	26	283	120	345
148	252	315	253	57	284
149	285	255	351	383	189
150	320	64	320	0	64
151	290	1	33	225	33
152	355	4	290	68	99
153	324	197	355	313	325
154	388	38	327	40	261
155	34	201	200	263	90
156	328	172	9	74	364
157	105	239	238	332	77
158	40	112	239	76	18
159	266	241	272	302	83
160	140	51	368	110	52
161	300	53	306	335	181
162	270	150	305	17	311
163	212	182	213	82	376
164	117	214	53	83	314
165	310	89	246	334	251
166	180	154	216	94	316
167	216	59	278	186	253
168	250	61	250	348	222
169	254	159	315	254	159
170	64	193	130	320	35
171	384	99	292	258	388
172	386	131	38	322	293
173	196	7	360	4	326
174	132	40	105	356	5
175	295	168	297	103	263
176	296	167	234	234	137
177	297	43	108	331	266
178	88	123	139	362	235
179	394	45	399	338	12
180	204	174	16	179	204
181	268	173	370	148	238
182	219	208	371	277	365
183	275	179	277	182	368
184	148	20	311	373	49
185	280	280	344	276	105
186	313	187	57	339	212
187	91	152	56	59	118
188	253	222	27	188	24
189	255	31	159	287	152
190	193	195	26	323	160
191	225	164	388	291	289
192	259	325	261	36	193
193	133	230	215	363	356
194	102	5	266	172	4
195	71	72	396	300	265
196	135	297	303	75	299
197	169	36	176	47	13
198	42	107	81	236	366
199	294	76	146	241	206
200	12	140	83	18	335
201	77	238	244	347	17
202	47	336	245	307	143
203	147	29	118	13	179
204	56	227	375	310	338
205	89	247	152	211	176
206	282	249	378	153	210
207	27	316	286	123	240
208	220	285	254	349	112
209	30	158	383	382	223
210	224	153	0	224	66
211	385	228	102	130	132
212	131	357	7	226	294
213	99	132	42	324	103
214	229	265	203	165	392
215	134	266	12	230	232
216	390	330	237	359	230
217	232	332	174	392	297
218	9	13	45	9	334
219	231	272	80	264	15
220	209	209	49	11	336
221	145	210	106	49	273
222	83	340	267	242	241
223	95	284	23	19	369
224	53	278	60	340	244
225	55	25	55	53	85
226	152	57	184	180	271
227	31	92	124	343	219
228	158	286	189	87	380
229	351	63	343	60	350
230	0	320	385	161	256
231	97	318	226	354	318
232	162	350	97	35	126
233	387	165	195	99	324
234	101	6	68	5	69
235	166	231	262	194	262
236	167	298	166	33	135
237	73	44	40	67	233
238	265	333	39	105	298
239	75	176	74	140	362
240	396	369	107	333	78
241	237	306	154	14	14
242	111	83	173	77	337
243	48	273	302	368	113
244	336	80	111	50	182
245	49	184	241	309	375
246	115	312	20	278	249
247	177	186	310	216	378
248	120	253	151	157	382
249	189	30	58	223	255
250	128	353	256	229	225
251	2	121	129	389	98
252	36	292	1	296	37
253	37	261	133	8	198
254	358	134	198	268	40
255	228	326	249	173	169
256	361	75	233	108	42
257	11	365	265	175	377
258	267	304	330	176	268
259	331	49	172	301	333
260	60	372	331	31	269
261	175	21	395	243	208
262	303	246	205	244	19
263	239	343	369	279	342
264	114	348	275	24	120
265	348	281	308	315	62
266	247	378	372	252	58
267	62	190	119	125	59
268	92	382	183	190	158
269	382	223	318	191	31
270	33	161	352	256	352
271	260	258	192	133	385
272	90	322	161	39	34
273	39	260	293	41	291
274	201	291	70	170	344
275	298	2	264	361	65
276	43	356	361	44	323
277	346	73	169	269	38
278	365	171	138	238	108
279	315	108	137	398	141
280	370	301	78	112	236
281	371	110	398	177	239
282	116	303	276	181	304
283	149	399	85	214	115
284	244	145	117	215	310
285	51	370	54	184	279
286	218	371	221	150	248
287	123	117	345	219	374
288	284	374	317	127	250
289	157	254	350	159	156
290	160	129	196	384	224
291	248	386	390	1	258
292	226	385	263	196	100
293	35	33	167	100	390
294	263	359	393	281	327
295	136	200	362	228	296
296	10	218	328	393	168
297	395	71	75	330	330
298	76	235	269	267	234
299	205	267	207	73	202
300	17	138	79	394	45
301	242	47	15	46	46
302	210	175	210	399	177
303	50	147	180	143	148
304	373	149	52	271	149
305	85	215	22	272	278
306	311	313	88	371	55
307	312	282	281	245	214
308	342	380	314	345	317
309	184	127	284	30	287
310	256	192	65	386	131
311	163	224	354	195	145
312	164	290	67	122	39
313	104	259	228	327	329
314	235	323	227	134	139
315	139	360	358	298	142
316	13	137	104	282	175
317	109	170	392	203	207
318	176	205	170	314	81
319	369	141	299	378	47
320	338	111	11	239	147
321	19	46	365	337	276
322	372	305	240	84	111
323	84	114	17	344	339
324	178	78	336	217	183
325	20	52	340	250	180
326	87	309	379	88	89
327	347	54	125	220	50
328	94	151	126	350	123
329	287	279	95	63	87
330	159	32	225	257	96
331	98	65	386	193	1
332	322	97	291	260	161
333	197	35	131	326	133
334	38	100	223	135	200
335	7	389	6	106	328
336	359	102	329	42	10
337	41	135	364	396	43
338	234	3	300	397	138
339	203	202	270	16	303
340	108	14	397	145	178
341	233	113	273	308	125
342	46	244	242	341	254
343	306	23	339	85	221
344	308	119	309	284	25
