	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	192	378	22	317	182
31	54	315	23	316	192
32	206	286	139	86	198
33	137	285	238	256	172
34	140	307	210	55	292
35	294	161	56	260	327
36	212	247	374	84	391
37	148	280	372	269	21
38	133	162	13	270	326
39	334	252	28	62	178
40	77	182	339	303	253
41	296	21	70	279	181
42	153	172	262	300	174
43	341	324	239	76	298
44	303	51	185	297	190
45	59	244	177	296	245
46	298	370	170	287	343
47	154	66	326	319	265
48	349	201	160	198	27
49	167	116	60	320	110
50	220	114	145	50	235
51	5	112	269	203	318
52	179	130	336	349	203
53	19	210	201	347	87
54	351	213	347	39	204
55	243	131	365	289	351
56	132	354	106	342	362
57	371	371	356	106	213
58	328	217	358	322	215
59	207	86	362	222	350
60	209	194	76	224	124
61	39	360	74	229	131
62	363	336	255	233	368
63	361	77	278	94	369
64	225	76	134	48	347
65	344	148	221	92	68
66	267	232	138	325	63
67	53	67	348	223	58
68	21	310	290	147	239
69	55	319	199	178	55
70	280	237	153	242	302
71	178	105	47	68	205
72	177	106	384	29	119
73	283	97	9	28	127
74	274	152	39	25	398
75	170	27	3	7	128
76	315	175	389	275	130
77	113	84	1	1	276
78	197	177	27	379	195
79	299	381	116	294	105
80	15	179	50	82	104
81	232	13	234	78	218
82	12	10	228	169	217
83	168	189	248	177	227
84	385	393	213	167	207
85	287	196	211	162	230
86	188	377	209	314	384
87	289	219	260	334	2
88	365	149	192	152	385
89	40	362	174	139	306
90	200	314	172	133	29
91	91	316	281	127	97
92	320	88	162	125	308
93	88	289	292	187	296
94	336	110	150	295	106
95	106	53	141	117	319
96	109	121	131	111	79
97	213	269	103	105	288
98	159	33	102	213	118
99	68	45	330	100	331
100	61	136	100	305	133
101	121	264	90	91	336
102	221	258	86	359	48
103	222	145	84	362	47
104	48	147	81	301	344
105	46	254	346	173	40
106	41	356	353	81	359
107	304	165	360	298	373
108	214	43	366	346	23
109	180	94	0	0	354
110	248	195	396	399	116
111	316	255	382	181	144
112	116	193	158	191	279
113	302	187	147	251	278
114	309	64	390	58	115
115	196	369	157	175	114
116	115	228	388	343	142
117	253	374	120	52	277
118	99	26	385	51	275
119	157	385	395	304	151
120	138	40	142	355	153
121	83	296	15	336	8
122	16	281	171	41	88
123	241	278	54	37	222
124	84	256	65	271	17
125	396	359	302	33	394
126	233	223	303	278	382
127	319	318	66	4	6
128	360	155	306	345	19
129	226	199	307	166	297
130	189	203	266	71	228
131	317	205	72	377	9
132	326	306	249	144	154
133	185	341	315	142	28
134	312	135	80	208	157
135	119	120	237	151	158
136	63	345	320	212	51
137	64	209	91	365	163
138	24	117	93	104	42
139	37	216	94	196	73
140	300	108	332	217	376
141	67	218	98	227	353
142	70	222	105	371	75
143	216	299	111	337	252
144	285	99	180	83	248
145	217	90	112	234	367
146	117	325	178	350	65
147	74	87	173	243	374
148	345	364	367	219	258
149	142	334	399	339	370
150	229	23	204	376	169
151	79	186	40	378	162
152	281	2	368	186	295
153	82	25	198	380	388
154	279	357	272	185	149
155	276	395	216	123	220
156	266	151	96	384	304
157	260	14	88	183	139
158	224	153	254	188	129
159	85	392	253	230	311
160	30	375	128	44	12
161	244	4	136	20	317
162	89	396	140	161	320
163	234	150	299	164	212
164	231	271	71	272	269
165	230	32	143	267	46
166	94	83	340	302	268
167	393	91	241	158	14
168	387	96	308	264	377
169	75	253	304	263	375
170	128	295	184	56	31
171	96	298	161	258	247
172	357	61	62	89	357
173	7	305	154	34	244
174	308	308	318	174	255
175	284	312	51	93	196
176	313	143	325	96	183
177	314	238	309	327	287
178	28	231	226	141	166
179	242	119	227	331	156
180	47	124	119	332	150
181	32	221	257	24	126
182	343	42	364	341	113
183	346	134	296	138	99
184	191	202	378	244	83
185	38	137	203	352	334
186	301	346	311	65	340
187	160	138	144	239	356
188	9	320	229	146	44
189	202	188	12	195	112
190	23	243	357	182	366
191	10	104	83	209	339
192	4	113	43	171	167
193	1	382	78	228	199
194	366	160	36	210	16
195	376	261	38	240	223
196	120	29	85	237	323
197	0	259	113	257	397
198	184	257	252	231	34
199	269	17	121	265	225
200	273	245	246	268	30
201	275	144	242	247	25
202	286	380	230	273	180
203	204	34	212	276	187
204	211	391	287	214	254
205	152	352	397	281	251
206	150	351	293	284	24
207	265	197	294	225	307
208	306	347	118	77	312
209	310	206	313	60	45
210	321	234	194	386	272
211	324	239	129	252	271
212	129	242	126	5	93
213	114	146	316	312	246
214	335	141	183	204	102
215	228	140	265	108	264
216	111	128	133	374	236
217	107	127	168	112	74
218	149	272	159	321	208
219	263	273	155	121	35
220	215	301	334	132	122
221	201	73	17	159	32
222	105	317	220	160	62
223	171	329	188	176	301
224	104	57	73	179	303
225	295	337	49	184	146
226	322	55	197	344	177
227	338	343	370	397	168
228	262	46	149	245	378
229	165	1	208	200	243
230	210	389	99	315	117
231	35	8	344	241	211
232	108	54	175	9	193
233	71	323	26	74	188
234	65	225	383	255	186
235	367	270	258	80	91
236	42	102	392	72	185
237	356	235	267	67	280
238	73	95	45	63	250
239	102	266	231	168	152
240	388	277	275	61	189
241	347	265	277	202	380
242	124	263	279	290	392
243	255	292	283	291	201
244	223	85	223	120	363
245	219	82	394	12	361
246	270	109	215	193	206
247	272	304	205	114	38
248	186	81	196	47	176
249	123	227	195	170	59
250	182	129	191	392	37
251	193	233	190	129	78
252	125	31	61	226	337
253	327	321	251	38	138
254	145	207	176	370	49
255	156	126	324	367	329
256	158	268	381	153	84
257	173	16	377	40	66
258	292	208	95	163	324
259	8	107	351	97	345
260	239	75	331	396	98
261	264	344	18	299	260
262	199	290	20	197	262
263	97	338	21	122	348
264	187	159	41	87	386
265	172	170	261	250	7
266	290	303	240	238	224
267	323	168	218	220	11
268	36	365	376	115	61
269	377	297	263	286	81
270	50	3	42	361	342
271	78	118	207	201	4
272	100	15	219	215	1
273	139	22	8	155	390
274	176	47	6	218	39
275	399	49	107	109	349
276	252	52	247	221	263
277	245	59	250	262	143
278	236	62	92	134	82
279	203	69	156	131	232
280	181	79	354	149	85
281	174	80	349	394	240
282	13	115	125	36	155
283	391	122	55	368	210
284	29	123	375	8	270
285	205	166	33	364	209
286	373	399	4	390	132
287	368	398	355	389	120
288	195	249	115	2	286
289	155	171	2	353	109
290	169	174	166	150	53
291	162	204	135	140	273
292	340	178	335	73	94
293	161	167	148	333	365
294	348	20	151	118	393
295	359	220	163	113	294
296	136	24	317	110	0
297	147	214	124	54	332
298	268	198	291	66	33
299	66	368	232	285	60
300	56	154	235	19	284
301	144	65	233	26	289
302	98	176	10	310	300
303	27	322	130	31	52
304	325	93	179	88	335
305	166	111	169	335	179
306	18	267	64	348	161
307	364	328	164	351	242
308	375	302	225	23	281
309	112	262	268	194	71
310	257	169	97	306	18
311	337	156	137	329	72
312	237	68	327	313	103
313	249	70	5	383	145
314	22	327	338	375	159
315	49	100	350	338	200
316	58	291	369	363	175
317	62	355	380	398	170
318	250	183	387	95	165
319	86	361	337	13	184
320	87	363	310	30	389
321	103	38	398	6	36
322	398	36	16	49	364
323	164	229	297	137	54
324	131	224	284	283	57
325	11	387	273	145	241
326	17	103	52	165	77
327	386	142	193	190	316
328	382	39	57	395	214
329	34	50	68	216	197
330	307	340	127	148	293
331	247	9	305	75	266
332	395	384	104	42	160
333	352	200	101	35	282
334	350	309	301	57	96
335	151	294	25	16	89
336	141	287	371	354	238
337	118	260	82	128	221
338	45	173	122	393	267
339	44	180	343	308	141
340	43	226	146	357	140
341	380	215	341	387	50
342	90	212	186	246	328
343	383	192	286	79	325
344	31	185	300	366	299
