	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	264	206	293	171	297
31	259	263	276	83	111
32	388	122	192	197	233
33	97	76	250	296	38
34	32	327	162	158	220
35	142	115	341	286	108
36	12	384	45	365	353
37	198	286	71	39	51
38	222	7	286	284	388
39	10	104	235	389	321
40	302	92	96	305	82
41	230	9	89	123	98
42	202	355	272	190	336
43	207	181	236	137	398
44	317	307	21	6	23
45	4	368	372	164	30
46	249	340	49	188	150
47	25	338	312	149	306
48	390	167	320	19	379
49	99	203	176	236	335
50	343	205	191	143	84
51	107	290	385	210	149
52	65	212	196	165	319
53	136	158	334	391	18
54	254	69	277	231	68
55	189	372	325	96	391
56	282	266	254	220	223
57	196	30	42	65	132
58	288	102	57	92	91
59	139	229	153	368	337
60	60	326	264	14	279
61	323	216	386	112	24
62	203	54	370	89	203
63	163	238	40	166	375
64	20	134	38	212	289
65	237	50	389	94	327
66	49	330	174	317	312
67	114	242	361	243	382
68	187	43	324	130	48
69	336	282	378	78	192
70	200	231	249	227	61
71	81	257	160	314	324
72	153	166	396	250	250
73	387	389	216	226	117
74	300	222	194	46	222
75	50	47	11	327	10
76	171	106	257	38	210
77	377	374	198	160	182
78	174	146	98	397	0
79	168	245	342	53	240
80	186	179	345	310	137
81	89	354	233	101	248
82	292	4	391	256	186
83	396	399	362	77	392
84	106	285	203	69	9
85	335	35	85	373	226
86	312	114	331	298	180
87	209	20	395	80	96
88	308	391	34	290	302
89	175	361	292	335	357
90	185	70	358	58	177
91	303	230	246	309	93
92	261	225	251	362	58
93	92	315	252	263	354
94	72	375	247	240	187
95	245	37	73	300	78
96	341	120	308	147	44
97	113	95	253	32	267
98	320	168	43	129	285
99	220	393	124	31	245
100	115	10	51	294	376
101	58	267	133	72	113
102	314	332	281	139	175
103	173	312	107	2	381
104	329	46	76	383	389
105	350	299	215	392	311
106	322	144	383	13	221
107	233	63	33	242	65
108	41	89	72	285	33
109	231	151	0	342	176
110	371	386	363	59	338
111	23	195	101	329	87
112	197	88	346	366	115
113	235	24	70	131	57
114	357	61	230	326	109
115	178	65	393	150	144
116	311	28	14	214	8
117	167	304	53	341	133
118	221	295	238	257	118
119	368	42	100	338	298
120	7	350	157	128	287
121	305	80	220	3	377
122	159	395	384	187	356
123	213	53	304	194	348
124	298	99	83	51	247
125	182	396	80	213	55
126	321	164	311	269	349
127	226	287	300	146	378
128	224	316	307	352	167
129	265	14	309	277	342
130	125	110	265	279	299
131	365	344	17	184	52
132	135	366	398	185	63
133	28	62	204	382	146
134	313	105	355	350	27
135	355	60	185	186	141
136	266	258	145	178	66
137	284	25	256	153	49
138	48	143	338	282	22
139	144	119	260	378	264
140	164	142	269	82	350
141	280	208	67	86	355
142	0	121	161	301	19
143	389	284	87	63	59
144	304	171	167	132	251
145	361	348	171	302	32
146	96	87	84	218	288
147	327	256	131	167	127
148	384	377	376	351	4
149	330	262	175	18	172
150	40	337	226	304	359
151	260	55	340	348	166
152	393	159	223	52	219
153	204	254	317	8	374
154	131	67	1	234	148
155	15	277	173	73	181
156	364	126	344	267	305
157	232	96	239	102	397
158	104	207	134	33	40
159	35	210	299	35	330
160	102	2	232	177	138
161	201	292	27	176	252
162	181	301	315	334	92
163	119	209	241	261	168
164	216	148	54	347	286
165	356	78	357	108	387
166	123	278	388	217	75
167	307	128	291	34	88
168	45	318	399	48	351
169	147	147	279	233	42
170	370	194	86	138	380
171	306	169	359	333	45
172	211	3	337	254	29
173	244	152	75	25	242
174	195	314	159	120	370
175	129	196	296	306	145
176	161	202	229	16	39
177	385	317	130	321	273
178	55	244	28	30	11
179	223	57	301	331	174
180	217	303	22	142	208
181	11	328	343	115	128
182	53	137	150	353	201
183	295	125	195	239	274
184	281	201	302	225	159
185	192	113	261	56	229
186	95	97	374	271	261
187	120	371	219	343	165
188	18	305	180	42	197
189	360	359	211	68	206
190	59	246	64	356	112
191	162	362	227	66	46
192	5	302	74	109	140
193	399	107	224	156	154
194	247	135	213	105	215
195	256	270	6	196	217
196	111	8	186	87	276
197	383	387	356	85	262
198	215	239	92	67	213
199	380	336	270	363	399
200	17	343	3	208	190
201	363	397	366	28	103
202	225	320	373	330	161
203	108	157	90	211	384
204	66	236	68	276	34
205	337	40	201	318	160
206	117	268	275	291	53
207	382	271	332	140	99
208	227	370	60	200	158
209	275	17	242	207	254
210	362	174	397	275	13
211	241	175	142	324	104
212	290	321	313	175	114
213	274	56	380	367	322
214	51	111	225	390	183
215	8	16	347	339	295
216	54	342	206	230	79
217	121	322	56	173	281
218	116	162	243	252	47
219	369	199	20	91	163
220	141	356	116	151	211
221	277	26	94	125	275
222	347	165	125	323	272
223	246	71	13	224	301
224	398	333	52	62	352
225	210	6	212	133	329
226	148	161	190	238	253
227	151	32	327	303	162
228	270	224	9	241	43
229	56	1	23	255	7
230	251	381	132	395	14
231	344	226	108	57	185
232	319	93	245	297	292
233	30	261	303	103	316
234	37	13	221	394	265
235	118	197	179	145	72
236	145	237	237	396	179
237	43	154	120	222	188
238	36	188	188	361	101
239	19	84	169	209	314
240	177	178	65	228	277
241	252	218	193	270	394
242	381	347	8	381	151
243	239	215	381	20	122
244	285	138	328	88	209
245	386	12	267	191	102
246	69	185	255	29	224
247	349	112	367	17	35
248	109	58	207	144	326
249	64	234	177	316	395
250	73	141	305	221	362
251	155	59	156	299	15
252	257	123	387	386	124
253	77	221	47	295	323
254	87	235	81	354	73
255	88	82	135	104	278
256	243	90	78	181	97
257	82	306	61	84	218
258	358	34	146	162	134
259	103	325	148	9	347
260	29	308	25	274	333
261	63	279	115	172	263
262	218	217	326	159	139
263	38	192	95	283	310
264	150	392	240	179	130
265	33	172	144	174	325
266	68	45	382	258	5
267	236	156	104	312	31
268	394	83	348	280	227
269	3	31	287	49	303
270	253	75	172	320	235
271	46	385	62	344	37
272	166	77	151	204	307
273	180	227	15	37	249
274	157	200	218	325	246
275	132	335	182	307	318
276	352	309	369	223	270
277	86	33	127	26	366
278	273	273	262	110	340
279	172	380	18	219	202
280	334	176	112	11	85
281	229	260	168	369	363
282	13	150	55	90	76
283	242	51	283	127	373
284	309	311	350	122	241
285	158	352	280	375	296
286	22	360	164	36	94
287	348	170	379	168	268
288	71	72	189	97	282
289	176	369	209	374	339
290	294	319	352	0	228
291	395	364	152	308	243
292	90	365	197	40	164
293	316	280	128	216	320
294	47	323	290	215	367
295	34	198	105	79	214
296	289	313	110	198	77
297	206	180	138	340	393
298	85	331	102	319	16
299	67	19	297	379	170
300	297	232	314	44	74
301	272	73	273	169	126
302	156	379	69	203	189
303	149	189	154	55	205
304	94	353	139	24	317
305	124	15	16	359	89
306	138	66	66	288	368
307	269	281	4	315	369
308	299	241	36	289	258
309	146	204	271	322	60
310	372	124	113	135	225
311	325	38	371	264	212
312	331	296	88	170	365
313	324	64	26	332	120
314	283	341	39	12	119
315	315	94	147	100	157
316	276	233	353	163	383
317	179	81	121	398	153
318	152	187	258	5	232
319	228	149	394	114	2
320	16	118	122	23	386
321	263	272	12	201	25
322	258	153	170	385	230
323	366	131	97	61	200
324	78	259	288	93	135
325	160	127	118	21	62
326	27	367	392	157	100
327	42	243	2	121	266
328	326	23	117	106	260
329	250	219	141	247	255
330	9	79	210	154	269
331	340	297	129	268	142
332	345	39	50	111	244
333	100	145	365	229	361
334	83	298	323	71	293
335	219	186	364	349	21
336	199	160	126	262	123
337	154	223	336	244	343
338	248	27	200	380	195
339	367	177	294	265	344
340	267	247	199	99	107
341	70	228	390	278	156
342	391	183	319	246	110
343	75	291	318	399	328
344	262	184	316	337	152
