	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	184	340	86	117	357
31	114	204	235	34	129
32	71	382	300	343	53
33	309	330	207	18	222
34	72	146	342	322	282
35	346	174	316	95	206
36	227	354	179	99	308
37	59	216	75	185	205
38	92	265	383	240	78
39	239	86	287	246	369
40	205	158	346	67	160
41	82	308	365	47	97
42	33	4	376	111	384
43	231	342	32	336	144
44	162	244	254	125	16
45	77	32	378	279	28
46	250	100	313	267	98
47	341	17	220	86	146
48	287	334	224	213	93
49	267	313	225	68	66
50	172	109	269	52	265
51	319	185	234	56	344
52	300	218	54	277	90
53	198	303	96	276	229
54	339	252	102	392	280
55	171	6	79	168	83
56	206	226	14	334	62
57	75	305	92	55	208
58	246	318	348	76	393
59	241	385	270	357	139
60	328	78	385	214	267
61	373	132	89	383	77
62	314	375	359	38	116
63	216	314	351	188	133
64	274	212	275	23	63
65	84	155	386	50	64
66	94	389	200	82	31
67	349	107	94	218	72
68	222	85	323	44	44
69	280	94	81	142	379
70	39	8	71	94	319
71	139	201	144	200	227
72	159	253	67	37	228
73	47	151	56	19	176
74	36	192	162	153	134
75	15	79	167	320	204
76	201	172	22	229	245
77	263	223	118	306	351
78	251	362	166	233	122
79	301	219	84	302	381
80	28	135	258	351	119
81	70	3	159	115	353
82	69	183	248	193	114
83	134	108	99	93	5
84	382	51	332	171	196
85	63	245	318	12	11
86	79	383	355	283	180
87	175	381	306	182	300
88	269	140	197	366	326
89	90	398	58	167	270
90	285	38	168	71	87
91	312	175	336	154	174
92	197	194	2	347	211
93	286	241	62	230	200
94	214	138	176	114	156
95	310	111	61	371	7
96	307	392	104	163	125
97	64	2	263	290	278
98	129	58	390	395	185
99	106	231	25	141	250
100	108	374	260	90	238
101	44	118	11	375	219
102	249	228	196	180	370
103	257	117	199	51	111
104	104	310	155	301	366
105	365	142	59	222	18
106	167	309	389	379	94
107	73	249	352	102	148
108	182	356	111	162	57
109	109	232	395	394	32
110	96	285	317	372	195
111	381	122	286	365	395
112	51	208	215	348	128
113	338	198	112	27	203
114	173	327	294	72	4
115	54	165	244	317	244
116	306	68	266	269	362
117	195	321	227	186	318
118	38	106	95	242	367
119	354	258	237	79	273
120	176	296	0	78	241
121	29	325	232	144	132
122	145	225	241	345	123
123	203	49	281	307	236
124	266	317	143	321	239
125	65	298	7	75	246
126	45	336	208	97	338
127	302	13	182	17	55
128	223	70	264	258	242
129	272	45	49	92	212
130	366	315	360	252	321
131	361	220	344	238	115
132	67	295	188	132	220
133	152	26	90	11	84
134	291	329	171	212	387
135	5	157	127	8	117
136	85	144	125	31	109
137	390	217	397	231	363
138	144	169	353	121	201
139	299	323	70	237	6
140	12	269	33	165	290
141	244	35	1	16	75
142	16	234	106	120	221
143	237	267	177	30	92
144	296	299	28	393	0
145	384	302	231	110	178
146	364	207	107	274	364
147	311	112	189	215	131
148	348	186	337	338	397
149	41	145	93	207	279
150	253	5	18	6	127
151	317	103	296	364	275
152	37	361	198	190	167
153	233	170	88	201	339
154	179	277	156	160	218
155	304	312	228	175	373
156	136	280	377	105	141
157	336	311	186	286	154
158	322	399	87	25	59
159	331	243	140	158	81
160	81	46	153	257	29
161	292	73	307	288	355
162	368	184	370	149	21
163	380	60	12	137	348
164	224	1	265	376	22
165	393	9	173	239	149
166	234	181	117	177	303
167	256	263	335	60	365
168	358	259	262	127	256
169	396	266	319	396	380
170	164	251	375	263	30
171	177	177	205	106	150
172	88	53	170	272	388
173	120	131	17	69	43
174	56	149	392	369	179
175	199	290	138	65	25
176	155	95	119	387	324
177	124	14	55	291	343
178	0	171	21	48	130
179	288	387	97	85	341
180	275	104	276	130	108
181	49	316	371	220	383
182	342	54	268	216	234
183	76	71	98	390	349
184	337	16	39	385	207
185	192	21	238	278	104
186	25	294	387	124	82
187	24	363	83	313	169
188	297	128	277	181	170
189	160	34	129	148	137
190	362	62	195	20	71
191	58	55	302	312	342
192	131	178	230	245	38
193	123	297	279	374	143
194	9	36	311	275	255
195	305	189	380	100	12
196	186	257	157	169	74
197	89	64	325	118	274
198	387	134	212	174	47
199	121	324	293	340	392
200	345	210	135	62	192
201	282	307	213	63	376
202	211	367	327	194	14
203	97	326	190	138	224
204	283	76	226	329	299
205	66	22	251	391	361
206	268	110	221	84	124
207	20	12	103	40	399
208	166	83	9	4	107
209	265	57	3	271	264
210	30	153	291	35	252
211	158	114	193	208	135
212	31	260	299	108	27
213	105	90	132	299	152
214	18	161	233	54	286
215	46	164	326	367	262
216	398	306	163	234	266
217	262	357	328	135	145
218	217	289	74	29	69
219	50	272	124	331	359
220	243	92	201	243	153
221	219	242	343	139	345
222	32	331	261	362	322
223	125	345	91	159	320
224	220	130	8	397	312
225	10	136	139	81	354
226	308	386	382	204	260
227	289	30	82	337	199
228	154	179	250	96	263
229	355	236	53	223	350
230	391	353	133	109	272
231	1	268	334	398	301
232	329	284	42	7	243
233	294	200	243	314	247
234	279	270	66	354	335
235	225	97	151	386	35
236	22	66	134	41	99
237	146	364	68	260	159
238	290	44	23	113	54
239	87	278	384	150	187
240	133	273	52	164	289
241	115	197	381	87	277
242	316	209	175	244	291
243	148	141	303	297	332
244	236	254	64	226	19
245	74	301	78	57	340
246	229	348	393	5	352
247	248	282	180	361	24
248	389	343	192	363	235
249	168	247	209	265	100
250	343	229	121	161	314
251	113	292	120	228	293
252	252	147	219	123	304
253	3	239	218	254	261
254	40	152	310	195	269
255	335	77	203	310	233
256	181	124	147	66	163
257	388	393	80	280	40
258	323	287	204	58	281
259	218	113	149	197	296
260	370	105	283	296	251
261	277	246	330	147	50
262	122	127	26	198	9
263	261	25	10	292	377
264	298	281	288	170	306
265	383	28	158	112	186
266	315	61	354	13	113
267	8	40	216	74	105
268	157	319	15	382	8
269	200	202	116	143	85
270	23	31	305	318	391
271	350	271	211	350	294
272	360	320	257	203	155
273	215	156	278	155	292
274	135	369	374	53	248
275	254	7	388	384	213
276	324	344	356	399	49
277	369	182	72	88	317
278	367	199	308	101	276
279	27	37	141	217	2
280	141	72	324	49	382
281	276	332	47	268	396
282	372	123	280	311	36
283	235	279	130	26	73
284	83	93	297	287	161
285	100	159	13	191	182
286	352	238	6	247	52
287	204	19	178	381	138
288	281	168	60	264	240
289	258	337	255	61	158
290	399	359	4	122	347
291	394	397	34	304	389
292	371	119	110	282	10
293	245	87	391	166	60
294	137	395	245	281	106
295	188	264	309	324	375
296	78	396	366	221	157
297	321	237	338	1	328
298	4	75	38	9	394
299	247	148	368	344	79
300	101	39	252	377	398
301	111	235	272	39	374
302	2	227	312	241	189
303	232	10	184	378	385
304	138	82	76	103	190
305	43	89	315	183	210
306	112	215	340	152	140
307	102	84	347	284	295
308	165	350	345	140	76
309	313	333	304	332	65
310	363	176	350	262	288
311	230	126	246	339	390
312	303	23	148	289	285
313	11	352	223	77	102
314	377	24	229	129	287
315	95	102	396	179	68
316	259	143	361	300	356
317	395	371	145	178	334
318	347	67	253	176	188
319	91	368	161	380	17
320	62	65	398	342	378
321	21	213	5	341	214
322	42	116	181	187	333
323	212	195	152	236	162
324	221	274	154	315	330
325	116	286	113	305	271
326	68	160	357	133	316
327	13	365	40	28	249
328	178	69	105	256	225
329	213	120	349	156	307
330	284	322	16	227	184
331	17	154	146	46	118
332	334	81	236	83	13
333	210	384	331	373	39
334	163	59	85	294	37
335	202	214	362	151	166
336	356	347	242	316	217
337	118	91	137	359	327
338	103	96	108	270	193
339	107	230	142	36	337
340	320	42	50	145	172
341	170	203	364	273	336
342	169	27	172	319	232
343	351	52	369	2	302
344	35	63	65	202	226
