	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	292	150	208	355	42
31	134	367	229	264	134
32	295	95	115	200	6
33	297	281	264	349	174
34	42	393	62	229	378
35	274	182	184	89	62
36	202	228	390	9	252
37	232	350	271	305	116
38	29	4	253	389	162
39	46	121	296	346	269
40	113	14	320	73	319
41	349	26	99	69	351
42	122	59	87	164	228
43	209	285	238	350	279
44	340	256	129	291	397
45	243	230	41	33	182
46	98	357	239	74	181
47	341	247	139	47	60
48	330	232	290	324	196
49	299	177	185	312	330
50	7	217	291	127	112
51	233	289	292	396	40
52	273	72	138	195	199
53	21	306	173	67	161
54	322	374	300	93	246
55	241	40	233	111	318
56	304	389	12	207	31
57	210	190	154	268	373
58	168	50	221	80	25
59	165	236	220	139	270
60	366	214	278	265	154
61	384	219	230	238	75
62	40	299	199	117	35
63	9	176	262	332	58
64	164	140	355	17	223
65	44	168	223	1	17
66	82	146	172	244	102
67	281	80	308	155	23
68	385	65	242	5	129
69	276	178	339	176	118
70	282	399	68	255	160
71	38	62	190	380	16
72	222	128	20	390	201
73	391	297	267	4	329
74	137	106	145	220	307
75	225	43	337	250	230
76	212	7	83	335	193
77	156	279	203	194	289
78	287	123	162	154	359
79	215	227	348	221	127
80	25	92	0	315	316
81	125	93	151	285	260
82	308	127	315	123	336
83	1	20	113	140	339
84	47	298	272	81	294
85	30	266	51	82	368
86	178	188	40	173	52
87	245	222	148	378	254
88	269	110	33	344	262
89	158	55	54	177	82
90	196	270	28	279	302
91	129	64	168	146	308
92	70	88	331	88	225
93	182	167	179	29	222
94	96	360	16	314	37
95	32	224	193	348	208
96	289	138	121	92	304
97	214	325	301	38	99
98	159	208	255	137	114
99	180	1	200	278	323
100	12	154	336	171	83
101	112	207	39	113	113
102	34	187	312	393	54
103	285	108	91	16	206
104	173	175	72	372	227
105	27	131	10	40	19
106	133	61	107	215	38
107	203	75	128	212	88
108	88	262	175	25	2
109	319	145	369	364	369
110	359	33	27	300	63
111	138	265	160	60	205
112	142	109	71	391	198
113	323	286	273	210	255
114	220	338	25	41	24
115	316	206	53	379	320
116	309	179	342	13	394
117	45	205	134	311	220
118	189	9	213	54	177
119	59	82	126	263	370
120	329	310	204	91	128
121	18	90	195	227	203
122	78	76	198	325	342
123	140	159	89	369	172
124	265	94	58	125	243
125	49	396	201	256	7
126	279	263	111	63	377
127	257	25	360	204	239
128	123	193	143	39	343
129	368	5	93	330	122
130	141	114	178	394	253
131	97	141	305	321	143
132	41	254	283	77	149
133	0	17	365	167	8
134	171	377	105	247	139
135	207	354	47	138	298
136	320	277	211	23	287
137	66	259	344	7	0
138	114	185	234	169	32
139	344	100	2	353	157
140	300	210	319	27	69
141	74	318	232	242	296
142	109	112	191	58	356
143	211	28	127	370	9
144	65	87	189	141	141
145	10	15	206	183	166
146	35	16	97	134	328
147	280	60	152	309	21
148	174	273	42	161	57
149	136	156	313	303	236
150	120	253	163	294	43
151	231	351	125	196	111
152	118	137	6	191	144
153	217	387	237	257	218
154	221	117	23	214	130
155	15	194	64	345	311
156	73	347	240	213	89
157	252	209	349	329	185
158	117	333	130	96	11
159	149	192	263	299	186
160	324	314	197	24	273
161	263	335	248	132	214
162	154	53	103	166	362
163	236	124	182	147	278
164	331	348	205	258	382
165	226	51	135	208	272
166	184	149	327	203	30
167	95	356	86	327	375
168	371	57	328	374	363
169	48	152	381	317	213
170	201	370	74	52	150
171	311	8	288	302	51
172	348	36	346	395	224
173	179	213	102	254	399
174	345	158	277	217	106
175	144	198	140	108	133
176	270	63	250	236	146
177	121	336	131	357	96
178	258	132	38	223	91
179	147	237	384	157	348
180	310	316	235	271	48
181	306	282	370	109	332
182	119	380	85	42	189
183	352	107	156	44	169
184	4	38	9	34	59
185	197	212	49	339	212
186	16	322	268	211	393
187	177	24	188	106	366
188	301	371	170	233	78
189	91	172	55	187	175
190	160	255	174	30	10
191	255	77	228	151	87
192	358	342	159	298	268
193	191	202	116	198	4
194	199	241	142	243	276
195	193	308	252	20	65
196	373	313	389	219	101
197	396	229	257	49	142
198	230	102	375	384	297
199	228	199	3	158	178
200	54	226	247	101	335
201	61	238	50	274	195
202	376	278	169	68	389
203	262	218	244	142	66
204	313	104	241	361	258
205	157	67	351	11	250
206	67	239	84	87	305
207	336	13	164	245	104
208	386	23	209	222	301
209	185	162	149	175	350
210	186	319	66	333	187
211	247	84	36	50	384
212	346	143	326	240	361
213	17	233	26	385	386
214	50	231	373	365	39
215	244	174	120	124	353
216	395	362	153	296	105
217	248	173	78	84	1
218	51	183	157	149	392
219	63	86	311	181	322
220	192	164	133	79	93
221	86	46	80	97	317
222	102	3	309	295	398
223	370	321	59	3	14
224	55	29	100	174	120
225	298	113	17	115	55
226	71	136	357	8	210
227	56	345	70	342	183
228	135	280	378	319	241
229	372	272	394	145	44
230	175	383	275	170	180
231	11	309	236	239	364
232	116	68	334	387	291
233	89	225	57	304	226
234	321	32	368	301	327
235	351	330	396	269	123
236	76	243	171	275	345
237	161	267	15	66	341
238	100	324	243	37	233
239	377	22	96	112	148
240	260	303	395	201	284
241	267	364	1	104	188
242	339	331	112	121	179
243	314	91	13	185	306
244	81	165	387	31	207
245	213	242	343	252	34
246	360	99	356	226	50
247	365	10	353	316	167
248	152	12	341	14	156
249	83	304	183	65	204
250	239	353	106	163	217
251	335	58	317	376	211
252	266	85	7	186	338
253	399	2	4	122	71
254	169	244	399	306	242
255	259	307	260	53	76
256	151	257	76	399	15
257	356	251	226	286	303
258	234	44	110	133	164
259	163	375	377	26	85
260	198	160	215	287	97
261	291	31	90	334	221
262	101	201	385	371	238
263	145	6	371	320	277
264	43	365	137	162	155
265	166	21	303	48	249
266	195	151	8	71	73
267	132	126	246	144	390
268	224	49	359	160	357
269	5	52	388	184	354
270	75	71	218	237	49
271	369	39	147	36	267
272	290	220	345	251	347
273	347	171	397	225	190
274	296	144	181	180	383
275	277	311	75	190	244
276	58	189	245	168	28
277	204	197	60	318	248
278	53	116	379	290	126
279	115	268	270	143	331
280	237	290	254	94	256
281	167	340	302	197	100
282	90	69	166	382	247
283	334	122	227	260	153
284	176	42	363	86	79
285	37	235	306	118	45
286	3	195	45	218	137
287	31	111	119	152	81
288	8	45	81	193	46
289	87	305	180	51	29
290	23	203	380	224	98
291	268	329	284	375	135
292	250	120	366	55	275
293	381	73	14	230	165
294	206	359	358	90	184
295	28	395	225	120	240
296	357	320	276	0	124
297	22	97	316	6	388
298	33	27	192	337	263
299	326	382	158	61	333
300	108	105	261	46	280
301	246	170	144	135	61
302	254	295	318	272	131
303	350	391	122	202	36
304	227	363	266	56	158
305	188	344	61	352	109
306	387	221	18	100	47
307	172	261	269	131	77
308	394	153	177	182	290
309	162	302	21	377	5
310	99	386	251	110	367
311	364	184	329	179	266
312	62	328	383	153	281
313	68	119	11	32	261
314	24	47	338	83	292
315	389	135	352	392	110
316	312	245	212	282	140
317	342	341	219	267	234
318	388	258	141	228	232
319	111	369	118	359	271
320	288	392	314	28	147
321	272	118	79	336	321
322	124	142	150	21	197
323	128	361	32	18	151
324	148	368	22	307	235
325	367	264	304	78	138
326	200	30	299	261	365
327	284	384	43	347	385
328	307	103	398	130	379
329	253	337	332	386	33
330	205	317	67	2	119
331	249	196	323	150	337
332	398	260	69	351	396
333	393	81	194	270	219
334	131	234	167	114	192
335	69	274	310	102	72
336	229	332	176	19	168
337	79	398	325	59	18
338	325	287	210	72	295
339	343	129	216	398	27
340	328	294	265	262	117
341	380	35	117	367	92
342	283	397	34	156	312
343	219	372	376	276	326
344	363	200	374	383	264
