	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	203	76	41	3	255
31	243	306	40	34	394
32	301	247	272	121	2
33	221	298	173	210	304
34	46	176	154	218	8
35	241	304	190	265	96
36	77	357	264	60	157
37	10	5	107	118	60
38	262	228	262	221	236
39	68	232	300	264	116
40	149	106	99	346	246
41	41	121	393	108	63
42	96	92	111	312	105
43	179	319	290	137	69
44	109	93	204	151	43
45	322	57	296	378	220
46	48	30	229	361	167
47	308	230	121	186	133
48	30	90	33	184	131
49	386	109	238	90	391
50	202	117	325	149	393
51	40	123	59	25	127
52	66	82	203	217	52
53	209	3	93	53	9
54	215	189	331	386	6
55	359	208	241	129	357
56	16	145	198	197	284
57	196	111	139	164	114
58	159	387	97	395	376
59	56	323	328	203	107
60	50	108	179	68	256
61	142	43	195	306	292
62	377	193	89	155	125
63	360	178	16	30	115
64	171	140	327	256	29
65	295	198	72	133	204
66	59	168	10	71	266
67	192	7	27	82	174
68	91	59	152	383	310
69	396	14	162	132	381
70	311	4	145	389	51
71	276	88	180	254	197
72	393	273	200	81	42
73	213	174	151	109	308
74	164	154	3	21	40
75	123	25	148	309	317
76	319	354	86	242	189
77	195	236	263	8	23
78	314	167	164	394	260
79	25	40	326	96	83
80	147	222	197	58	16
81	133	13	379	154	332
82	38	202	232	181	316
83	299	206	250	347	81
84	102	55	20	172	185
85	330	20	237	278	306
86	232	238	215	167	198
87	177	17	312	115	365
88	214	195	39	207	158
89	5	9	235	237	379
90	27	272	192	9	87
91	204	210	181	211	148
92	300	318	305	62	183
93	331	131	219	20	89
94	131	320	9	290	213
95	65	172	209	251	1
96	78	207	257	117	221
97	237	1	367	304	373
98	348	102	25	255	385
99	313	99	106	16	227
100	11	303	120	187	151
101	32	219	245	88	225
102	231	60	49	271	363
103	197	393	32	101	111
104	3	127	105	350	206
105	207	262	201	393	278
106	180	218	168	26	263
107	34	164	254	390	288
108	4	87	169	134	32
109	253	213	91	215	175
110	384	316	64	24	301
111	162	244	101	158	161
112	73	381	261	296	153
113	86	185	166	66	271
114	137	226	88	146	160
115	114	377	60	79	265
116	184	317	395	92	142
117	371	32	92	252	5
118	160	29	188	171	212
119	116	348	370	44	14
120	174	148	246	125	144
121	62	315	371	374	347
122	317	224	306	29	166
123	101	86	199	327	207
124	226	56	172	183	137
125	376	33	311	291	21
126	191	61	53	316	123
127	228	383	55	300	25
128	373	314	140	123	24
129	100	141	310	303	156
130	248	335	239	127	348
131	31	64	277	391	296
132	29	200	316	50	134
133	320	182	211	102	249
134	138	24	206	219	164
135	69	28	61	195	250
136	252	8	54	152	186
137	178	179	26	330	135
138	124	160	122	342	226
139	53	311	194	159	258
140	141	77	142	77	210
141	0	27	292	139	328
142	217	205	366	268	318
143	307	6	269	284	180
144	284	221	156	245	163
145	367	183	66	84	242
146	166	94	247	5	44
147	205	103	130	185	46
148	380	58	143	349	93
149	185	175	134	213	172
150	344	220	267	318	272
151	125	330	346	55	139
152	193	137	150	345	177
153	144	380	230	396	375
154	182	52	42	305	179
155	118	129	244	174	320
156	61	21	81	144	178
157	117	156	291	0	277
158	112	192	320	65	239
159	58	53	50	147	162
160	92	138	83	320	128
161	8	351	388	279	201
162	385	396	149	57	154
163	372	26	126	142	53
164	35	203	102	314	222
165	90	132	283	321	298
166	136	347	47	37	217
167	175	50	13	370	297
168	229	204	297	27	195
169	387	143	133	169	50
170	88	321	159	353	289
171	173	10	116	299	117
172	268	80	384	6	78
173	304	336	174	236	386
174	210	67	344	163	361
175	323	71	313	104	224
176	7	31	4	335	307
177	257	147	110	13	205
178	306	201	191	198	104
179	189	46	103	145	168
180	168	384	365	141	240
181	129	285	234	83	146
182	245	177	268	46	126
183	97	62	12	59	384
184	49	51	90	364	129
185	103	115	125	7	327
186	381	392	303	375	351
187	255	113	82	294	55
188	244	313	226	52	155
189	390	158	385	91	269
190	9	256	227	170	382
191	198	161	161	175	97
192	281	187	131	208	184
193	211	152	51	385	31
194	145	305	175	54	79
195	220	308	45	369	169
196	265	309	58	191	187
197	280	280	57	200	389
198	186	151	376	193	47
199	282	297	308	301	82
200	43	364	343	204	65
201	122	257	324	333	261
202	325	302	228	387	369
203	95	279	243	212	366
204	140	149	253	194	176
205	167	89	70	228	122
206	290	165	377	201	192
207	33	110	0	190	341
208	269	173	387	51	196
209	156	212	299	311	214
210	51	194	373	122	377
211	89	371	85	14	383
212	358	124	100	157	223
213	260	271	137	48	7
214	334	38	104	23	109
215	316	112	118	315	294
216	324	242	273	226	143
217	119	197	124	93	48
218	274	332	56	38	370
219	222	186	94	168	276
220	201	328	68	250	145
221	370	261	160	295	335
222	291	84	193	202	293
223	328	375	2	32	312
224	200	255	349	272	141
225	368	389	184	41	268
226	272	241	252	138	190
227	285	229	271	286	54
228	54	362	153	105	149
229	224	216	396	165	319
230	263	166	350	143	338
231	121	287	71	56	39
232	246	190	266	269	106
233	75	136	189	233	233
234	338	365	302	298	19
235	151	264	185	243	118
236	270	307	183	377	232
237	352	239	278	124	280
238	157	374	147	128	262
239	298	120	389	244	200
240	111	342	355	173	352
241	267	267	157	177	244
242	389	237	248	267	241
243	350	114	52	87	203
244	18	391	163	40	356
245	70	259	6	161	66
246	346	162	15	222	267
247	161	69	38	381	61
248	1	295	216	180	58
249	63	356	127	274	71
250	239	368	251	371	303
251	153	119	288	176	100
252	345	16	359	227	84
253	15	355	220	337	238
254	321	270	74	73	359
255	399	227	386	285	36
256	259	231	221	239	243
257	230	12	8	114	94
258	366	331	138	69	92
259	67	322	207	338	333
260	266	196	78	4	15
261	79	39	213	246	329
262	64	235	135	247	286
263	176	399	236	334	395
264	218	277	67	260	374
265	60	243	186	282	388
266	81	42	357	238	311
267	312	79	22	399	102
268	273	234	335	110	101
269	152	209	79	317	275
270	256	83	177	166	0
271	309	116	348	230	302
272	85	352	399	263	251
273	310	15	7	277	273
274	154	299	80	310	49
275	105	126	115	325	253
276	279	289	146	120	33
277	115	263	351	47	345
278	134	159	375	76	75
279	289	310	380	162	199
280	337	329	23	1	72
281	395	252	182	240	11
282	292	54	255	336	281
283	74	135	356	182	138
284	17	359	336	33	339
285	258	150	275	376	353
286	47	155	129	313	120
287	104	254	353	113	343
288	305	325	242	351	323
289	83	338	314	111	390
290	135	85	256	196	57
291	234	233	301	131	354
292	199	266	374	89	4
293	158	282	5	276	59
294	250	360	315	160	350
295	148	312	391	348	103
296	71	35	307	225	165
297	249	397	218	234	188
298	132	144	309	357	399
299	363	72	233	257	247
300	28	363	397	220	27
301	329	361	360	384	254
302	247	245	382	367	368
303	357	344	96	319	10
304	163	65	304	355	398
305	354	372	14	302	193
306	107	385	225	258	13
307	76	105	352	61	248
308	341	341	171	11	228
309	12	324	342	392	91
310	394	249	378	49	364
311	165	199	98	130	336
312	206	284	368	326	182
313	155	265	317	42	305
314	227	75	43	100	287
315	351	294	144	80	334
316	315	395	223	344	99
317	283	337	260	308	132
318	82	170	21	354	108
319	24	251	167	156	349
320	277	125	231	72	73
321	264	142	210	359	181
322	335	100	279	352	113
323	343	97	329	397	282
324	364	188	363	216	342
325	261	96	383	103	112
326	22	157	170	36	235
327	391	340	108	398	45
328	336	23	286	332	152
329	120	225	276	229	215
330	398	34	394	372	30
331	286	118	141	74	230
332	99	346	128	283	314
333	169	153	178	17	147
334	236	301	337	85	90
335	288	122	17	214	150
336	242	73	112	28	300
337	55	369	287	140	344
338	296	68	270	78	337
339	37	291	390	288	322
340	170	81	69	275	18
341	356	223	392	35	264
342	388	258	119	341	119
343	383	366	334	379	34
344	87	169	372	153	219
