	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	272	165	69	269	37
31	123	143	237	88	24
32	18	185	307	49	270
33	97	304	91	366	83
34	376	193	66	301	29
35	235	72	399	114	11
36	67	104	348	48	280
37	33	381	398	134	183
38	295	6	309	252	55
39	192	234	116	384	300
40	321	92	362	82	168
41	361	44	27	307	118
42	30	65	224	191	10
43	152	315	198	172	349
44	325	114	144	177	354
45	195	73	124	73	331
46	9	46	279	30	238
47	299	131	199	38	147
48	55	177	125	158	69
49	328	140	135	35	319
50	395	241	381	163	94
51	248	27	120	4	289
52	313	36	276	94	312
53	399	173	316	92	374
54	88	243	221	152	336
55	311	249	323	318	378
56	11	55	359	320	352
57	377	4	269	91	356
58	324	187	283	385	277
59	180	100	212	287	176
60	257	338	350	292	188
61	234	387	25	32	167
62	89	174	213	11	253
63	275	108	155	171	30
64	79	129	131	61	135
65	343	180	73	175	144
66	344	374	189	118	34
67	250	287	51	273	18
68	354	181	49	370	320
69	242	239	154	346	307
70	336	263	79	144	93
71	131	95	195	157	187
72	191	301	6	129	370
73	373	261	83	79	78
74	179	366	332	193	293
75	334	57	258	41	294
76	292	146	299	341	220
77	223	43	262	316	197
78	206	330	185	333	240
79	60	289	284	34	224
80	49	278	376	124	295
81	312	355	2	303	14
82	331	106	39	275	51
83	15	62	340	197	355
84	42	375	58	108	268
85	342	255	87	398	399
86	8	384	339	213	64
87	4	66	45	373	254
88	345	23	347	354	316
89	365	316	193	351	207
90	277	111	387	78	106
91	283	247	367	364	159
92	178	52	182	365	25
93	203	253	99	319	252
94	56	292	268	150	8
95	270	294	174	297	146
96	23	25	210	256	46
97	384	359	379	391	79
98	359	341	374	50	48
99	228	164	291	147	105
100	74	160	370	239	318
101	170	311	368	7	120
102	3	195	391	133	363
103	287	360	78	290	226
104	96	267	357	227	246
105	189	297	384	295	379
106	177	197	52	187	170
107	262	256	310	244	177
108	121	172	233	361	184
109	243	107	280	374	63
110	231	15	60	241	298
111	339	91	11	140	219
112	317	310	313	106	301
113	362	71	343	57	75
114	53	124	184	202	43
115	237	329	256	138	130
116	113	90	247	302	353
117	211	361	227	60	131
118	27	122	334	305	96
119	319	291	375	122	82
120	233	367	56	362	100
121	101	169	396	226	84
122	226	5	200	245	275
123	197	216	248	96	306
124	1	109	8	247	303
125	77	20	142	378	52
126	78	105	188	56	161
127	34	244	390	188	362
128	185	345	341	399	2
129	260	30	286	332	104
130	20	8	98	46	288
131	316	335	33	343	250
132	174	80	181	334	42
133	120	334	62	13	305
134	68	130	4	142	185
135	136	264	65	277	181
136	38	371	41	135	6
137	188	103	15	27	204
138	85	153	97	242	334
139	137	79	43	89	243
140	214	182	297	281	345
141	22	317	166	23	265
142	303	1	352	208	273
143	107	154	192	329	125
144	284	230	196	325	290
145	82	170	329	225	366
146	301	298	1	367	33
147	133	305	366	151	162
148	219	56	122	26	112
149	108	81	211	21	369
150	139	312	229	104	210
151	256	348	364	321	0
152	372	270	190	111	262
153	64	3	243	272	160
154	282	135	194	141	145
155	229	26	175	5	217
156	323	236	301	0	68
157	153	7	180	278	166
158	13	347	373	71	343
159	204	84	57	314	57
160	253	237	251	164	108
161	305	314	138	120	151
162	175	218	38	28	256
163	288	332	75	389	76
164	150	262	385	52	286
165	95	200	302	103	215
166	209	152	64	72	153
167	200	222	151	9	342
168	276	49	327	396	391
169	302	281	7	154	143
170	356	213	397	263	368
171	50	238	236	198	133
172	202	273	130	25	348
173	341	110	330	112	304
174	244	322	206	304	327
175	161	89	208	174	28
176	327	53	81	337	186
177	29	259	335	165	344
178	58	59	312	68	59
179	48	319	149	123	117
180	40	282	111	12	376
181	36	342	113	350	351
182	7	24	105	344	163
183	84	320	344	284	332
184	69	285	360	209	196
185	21	155	271	58	98
186	261	257	203	218	149
187	43	116	272	24	239
188	212	223	95	299	9
189	371	45	338	312	329
190	141	395	145	327	23
191	304	19	345	335	338
192	396	141	177	270	393
193	112	123	90	237	324
194	138	277	305	31	357
195	37	60	121	183	389
196	320	69	337	37	141
197	249	120	53	36	339
198	186	232	132	289	101
199	279	93	294	201	4
200	224	313	253	180	388
201	239	372	160	285	124
202	386	286	117	44	132
203	382	31	254	340	142
204	104	132	331	55	221
205	193	28	246	153	13
206	45	184	139	217	218
207	145	148	118	204	200
208	134	125	104	90	223
209	61	340	378	3	111
210	28	166	369	371	50
211	246	47	257	53	278
212	196	78	266	339	302
213	167	268	171	85	199
214	132	303	40	17	284
215	367	192	223	186	193
216	41	337	336	105	189
217	16	265	288	87	380
218	221	147	150	228	91
219	146	42	26	363	16
220	289	346	241	178	192
221	222	119	186	254	269
222	129	397	219	322	205
223	381	17	234	296	169
224	76	77	207	222	17
225	366	134	9	230	386
226	111	362	71	338	272
227	236	117	68	214	38
228	273	225	5	280	140
229	269	22	74	258	377
230	114	233	191	375	182
231	201	179	306	286	287
232	65	34	14	161	325
233	389	40	23	195	65
234	346	385	92	376	190
235	106	32	143	42	341
236	310	199	285	331	156
237	99	309	89	262	115
238	390	352	393	300	297
239	147	118	173	29	242
240	24	205	239	93	375
241	173	161	157	101	77
242	258	325	293	18	214
243	117	350	230	128	47
244	347	245	324	109	373
245	166	176	106	386	179
246	70	127	197	236	123
247	232	252	110	393	230
248	218	157	55	306	212
249	387	128	85	131	367
250	308	188	273	75	255
251	59	364	351	63	322
252	370	326	318	216	232
253	241	254	169	159	202
254	92	299	205	143	274
255	265	175	365	139	87
256	171	168	50	168	88
257	220	226	361	315	292
258	25	383	148	311	248
259	380	279	70	173	66
260	158	251	240	257	263
261	215	162	394	323	27
262	315	136	228	260	71
263	10	76	146	394	97
264	217	138	22	203	54
265	291	61	129	102	266
266	363	227	326	349	384
267	12	14	235	176	35
268	168	379	270	179	119
269	116	82	275	276	53
270	330	336	349	207	164
271	286	353	250	121	128
272	44	203	134	220	330
273	340	10	61	76	236
274	300	29	252	387	234
275	255	221	170	330	122
276	151	9	304	162	208
277	198	113	216	194	333
278	266	63	127	212	139
279	252	391	80	184	36
280	63	12	245	185	109
281	71	220	308	357	359
282	263	271	320	86	321
283	115	321	108	40	225
284	0	54	168	190	390
285	165	209	126	95	172
286	357	64	82	310	326
287	164	323	36	229	180
288	172	389	290	224	44
289	322	189	10	353	395
290	163	328	13	359	155
291	251	333	371	379	317
292	86	269	102	231	328
293	156	156	59	390	137
294	135	207	311	383	116
295	297	306	209	294	291
296	46	290	287	77	227
297	81	217	218	355	110
298	125	183	263	155	154
299	181	368	303	395	19
300	210	33	354	160	364
301	182	210	158	342	261
302	98	246	372	265	152
303	142	370	225	54	282
304	326	201	21	381	5
305	216	363	238	65	311
306	385	296	215	377	340
307	90	369	389	148	92
308	17	327	386	308	58
309	39	274	346	313	245
310	351	295	88	243	198
311	267	13	76	397	113
312	360	121	67	279	89
313	298	85	244	1	397
314	35	224	128	274	392
315	169	399	204	16	12
316	47	242	103	200	365
317	398	202	18	145	90
318	109	158	167	345	102
319	91	307	314	14	62
320	307	196	353	238	382
321	207	280	260	125	394
322	162	228	112	250	138
323	259	150	342	251	158
324	348	159	278	20	99
325	149	186	164	219	31
326	368	284	161	66	296
327	247	365	176	59	49
328	245	102	325	170	383
329	72	115	380	97	271
330	227	50	28	255	60
331	281	75	178	211	398
332	364	68	183	326	7
333	350	151	388	47	247
334	393	260	296	348	244
335	100	308	100	69	201
336	338	266	328	39	310
337	199	94	363	210	285
338	225	142	147	233	249
339	148	208	383	110	308
340	264	171	140	8	40
341	309	190	226	264	45
342	290	229	133	240	114
343	103	99	137	115	276
344	294	21	317	33	251
