	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	167	258	261	345	92
31	1	264	127	80	385
32	383	291	58	381	53
33	237	382	224	7	281
34	320	298	271	44	223
35	158	256	95	102	359
36	356	118	371	251	219
37	259	353	129	322	215
38	171	210	94	72	325
39	78	85	391	237	280
40	90	249	241	314	76
41	262	6	287	349	383
42	302	183	227	60	198
43	273	226	190	208	199
44	181	137	236	282	150
45	296	174	113	23	113
46	84	73	199	334	178
47	233	156	179	396	213
48	321	201	57	364	314
49	298	323	399	204	103
50	27	372	205	198	338
51	38	197	9	59	101
52	125	122	310	176	317
53	148	3	255	361	97
54	46	167	246	57	5
55	35	96	390	269	168
56	364	46	215	93	380
57	15	221	185	357	11
58	182	341	288	132	154
59	399	340	349	202	266
60	235	126	167	321	289
61	223	352	286	191	376
62	387	50	39	239	236
63	267	107	68	209	51
64	28	206	132	348	151
65	68	223	64	372	157
66	67	69	53	21	81
67	120	81	150	79	286
68	338	285	154	393	250
69	355	28	21	368	378
70	33	326	234	158	228
71	131	29	163	227	37
72	0	262	357	27	181
73	20	397	131	389	127
74	354	16	11	111	163
75	146	47	263	386	381
76	295	51	244	39	100
77	217	71	332	335	251
78	243	375	136	300	73
79	285	117	239	32	16
80	135	313	171	308	144
81	124	60	213	9	349
82	170	320	41	63	93
83	123	351	317	193	10
84	188	301	175	87	112
85	345	202	360	153	379
86	316	114	230	223	42
87	218	271	84	219	390
88	150	129	319	330	249
89	224	7	335	221	77
90	216	135	389	51	260
91	154	199	139	149	172
92	40	131	65	398	364
93	381	333	158	118	297
94	305	350	253	311	43
95	247	180	283	148	256
96	214	91	275	169	91
97	91	370	196	62	64
98	149	5	12	261	312
99	301	19	85	18	87
100	232	178	17	121	296
101	23	63	269	13	329
102	60	247	303	71	160
103	105	317	366	254	4
104	245	132	312	188	59
105	62	128	0	92	350
106	174	254	50	307	356
107	200	344	249	163	174
108	292	367	300	141	71
109	288	334	284	35	0
110	372	49	200	215	217
111	196	292	116	31	238
112	276	277	372	123	345
113	268	14	121	331	295
114	211	327	54	183	255
115	114	102	82	101	63
116	55	324	277	313	245
117	319	39	353	302	78
118	42	1	142	110	235
119	151	84	211	143	134
120	371	65	93	395	212
121	71	52	33	292	99
122	362	116	348	228	323
123	210	153	223	218	117
124	389	146	42	200	321
125	265	366	279	363	361
126	289	142	70	145	244
127	97	345	156	399	155
128	325	173	296	297	115
129	251	67	141	362	54
130	47	360	343	120	189
131	349	245	130	327	342
132	3	87	398	58	17
133	398	78	153	151	118
134	145	20	32	68	382
135	324	231	292	6	69
136	31	165	370	88	268
137	44	134	112	95	23
138	64	79	257	186	302
139	82	395	92	391	52
140	246	331	107	152	176
141	100	179	174	26	362
142	244	161	138	296	74
143	186	228	396	114	65
144	342	72	27	351	153
145	87	152	229	247	292
146	177	303	89	217	25
147	17	31	280	289	13
148	178	233	331	150	209
149	275	387	387	19	226
150	92	148	110	170	396
151	56	273	180	225	365
152	164	187	373	258	170
153	367	278	226	318	110
154	185	93	207	277	124
155	63	267	75	160	243
156	165	82	161	139	301
157	10	80	365	299	343
158	112	45	264	226	384
159	187	218	100	173	79
160	213	162	191	161	375
161	314	88	59	144	355
162	85	362	220	267	328
163	284	368	248	115	111
164	283	295	320	309	339
165	351	355	294	280	305
166	343	335	318	48	197
167	281	42	251	29	135
168	109	306	268	16	287
169	313	76	10	329	7
170	39	190	148	90	98
171	357	359	242	275	39
172	98	9	140	371	159
173	172	53	216	73	108
174	328	215	71	75	270
175	335	24	361	11	318
176	168	92	351	213	310
177	337	176	188	354	326
178	270	33	276	238	158
179	352	329	231	5	241
180	228	195	314	284	203
181	339	140	137	273	288
182	294	325	388	53	8
183	306	62	192	103	340
184	180	159	183	394	82
185	304	253	377	84	242
186	79	154	326	66	58
187	377	75	106	390	195
188	134	354	368	167	145
189	239	193	383	338	164
190	258	30	4	343	200
191	263	361	339	1	57
192	307	318	182	383	335
193	94	289	302	81	285
194	363	237	301	78	123
195	49	59	329	352	246
196	291	125	74	270	179
197	9	12	232	133	227
198	234	121	378	3	276
199	86	89	195	74	393
200	138	106	270	268	269
201	257	68	49	8	177
202	12	23	38	130	331
203	95	143	324	231	253
204	128	272	228	0	96
205	348	104	99	184	161
206	75	97	73	97	392
207	129	287	313	250	182
208	193	25	397	342	185
209	373	239	203	185	278
210	36	83	2	65	14
211	309	389	3	25	397
212	162	224	340	42	102
213	142	238	336	61	248
214	336	305	60	140	234
215	51	244	40	365	336
216	300	321	101	340	221
217	115	304	355	55	351
218	386	86	62	229	9
219	287	141	375	380	206
220	107	255	5	216	391
221	132	184	126	387	162
222	176	119	285	245	34
223	207	209	115	112	29
224	118	364	212	286	304
225	30	207	87	12	354
226	226	57	18	353	21
227	192	172	172	187	132
228	229	54	72	85	320
229	72	113	382	196	334
230	157	232	189	274	165
231	43	151	233	52	68
232	61	192	350	315	27
233	48	56	36	260	33
234	359	185	170	177	89
235	59	70	76	77	290
236	366	194	306	159	184
237	248	279	267	86	273
238	376	94	315	276	298
239	394	356	15	129	140
240	215	310	327	181	28
241	76	383	330	30	143
242	303	10	88	332	183
243	252	236	14	285	303
244	19	147	149	49	38
245	279	90	56	195	399
246	388	274	143	174	232
247	221	170	117	99	293
248	198	171	104	255	337
249	350	217	69	301	147
250	155	160	181	325	254
251	70	270	152	294	229
252	322	312	342	224	201
253	331	284	16	222	126
254	113	61	13	33	263
255	66	182	66	265	49
256	375	15	120	108	105
257	74	332	157	207	264
258	37	261	346	233	208
259	206	144	281	104	169
260	166	241	323	179	332
261	73	44	147	384	352
262	140	155	266	392	142
263	25	27	356	271	187
264	230	365	206	180	373
265	65	229	345	341	207
266	340	203	111	36	316
267	264	196	25	156	366
268	395	369	162	128	224
269	133	204	81	290	107
270	106	111	184	56	175
271	346	391	338	344	347
272	202	127	252	105	149
273	272	381	169	201	137
274	327	346	359	91	300
275	54	392	293	291	36
276	358	338	201	319	368
277	24	35	7	46	6
278	274	286	325	264	367
279	184	4	358	257	271
280	365	220	108	166	24
281	137	357	45	17	377
282	254	100	86	154	116
283	58	21	83	256	22
284	18	227	155	122	130
285	209	377	164	304	196
286	269	32	90	262	166
287	311	58	1	337	72
288	96	95	128	369	386
289	310	380	168	109	186
290	329	17	235	376	353
291	370	266	159	355	19
292	175	188	52	182	46
293	83	269	145	124	35
294	249	251	219	76	261
295	261	222	166	374	341
296	144	213	341	312	119
297	199	374	392	134	265
298	369	393	260	194	233
299	21	108	28	310	294
300	225	112	55	287	61
301	53	34	177	155	311
302	277	347	151	50	319
303	111	200	225	252	152
304	390	13	376	279	138
305	382	55	337	336	193
306	299	297	91	54	148
307	380	342	194	94	90
308	32	235	125	305	205
309	22	105	308	165	94
310	173	314	344	378	387
311	169	225	354	96	330
312	89	2	258	347	204
313	242	259	240	41	85
314	212	189	311	350	104
315	119	379	160	214	369
316	139	230	347	2	156
317	197	384	272	24	32
318	326	280	250	197	218
319	8	145	178	242	55
320	297	281	80	385	395
321	317	322	146	241	30
322	7	299	122	28	84
323	282	290	133	240	190
324	341	302	334	375	83
325	286	330	369	34	398
326	266	263	144	317	18
327	205	243	176	278	2
328	220	343	78	146	202
329	179	37	124	172	146
330	11	336	385	316	357
331	250	265	381	157	129
332	330	398	299	298	299
333	117	8	367	366	327
334	253	198	278	20	40
335	34	64	352	162	374
336	201	396	394	295	324
337	191	130	243	379	125
338	256	175	316	303	188
339	103	399	307	346	306
340	308	260	198	326	282
341	360	246	197	243	50
342	219	120	26	397	133
343	393	99	262	210	128
344	227	77	134	220	62
