	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	129	256	130	385	385
31	3	385	134	258	133
32	389	3	391	4	261
33	133	138	8	261	390
34	145	396	137	6	139
35	279	16	394	135	141
36	27	147	268	262	273
37	289	148	12	143	147
38	290	279	14	16	148
39	164	280	17	144	25
40	294	152	18	278	31
41	168	156	20	28	160
42	296	286	152	284	162
43	46	161	284	33	293
44	302	162	160	165	166
45	176	164	161	166	37
46	178	166	162	168	167
47	179	306	36	170	298
48	308	312	166	299	172
49	309	313	169	50	301
50	180	68	304	52	306
51	55	325	178	56	180
52	314	198	307	57	184
53	187	197	52	318	57
54	321	200	181	63	59
55	66	329	182	68	192
56	323	77	55	327	193
57	327	334	184	72	197
58	334	80	186	202	326
59	209	209	60	76	333
60	342	340	189	77	206
61	343	213	316	333	208
62	346	214	193	343	212
63	92	87	70	344	214
64	350	341	199	88	344
65	226	352	72	92	89
66	229	353	78	93	226
67	103	355	216	350	357
68	359	103	346	220	104
69	363	104	224	225	361
70	365	364	356	226	235
71	366	109	101	99	112
72	111	110	232	101	240
73	113	367	104	230	370
74	373	114	366	234	117
75	248	242	369	240	245
76	377	372	120	368	375
77	124	249	121	369	249
78	125	381	378	123	126
79	382	382	253	252	127
80	384	4	128	5	129
81	256	132	386	133	7
82	4	260	5	264	138
83	390	389	263	137	398
84	7	134	10	138	143
85	8	393	11	140	144
86	264	267	267	273	17
87	137	269	144	19	146
88	141	397	150	281	399
89	399	15	280	29	277
90	19	19	25	289	23
91	149	149	153	35	287
92	22	21	26	163	33
93	284	25	156	167	34
94	158	30	158	169	38
95	160	31	287	42	40
96	161	32	33	176	297
97	35	160	290	305	300
98	292	34	292	177	45
99	166	167	293	179	305
100	299	297	42	181	177
101	171	304	43	182	181
102	45	50	170	309	185
103	174	180	301	186	314
104	304	184	47	59	186
105	177	185	309	61	189
106	51	62	64	69	195
107	184	63	67	198	68
108	317	320	68	326	324
109	197	64	69	75	198
110	199	67	327	207	71
111	330	196	330	335	72
112	75	73	79	337	196
113	204	202	207	339	77
114	211	75	215	340	336
115	85	207	96	217	209
116	217	210	97	218	339
117	219	82	228	90	88
118	347	212	103	95	220
119	222	216	105	224	94
120	351	345	362	96	352
121	97	90	235	97	100
122	228	226	367	231	103
123	233	100	252	106	109
124	234	230	373	239	373
125	107	359	247	242	246
126	108	241	376	117	376
127	241	370	250	374	377
128	370	119	380	247	123
129	120	121	381	127	125
130	0	384	0	384	386
131	128	129	256	129	130
132	136	2	131	0	4
133	395	386	6	257	387
134	11	261	383	1	134
135	268	262	136	390	262
136	146	5	393	7	9
137	274	392	138	392	393
138	275	10	396	267	267
139	151	14	141	271	12
140	281	145	270	399	13
141	154	20	142	147	270
142	155	155	146	20	268
143	283	284	147	275	150
144	285	287	281	149	151
145	157	290	283	282	156
146	282	165	300	285	284
147	288	38	174	30	30
148	291	43	303	290	159
149	38	46	306	291	288
150	297	176	179	292	163
151	300	305	308	36	36
152	175	178	53	294	165
153	56	52	183	162	296
154	185	54	312	297	174
155	316	183	313	300	302
156	62	182	317	302	49
157	191	187	318	47	179
158	193	316	192	60	54
159	325	190	194	188	311
160	70	326	323	62	310
161	328	199	198	317	61
162	77	330	203	321	317
163	206	332	76	194	203
164	336	333	204	322	332
165	337	206	209	203	211
166	82	208	84	208	215
167	215	344	213	80	218
168	88	217	340	83	351
169	89	222	87	85	224
170	95	97	223	342	97
171	225	227	95	87	98
172	354	232	98	91	353
173	249	105	106	351	355
174	235	234	236	227	239
175	247	116	113	378	243
176	376	374	241	111	118
177	253	118	248	250	122
178	381	246	122	379	380
179	255	124	127	255	382
180	258	1	384	130	128
181	386	6	385	131	131
182	131	7	392	260	10
183	388	136	269	132	395
184	261	137	271	387	396
185	9	141	399	9	397
186	267	270	21	396	14
187	12	272	277	397	145
188	140	274	27	270	274
189	144	146	28	141	19
190	147	24	163	146	24
191	20	282	164	150	152
192	276	29	291	154	27
193	23	159	297	155	285
194	280	289	171	159	157
195	29	294	172	164	32
196	30	295	175	37	290
197	159	296	51	39	168
198	32	42	57	296	43
199	36	298	58	295	48
200	295	172	191	172	178
201	40	45	320	301	51
202	43	181	66	304	53
203	173	55	195	308	55
204	47	314	71	55	312
205	303	60	328	185	188
206	305	322	201	313	60
207	49	195	74	187	190
208	188	324	80	316	65
209	60	69	81	324	66
210	192	201	211	197	327
211	67	205	90	73	204
212	68	343	347	204	334
213	202	215	348	214	340
214	81	88	219	216	85
215	340	221	221	94	91
216	224	95	91	121	219
217	98	224	99	354	221
218	356	354	100	356	349
219	360	357	358	233	222
220	361	231	231	361	227
221	105	362	360	236	356
222	236	363	359	364	230
223	237	108	230	113	106
224	369	239	237	372	111
225	371	369	111	373	247
226	243	115	240	246	248
227	119	379	244	377	379
228	121	123	125	122	254
229	380	252	255	251	383
230	2	257	1	389	5
231	387	255	258	391	392
232	259	135	257	8	265
233	135	9	388	393	394
234	263	266	389	139	11
235	10	143	390	13	271
236	398	278	265	14	275
237	272	151	266	272	279
238	273	23	140	277	153
239	18	27	13	283	282
240	16	291	143	156	155
241	277	292	22	27	154
242	152	37	285	286	29
243	287	39	32	160	161
244	33	171	34	34	294
245	37	302	294	41	295
246	39	175	167	49	169
247	169	303	168	54	47
248	298	51	176	310	50
249	42	308	54	184	52
250	170	53	314	319	183
251	301	310	188	67	316
252	307	311	190	196	318
253	310	307	319	195	321
254	54	317	73	331	323
255	182	66	208	332	69
256	313	204	336	78	199
257	58	78	337	336	205
258	189	79	83	81	210
259	319	336	212	210	83
260	69	83	82	338	341
261	198	342	342	215	87
262	200	86	119	221	343
263	203	218	345	222	217
264	210	220	218	349	90
265	213	93	94	376	92
266	214	223	350	102	93
267	90	351	226	105	96
268	221	96	355	362	225
269	96	99	229	108	228
270	227	356	102	237	102
271	101	229	361	110	359
272	357	360	107	365	234
273	231	237	117	112	363
274	367	111	246	124	364
275	112	371	254	243	366
276	239	375	126	244	244
277	117	120	251	120	374
278	123	380	124	380	120
279	383	383	382	254	253
280	1	258	2	128	256
281	257	259	387	256	1
282	391	263	4	3	6
283	393	8	261	394	135
284	138	265	262	11	266
285	142	264	132	268	140
286	15	395	395	395	272
287	21	268	139	17	149
288	150	12	15	18	22
289	24	398	272	148	278
290	25	271	275	151	28
291	156	273	149	152	286
292	31	17	278	23	289
293	34	277	288	158	164
294	163	150	38	31	292
295	165	153	296	288	170
296	172	26	45	32	42
297	44	154	173	298	299
298	50	28	302	175	46
299	306	157	180	178	182
300	181	281	310	51	58
301	312	33	185	307	187
302	315	168	59	53	62
303	63	40	61	180	63
304	320	299	65	311	322
305	65	49	197	312	325
306	322	319	329	191	200
307	64	65	75	323	329
308	326	71	332	71	202
309	73	328	205	200	330
310	74	327	339	329	75
311	205	72	341	201	335
312	79	203	343	330	338
313	207	331	88	209	84
314	335	81	353	82	345
315	338	338	354	84	347
316	339	89	227	86	223
317	84	347	225	346	101
318	86	348	249	347	232
319	216	361	233	348	105
320	345	106	363	352	108
321	220	236	364	359	110
322	104	365	365	104	238
323	250	378	110	103	368
324	242	112	370	363	241
325	115	243	243	238	252
326	372	245	371	367	378
327	116	247	245	245	251
328	245	122	374	375	124
329	122	253	377	125	381
330	385	128	129	386	0
331	132	387	3	2	384
332	260	131	260	134	2
333	262	140	133	263	132
334	134	13	9	265	389
335	265	142	273	12	260
336	266	22	145	142	263
337	139	285	23	274	391
338	396	158	279	276	137
339	17	35	151	21	269
340	148	36	154	279	142
341	153	169	157	153	15
342	28	170	286	26	16
343	286	44	159	157	276
344	162	174	39	287	21
