	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	117	95	75	281	176
31	116	115	300	274	103
32	115	44	313	272	151
33	114	34	296	13	149
34	124	22	305	269	125
35	113	272	78	398	124
36	111	269	64	261	123
37	109	246	268	256	122
38	108	25	84	255	120
39	107	202	287	17	119
40	106	6	85	292	118
41	105	232	281	228	117
42	103	32	276	302	116
43	102	231	311	307	126
44	112	227	74	310	115
45	125	4	176	28	113
46	399	222	308	222	112
47	128	216	139	29	111
48	135	215	208	210	110
49	139	278	196	285	109
50	136	19	376	9	108
51	138	391	185	390	107
52	133	50	205	26	106
53	129	379	95	34	105
54	137	109	172	27	114
55	134	309	5	30	150
56	132	124	122	48	127
57	319	296	171	46	129
58	331	294	243	131	147
59	289	281	108	74	146
60	104	205	360	288	145
61	101	193	358	271	144
62	300	181	357	242	143
63	147	162	345	239	142
64	234	399	262	338	141
65	272	137	270	339	140
66	213	147	334	217	128
67	354	64	153	201	139
68	155	113	58	60	137
69	131	201	327	165	135
70	56	140	132	153	134
71	123	337	190	149	133
72	164	233	57	361	132
73	262	238	380	129	131
74	158	274	302	108	130
75	377	354	371	92	138
76	337	194	49	89	399
77	250	389	362	84	69
78	8	82	6	163	29
79	58	88	284	200	148
80	191	132	118	250	210
81	189	134	316	225	208
82	187	135	244	207	207
83	166	131	10	203	206
84	169	138	76	240	205
85	163	130	80	202	204
86	165	198	301	241	212
87	141	263	297	243	180
88	140	264	293	196	181
89	122	287	88	244	178
90	121	325	288	186	179
91	120	189	286	238	155
92	119	385	279	287	154
93	142	73	278	294	153
94	118	17	374	194	152
95	99	178	275	298	104
96	98	270	272	190	102
97	97	14	267	252	101
98	96	371	21	267	100
99	95	33	101	63	99
100	94	230	105	79	98
101	92	360	106	18	97
102	100	56	107	5	96
103	144	85	250	300	94
104	398	341	212	396	93
105	151	80	386	227	157
106	154	90	381	305	158
107	159	91	91	123	156
108	160	78	349	188	160
109	161	234	166	198	177
110	153	212	398	132	175
111	152	71	138	335	174
112	156	352	215	154	172
113	157	260	225	337	170
114	149	66	126	141	169
115	148	100	235	142	168
116	162	167	236	351	159
117	146	396	245	111	167
118	145	2	252	306	166
119	150	94	103	160	165
120	2	118	96	145	164
121	24	261	67	36	163
122	174	123	66	273	162
123	233	155	330	61	161
124	78	168	335	247	209
125	280	169	338	124	303
126	199	36	343	342	220
127	370	1	43	295	78
128	270	46	38	140	311
129	395	208	399	279	61
130	217	15	184	180	234
131	218	148	186	23	235
132	219	47	154	170	236
133	220	149	152	270	238
134	221	150	151	137	239
135	222	45	150	268	240
136	223	152	116	113	241
137	224	12	117	309	242
138	225	116	119	110	243
139	226	52	7	52	244
140	227	187	121	121	245
141	228	375	124	75	246
142	229	378	4	229	247
143	215	381	127	221	248
144	195	13	3	257	233
145	193	369	129	88	77
146	192	16	130	66	213
147	79	3	131	67	203
148	81	343	15	219	81
149	82	175	133	104	82
150	83	172	135	134	83
151	84	223	136	333	84
152	85	158	137	334	85
153	86	153	140	214	87
154	87	243	141	135	88
155	88	146	142	102	89
156	89	142	143	297	90
157	90	99	144	280	91
158	91	348	145	278	92
159	167	303	146	385	182
160	168	304	147	109	184
161	76	96	148	176	211
162	170	308	149	265	185
163	172	338	134	260	187
164	188	317	14	78	202
165	186	318	389	379	201
166	185	86	191	370	200
167	184	319	90	366	199
168	182	180	312	363	198
169	181	392	188	133	197
170	171	54	111	41	186
171	180	65	120	355	196
172	179	151	170	348	193
173	178	110	198	299	192
174	177	284	52	85	190
175	176	314	299	83	189
176	173	364	271	314	188
177	396	87	125	369	195
178	175	59	392	96	398
179	324	310	128	55	183
180	236	55	195	12	253
181	237	327	177	146	254
182	239	26	197	11	255
183	241	344	200	139	256
184	242	347	201	51	258
185	243	298	203	39	260
186	244	316	204	2	261
187	245	185	206	393	232
188	246	203	207	394	262
189	247	7	209	350	264
190	248	176	210	349	265
191	249	218	211	50	266
192	251	170	213	19	267
193	252	166	216	172	268
194	253	225	199	97	269
195	254	165	175	175	270
196	255	386	178	182	271
197	256	323	173	184	272
198	212	384	115	204	273
199	65	141	174	212	274
200	394	136	158	215	263
201	210	255	159	218	396
202	67	383	113	143	230
203	68	265	160	224	228
204	69	119	161	117	63
205	70	112	156	263	64
206	71	289	112	99	65
207	72	92	162	343	66
208	73	75	163	95	68
209	74	241	164	313	71
210	75	20	167	82	72
211	77	5	104	308	73
212	211	353	168	80	74
213	197	350	102	336	75
214	196	61	169	77	76
215	200	62	110	317	229
216	201	326	157	319	79
217	202	206	155	326	215
218	203	93	26	327	217
219	204	179	233	59	218
220	205	38	328	1	219
221	206	121	81	49	221
222	207	122	72	147	222
223	209	239	36	208	223
224	198	224	69	373	224
225	341	107	348	35	225
226	288	102	325	329	226
227	33	297	219	341	227
228	235	195	223	162	214
229	321	157	47	365	397
230	19	120	28	151	16
231	20	23	32	152	17
232	21	164	34	155	18
233	22	143	40	156	19
234	25	160	83	157	11
235	391	159	82	158	299
236	48	156	87	159	46
237	50	27	220	166	48
238	263	154	224	167	279
239	264	145	226	168	280
240	265	144	227	169	281
241	266	24	228	171	282
242	267	129	229	173	284
243	268	128	230	138	285
244	269	126	231	130	286
245	49	127	232	144	287
246	273	340	234	122	278
247	276	393	237	115	288
248	277	359	238	118	290
249	279	30	239	120	291
250	281	361	240	114	292
251	282	345	241	125	293
252	284	29	242	112	294
253	285	196	246	105	295
254	275	333	86	127	296
255	260	204	194	101	297
256	261	220	218	397	289
257	258	161	192	58	47
258	55	242	89	164	277
259	59	249	92	106	275
260	60	267	93	6	49
261	61	279	94	354	50
262	62	58	97	128	51
263	259	282	98	322	52
264	63	8	193	71	53
265	54	97	100	325	54
266	64	197	99	233	276
267	51	302	180	353	57
268	214	306	181	320	55
269	216	315	182	344	59
270	230	69	183	284	60
271	231	328	189	392	62
272	232	286	179	32	249
273	257	290	397	377	250
274	66	271	27	321	251
275	53	219	350	254	252
276	274	67	318	346	58
277	18	395	320	161	395
278	283	366	33	399	339
279	0	173	221	389	351
280	43	28	42	37	21
281	23	21	41	33	14
282	16	10	39	31	12
283	15	81	61	25	10
284	13	209	25	24	9
285	12	83	22	20	8
286	11	89	20	16	7
287	10	367	18	14	6
288	9	199	17	8	5
289	7	192	16	7	4
290	5	190	13	4	2
291	4	188	12	76	1
292	3	186	11	81	15
293	17	184	9	395	42
294	44	183	8	179	38
295	393	368	2	187	394
296	46	177	1	185	317
297	310	84	23	195	312
298	309	174	62	183	310
299	308	125	396	181	43
300	307	117	65	86	308
301	306	114	285	197	318
302	305	111	283	178	307
303	304	108	280	177	306
304	303	106	277	193	314
305	302	104	273	174	319
306	301	372	269	148	304
307	299	171	266	209	321
308	45	342	265	103	322
309	297	374	264	100	301
310	291	370	263	94	300
311	47	9	261	93	298
312	295	307	260	90	45
313	294	51	258	87	44
314	290	63	257	150	320
315	287	103	256	191	316
316	286	105	255	384	331
317	296	320	254	391	326
318	32	182	253	3	354
319	35	226	251	301	13
320	338	268	249	21	380
321	382	291	248	374	24
322	40	221	247	368	30
323	389	236	79	38	305
324	316	245	73	357	302
325	311	262	71	68	36
326	30	57	70	53	28
327	292	42	68	91	335
328	298	40	291	376	22
329	367	200	354	56	347
330	385	355	375	359	381
331	384	356	377	364	382
332	383	357	378	371	383
333	381	363	382	372	384
334	346	365	383	378	386
335	380	377	384	380	387
336	375	380	387	381	388
337	373	382	388	383	389
338	372	387	391	283	348
339	371	331	393	277	345
340	369	258	341	387	352
341	368	273	340	275	343
342	376	210	342	40	25
343	388	76	337	47	27
344	390	77	45	54	31
