	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	63	284	364	4	108
31	102	227	305	227	82
32	8	57	215	353	187
33	331	267	84	244	240
34	16	113	181	356	124
35	28	125	4	143	72
36	107	297	398	172	233
37	22	40	371	137	379
38	291	162	310	399	320
39	235	14	362	147	260
40	355	235	108	106	399
41	383	366	73	273	83
42	267	25	325	264	46
43	317	374	155	271	356
44	285	140	343	213	42
45	180	399	156	335	336
46	386	389	328	370	203
47	129	217	90	250	378
48	33	197	297	109	183
49	319	82	225	187	84
50	323	322	263	122	78
51	45	188	135	25	282
52	328	45	58	140	144
53	228	129	276	278	30
54	253	379	349	332	265
55	106	44	363	129	9
56	185	272	249	365	220
57	347	243	227	133	316
58	341	131	397	171	152
59	300	364	341	27	306
60	268	314	376	60	243
61	360	34	389	36	303
62	234	30	345	162	134
63	58	224	116	145	266
64	219	354	245	239	270
65	336	245	366	220	344
66	74	60	205	78	170
67	173	201	336	57	223
68	30	124	126	292	69
69	321	88	49	165	62
70	376	172	320	302	288
71	174	189	96	197	185
72	192	134	75	34	351
73	224	32	302	275	34
74	38	147	41	295	305
75	40	301	103	41	147
76	97	64	256	362	238
77	361	109	170	297	345
78	248	337	392	195	284
79	295	233	361	93	252
80	366	3	79	204	285
81	42	156	115	233	149
82	142	136	277	100	363
83	203	332	379	382	55
84	41	244	47	42	107
85	362	324	119	105	275
86	294	395	52	277	130
87	32	26	386	7	225
88	24	330	185	333	365
89	100	94	177	238	388
90	262	393	385	374	22
91	160	192	281	260	393
92	216	108	332	104	347
93	25	176	8	103	289
94	210	166	374	306	338
95	83	274	286	71	278
96	337	181	17	256	63
97	307	242	169	258	268
98	165	38	111	257	166
99	46	120	38	163	201
100	68	187	219	334	302
101	178	281	218	251	135
102	123	196	206	177	87
103	103	238	132	247	355
104	211	397	196	393	262
105	131	198	378	392	250
106	152	72	195	113	74
107	377	203	88	61	350
108	265	256	188	346	79
109	112	278	251	155	75
110	324	194	124	282	368
111	236	221	193	363	186
112	260	4	327	301	311
113	136	146	200	23	98
114	195	295	43	337	6
115	322	100	120	101	16
116	231	97	180	37	33
117	287	375	339	245	380
118	144	226	183	134	59
119	261	24	144	217	221
120	146	115	40	58	43
121	251	216	380	19	45
122	67	363	223	30	36
123	64	63	313	322	164
124	275	309	308	349	251
125	18	316	137	0	200
126	354	42	64	186	64
127	113	252	243	39	27
128	250	54	236	29	298
129	56	208	233	91	68
130	245	171	230	138	224
131	197	149	395	212	343
132	304	7	13	398	255
133	168	155	65	351	120
134	84	236	314	290	321
135	138	107	351	88	205
136	239	99	160	118	348
137	167	360	324	397	227
138	79	106	95	80	293
139	282	291	255	72	326
140	115	78	16	170	73
141	98	321	375	383	66
142	147	304	158	12	235
143	172	371	23	3	154
144	325	355	232	108	331
145	150	16	28	364	215
146	177	73	323	76	40
147	227	230	142	168	140
148	182	257	273	381	228
149	78	384	239	225	339
150	193	144	182	384	354
151	367	185	357	373	163
152	223	102	355	47	174
153	313	199	9	345	38
154	380	66	306	1	160
155	91	85	299	66	314
156	292	347	53	237	93
157	199	213	68	40	242
158	89	84	178	261	47
159	179	239	356	125	176
160	225	229	153	174	385
161	269	320	61	267	10
162	220	305	264	230	362
163	237	91	25	304	193
164	3	68	340	11	14
165	311	61	42	128	19
166	60	268	213	33	369
167	217	20	337	181	386
168	155	169	317	340	106
169	257	119	283	55	104
170	61	168	143	132	341
171	382	143	70	236	219
172	109	22	163	202	60
173	344	90	86	178	0
174	288	261	82	203	269
175	189	289	318	75	139
176	158	249	315	85	57
177	43	370	175	378	114
178	381	95	140	121	206
179	101	222	113	387	123
180	222	341	383	52	304
181	312	266	60	176	117
182	348	205	338	28	297
183	301	79	14	320	192
184	314	21	262	285	375
185	15	225	57	193	271
186	398	46	197	164	366
187	156	65	130	254	91
188	163	319	149	151	209
189	365	110	33	115	398
190	99	33	210	127	133
191	230	369	87	246	29
192	244	23	121	221	319
193	274	104	39	97	214
194	343	228	252	175	109
195	62	315	211	214	101
196	334	152	56	315	340
197	212	335	352	166	17
198	191	357	271	154	18
199	252	43	326	194	65
200	87	6	387	161	52
201	273	62	292	234	295
202	258	175	238	279	169
203	128	80	34	68	264
204	55	383	184	224	222
205	13	58	71	17	148
206	198	254	334	313	189
207	65	367	145	158	159
208	151	49	174	350	328
209	76	343	258	141	94
210	246	13	112	65	342
211	256	348	199	316	161
212	1	193	106	326	49
213	94	334	105	114	2
214	375	103	331	5	39
215	372	105	270	86	308
216	37	378	161	376	376
217	159	28	234	321	212
218	299	1	266	314	99
219	233	215	268	287	180
220	389	195	329	95	248
221	263	179	62	284	330
222	345	387	272	389	367
223	218	123	168	190	396
224	357	55	110	21	37
225	395	177	101	63	294
226	349	12	393	312	32
227	72	241	11	24	300
228	339	8	335	359	24
229	170	385	369	59	249
230	139	51	261	289	384
231	200	362	15	368	329
232	47	132	66	8	190
233	281	331	98	49	229
234	388	210	294	188	4
235	4	9	216	308	323
236	153	165	344	223	236
237	176	255	207	391	25
238	368	117	164	124	51
239	12	365	237	323	11
240	350	351	247	280	128
241	95	262	244	149	116
242	342	5	21	286	54
243	148	353	377	209	334
244	255	183	27	208	112
245	149	116	396	148	50
246	169	75	139	325	207
247	306	92	330	73	246
248	135	167	122	13	213
249	302	164	81	241	390
250	232	161	284	182	197
251	90	326	78	231	115
252	396	323	1	327	141
253	31	333	372	90	150
254	254	271	190	366	361
255	373	299	189	318	181
256	279	298	301	291	279
257	290	10	0	51	129
258	206	328	384	111	239
259	122	47	399	191	292
260	44	170	89	331	143
261	114	218	309	348	105
262	213	234	129	53	241
263	270	173	391	146	151
264	5	93	10	183	353
265	315	350	254	228	273
266	399	148	312	296	274
267	118	128	194	263	35
268	137	141	51	329	76
269	384	292	347	153	12
270	124	287	350	89	277
271	164	294	348	379	254
272	82	269	231	338	177
273	289	50	32	339	370
274	21	53	229	9	168
275	330	352	226	142	196
276	88	52	287	396	28
277	175	76	166	169	167
278	364	31	7	344	125
279	85	313	303	317	111
280	157	317	99	152	198
281	186	209	93	96	137
282	19	39	171	50	102
283	201	290	242	274	81
284	202	303	6	319	218
285	188	59	246	342	155
286	196	130	265	255	13
287	69	312	373	303	199
288	145	264	151	157	247
289	141	56	45	354	103
290	320	184	279	207	244
291	298	96	382	372	195
292	242	359	228	35	89
293	229	306	26	394	100
294	81	345	394	200	392
295	284	202	191	309	373
296	23	398	150	46	232
297	29	223	354	377	119
298	187	361	69	150	337
299	370	142	208	81	131
300	247	296	80	311	153
301	121	285	94	102	15
302	120	220	152	131	287
303	20	15	125	269	127
304	351	182	257	123	332
305	340	37	367	299	77
306	221	336	74	268	349
307	390	154	269	375	132
308	35	150	353	369	352
309	48	231	138	294	318
310	264	342	59	307	324
311	9	17	198	99	322
312	27	67	12	222	377
313	10	251	83	310	156
314	66	36	100	130	178
315	387	212	311	48	226
316	50	77	192	281	301
317	358	265	55	343	325
318	104	180	381	300	310
319	369	311	148	201	8
320	117	318	157	38	253
321	166	346	97	361	359
322	0	174	117	305	162
323	105	118	127	218	44
324	249	127	275	120	97
325	316	159	203	324	118
326	71	392	267	357	272
327	283	27	104	44	145
328	308	253	368	14	374
329	204	273	359	180	210
330	280	279	179	79	184
331	385	381	253	242	158
332	171	29	107	110	357
333	116	87	235	240	31
334	36	137	136	94	312
335	96	122	92	83	382
336	184	277	67	69	23
337	276	219	167	272	208
338	207	186	20	56	296
339	259	327	291	82	395
340	338	282	18	196	126
341	54	329	176	216	387
342	108	232	358	167	61
343	309	344	342	16	58
344	53	247	159	211	142
