	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	337	278	320	264	320
31	180	138	392	57	225
32	114	155	323	186	363
33	191	25	256	356	186
34	361	272	126	101	270
35	267	208	361	40	187
36	395	6	336	162	84
37	199	78	302	214	221
38	285	136	254	247	9
39	377	42	72	138	78
40	38	34	342	177	37
41	228	4	236	399	377
42	173	172	82	213	30
43	386	399	376	398	393
44	95	113	354	27	124
45	331	245	263	108	336
46	131	197	343	333	108
47	56	119	397	353	63
48	30	354	96	155	387
49	253	238	310	41	378
50	178	82	364	302	83
51	323	181	227	346	233
52	74	363	181	104	46
53	89	97	36	25	220
54	13	227	363	195	185
55	18	60	334	36	149
56	192	44	11	295	306
57	219	252	161	256	399
58	360	364	39	297	62
59	174	45	328	338	27
60	28	374	389	271	152
61	268	162	325	332	266
62	45	88	106	165	148
63	248	131	156	171	275
64	234	322	362	362	55
65	321	14	215	220	144
66	319	123	4	140	243
67	106	309	185	292	42
68	185	32	41	78	170
69	8	224	132	48	345
70	224	64	47	366	351
71	58	124	75	93	344
72	300	109	58	149	284
73	354	389	170	197	252
74	40	147	38	275	223
75	347	233	64	208	34
76	336	134	276	129	288
77	295	201	366	145	303
78	376	337	284	109	305
79	97	274	49	239	238
80	19	243	200	147	176
81	289	102	9	272	33
82	4	352	159	230	212
83	218	107	182	351	308
84	235	140	117	111	19
85	364	239	88	121	159
86	129	120	43	134	302
87	109	316	137	326	268
88	32	383	277	225	6
89	217	262	120	278	386
90	265	68	339	236	240
91	46	297	160	143	10
92	62	188	308	387	342
93	63	371	124	58	79
94	304	384	144	75	258
95	202	192	61	257	135
96	72	244	79	374	355
97	76	61	356	277	39
98	324	324	379	168	289
99	61	375	352	172	205
100	83	24	195	349	160
101	322	40	332	337	362
102	179	30	116	37	82
103	0	261	111	378	219
104	211	256	193	238	57
105	136	330	249	279	264
106	142	62	341	373	250
107	43	194	268	233	356
108	99	85	8	133	331
109	159	301	251	334	22
110	67	179	40	105	379
111	189	281	115	370	114
112	125	216	315	0	341
113	231	3	84	60	294
114	256	320	17	245	265
115	317	143	206	227	147
116	275	80	180	267	154
117	251	22	286	322	106
118	158	173	155	132	134
119	146	54	184	365	343
120	328	335	378	335	104
121	22	125	62	258	139
122	261	95	196	187	64
123	236	393	386	39	36
124	113	177	297	137	59
125	144	366	218	19	43
126	68	189	219	122	45
127	41	187	233	91	98
128	101	222	243	106	69
129	64	57	385	29	300
130	307	285	393	316	330
131	349	304	331	158	164
132	246	379	142	382	18
133	366	77	371	72	254
134	352	378	357	127	290
135	367	254	398	59	120
136	79	289	213	71	328
137	227	185	141	290	373
138	85	226	177	384	75
139	351	84	245	51	117
140	239	168	139	161	277
141	288	348	6	359	60
142	193	234	351	363	169
143	20	108	16	281	163
144	380	165	92	352	38
145	156	268	205	67	0
146	103	171	122	128	228
147	65	334	369	237	174
148	112	26	198	157	311
149	313	305	266	217	321
150	200	343	108	85	107
151	50	146	329	321	314
152	155	315	201	103	16
153	31	72	175	11	278
154	339	360	340	244	255
155	294	341	387	273	193
156	245	193	337	24	94
157	237	63	238	100	293
158	382	103	112	304	93
159	100	12	26	163	24
160	357	347	140	47	368
161	274	369	174	202	125
162	399	333	153	313	47
163	204	207	103	393	369
164	282	156	110	181	262
165	244	1	135	383	14
166	71	195	271	12	189
167	33	175	234	33	347
168	60	28	189	30	339
169	252	7	348	188	388
170	362	367	194	88	354
171	94	8	28	113	203
172	287	23	252	340	385
173	151	387	119	3	242
174	372	385	169	55	140
175	120	58	327	178	166
176	25	115	223	61	130
177	16	55	380	7	74
178	279	241	183	42	235
179	223	20	113	23	68
180	55	267	305	194	391
181	212	336	367	282	206
182	12	148	255	325	246
183	15	130	143	114	361
184	312	31	186	175	214
185	163	312	390	5	49
186	145	73	318	193	390
187	1	235	326	231	12
188	270	51	287	170	334
189	182	361	178	345	322
190	344	265	264	65	11
191	262	93	375	228	338
192	225	46	285	308	32
193	206	332	148	350	4
194	135	15	199	287	200
195	308	33	56	364	375
196	104	299	293	246	7
197	98	370	86	344	272
198	290	21	13	204	241
199	149	159	68	261	97
200	299	292	94	166	101
201	91	170	190	13	353
202	81	319	395	318	192
203	258	397	42	306	77
204	216	166	239	375	251
205	123	210	197	263	112
206	254	169	230	224	329
207	342	215	52	397	2
208	384	137	14	209	273
209	263	209	299	4	318
210	168	230	10	1	25
211	172	251	384	174	365
212	141	218	324	212	285
213	177	49	23	17	249
214	122	203	99	53	396
215	368	291	188	63	274
216	348	229	15	125	227
217	210	295	192	52	65
218	345	110	78	183	350
219	166	90	283	284	215
220	390	346	34	28	248
221	195	104	168	392	376
222	220	13	125	89	66
223	124	43	150	203	111
224	88	53	97	396	123
225	250	294	87	301	196
226	115	236	335	190	298
227	66	395	279	312	269
228	316	92	253	389	151
229	381	106	25	21	326
230	7	259	374	390	29
231	105	284	50	90	102
232	387	214	147	276	201
233	10	66	344	96	13
234	36	160	105	169	132
235	153	391	261	254	161
236	334	116	377	296	133
237	260	16	73	320	177
238	48	174	216	317	181
239	398	161	338	357	253
240	371	38	154	150	392
241	363	145	232	123	327
242	160	37	104	324	279
243	44	242	89	300	310
244	264	298	388	8	50
245	325	321	265	95	128
246	249	176	7	180	116
247	230	52	33	99	218
248	139	75	60	81	72
249	111	164	231	32	51
250	186	357	129	102	190
251	266	353	102	222	337
252	242	184	85	141	162
253	137	212	32	361	319
254	358	328	262	151	8
255	365	150	267	305	366
256	164	17	1	289	167
257	355	253	311	115	143
258	198	27	292	218	129
259	209	141	273	260	304
260	388	9	281	234	76
261	176	105	303	367	178
262	314	231	368	327	103
263	78	127	208	286	105
264	21	76	3	154	210
265	311	47	226	153	325
266	255	365	163	339	168
267	396	269	350	369	323
268	232	205	269	164	40
269	188	65	158	314	370
270	330	331	355	76	340
271	343	10	70	124	115
272	170	271	229	9	295
273	257	94	381	379	367
274	128	350	66	329	91
275	167	183	237	285	180
276	284	100	309	376	109
277	291	50	51	241	398
278	315	117	391	142	54
279	107	313	399	118	28
280	77	398	270	31	119
281	86	149	2	146	179
282	303	86	45	219	276
283	53	153	152	86	299
284	340	198	138	182	271
285	281	129	204	386	280
286	118	180	21	223	208
287	42	142	260	394	359
288	286	202	207	176	222
289	140	59	314	46	175
290	121	255	81	291	197
291	84	158	228	184	332
292	54	264	127	120	198
293	59	225	22	18	99
294	201	39	312	372	142
295	152	154	349	35	150
296	187	342	83	179	292
297	292	249	93	20	207
298	49	323	55	66	131
299	169	311	383	200	138
300	3	308	347	310	224
301	134	118	90	342	182
302	197	228	101	211	89
303	47	290	272	97	81
304	11	199	53	341	324
305	70	246	65	226	244
306	305	213	145	319	90
307	221	257	98	130	183
308	369	221	275	201	307
309	329	351	330	210	352
310	359	220	166	348	127
311	196	67	372	255	71
312	9	96	360	331	229
313	138	70	203	80	15
314	23	152	157	160	145
315	283	359	317	34	153
316	175	128	353	148	118
317	302	36	258	62	297
318	51	79	257	307	239
319	27	306	244	391	141
320	389	5	59	294	291
321	69	132	121	368	236
322	320	362	359	315	52
323	108	182	313	44	122
324	247	217	247	299	44
325	102	273	225	14	317
326	29	318	164	56	204
327	161	392	301	377	287
328	301	287	57	68	232
329	117	326	0	73	35
330	207	144	146	215	211
331	148	314	288	117	31
332	17	69	80	283	383
333	214	307	316	268	395
334	338	340	296	84	126
335	2	135	136	381	23
336	34	151	76	240	230
337	335	258	246	336	263
338	306	247	133	330	316
339	162	368	370	251	312
340	154	196	67	385	58
341	393	89	307	87	158
342	309	99	149	196	348
343	310	204	221	16	73
344	133	282	280	221	380
