	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	96	291	160	130	32
31	289	35	66	35	96
32	185	319	292	325	352
33	165	56	388	326	291
34	294	7	8	265	228
35	263	264	203	298	293
36	359	396	332	139	131
37	123	236	120	361	295
38	365	46	204	366	109
39	174	15	368	16	78
40	82	279	81	242	366
41	340	308	18	114	142
42	53	54	181	21	17
43	150	23	373	87	113
44	216	280	87	23	212
45	153	89	216	214	118
46	56	186	218	182	55
47	27	348	28	346	281
48	156	343	311	316	381
49	29	287	318	318	350
50	66	350	288	161	192
51	259	194	128	386	129
52	58	258	291	3	130
53	164	193	355	291	1
54	162	359	102	101	322
55	72	27	168	233	72
56	314	296	360	330	330
57	142	298	140	171	267
58	303	104	302	173	396
59	111	237	111	334	106
60	239	347	208	110	299
61	49	83	336	272	236
62	147	51	307	333	242
63	85	85	339	178	307
64	181	148	182	271	148
65	215	375	310	372	21
66	22	121	248	117	341
67	25	59	91	25	23
68	122	382	348	380	249
69	189	286	61	255	30
70	257	32	161	288	384
71	386	1	387	160	0
72	196	5	4	37	248
73	389	166	196	230	260
74	36	391	389	40	229
75	167	70	40	75	166
76	104	72	330	108	105
77	171	201	106	46	138
78	44	267	397	302	107
79	141	140	50	48	140
80	43	269	371	209	397
81	242	198	308	81	334
82	20	113	146	47	111
83	117	338	22	244	240
84	308	82	375	241	112
85	244	274	254	122	210
86	309	246	25	379	51
87	346	311	381	93	50
88	91	379	62	222	376
89	60	188	319	319	377
90	224	384	96	257	98
91	385	352	64	290	34
92	131	4	65	289	164
93	388	313	132	324	71
94	227	135	357	133	264
95	230	42	38	193	233
96	260	363	390	200	75
97	299	365	169	297	12
98	140	78	268	123	268
99	11	370	236	12	398
100	146	180	142	236	272
101	371	253	335	398	144
102	212	182	14	78	208
103	114	55	80	14	22
104	246	184	399	243	278
105	370	345	270	115	57
106	280	220	301	149	348
107	284	93	88	88	253
108	63	222	249	315	62
109	159	383	124	216	286
110	228	385	257	256	354
111	229	195	386	1	66
112	358	58	312	131	133
113	169	37	69	99	39
114	298	360	103	294	391
115	234	40	363	7	137
116	331	235	45	104	297
117	366	77	238	137	139
118	270	273	240	106	200
119	113	177	369	300	77
120	347	19	210	76	176
121	252	52	115	177	370
122	84	252	276	306	277
123	149	117	180	147	342
124	247	215	344	20	311
125	253	151	57	246	153
126	250	217	346	376	250
127	219	378	347	89	379
128	220	124	93	58	189
129	157	94	255	120	254
130	225	132	385	258	97
131	166	165	99	2	163
132	295	294	229	36	4
133	360	100	262	165	36
134	10	297	7	231	6
135	106	137	232	39	135
136	364	109	10	295	40
137	13	367	47	168	265
138	206	336	251	155	9
139	398	17	113	349	43
140	47	306	241	365	108
141	175	176	51	80	143
142	336	212	83	210	347
143	51	21	212	374	147
144	373	181	17	342	374
145	118	150	148	62	246
146	94	272	179	247	344
147	154	28	219	188	185
148	155	381	286	317	59
149	350	30	223	190	190
150	32	386	320	33	134
151	192	134	192	227	38
152	354	105	130	8	329
153	67	172	67	41	363
154	128	205	256	267	123
155	8	366	193	268	238
156	361	143	72	109	16
157	105	301	138	335	305
158	45	305	11	368	146
159	349	50	250	337	336
160	144	243	141	239	244
161	180	244	364	19	119
162	279	142	303	339	125
163	151	86	174	85	279
164	377	310	378	181	88
165	187	372	82	373	186
166	120	25	374	252	187
167	311	187	215	121	188
168	62	284	154	283	317
169	319	57	60	220	287
170	65	96	370	322	64
171	226	354	71	162	353
172	97	67	105	387	226
173	324	38	41	229	37
174	98	230	201	134	327
175	292	168	155	391	266
176	134	328	366	198	141
177	136	202	177	105	302
178	258	75	305	264	378
179	330	392	220	174	368
180	268	232	116	143	46
181	204	334	245	176	301
182	334	79	117	113	339
183	399	16	343	211	180
184	76	9	54	308	116
185	145	397	281	56	284
186	343	340	90	57	54
187	281	22	317	61	282
188	28	122	380	254	124
189	285	29	157	191	63
190	129	130	108	224	385
191	161	260	225	97	290
192	355	389	135	90	324
193	323	295	328	154	325
194	255	263	234	59	167
195	70	169	266	74	168
196	7	362	139	299	11
197	232	43	205	142	155
198	200	136	78	399	269
199	73	81	13	112	270
200	363	146	176	207	145
201	236	179	398	83	83
202	173	116	242	340	340
203	38	342	267	245	308
204	79	216	340	150	276
205	274	249	269	345	343
206	217	251	313	218	184
207	89	156	186	251	122
208	30	285	316	221	91
209	351	223	189	31	29
210	291	192	224	128	320
211	195	162	121	129	289
212	344	259	194	226	323
213	39	103	162	67	199
214	199	138	97	197	74
215	135	331	122	390	394
216	396	108	39	327	204
217	302	45	27	102	14
218	176	333	361	186	304
219	177	399	235	234	273
220	19	398	206	363	178
221	55	369	309	397	115
222	54	13	118	276	49
223	214	115	342	215	274
224	376	147	56	151	24
225	121	309	89	24	314
226	282	214	149	314	219
227	88	374	21	347	60
228	222	152	188	157	61
229	382	114	221	351	94
230	64	160	258	320	128
231	33	224	36	384	65
232	322	34	133	34	2
233	68	387	198	0	99
234	390	290	327	164	161
235	71	321	392	389	319
236	231	167	287	359	389
237	327	231	74	313	198
238	77	329	76	138	232
239	48	330	175	396	201
240	81	107	271	238	42
241	50	335	338	17	102
242	338	112	20	370	45
243	277	208	341	54	303
244	342	145	150	280	79
245	254	84	85	94	220
246	249	120	377	27	316
247	59	126	379	285	252
248	95	62	285	382	349
249	191	255	383	63	351
250	320	129	0	354	382
251	352	353	195	163	215
252	321	131	163	4	386
253	160	196	70	5	126
254	132	2	265	292	326
255	383	312	171	71	388
256	264	361	12	103	262
257	329	234	110	169	218
258	362	10	16	331	170
259	235	106	112	204	76
260	108	238	306	305	172
261	46	174	52	275	367
262	335	92	86	180	114
263	369	337	55	179	213
264	241	183	280	86	214
265	307	88	151	55	375
266	184	281	58	118	182
267	186	60	315	377	154
268	92	254	190	282	27
269	223	63	95	348	318
270	193	65	353	352	357
271	34	257	131	66	103
272	387	97	164	287	104
273	37	68	197	166	203
274	296	69	324	281	235
275	41	6	167	9	206
276	202	229	264	332	174
277	12	154	136	237	271
278	367	200	391	140	81
279	16	357	393	304	15
280	273	282	239	146	337
281	211	173	272	18	239
282	119	302	367	213	85
283	245	368	49	343	373
284	61	209	372	312	151
285	87	277	119	153	310
286	152	149	376	378	149
287	313	377	279	28	84
288	83	346	125	95	285
289	381	157	350	127	255
290	0	225	129	194	256
291	1	322	2	260	195
292	384	355	356	68	68
293	357	228	325	357	196
294	102	326	6	356	35
295	103	233	230	69	263
296	328	203	296	393	8
297	201	123	233	362	298
298	74	44	200	202	300
299	75	364	331	172	365
300	267	271	300	141	335
301	69	14	261	270	369
302	179	12	243	111	82
303	148	242	23	274	19
304	310	155	152	53	245
305	345	247	158	277	150
306	218	344	92	217	183
307	380	185	260	60	87
308	317	219	382	125	251
309	286	127	191	223	380
310	256	256	34	32	224
311	35	289	228	65	162
312	356	226	5	196	355
313	197	161	134	100	387
314	198	33	263	262	69
315	261	261	359	263	197
316	163	8	294	395	5
317	393	141	170	77	328
318	100	206	395	303	393
319	172	111	172	336	10
320	304	303	396	145	28
321	210	49	43	240	333
322	306	178	137	124	175
323	339	144	337	148	127
324	18	47	275	208	247
325	275	110	183	79	280
326	115	53	345	250	89
327	315	91	314	156	92
328	221	221	156	381	152
329	31	31	253	158	31
330	288	320	32	385	258
331	290	128	3	261	227
332	3	66	101	135	58
333	4	99	326	392	294
334	133	164	199	73	361
335	265	325	104	170	331
336	233	262	362	201	364
337	107	3	173	329	205
338	203	26	237	13	44
339	139	265	207	364	110
340	272	393	145	301	241
341	337	304	178	49	209
342	243	80	84	52	179
343	23	241	278	341	211
344	21	341	246	284	52
