	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	193	162	103	85	196
31	192	299	142	322	170
32	351	88	96	399	266
33	258	284	290	257	378
34	97	337	341	188	84
35	399	322	193	351	33
36	180	188	329	297	344
37	295	189	174	78	68
38	376	399	378	378	42
39	89	354	354	362	238
40	191	172	88	60	34
41	28	301	194	36	243
42	40	30	364	239	345
43	361	364	236	337	186
44	67	64	38	227	252
45	235	233	192	187	108
46	30	245	256	247	305
47	336	32	245	335	399
48	248	243	343	106	223
49	224	269	249	261	273
50	358	366	251	203	215
51	341	216	200	122	351
52	371	224	271	241	125
53	131	363	366	186	272
54	106	374	361	256	336
55	13	14	72	342	368
56	266	124	367	67	16
57	32	330	11	373	71
58	264	97	363	267	363
59	102	125	132	97	135
60	70	201	268	197	124
61	159	267	205	354	36
62	151	109	357	213	200
63	200	344	374	140	303
64	204	197	286	133	284
65	354	34	13	29	97
66	360	140	225	147	143
67	173	134	335	162	149
68	321	147	169	62	288
69	281	281	67	295	187
70	176	203	90	264	269
71	363	365	117	212	174
72	11	43	397	397	132
73	60	100	386	40	46
74	247	246	47	275	38
75	141	274	105	209	79
76	177	166	227	168	287
77	218	168	287	19	251
78	19	361	21	365	25
79	104	195	305	276	166
80	261	252	250	42	59
81	73	272	278	95	265
82	217	70	60	220	185
83	83	21	188	398	181
84	242	57	82	75	246
85	223	205	139	166	203
86	188	183	41	258	221
87	364	12	39	364	14
88	257	187	56	246	101
89	328	262	78	195	278
90	237	273	161	374	62
91	76	192	210	129	156
92	220	82	75	47	298
93	291	40	342	154	112
94	43	143	392	225	75
95	206	285	79	155	190
96	44	49	334	308	22
97	22	50	387	181	255
98	372	25	154	391	40
99	155	375	104	34	210
100	38	254	25	109	398
101	118	155	138	39	164
102	282	181	59	294	289
103	50	38	257	277	285
104	292	309	4	202	302
105	186	295	399	37	244
106	51	45	141	132	275
107	268	61	155	14	63
108	41	42	207	48	13
109	279	231	185	57	391
110	335	385	108	165	45
111	373	160	338	105	114
112	398	391	345	309	385
113	389	244	320	340	225
114	94	28	130	164	123
115	304	108	45	17	357
116	129	148	167	347	388
117	145	165	36	390	151
118	139	123	215	393	240
119	91	215	389	80	316
120	300	392	234	176	27
121	196	131	5	121	386
122	62	209	22	302	153
123	166	6	7	236	176
124	167	60	247	336	107
125	308	136	179	7	214
126	215	72	229	25	253
127	128	156	93	290	376
128	225	176	219	143	150
129	249	227	182	178	134
130	330	115	76	193	297
131	162	164	175	113	377
132	20	313	121	304	211
133	7	75	303	172	311
134	45	104	369	93	229
135	250	85	344	108	50
136	386	212	381	338	307
137	388	335	146	150	300
138	36	179	288	237	393
139	346	389	135	33	241
140	35	36	116	41	339
141	339	218	17	375	7
142	337	150	40	314	9
143	302	117	375	115	163
144	270	17	301	387	162
145	309	387	272	32	98
146	384	22	312	292	147
147	61	310	80	210	43
148	25	338	171	345	347
149	175	395	308	339	138
150	230	352	371	137	230
151	0	282	339	222	73
152	134	76	196	334	140
153	48	173	106	99	49
154	47	107	12	263	189
155	262	77	380	379	380
156	366	138	83	300	127
157	344	69	199	148	242
158	349	127	134	369	374
159	239	73	376	349	354
160	160	346	111	160	30
161	171	370	87	231	322
162	117	47	124	190	77
163	367	367	71	0	117
164	105	265	248	66	111
165	66	297	0	8	254
166	212	44	64	306	270
167	315	305	99	289	103
168	161	333	347	238	277
169	382	341	310	73	6
170	172	171	61	230	321
171	148	202	242	89	249
172	226	271	254	319	208
173	334	27	100	90	226
174	214	277	235	245	348
175	54	318	270	332	341
176	280	145	325	226	235
177	198	369	145	145	182
178	370	264	147	138	60
179	298	126	255	123	148
180	221	232	206	368	327
181	147	340	50	124	262
182	77	13	346	254	373
183	114	336	57	161	105
184	120	379	340	384	201
185	81	137	168	313	15
186	146	220	113	96	342
187	84	303	319	76	100
188	233	239	238	333	233
189	314	58	241	376	286
190	37	184	246	104	306
191	236	384	195	20	195
192	246	161	133	3	343
193	9	7	243	184	228
194	132	238	27	299	236
195	149	253	304	196	23
196	234	51	232	282	219
197	205	251	385	324	2
198	381	359	112	13	126
199	338	94	189	72	218
200	285	259	276	272	29
201	331	324	230	59	39
202	227	19	20	24	382
203	157	381	1	233	274
204	260	289	307	329	282
205	12	328	221	170	334
206	108	294	148	207	268
207	244	3	212	51	323
208	133	93	258	244	139
209	21	241	330	315	192
210	113	222	173	343	0
211	219	193	264	307	141
212	256	357	110	111	384
213	46	237	313	252	264
214	356	9	10	194	11
215	357	67	62	367	365
216	179	383	328	377	188
217	347	261	223	383	260
218	350	190	262	217	352
219	232	159	317	12	83
220	24	113	370	350	72
221	10	105	119	52	168
222	297	298	316	131	193
223	245	229	198	58	250
224	305	24	267	11	301
225	4	210	69	310	248
226	342	170	240	382	239
227	323	235	266	359	64
228	63	196	383	229	76
229	79	37	201	102	94
230	252	398	53	240	55
231	199	194	42	270	207
232	181	10	296	386	397
233	272	84	360	56	169
234	355	53	218	255	85
235	1	377	388	53	160
236	310	353	379	341	51
237	64	258	52	348	280
238	311	321	150	356	329
239	286	368	84	243	367
240	375	345	373	1	317
241	385	315	51	81	340
242	142	360	318	317	104
243	55	311	350	211	325
244	396	103	348	171	258
245	49	83	140	251	361
246	380	290	391	46	234
247	197	350	384	101	133
248	92	334	377	283	312
249	111	397	9	372	318
250	58	8	253	5	87
251	33	78	279	55	61
252	228	286	58	200	263
253	229	129	128	268	381
254	65	132	220	142	57
255	345	177	211	174	379
256	69	217	136	177	296
257	68	257	398	198	202
258	88	199	180	82	65
259	169	52	65	269	267
260	313	182	237	278	206
261	320	263	291	312	353
262	299	65	365	214	245
263	56	234	269	215	349
264	213	378	66	141	213
265	377	1	94	331	217
266	85	62	263	183	66
267	387	214	91	389	54
268	343	54	92	344	47
269	8	342	300	61	12
270	164	185	23	92	392
271	140	204	126	173	183
272	121	247	352	301	198
273	243	80	118	130	279
274	391	121	372	4	119
275	152	174	204	320	356
276	253	332	95	128	180
277	3	86	280	371	88
278	211	116	208	88	115
279	362	260	394	380	130
280	138	208	122	112	369
281	154	348	326	151	310
282	241	55	337	303	290
283	201	198	115	224	320
284	95	59	233	2	338
285	316	63	177	110	281
286	255	219	98	363	4
287	259	230	2	117	10
288	136	249	8	288	144
289	207	4	213	83	232
290	16	5	302	271	31
291	383	31	33	103	37
292	174	306	294	325	370
293	144	242	331	139	314
294	135	120	157	346	96
295	274	128	131	120	337
296	122	141	120	125	116
297	119	112	102	286	308
298	303	110	244	366	276
299	393	372	151	305	172
300	301	119	16	28	69
301	369	304	176	394	1
302	124	130	311	208	209
303	189	142	224	234	394
304	125	92	144	265	131
305	29	114	6	114	93
306	273	396	127	218	146
307	115	2	190	30	109
308	2	319	309	385	299
309	153	152	158	9	390
310	82	111	293	54	48
311	178	99	153	153	294
312	150	46	396	361	122
313	340	90	137	16	81
314	307	308	149	146	295
315	163	347	43	135	142
316	284	106	184	223	110
317	112	151	315	134	350
318	137	135	349	330	106
319	187	323	85	94	19
320	322	296	186	149	179
321	269	331	170	242	328
322	86	79	277	323	158
323	99	122	203	31	128
324	203	16	368	221	8
325	365	386	281	182	113
326	289	380	336	169	330
327	324	325	351	44	220
328	18	223	143	291	387
329	329	96	97	281	145
330	231	326	55	127	17
331	123	316	125	185	178
332	27	329	390	228	21
333	17	236	260	327	197
334	317	221	297	316	335
335	202	320	15	396	332
336	327	154	107	21	58
337	31	118	156	216	44
338	395	20	163	156	292
339	368	228	34	77	157
340	107	226	28	27	91
341	222	29	362	370	152
342	195	362	228	163	224
343	103	371	54	23	396
344	158	146	86	157	167
