	kfold1	kfold2	kfold3	kfold4	kfold5
0	859	29	2457	1310	421
1	1900	1434	3164	1985	2680
2	3398	2413	3801	2869	3364
3	6682	5280	3873	5582	5296
4	7419	6174	4578	5869	7271
5	10279	9540	4747	8279	9079
6	14203	12647	5632	8968	10299
7	16159	12983	5944	12598	11038
8	16321	17145	6168	12656	11102
9	16340	17871	8113	13723	12199
10	16740	20931	9886	14857	15598
11	18316	24455	14070	15347	17506
12	23496	27132	14630	16216	21890
13	24365	30818	15772	24275	22172
14	24953	31787	21222	24600	24465
15	26748	32036	23965	25590	24839
16	30515	35278	25875	26260	27694
17	30740	35340	27405	26390	29623
18	34736	37605	27821	29696	30343
19	35635	38435	28419	30089	30390
20	37613	43438	33255	31791	32950
21	40822	44698	35119	31942	36324
22	42531	47829	36113	32439	39629
23	42731	48158	37057	33184	40187
24	45249	49789	38193	37560	40412
25	47918	49952	38207	42065	44344
26	48489	50471	41119	45951	45881
27	48613	51992	41328	46190	46103
28	50853	52554	42659	49743	47517
29	52113	53867	53823	53167	47722
30	6719	32577	44621	50760	39918
31	28069	47246	15837	40790	25749
32	5880	31646	24012	18115	37168
33	51901	44719	6459	41307	17845
34	4440	5880	50270	8884	4062
35	13491	15665	37358	770	8482
36	35515	50335	13932	43511	26015
37	39018	10724	7905	45837	52285
38	42416	51023	14695	36973	2925
39	43338	7068	15527	45814	27539
40	13018	28177	23358	36174	13575
41	48958	27587	49635	51236	10520
42	8288	3506	28567	41413	26780
43	1660	25478	2637	14079	51367
44	13526	52878	8377	25641	22233
45	14960	27100	4431	24403	25323
46	27239	53138	48496	9452	47345
47	51301	30055	9320	36349	45822
48	51138	19023	26618	39338	53514
49	21289	48383	35775	2038	23329
50	7855	31498	37664	31172	35858
51	43990	31435	20731	28865	35535
52	43746	52630	15416	15080	38143
53	5688	42937	8299	1948	21120
54	43631	21058	46269	53316	32686
55	38308	13002	12137	32688	1395
56	46643	11259	40817	41799	35264
57	39835	42277	49541	15276	32889
58	35014	10355	33269	17911	46215
59	4888	684	22196	28556	52555
60	19530	5696	23384	35963	30474
61	3949	31496	21086	51908	47163
62	45943	35946	4372	50490	20281
63	13773	38687	2245	52289	4941
64	29925	22561	3635	18969	36055
65	27124	12625	28184	15472	16582
66	31624	13189	17407	22944	21092
67	8667	35837	46164	10966	28913
68	2911	22356	40898	30232	8604
69	31956	11461	34631	14100	18322
70	32404	672	48356	12033	47187
71	8704	25767	21693	20120	52414
72	31798	31714	28873	50075	20157
73	45601	19372	5157	1585	1954
74	1840	52873	11802	7561	22234
75	23397	47428	30141	38954	26585
76	15899	7187	45348	2593	50462
77	51519	25298	20117	44774	19759
78	4619	47038	51414	4024	42560
79	33314	5879	36312	48572	39915
80	75	44164	44369	15517	42354
81	32217	47921	49775	2147	20755
82	46228	28644	28532	38996	4507
83	38663	33079	11171	32436	8708
84	21426	49193	53773	17765	37548
85	28553	49120	12361	44808	7635
86	3813	38491	8942	4731	21503
87	16099	36451	25935	50104	53782
88	5078	10413	8149	40088	43633
89	42344	14551	29501	10587	49290
90	30533	30660	24870	45848	18090
91	31530	19039	22176	53219	22334
92	28863	23020	36103	32186	14880
93	16733	47328	10068	35737	18938
94	619	14350	16200	9595	12570
95	21131	38582	51083	24838	15010
96	5501	36339	45135	5095	7182
97	28267	32001	26632	44423	50127
98	26868	51251	49516	11436	39142
99	40912	44496	24736	9467	9417
100	22266	434	5670	41020	2870
101	42132	40255	13073	20013	1001
102	52798	30372	4710	51098	2590
103	7567	51545	19630	11301	44072
104	29738	4347	5102	10551	37928
105	5618	51939	15265	904	8133
106	3767	48093	13382	29901	23741
107	42589	21301	26516	1144	3254
108	1645	45232	17184	37227	3726
109	44445	34689	25791	49618	49016
110	20954	31815	51921	42228	20335
111	51222	21188	17266	32965	33368
112	30759	38513	37036	20784	1785
113	25249	33248	9153	41200	9039
114	8528	18737	9134	48801	20826
115	11064	24028	9311	30302	44825
116	7911	35637	24448	22393	49071
117	8123	4759	49250	32960	34467
118	10152	52054	73	4329	36916
119	50428	49701	16179	11699	4623
120	19547	51891	46286	23544	34163
121	5818	36117	2735	26072	39841
122	26692	18	5381	20570	28189
123	53699	5944	9787	43947	8405
124	14465	25060	52539	15505	22938
125	2738	27198	5858	41112	14687
126	21067	23138	44930	20525	11985
127	39721	33874	11378	37614	20883
128	37542	49483	34348	13647	24808
129	17634	43584	47593	40593	49764
130	28601	15954	52253	53671	11287
131	24414	26440	40662	28079	22945
132	15470	22238	36810	42920	33538
133	11120	21584	21857	2379	9658
134	34286	9654	678	1943	36219
135	10694	50659	42421	40010	14080
136	3997	3364	28587	6682	22417
137	9451	40835	51547	3231	24009
138	48682	30842	18633	44417	18028
139	48661	48767	6600	51260	18453
140	20642	29664	715	12176	23246
141	48928	3139	7724	48594	46922
142	18839	12823	30821	2418	48927
143	21369	47346	42916	32306	11244
144	32823	30653	50767	42055	4022
145	5560	47623	30993	26312	6674
146	1796	8487	45810	9907	32734
