	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	19	10	3
1	6	11	24	15	20
2	14	18	25	22	26
3	26	41	29	43	32
4	36	45	30	45	41
5	52	47	31	58	52
6	57	48	35	64	56
7	64	74	37	70	67
8	67	98	44	98	70
9	71	101	46	107	80
10	80	133	48	116	86
11	81	135	63	119	95
12	93	139	77	126	121
13	110	163	109	136	136
14	126	171	114	189	149
15	127	185	123	192	171
16	130	191	165	194	173
17	143	209	187	199	191
18	183	211	202	205	194
19	190	217	203	206	196
20	194	240	214	208	216
21	199	248	217	232	231
22	208	250	222	235	237
23	227	275	259	242	257
24	238	276	274	248	259
25	240	283	282	249	283
26	271	288	289	253	302
27	278	293	295	259	309
28	293	300	298	266	313
29	316	312	299	293	315
30	256	225	256	65	160
31	70	259	65	225	280
32	105	296	163	217	229
33	169	235	132	165	261
34	273	269	133	297	199
35	242	241	88	108	168
36	180	178	138	48	299
37	85	242	236	81	48
38	276	308	269	274	275
39	311	146	283	84	23
40	248	25	147	309	247
41	250	313	117	88	152
42	91	215	312	313	282
43	285	187	315	91	27
44	223	254	255	220	316
45	160	33	257	1	89
46	258	198	1	226	256
47	3	136	185	36	4
48	292	137	195	90	134
49	259	266	186	198	38
50	132	44	237	233	236
51	235	301	15	73	269
52	236	140	144	271	15
53	178	176	145	176	272
54	244	212	118	306	207
55	246	310	23	18	18
56	215	281	248	250	211
57	86	314	153	27	244
58	25	61	154	317	185
59	220	159	92	286	287
60	97	66	192	129	164
61	34	104	197	3	263
62	104	40	70	122	186
63	10	201	231	167	138
64	75	78	200	296	203
65	173	79	6	264	77
66	239	49	173	138	46
67	18	113	206	11	110
68	243	84	16	9	29
69	19	309	49	110	114
70	22	86	242	112	61
71	55	214	83	244	310
72	218	120	184	183	122
73	60	153	249	26	92
74	189	90	220	251	253
75	288	65	2	96	99
76	131	227	130	256	68
77	195	35	4	162	6
78	294	260	101	258	7
79	297	232	69	132	298
80	106	106	7	103	174
81	203	138	290	231	176
82	204	234	41	239	242
83	109	142	34	272	19
84	270	272	175	19	53
85	241	115	143	51	87
86	116	147	21	53	25
87	151	150	309	308	59
88	58	280	59	123	124
89	284	94	156	28	157
90	224	68	98	66	2
91	33	154	227	4	296
92	291	167	228	229	265
93	260	203	226	261	137
94	228	204	136	282	300
95	7	141	266	204	303
96	263	188	142	237	208
97	233	213	240	142	51
98	108	183	209	172	308
99	28	152	51	179	214
100	16	186	212	86	88
101	279	247	245	23	218
102	252	220	308	89	91
103	157	190	150	314	222
104	286	287	221	156	31
105	1	100	64	191	128
106	129	165	32	168	258
107	101	73	194	74	100
108	102	297	66	300	165
109	38	233	258	238	197
110	232	14	293	14	201
111	137	17	5	175	267
112	201	210	139	178	13
113	266	243	107	147	209
114	304	116	13	151	178
115	113	21	14	120	246
116	117	277	115	57	217
117	56	53	54	124	187
118	29	158	281	158	188
119	95	31	60	255	125
120	165	292	0	2	96
121	230	38	229	227	193
122	167	199	71	100	133
123	72	70	8	101	102
124	11	174	105	69	74
125	251	15	135	38	11
126	176	208	171	106	44
127	177	46	170	140	139
128	307	143	141	236	239
129	182	20	78	270	115
130	254	119	239	276	116
131	280	216	241	154	85
132	281	58	87	59	54
133	247	251	285	221	183
134	222	223	287	159	154
135	32	34	33	33	34
136	66	168	161	164	131
137	217	42	68	104	71
138	197	267	11	137	42
139	231	299	12	42	172
140	27	236	140	75	205
141	74	110	302	203	76
142	175	10	307	46	271
143	308	304	149	79	49
144	277	179	86	174	50
145	23	181	183	143	243
146	185	245	182	117	150
147	186	56	26	63	55
148	123	24	284	94	190
149	156	184	191	31	62
150	289	160	131	193	161
151	166	97	166	291	228
152	73	2	122	292	132
153	41	67	38	133	69
154	234	36	201	102	103
155	77	5	301	262	230
156	15	4	174	234	234
157	47	103	178	111	75
158	50	71	148	207	108
159	84	270	85	146	144
160	181	82	151	148	112
161	152	180	90	215	248
162	314	118	124	219	219
163	315	92	190	252	28
164	61	62	159	95	159
165	163	131	162	224	225
166	164	132	40	99	226
167	5	134	73	228	260
168	198	102	10	230	202
169	264	108	42	166	140
170	265	109	137	299	142
171	170	114	74	241	240
172	209	148	76	210	145
173	115	121	176	182	305
174	148	218	82	247	276
175	118	123	179	152	21
176	249	124	189	87	182
177	154	93	120	155	250
178	125	126	91	188	220
179	62	127	157	157	254
180	96	32	128	128	97
181	225	229	97	161	167
182	226	75	67	35	232
183	200	155	134	6	266
184	299	237	198	267	238
185	172	239	167	301	79
186	269	16	204	269	210
187	302	145	205	173	83
188	142	52	146	144	252
189	303	278	18	315	179
190	114	54	52	275	184
191	213	91	50	246	249
192	54	252	55	218	60
193	124	189	56	283	285
194	253	30	62	316	126
195	128	192	288	257	224
196	134	96	225	130	36
197	295	196	36	223	135
198	313	261	196	196	295
199	42	298	199	135	233
200	145	205	104	201	9
201	83	207	110	177	141
202	212	81	271	82	270
203	147	274	17	83	273
204	310	305	181	17	306
205	51	55	311	245	241
206	120	221	250	312	17
207	153	26	155	281	118
208	21	285	61	25	57
209	31	63	127	127	127
210	4	257	193	288	289
211	69	258	291	280	98
212	262	231	164	260	35
213	8	170	260	263	166
214	298	172	294	141	262
215	138	77	39	240	264
216	13	302	103	113	297
217	207	271	234	181	113
218	305	244	238	118	82
219	275	182	304	311	22
220	20	246	84	310	120
221	87	57	53	153	314
222	184	27	247	21	251
223	158	316	215	284	93
224	287	255	317	222	223
225	192	161	129	289	288
226	290	226	232	163	291
227	99	291	72	195	292
228	35	37	300	7	163
229	68	294	268	303	294
230	39	7	270	305	72
231	103	200	177	145	204
232	171	39	81	307	45
233	12	202	125	243	111
234	174	206	246	149	147
235	216	80	279	278	84
236	121	306	280	277	213
237	122	87	314	216	317
238	59	23	93	254	284
239	63	28	286	287	221
240	257	128	100	37	192
241	100	1	230	295	130
242	261	130	9	72	227
243	135	69	233	39	290
244	219	72	108	170	101
245	78	9	47	171	235
246	24	105	306	268	268
247	53	107	244	302	206
248	214	111	22	304	177
249	119	144	95	80	277
250	312	83	121	115	311
251	149	85	27	150	312
252	88	117	188	279	153
253	30	88	158	184	156
254	255	125	223	93	158
