	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	19	10	3
1	6	11	24	15	20
2	14	18	25	22	26
3	26	41	29	43	32
4	36	45	30	45	41
5	52	47	31	58	52
6	57	48	35	64	56
7	64	74	37	70	67
8	67	98	44	98	70
9	71	101	46	107	80
10	80	133	48	116	86
11	81	135	63	119	95
12	93	139	77	126	121
13	110	163	109	136	136
14	126	171	114	189	149
15	127	185	123	192	171
16	130	191	165	194	173
17	143	209	187	199	191
18	183	211	202	205	194
19	190	217	203	206	196
20	194	240	214	208	216
21	199	248	217	232	231
22	208	250	222	235	237
23	227	275	259	242	257
24	238	276	274	248	259
25	240	283	282	249	283
26	271	288	289	253	302
27	278	293	295	259	309
28	293	300	298	266	313
29	316	312	299	293	315
30	106	107	116	110	115
31	53	97	115	109	114
32	112	316	112	100	113
33	259	104	113	108	112
34	195	103	110	104	111
35	266	102	108	103	110
36	269	100	107	102	109
37	275	99	106	105	108
38	124	105	105	317	107
39	179	308	104	106	106
40	133	72	111	92	105
41	29	297	317	125	104
42	139	137	178	32	103
43	140	95	232	221	316
44	156	21	195	131	317
45	111	114	125	121	124
46	109	115	124	120	123
47	100	79	122	118	122
48	315	40	121	96	120
49	107	224	120	114	119
50	105	236	162	115	163
51	104	26	119	112	118
52	103	33	117	111	116
53	102	281	103	101	102
54	101	29	102	99	101
55	303	61	101	113	100
56	89	24	100	316	99
57	4	106	99	117	98
58	171	220	118	23	117
59	181	60	316	129	314
60	113	121	95	132	93
61	116	120	96	130	94
62	115	119	97	128	96
63	3	110	98	127	97
64	39	118	126	90	125
65	157	117	127	124	126
66	255	116	128	122	127
67	59	113	129	97	128
68	214	112	130	95	129
69	31	56	131	94	130
70	65	172	132	93	131
71	99	150	133	123	132
72	254	197	135	315	133
73	243	55	315	236	73
74	77	254	56	300	312
75	125	111	92	86	89
76	123	122	93	87	90
77	122	123	94	88	91
78	121	124	134	89	92
79	108	125	136	91	134
80	314	126	137	133	135
81	118	127	138	134	137
82	117	128	140	135	138
83	114	129	141	137	139
84	119	108	142	138	140
85	251	315	90	139	141
86	30	66	314	140	87
87	291	53	61	141	311
88	51	159	139	69	162
89	279	210	182	314	9
90	96	96	85	82	82
91	131	109	86	83	83
92	129	130	87	84	84
93	132	131	88	85	85
94	120	132	89	142	88
95	98	134	91	143	142
96	128	136	143	144	143
97	248	138	144	145	144
98	289	140	145	146	145
99	283	141	146	147	146
100	203	94	147	148	147
101	8	314	148	149	148
102	142	14	149	81	150
103	138	20	151	188	152
104	239	265	313	251	310
105	94	92	79	75	75
106	95	93	80	76	76
107	97	142	81	77	77
108	134	143	82	78	78
109	135	144	83	79	79
110	136	145	84	80	81
111	137	146	150	150	151
112	91	147	152	151	153
113	49	148	153	152	154
114	290	91	154	153	155
115	253	313	155	154	156
116	250	32	156	155	157
117	150	71	157	156	158
118	177	3	159	158	160
119	41	216	312	313	308
120	88	73	75	166	172
121	90	86	76	312	69
122	92	88	78	73	72
123	141	89	158	74	74
124	144	90	160	157	159
125	145	149	161	159	161
126	146	151	163	160	164
127	147	152	164	161	165
128	54	153	166	162	166
129	197	154	167	163	167
130	58	155	66	164	168
131	287	156	65	165	169
132	75	87	185	72	71
133	163	311	59	187	307
134	298	259	64	227	187
135	158	158	72	61	61
136	85	160	73	62	62
137	87	75	57	63	63
138	148	162	74	65	64
139	149	164	169	66	65
140	151	165	170	67	66
141	152	70	171	68	68
142	153	77	172	71	170
143	154	76	173	167	174
144	86	306	174	168	175
145	15	51	175	169	176
146	261	161	176	170	177
147	40	36	168	171	178
148	221	287	311	173	180
149	188	223	40	311	306
150	70	83	69	57	55
151	83	84	70	59	57
152	155	85	54	182	58
153	159	310	71	60	304
154	160	166	179	172	59
155	161	167	180	174	179
156	162	168	181	175	181
157	164	169	183	176	182
158	165	170	184	177	183
159	84	173	186	178	184
160	72	174	188	179	185
161	17	234	189	180	186
162	9	180	177	310	188
163	7	286	310	3	60
164	284	34	41	197	305
165	82	181	60	51	48
166	175	82	62	52	49
167	313	175	67	53	50
168	167	176	199	191	51
169	168	177	309	54	220
170	169	178	190	56	53
171	170	292	191	181	189
172	172	190	192	183	190
173	173	44	193	184	192
174	166	157	194	185	193
175	46	78	196	186	195
176	79	301	68	55	197
177	294	38	197	309	198
178	2	13	52	233	54
179	191	279	273	302	303
180	69	65	50	46	43
181	73	67	51	47	44
182	184	68	53	48	45
183	74	69	55	49	46
184	78	80	58	50	47
185	174	81	209	190	39
186	176	179	308	193	199
187	178	182	201	195	201
188	180	183	204	196	202
189	76	184	205	198	203
190	272	186	206	200	204
191	299	187	207	201	205
192	267	189	208	203	206
193	217	309	200	308	200
194	1	285	18	14	301
195	192	196	218	213	214
196	189	195	216	212	213
197	187	194	215	211	212
198	186	193	213	210	211
199	185	192	212	209	210
200	182	188	211	207	209
201	68	64	210	204	208
202	66	63	198	202	207
203	63	62	49	44	42
204	62	59	47	42	40
205	61	58	45	41	38
206	60	199	43	40	37
207	196	307	219	39	215
208	312	31	307	37	300
209	301	229	32	307	21
210	207	208	243	305	298
211	205	207	229	224	227
212	204	206	227	222	225
213	202	205	226	220	224
214	201	204	225	219	223
215	200	203	224	218	222
216	198	202	223	217	221
217	193	201	221	216	219
218	56	200	220	215	218
219	55	198	42	214	217
220	50	57	39	38	36
221	206	54	38	36	35
222	285	52	228	35	34
223	222	49	306	223	226
224	223	305	261	306	299
225	42	226	237	238	238
226	216	225	27	237	28
227	213	303	236	29	236
228	212	222	235	304	234
229	211	219	234	230	233
230	210	218	233	229	232
231	209	215	231	228	230
232	48	214	230	226	229
233	47	213	36	225	228
234	45	212	34	34	33
235	44	50	33	33	31
236	215	46	305	31	30
237	311	43	20	231	235
238	302	221	22	18	297
239	234	304	288	30	11
240	230	238	250	254	249
241	229	237	249	252	248
242	35	235	248	250	247
243	228	233	247	247	246
244	225	244	23	26	24
245	224	232	246	246	245
246	220	230	244	244	243
247	219	228	242	243	242
248	218	227	241	241	241
249	43	42	240	240	240
250	38	39	239	239	239
251	226	37	238	234	29
252	310	35	28	28	27
253	246	231	245	245	244
254	11	302	304	303	296
