	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	19	10	3
1	6	11	24	15	20
2	14	18	25	22	26
3	26	41	29	43	32
4	36	45	30	45	41
5	52	47	31	58	52
6	57	48	35	64	56
7	64	74	37	70	67
8	67	98	44	98	70
9	71	101	46	107	80
10	80	133	48	116	86
11	81	135	63	119	95
12	93	139	77	126	121
13	110	163	109	136	136
14	126	171	114	189	149
15	127	185	123	192	171
16	130	191	165	194	173
17	143	209	187	199	191
18	183	211	202	205	194
19	190	217	203	206	196
20	194	240	214	208	216
21	199	248	217	232	231
22	208	250	222	235	237
23	227	275	259	242	257
24	238	276	274	248	259
25	240	283	282	249	283
26	271	288	289	253	302
27	278	293	295	259	309
28	293	300	298	266	313
29	316	312	299	293	315
30	124	246	191	236	49
31	259	91	116	175	307
32	212	20	286	125	294
33	164	37	161	121	271
34	221	12	107	24	284
35	120	87	67	133	273
36	169	155	146	114	316
37	214	299	142	8	162
38	142	49	167	187	169
39	200	39	164	92	298
40	241	71	314	129	280
41	284	35	140	115	281
42	41	59	56	131	193
43	157	61	232	96	263
44	95	14	65	117	117
45	97	278	200	252	129
46	269	29	52	81	63
47	112	13	186	286	55
48	49	89	139	159	144
49	34	106	55	279	71
50	258	5	188	102	175
51	106	119	175	104	159
52	77	147	18	221	170
53	147	1	70	106	62
54	226	115	59	122	50
55	8	69	61	239	165
56	301	76	138	219	146
57	63	129	76	251	183
58	184	131	197	90	155
59	108	38	49	200	190
60	197	52	184	18	203
61	217	265	189	77	39
62	51	31	47	211	18
63	188	161	147	198	286
64	286	301	124	160	105
65	158	269	225	304	274
66	255	54	156	49	164
67	10	136	66	270	293
68	146	58	141	34	245
69	150	286	218	134	252
70	79	259	170	244	290
71	253	214	247	74	81
72	251	141	148	30	267
73	24	134	32	214	301
74	82	30	182	143	266
75	179	170	237	195	24
76	53	287	81	37	178
77	3	142	192	294	16
78	12	44	300	152	96
79	314	4	279	228	30
80	303	118	280	156	282
81	103	172	195	120	115
82	246	146	223	146	37
83	113	124	75	273	134
84	289	99	267	188	102
85	288	68	302	155	61
86	181	3	121	302	92
87	192	62	134	93	77
88	89	144	312	154	76
89	137	153	246	233	133
90	224	188	85	9	100
91	302	24	199	258	299
92	116	117	143	227	181
93	291	72	39	142	277
94	138	225	304	150	158
95	60	140	50	202	84
96	299	178	54	65	7
97	163	97	270	76	218
98	159	231	176	291	143
99	177	130	62	256	93
100	65	9	294	69	235
101	13	112	207	300	288
102	22	96	169	197	204
103	135	157	34	48	253
104	141	223	178	269	148
105	244	32	93	174	10
106	74	197	291	254	303
107	171	28	198	41	227
108	153	100	251	52	147
109	88	55	303	178	212
110	15	125	234	207	72
111	123	159	41	183	292
112	229	51	3	191	45
113	266	81	221	217	185
114	87	224	260	95	311
115	114	70	68	50	163
116	275	241	21	63	255
117	119	180	135	71	201
118	307	21	215	54	291
119	297	40	125	56	317
120	306	196	22	7	156
121	243	192	242	67	137
122	182	127	285	39	205
123	35	206	40	222	249
124	152	244	71	176	167
125	20	257	276	210	14
126	109	103	292	234	73
127	73	165	266	61	138
128	156	313	23	84	34
129	4	78	74	16	33
130	38	34	293	137	161
131	176	298	60	157	38
132	62	174	20	55	54
133	18	93	177	138	8
134	90	23	172	109	47
135	134	84	240	31	254
136	133	110	128	313	215
137	37	316	132	190	28
138	27	16	193	72	65
139	233	292	120	301	217
140	206	226	204	100	264
141	132	200	53	317	60
142	54	303	226	184	278
143	91	254	311	111	300
144	298	168	180	75	40
145	9	294	137	278	200
146	305	234	10	203	241
147	29	121	301	212	90
148	11	148	151	40	174
149	276	36	185	110	21
150	178	290	82	180	177
151	290	156	129	288	125
152	98	242	72	21	152
153	151	216	183	44	53
154	204	235	7	289	268
155	2	285	236	314	213
156	86	158	238	38	75
157	207	7	256	73	111
158	59	305	11	14	189
159	84	114	227	23	23
160	223	202	153	62	31
161	115	33	245	168	314
162	136	94	273	79	312
163	30	65	317	240	110
164	267	229	91	169	29
165	144	296	101	204	114
166	105	280	92	32	151
167	234	272	84	268	104
168	222	219	0	53	122
169	261	46	275	306	97
170	148	151	206	68	0
171	198	116	103	145	107
172	285	243	97	47	13
173	174	104	168	307	44
174	272	66	113	261	250
175	248	233	38	148	59
176	211	150	211	255	79
177	16	199	16	226	296
178	17	210	5	277	140
179	111	260	262	36	172
180	202	111	235	193	262
181	287	177	268	230	223
182	118	227	73	185	244
183	170	120	277	216	239
184	180	220	166	281	229
185	310	102	57	262	208
186	254	267	265	0	206
187	96	128	228	29	126
188	220	56	243	297	297
189	225	266	80	312	221
190	250	187	83	144	98
191	196	107	307	97	153
192	31	123	79	186	166
193	69	108	45	280	119
194	83	83	154	28	154
195	72	291	98	287	15
196	294	304	95	130	9
197	121	154	122	1	11
198	236	251	194	292	64
199	139	88	190	164	240
200	5	258	100	101	226
201	101	77	15	78	89
202	209	237	13	151	251
203	58	79	297	59	176
204	129	152	127	220	85
205	1	236	212	247	66
206	92	306	255	171	195
207	25	10	145	238	74
208	279	212	14	82	180
209	45	195	131	94	106
210	235	289	305	89	139
211	21	221	149	149	224
212	172	203	144	139	19
213	7	166	58	213	1
214	292	245	152	299	272
215	42	232	230	80	69
216	94	311	272	290	238
217	78	271	201	225	22
218	249	310	99	272	109
219	231	164	210	86	46
220	40	261	33	20	256
221	265	73	157	295	209
222	47	160	158	243	222
223	23	239	102	85	124
224	260	198	78	140	287
225	191	238	171	263	230
226	296	143	306	161	198
227	210	184	8	303	112
228	232	302	258	51	207
229	242	190	104	215	210
230	165	169	108	105	211
231	161	205	290	163	214
232	75	204	94	170	219
233	128	182	159	42	103
234	237	22	244	3	2
235	257	109	313	19	192
236	68	80	69	276	68
237	155	207	261	275	101
238	185	53	288	66	116
239	313	26	130	124	186
240	280	179	287	2	131
241	283	60	64	128	142
242	281	277	28	229	308
243	168	222	1	113	87
244	230	149	315	201	120
245	274	186	284	182	269
246	122	262	208	26	168
247	187	281	241	179	78
248	205	27	86	284	310
249	100	263	249	57	127
250	154	297	269	4	220
251	76	86	110	27	141
252	304	230	117	11	94
253	193	92	36	33	279
254	46	193	174	127	234
