	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	304	45	9	178	79
31	179	276	82	84	53
32	313	282	160	47	18
33	9	217	90	68	141
34	3	274	257	179	77
35	137	295	314	185	102
36	206	63	279	229	39
37	297	34	155	102	140
38	257	117	4	212	47
39	79	96	106	156	21
40	53	21	317	90	160
41	103	7	172	295	104
42	169	250	122	74	152
43	42	112	166	5	147
44	48	297	101	219	191
45	264	11	198	172	76
46	263	128	42	129	37
47	279	83	125	79	103
48	255	156	97	33	68
49	284	108	306	82	55
50	10	118	201	32	185
51	252	253	213	118	155
52	74	131	253	205	97
53	1	265	232	216	86
54	50	5	152	189	251
55	207	97	144	155	217
56	68	141	13	99	146
57	253	9	265	8	189
58	159	166	303	46	295
59	223	16	119	312	246
60	170	260	205	161	300
61	102	24	285	301	264
62	117	263	136	224	268
63	15	73	33	239	286
64	109	31	112	282	304
65	171	177	164	283	8
66	249	134	83	69	20
67	201	56	280	96	172
68	260	140	202	247	225
69	160	78	263	182	65
70	234	201	178	314	310
71	181	59	214	317	317
72	18	286	92	315	315
73	267	279	56	302	1
74	104	10	197	1	78
75	166	181	258	134	90
76	288	264	177	223	149
77	275	275	277	222	196
78	145	123	250	22	301
79	289	212	117	66	73
80	161	213	182	45	120
81	138	215	217	193	118
82	55	106	108	168	230
83	232	315	239	281	131
84	33	146	151	198	224
85	197	252	114	39	45
86	246	8	163	18	106
87	176	4	72	153	294
88	123	224	142	252	223
89	272	176	131	254	133
90	77	294	162	192	23
91	100	135	129	264	54
92	224	246	264	308	258
93	106	219	286	142	70
94	30	88	150	204	168
95	191	153	10	29	16
96	302	132	140	112	66
97	315	218	298	170	124
98	152	160	283	310	122
99	108	70	216	132	41
100	236	79	63	218	154
101	222	103	223	51	137
102	266	228	159	128	157
103	274	13	273	108	184
104	230	262	281	147	220
105	62	157	74	220	150
106	237	197	284	148	142
107	72	94	222	288	132
108	226	203	229	211	312
109	54	266	267	115	128
110	140	304	211	15	306
111	286	152	156	217	309
112	136	284	1	311	307
113	2	198	170	25	2
114	198	256	5	184	248
115	49	42	24	225	313
116	61	107	18	298	219
117	124	187	171	2	108
118	307	289	53	210	267
119	243	90	315	249	305
120	125	287	31	111	94
121	86	207	212	83	289
122	114	173	158	4	83
123	220	165	68	226	75
124	218	22	272	152	204
125	134	202	66	244	129
126	151	302	165	42	109
127	211	66	204	151	15
128	153	149	79	138	158
129	296	236	266	251	202
130	265	15	189	104	22
131	5	33	228	11	34
132	189	270	62	37	29
133	141	211	118	139	85
134	309	255	308	85	139
135	128	60	188	261	242
136	122	89	124	275	281
137	11	2	39	164	270
138	219	124	185	207	112
139	303	133	288	181	274
140	294	222	179	257	285
141	78	116	22	28	5
142	167	76	105	149	111
143	156	179	176	292	311
144	287	55	11	300	3
145	228	193	254	78	247
146	47	25	173	24	48
147	177	147	73	174	302
148	58	35	23	121	174
149	91	247	8	38	145
150	225	137	25	107	62
151	154	307	58	62	72
152	242	245	133	248	82
153	270	248	95	63	200
154	146	159	132	233	198
155	120	185	37	245	197
156	155	95	147	70	195
157	118	191	44	146	193
158	73	230	27	73	187
159	135	162	305	236	186
160	216	144	221	75	182
161	273	311	304	243	181
162	268	84	41	141	180
163	187	47	61	291	17
164	115	281	146	20	25
165	44	204	249	215	44
166	164	163	19	230	237
167	88	188	103	113	153
168	258	223	113	232	92
169	121	122	145	103	234
170	310	225	40	100	252
171	314	30	88	97	233
172	129	195	231	94	231
173	213	300	242	89	229
174	132	158	181	253	228
175	217	168	180	72	226
176	35	186	29	259	222
177	262	18	109	214	89
178	215	214	47	163	49
179	24	46	99	27	173
180	245	69	85	65	99
181	203	221	128	12	179
182	116	235	174	77	188
183	101	142	210	125	96
184	196	196	282	167	203
185	8	242	294	122	50
186	105	113	75	34	207
187	256	292	91	136	211
188	291	86	15	266	213
189	174	303	256	19	215
190	95	101	225	87	88
191	254	119	107	289	218
192	184	51	309	305	43
193	192	172	141	274	245
194	305	115	123	309	33
195	292	182	55	131	161
196	178	234	187	133	7
197	250	1	236	195	13
198	299	283	84	269	32
199	13	87	89	35	269
200	180	139	115	60	288
201	27	23	50	109	171
202	40	27	78	159	40
203	290	205	167	145	279
204	56	257	301	105	4
205	200	38	77	9	87
206	231	53	154	213	287
