	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	304	10	2	170	83
31	95	42	91	38	4
32	206	282	310	229	65
33	46	177	306	169	72
34	230	25	135	166	134
35	259	56	298	24	18
36	163	24	224	129	148
37	223	96	231	74	77
38	297	279	223	317	140
39	137	275	29	3	226
40	29	5	107	44	154
41	103	253	317	152	23
42	115	274	249	92	13
43	169	210	314	174	236
44	42	112	211	4	146
45	234	97	162	84	40
46	255	100	21	315	145
47	260	134	166	206	197
48	10	265	189	132	22
49	73	201	31	283	215
50	160	146	102	309	70
51	47	9	237	308	112
52	34	119	152	241	163
53	1	104	239	218	25
54	253	204	54	119	68
55	120	303	186	19	204
56	77	109	108	51	185
57	9	242	158	231	87
58	128	313	119	282	132
59	229	68	315	108	219
60	72	294	118	202	155
61	252	28	11	46	288
62	267	2	15	85	170
63	13	310	144	35	161
64	181	211	204	60	306
65	232	132	92	230	299
66	2	145	74	133	300
67	123	108	68	39	305
68	54	260	112	250	291
69	170	107	38	311	301
70	15	43	47	34	150
71	258	213	136	111	317
72	74	187	196	295	96
73	50	228	41	182	315
74	53	262	308	95	1
75	62	17	66	16	58
76	55	314	261	176	138
77	265	166	138	216	115
78	201	232	180	29	75
79	100	32	305	134	49
80	140	120	173	281	39
81	288	156	99	156	169
82	161	160	105	82	89
83	125	15	301	193	97
84	176	39	140	188	37
85	102	83	160	13	88
86	284	118	267	8	94
87	114	176	250	149	90
88	109	115	90	128	232
89	272	172	309	147	51
90	166	255	88	45	149
91	178	72	216	300	141
92	18	44	232	302	107
93	217	59	96	294	79
94	275	29	39	301	135
95	106	88	282	207	50
96	221	49	225	252	82
97	315	153	283	254	205
98	150	147	287	292	69
99	189	138	48	198	5
100	108	264	46	50	53
101	264	141	233	32	95
102	174	289	213	106	313
103	197	270	122	291	108
104	307	276	58	20	128
105	237	263	179	72	308
106	303	197	290	160	275
107	76	196	248	15	298
108	151	140	207	297	304
109	164	62	289	215	286
110	5	13	151	233	262
111	270	85	164	285	10
112	61	8	20	179	263
113	30	179	229	275	34
114	289	73	285	287	260
115	171	91	219	290	310
116	274	135	258	18	296
117	145	284	277	288	297
118	291	273	209	146	312
119	75	162	114	158	2
120	309	237	44	266	47
121	263	212	33	22	9
122	138	152	156	259	63
123	33	203	53	103	35
124	68	287	8	137	84
125	314	106	89	260	54
126	246	131	276	116	16
127	242	79	62	2	38
128	177	180	280	109	86
129	224	239	79	53	123
130	216	116	82	58	118
131	213	169	181	54	27
132	16	234	272	121	246
133	302	31	176	167	220
134	268	78	288	219	184
135	121	178	59	236	267
136	153	219	165	163	213
137	228	315	124	43	264
138	296	65	17	99	303
139	149	54	63	289	284
140	249	22	254	189	285
141	218	149	303	247	225
142	122	207	42	78	314
143	312	247	125	265	3
144	203	70	188	62	191
145	124	184	24	261	20
146	211	167	178	268	243
147	187	4	5	5	242
148	294	158	60	303	19
149	254	123	284	256	287
150	152	121	73	221	153
151	156	296	120	115	228
152	142	261	312	102	230
153	8	223	279	97	125
154	207	225	94	212	124
155	49	266	174	210	122
156	188	27	212	107	117
157	111	305	228	205	114
158	134	188	268	204	113
159	141	246	155	113	109
160	167	252	266	213	222
161	276	94	56	314	32
162	91	170	256	313	29
163	146	137	32	87	15
164	88	46	150	274	24
165	35	301	300	191	206
166	58	18	245	59	209
167	266	222	104	135	196
168	11	34	86	187	189
169	37	272	69	83	188
170	310	214	263	56	187
171	159	11	304	55	179
172	243	165	221	88	167
173	86	66	206	89	166
174	132	285	264	249	203
175	154	40	28	42	180
176	225	77	25	253	33
177	220	243	128	90	41
178	215	267	313	184	59
179	192	7	97	136	56
180	129	277	294	279	231
181	191	233	168	310	133
182	38	254	98	234	11
183	24	224	75	91	73
184	78	182	129	201	152
185	135	151	311	223	12
186	7	87	203	168	255
187	84	290	265	63	178
188	101	45	103	114	254
189	173	117	133	177	244
190	311	163	18	153	282
191	298	251	214	244	245
192	105	295	274	30	8
193	168	200	37	7	309
194	118	302	65	305	7
195	69	186	220	76	106
196	28	281	252	214	30
197	22	189	241	224	281
198	305	236	142	124	311
199	165	209	78	11	307
200	226	12	100	120	274
201	286	41	30	263	273
202	136	191	281	96	294
203	21	298	291	239	217
204	195	136	259	264	289
205	198	142	273	286	292
206	45	226	260	145	235
