	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	66	161	160	136	258
31	230	34	257	105	167
32	70	195	289	170	232
33	104	162	291	137	265
34	107	200	100	235	200
35	12	172	132	302	137
36	44	301	231	308	175
37	46	144	103	23	239
38	272	20	111	310	209
39	305	21	18	247	145
40	23	248	274	150	150
41	56	185	246	122	313
42	155	92	87	219	283
43	60	254	182	279	29
44	31	159	153	159	94
45	290	257	192	96	289
46	68	129	2	225	290
47	133	291	201	192	131
48	37	65	298	164	40
49	8	169	282	4	170
50	105	204	172	198	237
51	202	237	146	297	270
52	141	272	213	201	178
53	206	244	86	43	307
54	118	213	120	115	214
55	312	87	89	119	310
56	219	184	122	117	86
57	221	89	27	151	22
58	254	90	284	58	250
59	63	60	125	29	156
60	225	193	162	2	33
61	164	258	131	290	97
62	135	131	197	5	37
63	200	4	198	73	7
64	204	135	39	9	72
65	173	264	74	268	266
66	174	170	11	45	203
67	270	203	237	176	303
68	177	270	78	209	114
69	18	146	175	243	275
70	146	151	303	244	180
71	244	88	13	216	21
72	213	25	23	221	117
73	217	315	157	315	181
74	61	157	30	317	28
75	33	160	32	128	224
76	289	69	3	153	68
77	97	198	228	262	133
78	195	46	263	41	70
79	73	241	8	169	38
80	170	82	205	304	8
81	109	242	50	274	234
82	13	276	29	152	141
83	302	180	242	309	79
84	176	86	181	21	246
85	50	310	280	86	23
86	279	24	250	248	89
87	313	309	283	121	58
88	247	59	285	149	155
89	252	62	95	189	286
90	161	33	288	33	65
91	162	294	121	66	35
92	5	70	99	197	3
93	167	8	259	38	154
94	264	201	261	264	74
95	169	41	166	172	299
96	42	76	134	13	42
97	140	174	230	47	107
98	45	273	70	114	44
99	236	212	236	311	207
100	242	149	178	215	268
101	307	55	248	90	10
102	309	217	25	61	148
103	120	314	123	158	279
104	28	94	152	255	218
105	255	260	66	163	66
106	132	234	163	260	230
107	295	75	135	42	231
108	9	42	264	107	103
109	234	141	9	236	298
110	171	31	73	205	11
111	267	176	204	11	76
112	203	305	44	237	109
113	303	85	45	16	78
114	114	54	176	179	176
115	211	22	124	118	276
116	243	150	212	182	213
117	181	284	149	56	118
118	122	253	28	62	59
119	287	255	191	287	284
120	129	5	258	288	32
121	263	133	68	65	1
122	297	134	296	129	168
123	10	168	41	99	233
124	266	73	106	134	41
125	106	106	203	102	267
126	15	171	267	104	47
127	48	265	233	233	144
128	274	297	105	113	82
129	54	177	47	18	115
130	151	49	180	277	54
131	88	83	277	154	251
132	153	214	62	187	188
133	29	279	60	254	189
134	223	153	254	63	30
135	160	97	256	131	96
136	1	261	65	228	4
137	260	165	35	133	5
138	197	229	164	40	106
139	166	72	37	10	77
140	262	39	294	300	18
141	296	10	79	77	146
142	265	235	112	12	116
143	138	142	304	76	119
144	47	207	247	211	85
145	275	16	184	276	151
146	55	51	94	53	56
147	249	84	218	214	187
148	284	188	221	217	125
149	30	286	222	251	63
150	288	32	97	3	34
151	224	128	193	106	195
152	65	100	133	139	90
153	163	68	229	140	102
154	228	37	297	44	263
155	168	104	265	78	104
156	300	138	235	74	169
157	77	11	109	204	138
158	175	140	15	178	12
159	156	123	188	213	173
160	273	119	306	85	13
161	148	56	83	185	121
162	87	122	220	186	186
163	123	155	61	59	123
164	188	30	63	125	62
165	128	1	96	224	134
166	291	66	101	161	39
167	101	259	69	34	264
168	7	132	104	68	135
169	11	103	43	261	73
170	108	9	48	230	75
171	237	233	241	231	205
172	142	12	308	200	244
173	78	79	21	138	149
174	92	115	310	109	55
175	19	275	22	242	24
176	180	154	312	275	281
177	152	124	249	116	282
178	220	125	244	306	253
179	253	95	92	124	31
180	248	96	196	89	98
181	256	7	295	226	260
182	134	136	168	162	164
183	103	139	107	35	201
184	39	108	299	69	235
185	207	13	251	103	171
186	144	178	272	265	204
187	16	148	209	60	301
188	115	117	20	48	113
189	212	246	150	112	17
190	116	120	88	210	245
191	216	121	313	22	215
192	59	283	314	184	312
193	222	156	155	25	315
194	95	29	223	120	152
195	192	224	224	160	162
196	32	163	128	195	2
197	185	196	98	292	197
198	259	197	102	166	296
199	198	3	136	168	43
200	38	231	76	286	304
201	233	40	301	206	177
202	239	299	46	79	210
203	85	44	206	145	211
204	94	107	219	156	306
205	184	111	51	84	87
206	281	209	116	313	25
