	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	256	230	160	128	290
31	98	102	257	256	198
32	35	233	98	296	296
33	101	301	195	297	201
34	70	269	89	301	139
35	104	16	69	302	15
36	8	113	295	112	112
37	41	210	107	144	305
38	268	19	108	51	17
39	44	212	12	275	19
40	308	305	270	117	118
41	85	311	16	150	87
42	311	62	242	247	249
43	313	158	87	313	123
44	223	63	121	279	25
45	100	161	200	2	256
46	165	129	218	294	101
47	135	35	74	232	229
48	75	196	267	72	7
49	140	294	76	299	37
50	142	295	300	76	105
51	147	136	237	12	237
52	276	74	145	145	206
53	117	219	53	20	269
54	215	273	86	149	173
55	88	306	21	85	178
56	247	243	217	215	86
57	120	55	154	184	282
58	189	120	221	281	124
59	222	251	95	219	255
60	225	33	1	96	1
61	295	289	290	68	260
62	138	70	259	262	264
63	171	167	262	104	10
64	141	39	263	107	107
65	302	73	11	109	76
66	239	234	176	78	11
67	211	172	49	206	111
68	277	315	50	272	273
69	22	146	178	305	274
70	216	215	181	210	53
71	25	24	214	16	117
72	91	59	254	280	312
73	28	152	216	121	61
74	286	94	30	186	62
75	129	65	228	226	295
76	226	132	135	229	200
77	249	37	10	230	297
78	102	5	171	233	106
79	279	296	203	106	250
80	15	232	78	139	268
81	304	104	144	268	28
82	114	298	241	75	270
83	213	140	83	141	182
84	310	237	179	303	215
85	55	209	150	306	154
86	151	115	54	243	156
87	153	51	185	213	157
88	187	246	284	56	254
89	156	119	25	189	286
90	160	128	128	257	68
91	66	97	226	33	38
92	197	100	167	3	39
93	72	133	72	195	72
94	169	42	103	69	134
95	202	11	170	102	298
96	136	236	39	37	109
97	236	123	111	8	113
98	265	138	212	5	82
99	105	79	276	155	275
100	203	303	310	45	84
101	275	147	311	274	50
102	86	277	309	181	22
103	124	27	249	315	55
104	159	191	223	62	281
105	192	160	289	289	33
106	33	258	261	166	90
107	258	292	102	154	70
108	99	198	70	168	135
109	132	43	264	265	104
110	291	204	9	267	73
111	2	109	298	13	141
112	9	78	8	60	79
113	42	175	44	113	47
114	174	267	112	277	276
115	206	85	18	182	94
116	146	279	219	249	314
117	24	25	188	314	285
118	154	314	94	283	30
119	63	156	287	284	159
120	289	224	192	35	160
121	164	10	38	103	32
122	5	75	294	263	163
123	103	266	230	41	3
124	73	270	73	10	102
125	267	177	43	11	233
126	78	82	204	44	138
127	303	87	205	239	272
128	207	247	174	79	29
129	305	151	47	47	309
130	116	249	60	179	246
131	181	187	243	245	310
132	123	284	280	55	59
133	60	222	92	158	253
134	125	287	125	31	222
135	224	4	97	32	192
136	1	134	193	260	98
137	228	264	41	70	197
138	58	169	138	134	261
139	170	107	268	73	166
140	11	139	302	205	234
141	106	45	272	209	75
142	173	176	305	115	304
143	176	275	146	212	306
144	50	117	147	211	210
145	54	56	245	22	20
146	246	121	182	221	211
147	253	90	59	185	311
148	122	253	61	63	152
149	61	255	286	287	223
150	260	163	34	34	128
151	261	260	172	4	291
152	230	261	301	197	35
153	39	9	207	42	294
154	74	108	273	74	232
155	46	13	306	204	203
156	48	142	115	77	43
157	241	12	117	176	60
158	274	272	85	178	243
159	179	114	119	214	244
160	243	148	56	248	214
161	23	21	282	90	184
162	248	124	124	59	89
163	92	29	62	29	188
164	191	286	63	255	158
165	163	32	225	225	2
166	292	66	291	162	69
167	262	131	260	165	136
168	134	153	292	40	91
169	234	40	133	136	302
170	298	200	234	269	219
171	112	299	13	48	48
172	210	18	142	273	241
173	115	83	304	82	179
174	19	116	177	21	252
175	148	118	116	153	279
176	184	88	215	122	88
177	219	89	152	251	313
178	29	188	153	125	247
179	95	157	317	25	220
180	128	225	32	97	224
181	193	259	161	101	225
182	185	262	163	167	99
183	255	8	197	27	132
184	198	170	7	201	265
185	232	76	137	9	202
186	139	173	266	23	46
187	300	141	235	309	142
188	76	60	75	86	174
189	118	242	139	118	145
190	281	180	206	88	51
191	90	53	17	87	21
192	251	149	55	123	150
193	252	28	120	188	248
194	287	125	285	94	216
195	288	288	65	288	288
196	3	96	68	129	259
197	195	195	232	196	196
198	264	3	88	228	168
199	297	38	123	198	170
200	13	168	173	169	267
201	270	77	114	237	171
202	111	174	307	175	45
203	177	92	118	304	147
204	18	49	279	50	307
205	309	274	24	83	185
206	87	214	281	180	218
