	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	112	115	109	117	117
31	113	112	100	116	116
32	2	106	108	115	115
33	196	114	106	114	114
34	89	5	105	113	113
35	215	9	104	317	112
36	109	213	103	112	111
37	171	263	102	111	109
38	145	283	148	109	108
39	30	33	225	108	107
40	119	18	300	107	106
41	28	30	245	106	105
42	62	27	114	105	103
43	206	188	107	103	317
44	303	79	62	92	18
45	108	315	118	125	128
46	111	108	317	124	125
47	114	111	116	123	124
48	116	252	115	122	123
49	88	37	113	98	122
50	280	297	112	121	99
51	9	95	117	119	121
52	59	155	48	118	119
53	268	62	17	104	118
54	216	142	173	102	104
55	224	4	74	101	102
56	31	141	76	100	101
57	288	85	311	120	120
58	92	60	164	286	315
59	115	248	46	244	16
60	146	117	119	133	97
61	21	124	120	132	98
62	180	123	121	94	100
63	27	118	122	131	129
64	128	119	123	128	131
65	204	107	99	99	132
66	122	122	124	97	133
67	106	120	125	96	134
68	219	121	128	129	135
69	63	138	129	253	136
70	253	286	131	9	137
71	225	179	132	149	138
72	76	70	152	274	139
73	148	135	77	239	76
74	163	105	68	276	314
75	307	133	101	90	91
76	306	132	111	91	92
77	310	131	133	95	94
78	45	128	134	134	95
79	68	129	135	135	96
80	16	116	136	136	140
81	291	113	137	137	141
82	258	109	138	138	142
83	287	125	139	139	144
84	103	314	140	140	145
85	284	184	97	141	146
86	135	261	315	142	147
87	209	98	24	89	148
88	228	39	167	315	313
89	179	7	41	32	20
90	102	94	95	84	85
91	104	68	96	86	86
92	105	66	98	87	87
93	120	63	141	88	88
94	99	61	142	144	89
95	107	23	144	145	90
96	117	260	145	146	149
97	244	51	147	147	150
98	118	212	149	148	151
99	91	273	94	150	152
100	13	40	314	151	153
101	15	281	50	152	154
102	286	29	146	85	155
103	246	55	70	314	157
104	254	76	188	287	253
105	129	134	89	79	62
106	131	137	92	82	79
107	132	139	150	83	83
108	123	140	151	153	84
109	133	144	153	154	156
110	25	145	154	155	158
111	235	146	155	156	159
112	203	147	156	157	160
113	207	148	157	158	161
114	159	136	158	78	162
115	305	230	159	313	163
116	49	267	91	241	164
117	32	274	313	10	82
118	90	275	85	280	312
119	42	151	198	248	281
120	139	150	83	73	74
121	140	152	87	59	174
122	121	153	88	74	75
123	11	154	90	76	78
124	4	156	160	77	165
125	313	103	161	159	166
126	247	90	162	160	167
127	255	8	163	161	168
128	74	89	165	162	169
129	84	191	166	163	170
130	95	20	86	164	171
131	157	241	312	165	172
132	165	276	11	75	77
133	23	82	56	312	311
134	174	187	307	34	29
135	134	104	177	174	66
136	136	149	82	311	68
137	137	157	168	72	69
138	138	158	169	166	70
139	141	159	170	167	72
140	124	160	171	168	73
141	87	84	172	169	173
142	83	92	174	170	175
143	242	91	175	171	176
144	212	300	84	172	177
145	299	236	197	173	178
146	158	17	72	70	179
147	267	249	182	12	180
148	186	304	236	262	182
149	77	247	59	55	310
150	5	102	73	62	60
151	7	161	75	63	216
152	308	162	187	207	63
153	86	163	78	65	61
154	172	86	176	68	181
155	218	164	178	69	184
156	191	165	179	175	185
157	65	166	180	176	186
158	24	167	181	177	187
159	232	88	184	178	188
160	101	87	185	179	189
161	266	210	79	180	65
162	144	231	310	66	309
163	96	3	38	310	255
164	177	200	3	256	55
165	150	99	61	53	51
166	315	100	63	54	53
167	149	101	65	56	54
168	153	197	201	58	56
169	260	168	66	214	222
170	20	169	186	60	58
171	19	97	189	181	191
172	60	256	191	182	192
173	168	41	192	184	193
174	302	216	193	185	195
175	12	239	195	186	196
176	10	265	196	187	197
177	53	59	69	188	198
178	46	195	309	61	59
179	193	1	305	309	308
180	161	174	51	47	46
181	147	173	53	48	47
182	142	172	54	49	48
183	151	171	55	50	49
184	152	178	209	51	50
185	154	96	58	44	43
186	155	83	200	189	200
187	156	78	202	192	202
188	34	77	203	193	203
189	58	75	204	195	204
190	18	74	205	196	205
191	197	10	206	197	206
192	3	259	60	198	207
193	264	233	308	191	201
194	256	291	40	308	307
195	162	189	217	210	218
196	160	186	216	209	217
197	125	185	215	206	215
198	100	182	214	205	214
199	98	181	213	204	213
200	97	180	212	203	212
201	94	177	211	202	211
202	188	176	210	201	210
203	189	175	207	200	209
204	8	170	49	46	45
205	229	73	47	45	44
206	285	72	45	43	42
