	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	233	103	111	117	116
31	234	109	109	116	115
32	89	112	112	115	114
33	242	111	107	114	113
34	73	59	106	113	112
35	70	79	105	112	111
36	47	40	108	111	109
37	266	73	317	109	108
38	267	263	147	108	107
39	268	172	146	107	106
40	117	299	247	106	105
41	38	259	37	105	104
42	123	99	114	104	103
43	28	10	56	315	83
44	236	237	3	317	242
45	108	137	115	124	128
46	112	128	121	123	125
47	109	207	116	122	124
48	111	96	117	121	123
49	198	94	120	120	122
50	88	21	119	97	167
51	69	90	118	119	121
52	255	241	78	103	119
53	302	76	62	102	118
54	146	70	250	101	117
55	300	55	61	100	102
56	287	261	152	99	101
57	253	265	182	118	100
58	10	85	34	314	120
59	83	1	50	255	317
60	113	123	132	133	96
61	105	122	131	132	97
62	315	113	129	131	98
63	19	120	128	91	99
64	128	315	101	129	129
65	217	118	315	125	131
66	257	117	124	98	132
67	219	116	123	96	133
68	286	115	122	95	134
69	188	114	113	94	135
70	200	119	104	128	136
71	235	8	103	313	137
72	276	171	125	269	138
73	288	310	7	248	74
74	272	148	144	275	315
75	87	129	100	89	90
76	94	106	102	90	91
77	92	131	133	92	92
78	150	132	134	134	94
79	307	276	135	135	95
80	21	272	136	136	139
81	171	229	137	137	140
82	120	89	138	138	141
83	136	13	139	139	142
84	284	297	140	140	144
85	29	252	314	141	145
86	179	20	96	142	146
87	197	286	63	88	147
88	166	305	30	312	69
89	37	39	55	286	314
90	115	135	99	83	85
91	114	134	141	84	86
92	107	105	142	85	87
93	101	133	145	86	88
94	106	314	148	87	89
95	104	124	149	144	148
96	103	121	150	145	149
97	314	108	151	146	150
98	220	125	153	147	151
99	172	17	97	148	152
100	16	306	230	149	153
101	138	146	236	82	154
102	4	244	288	311	155
103	119	100	188	168	157
104	303	33	40	219	313
105	102	101	90	75	76
106	116	104	92	77	78
107	118	107	94	78	79
108	99	136	95	79	82
109	121	138	98	150	84
110	122	139	154	151	156
111	163	140	155	152	158
112	133	141	156	153	159
113	308	142	157	154	160
114	180	144	91	155	161
115	137	102	313	156	162
116	184	313	272	157	77
117	212	216	274	76	312
118	224	283	167	310	281
119	11	175	70	12	310
120	91	97	85	167	68
121	95	149	86	72	70
122	96	98	87	73	72
123	97	145	88	74	73
124	98	147	89	158	75
125	100	233	158	159	163
126	313	5	159	160	164
127	181	279	160	161	165
128	261	228	161	162	166
129	153	224	162	163	168
130	195	29	163	164	169
131	247	165	164	165	170
132	306	291	165	309	171
133	62	288	168	306	173
134	256	180	312	16	311
135	135	154	65	63	60
136	84	84	82	53	61
137	86	312	79	65	62
138	90	87	84	68	63
139	124	88	166	69	65
140	125	91	169	70	66
141	129	92	170	166	172
142	131	95	171	169	174
143	132	150	172	170	175
144	85	151	173	171	176
145	312	152	174	172	177
146	45	86	83	173	178
147	58	231	76	66	179
148	230	56	262	308	181
149	203	168	66	259	309
150	77	78	73	58	54
151	78	160	74	59	55
152	147	82	75	60	56
153	79	153	310	305	307
154	82	155	77	61	58
155	134	156	176	174	180
156	139	157	177	175	182
157	140	158	178	176	184
158	141	83	179	177	185
159	142	262	180	178	186
160	144	45	181	179	187
161	23	266	184	180	188
162	229	210	185	181	189
163	192	236	175	62	59
164	174	277	311	307	308
165	65	66	58	49	47
166	66	68	59	50	48
167	68	69	60	51	49
168	72	72	68	54	50
169	310	309	218	191	221
170	74	74	69	55	51
171	76	77	186	182	191
172	145	159	187	184	192
173	148	161	189	185	193
174	149	162	191	186	195
175	151	163	192	187	196
176	152	164	193	188	197
177	154	166	195	56	198
178	75	75	72	304	53
179	311	195	309	197	306
180	60	60	48	44	42
181	61	61	49	45	43
182	63	62	51	46	44
183	155	65	53	47	45
184	162	53	54	48	46
185	309	167	205	41	39
186	156	170	196	189	200
187	157	173	197	193	202
188	158	174	198	195	203
189	159	176	200	196	204
190	160	177	201	198	205
191	20	169	202	200	206
192	24	38	203	201	207
193	265	63	308	192	201
194	264	179	32	303	305
195	53	187	211	210	216
196	55	186	210	209	215
197	170	185	209	207	214
198	59	184	207	206	213
199	56	182	206	205	212
200	164	181	204	204	211
201	165	178	47	203	210
202	167	58	46	202	209
203	168	54	45	43	40
204	161	189	44	42	38
205	274	311	43	40	37
206	191	30	213	39	218
