	kfold1	kfold2	kfold3	kfold4	kfold5
0	0	0	0	0	0
1	6	6	6	6	6
2	14	14	14	14	14
3	26	26	26	26	26
4	36	36	36	36	36
5	52	52	52	52	52
6	57	57	57	57	57
7	64	64	64	64	64
8	67	67	67	67	67
9	71	71	71	71	71
10	80	80	80	80	80
11	81	81	81	81	81
12	93	93	93	93	93
13	110	110	110	110	110
14	126	126	126	126	126
15	127	127	127	127	127
16	130	130	130	130	130
17	143	143	143	143	143
18	183	183	183	183	183
19	190	190	190	190	190
20	194	194	194	194	194
21	199	199	199	199	199
22	208	208	208	208	208
23	227	227	227	227	227
24	238	238	238	238	238
25	240	240	240	240	240
26	271	271	271	271	271
27	278	278	278	278	278
28	293	293	293	293	293
29	316	316	316	316	316
30	213	213	213	213	213
31	88	88	88	88	88
32	34	34	34	34	34
33	241	241	241	241	241
34	168	168	168	168	168
35	84	84	84	84	84
36	258	258	258	258	258
37	99	99	99	99	99
38	296	296	296	296	296
39	276	276	276	276	276
40	180	180	180	180	180
41	272	272	272	272	272
42	158	158	158	158	158
43	167	167	167	167	167
44	266	266	266	266	266
45	250	250	250	250	250
46	245	245	245	245	245
47	221	221	221	221	221
48	281	281	281	281	281
49	86	86	86	86	86
50	96	96	96	96	96
51	228	228	228	228	228
52	286	286	286	286	286
53	119	119	119	119	119
54	79	79	79	79	79
55	53	53	53	53	53
56	210	210	210	210	210
57	1	1	1	1	1
58	63	63	63	63	63
59	195	195	195	195	195
60	39	39	39	39	39
61	17	17	17	17	17
62	209	209	209	209	209
63	270	270	270	270	270
64	42	42	42	42	42
65	256	256	256	256	256
66	308	308	308	308	308
67	30	30	30	30	30
68	77	77	77	77	77
69	76	76	76	76	76
70	140	140	140	140	140
71	69	69	69	69	69
72	87	87	87	87	87
73	182	182	182	182	182
74	279	279	279	279	279
75	147	147	147	147	147
76	159	159	159	159	159
77	107	107	107	107	107
78	300	300	300	300	300
79	313	313	313	313	313
80	206	206	206	206	206
81	309	309	309	309	309
82	114	114	114	114	114
83	157	157	157	157	157
84	156	156	156	156	156
85	32	32	32	32	32
86	65	65	65	65	65
87	50	50	50	50	50
88	219	219	219	219	219
89	51	51	51	51	51
90	247	247	247	247	247
91	163	163	163	163	163
92	295	295	295	295	295
93	89	89	89	89	89
94	198	198	198	198	198
95	40	40	40	40	40
96	47	47	47	47	47
97	117	117	117	117	117
98	174	174	174	174	174
99	28	28	28	28	28
100	280	280	280	280	280
101	275	275	275	275	275
102	102	102	102	102	102
103	292	292	292	292	292
104	148	148	148	148	148
105	122	122	122	122	122
106	216	216	216	216	216
107	200	200	200	200	200
108	139	139	139	139	139
109	291	291	291	291	291
110	288	288	288	288	288
111	302	302	302	302	302
112	100	100	100	100	100
113	142	142	142	142	142
114	138	138	138	138	138
115	310	310	310	310	310
116	103	103	103	103	103
117	311	311	311	311	311
118	252	252	252	252	252
119	20	20	20	20	20
120	243	243	243	243	243
121	136	136	136	136	136
122	74	74	74	74	74
123	173	173	173	173	173
124	10	10	10	10	10
125	59	59	59	59	59
126	44	44	44	44	44
127	124	124	124	124	124
128	230	230	230	230	230
129	226	226	226	226	226
130	178	178	178	178	178
131	75	75	75	75	75
132	135	135	135	135	135
133	239	239	239	239	239
134	38	38	38	38	38
135	263	263	263	263	263
136	304	304	304	304	304
137	211	211	211	211	211
138	225	225	225	225	225
139	8	8	8	8	8
140	19	19	19	19	19
141	70	70	70	70	70
142	177	177	177	177	177
143	223	223	223	223	223
144	193	193	193	193	193
145	261	261	261	261	261
146	294	294	294	294	294
147	285	285	285	285	285
148	269	269	269	269	269
149	282	282	282	282	282
150	283	283	283	283	283
151	31	31	31	31	31
152	314	314	314	314	314
153	207	207	207	207	207
154	23	23	23	23	23
155	106	106	106	106	106
156	249	249	249	249	249
157	299	299	299	299	299
158	184	184	184	184	184
159	45	45	45	45	45
160	242	242	242	242	242
161	145	145	145	145	145
162	259	259	259	259	259
163	175	175	175	175	175
164	189	189	189	189	189
165	290	290	290	290	290
166	123	123	123	123	123
167	92	92	92	92	92
168	214	214	214	214	214
169	289	289	289	289	289
170	129	129	129	129	129
171	160	160	160	160	160
172	151	151	151	151	151
173	55	55	55	55	55
174	105	105	105	105	105
175	132	132	132	132	132
176	215	215	215	215	215
177	179	179	179	179	179
178	264	264	264	264	264
179	133	133	133	133	133
180	144	144	144	144	144
181	201	201	201	201	201
182	22	22	22	22	22
183	62	62	62	62	62
184	113	113	113	113	113
185	11	11	11	11	11
186	188	188	188	188	188
187	273	273	273	273	273
188	277	277	277	277	277
189	306	306	306	306	306
190	161	161	161	161	161
191	187	187	187	187	187
192	24	24	24	24	24
193	162	162	162	162	162
194	72	72	72	72	72
195	244	244	244	244	244
196	29	29	317	317	317
197	297	297	29	29	29
198	118	118	297	297	297
199	222	222	118	118	118
200	56	56	222	222	222
201	61	61	56	56	56
202	35	35	61	61	61
203	121	121	35	35	35
204	298	298	121	121	121
205	141	141	298	298	298
206	41	41	141	141	141
