	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	9	5	1
1	7	5	12	7	10
2	13	9	14	11	20
3	26	20	15	21	35
4	28	24	17	22	40
5	40	37	18	32	43
6	63	49	22	35	47
7	65	50	23	49	60
8	91	66	24	53	68
9	95	69	31	58	85
10	97	81	38	59	86
11	119	95	54	63	95
12	120	105	57	94	97
13	135	120	61	96	108
14	139	124	82	99	115
15	146	125	93	102	118
16	159	137	101	103	128
17	166	138	107	116	141
18	176	146	108	117	154
19	189	150	111	124	156
20	198	169	129	126	157
21	203	174	137	129	173
22	215	186	141	146	179
23	222	188	144	164	180
24	223	194	149	180	185
25	230	195	166	194	186
26	236	197	210	207	221
27	237	203	211	212	224
28	239	205	232	229	229
29	243	210	242	242	246
30	205	93	105	123	196
31	165	94	150	131	134
32	89	232	241	47	212
33	150	199	30	97	198
34	64	216	181	197	233
35	168	217	226	136	64
36	186	47	140	215	204
37	200	13	94	17	187
38	131	58	63	233	6
39	160	231	176	28	243
40	129	141	203	95	129
41	192	223	134	66	146
42	208	166	74	127	203
43	18	159	230	56	63
44	74	6	42	42	76
45	193	67	69	106	8
46	94	170	49	243	149
47	220	100	145	155	117
48	29	41	130	228	218
49	133	84	195	156	120
50	113	149	193	219	13
51	1	155	227	159	87
52	15	18	33	107	191
53	172	4	35	216	100
54	85	107	194	90	176
55	178	240	128	128	208
56	17	171	201	166	65
57	154	91	151	179	193
58	19	15	55	120	37
59	226	131	172	169	103
60	66	73	85	43	3
61	191	103	0	46	51
62	38	82	106	30	211
63	99	44	36	16	32
64	60	181	5	8	11
65	153	38	3	48	25
66	25	12	13	41	24
67	233	68	48	1	153
68	84	43	39	75	81
69	53	78	27	31	159
70	149	76	10	70	217
71	164	65	11	237	57
72	140	211	41	190	122
73	162	191	119	76	67
74	216	227	136	187	166
75	227	48	184	119	130
76	32	219	231	114	123
77	213	229	78	223	220
78	68	189	143	141	192
79	39	147	238	18	44
80	161	85	76	245	49
81	105	133	213	12	181
82	170	62	162	45	34
83	126	122	131	13	209
84	183	176	142	3	41
85	8	72	34	4	66
86	195	114	234	24	18
87	211	60	173	224	56
88	16	96	32	160	245
89	241	167	218	60	27
90	238	21	180	62	79
91	55	220	60	51	78
92	117	119	239	225	17
93	96	136	99	244	21
94	138	34	159	231	5
95	173	172	91	158	82
96	142	234	157	20	184
97	202	151	103	19	215
98	62	102	204	214	0
99	59	111	124	148	38
100	43	230	79	125	137
101	33	175	223	72	194
102	6	11	146	65	171
103	24	160	236	188	99
104	76	214	62	211	54
105	196	36	43	177	45
106	56	132	221	29	77
107	116	3	132	220	190
108	101	117	154	151	231
109	137	14	118	79	59
110	9	30	1	139	22
111	188	209	207	167	225
112	242	53	44	246	15
113	151	153	64	64	109
114	0	77	139	182	62
115	37	22	233	221	188
116	41	208	21	230	71
117	148	154	84	241	131
118	47	156	178	183	105
119	157	237	122	238	80
120	108	204	186	113	92
121	214	101	217	142	102
122	145	29	152	88	116
123	27	173	56	55	90
124	123	200	189	26	14
125	221	10	92	74	162
126	158	31	98	118	239
127	217	2	45	121	178
128	199	98	183	235	144
129	125	213	70	71	232
130	175	112	66	27	235
131	80	115	109	100	111
132	83	28	4	104	226
133	69	123	191	77	7
134	180	182	237	222	242
135	163	140	245	38	167
136	130	87	219	234	106
137	54	27	123	0	112
138	44	40	110	239	238
139	52	178	7	81	42
140	23	226	121	9	39
141	30	192	240	218	174
142	209	238	224	137	36
143	132	90	202	15	16
144	12	1	73	36	26
145	141	130	188	44	213
146	114	215	225	213	113
147	70	236	161	171	210
148	21	180	88	112	107
149	88	163	243	86	125
150	77	88	65	178	140
151	184	162	113	73	104
152	128	109	100	109	165
153	122	198	169	205	19
154	111	64	71	37	168
155	90	185	116	154	4
156	185	25	156	69	237
157	235	128	125	92	132
158	232	139	182	83	139
159	240	32	46	153	28
160	201	79	16	163	199
161	187	121	133	2	30
162	10	233	53	6	9
163	174	7	185	186	236
164	219	135	160	181	46
165	234	54	165	192	201
166	35	168	75	226	182
167	143	56	40	134	88
168	115	80	26	61	83
169	136	142	147	50	200
170	82	59	83	101	223
171	194	127	104	196	183
172	46	23	200	202	52
173	244	244	95	115	230
174	181	92	138	145	101
175	51	221	126	176	164
176	104	110	206	108	96
177	45	157	209	14	119
178	4	8	59	168	145
179	118	212	58	170	61
180	61	187	187	174	29
181	218	83	222	201	124
182	58	57	51	87	84
183	228	134	77	204	73
184	73	39	214	85	150
185	103	19	80	25	222
186	110	148	2	143	98
187	212	177	155	227	114
188	50	35	117	173	69
189	78	108	208	78	12
190	49	118	228	209	206
191	124	201	171	240	33
192	210	104	87	195	133
193	231	75	198	68	228
194	245	51	8	157	244
195	134	46	114	39	2
196	229	74	168	217	207
197	11	164	120	40	175
198	98	61	135	80	55
199	31	143	52	111	177
200	92	86	163	200	72
201	121	245	153	52	147
202	109	228	196	175	110
203	225	16	112	206	143
204	67	106	25	203	74
205	36	145	96	91	94
206	20	45	192	57	148
207	152	129	28	198	161
208	147	158	174	210	234
209	171	71	20	236	197
