	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	9	5	1
1	7	5	12	7	10
2	13	9	14	11	20
3	26	20	15	21	35
4	28	24	17	22	40
5	40	37	18	32	43
6	63	49	22	35	47
7	65	50	23	49	60
8	91	66	24	53	68
9	95	69	31	58	85
10	97	81	38	59	86
11	119	95	54	63	95
12	120	105	57	94	97
13	135	120	61	96	108
14	139	124	82	99	115
15	146	125	93	102	118
16	159	137	101	103	128
17	166	138	107	116	141
18	176	146	108	117	154
19	189	150	111	124	156
20	198	169	129	126	157
21	203	174	137	129	173
22	215	186	141	146	179
23	222	188	144	164	180
24	223	194	149	180	185
25	230	195	166	194	186
26	236	197	210	207	221
27	237	203	211	212	224
28	239	205	232	229	229
29	243	210	242	242	246
30	197	57	142	184	12
31	224	224	70	43	26
32	123	130	219	241	44
33	167	31	34	202	96
34	81	236	121	3	48
35	184	53	148	25	203
36	133	167	52	240	27
37	87	32	196	56	148
38	42	237	243	136	239
39	48	1	71	172	231
40	136	151	206	39	119
41	156	47	131	224	192
42	142	35	156	245	243
43	93	44	123	130	116
44	153	172	103	168	113
45	101	7	150	141	42
46	96	170	109	220	143
47	134	70	237	90	158
48	68	3	139	26	38
49	141	243	47	122	189
50	183	15	177	142	33
51	130	11	65	157	194
52	51	149	80	140	124
53	132	206	33	107	125
54	15	34	59	153	170
55	240	177	112	227	104
56	207	131	179	76	70
57	49	153	102	98	105
58	164	103	79	15	74
59	145	148	119	182	111
60	117	22	235	156	207
61	98	60	95	42	73
62	116	96	151	150	202
63	161	102	98	91	206
64	185	88	226	34	88
65	194	80	110	13	228
66	149	112	153	27	187
67	75	182	19	93	241
68	191	199	113	215	242
69	43	94	197	66	0
70	82	61	128	144	80
71	5	36	4	111	16
72	182	86	132	20	58
73	4	160	220	147	79
74	122	45	72	113	64
75	235	141	125	62	11
76	92	19	134	239	162
77	2	58	168	8	9
78	69	242	96	190	152
79	242	198	6	218	174
80	78	181	138	237	84
81	213	219	94	29	227
82	23	171	106	152	41
83	186	184	20	65	17
84	129	129	147	80	101
85	160	173	126	87	120
86	214	72	223	51	90
87	106	46	190	138	13
88	74	223	183	177	210
89	32	29	114	132	212
90	54	127	204	95	155
91	44	23	48	170	214
92	30	147	152	114	197
93	90	51	76	205	169
94	121	229	143	64	134
95	148	52	130	10	114
96	88	42	50	137	245
97	196	126	238	173	32
98	1	101	39	17	225
99	0	157	16	186	71
100	234	185	174	232	165
101	124	207	225	160	195
102	209	142	175	115	196
103	157	140	222	209	222
104	140	228	231	189	235
105	192	77	86	213	31
106	77	152	173	236	126
107	169	221	198	238	238
108	89	214	118	81	230
109	177	238	104	72	198
110	46	111	100	118	110
111	18	163	43	9	167
112	171	87	184	18	112
113	138	183	140	0	52
114	99	40	192	127	130
115	158	91	69	123	171
116	62	83	28	89	77
117	181	97	145	108	3
118	151	222	63	161	28
119	114	68	5	37	188
120	201	2	42	200	121
121	29	90	87	46	137
122	57	235	77	85	145
123	33	27	245	221	7
124	244	189	21	219	29
125	193	161	212	28	123
126	20	213	75	24	209
127	39	180	146	216	75
128	36	63	44	82	223
129	80	104	30	50	55
130	155	162	178	128	82
131	19	79	227	54	122
132	228	156	73	206	59
133	211	115	186	175	49
134	131	155	83	4	166
135	71	13	172	165	236
136	204	200	25	208	139
137	216	135	8	92	50
138	79	89	1	70	190
139	163	71	158	246	8
140	112	209	216	119	201
141	170	41	161	228	87
142	25	201	26	235	14
143	16	117	215	214	102
144	152	212	208	183	237
145	219	168	92	163	216
146	162	99	214	52	22
147	218	92	176	2	138
148	94	73	74	120	117
149	73	158	32	133	103
150	225	123	200	151	24
151	245	16	127	121	98
152	173	28	169	112	53
153	227	225	230	179	213
154	53	232	162	187	160
155	61	159	239	154	21
156	206	215	29	86	106
157	83	119	180	169	191
158	60	74	116	158	218
159	147	6	60	159	208
160	208	154	91	178	161
161	108	192	88	88	63
162	150	116	191	14	51
163	102	241	3	217	131
164	232	230	58	192	151
165	174	48	120	203	142
166	76	211	170	57	25
167	128	190	124	131	175
168	9	133	189	155	45
169	72	98	49	6	36
170	190	139	236	193	183
171	178	21	199	145	232
172	11	76	67	225	78
173	27	208	207	30	233
174	187	217	62	33	66
175	58	118	0	148	147
176	165	65	53	61	136
177	238	8	163	233	107
178	17	64	201	234	91
179	24	128	224	67	54
180	85	239	99	176	172
181	118	43	117	230	215
182	37	121	45	199	146
183	220	245	193	222	2
184	31	100	41	74	72
185	56	4	40	97	220
186	179	191	205	198	19
187	241	202	64	211	135
188	110	26	7	191	99
189	144	187	105	47	109
190	6	196	97	231	217
191	12	218	164	185	176
192	233	231	136	149	144
193	8	227	36	197	159
194	143	54	68	40	149
195	154	67	2	38	226
196	50	114	171	125	65
197	100	12	213	83	89
198	109	25	51	195	150
199	210	220	167	166	168
200	137	122	90	45	15
201	217	59	185	12	23
202	64	193	13	210	244
203	86	179	233	84	93
204	172	75	202	162	127
205	45	233	194	167	182
206	226	109	203	106	57
207	202	18	11	223	5
208	125	82	209	244	193
209	55	85	188	181	100
