	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	9	5	1
1	7	5	12	7	10
2	13	9	14	11	20
3	26	20	15	21	35
4	28	24	17	22	40
5	40	37	18	32	43
6	63	49	22	35	47
7	65	50	23	49	60
8	91	66	24	53	68
9	95	69	31	58	85
10	97	81	38	59	86
11	119	95	54	63	95
12	120	105	57	94	97
13	135	120	61	96	108
14	139	124	82	99	115
15	146	125	93	102	118
16	159	137	101	103	128
17	166	138	107	116	141
18	176	146	108	117	154
19	189	150	111	124	156
20	198	169	129	126	157
21	203	174	137	129	173
22	215	186	141	146	179
23	222	188	144	164	180
24	223	194	149	180	185
25	230	195	166	194	186
26	236	197	210	207	221
27	237	203	211	212	224
28	239	205	232	229	229
29	243	210	242	242	246
30	68	23	13	24	4
31	19	43	36	10	3
32	200	12	28	18	29
33	105	36	44	16	26
34	0	27	35	44	51
35	32	4	43	41	14
36	151	38	46	43	33
37	157	18	106	46	5
38	18	28	48	30	243
39	103	48	11	48	216
40	141	44	10	92	30
41	8	41	78	14	84
42	12	34	4	109	12
43	217	35	182	141	149
44	17	211	88	107	211
45	5	135	227	136	92
46	161	232	161	31	240
47	39	107	240	15	206
48	38	131	5	61	107
49	142	198	27	149	125
50	194	217	173	65	16
51	126	155	95	163	235
52	143	215	119	179	67
53	122	173	16	98	160
54	208	73	178	3	21
55	44	240	92	0	209
56	233	168	112	226	18
57	155	78	0	156	38
58	62	88	109	4	34
59	240	51	34	13	41
60	144	234	52	55	42
61	137	207	152	67	32
62	202	31	65	233	199
63	128	157	84	152	220
64	242	154	200	199	37
65	81	62	160	195	100
66	132	68	81	106	76
67	207	102	116	177	137
68	43	45	125	153	202
69	64	55	205	241	62
70	24	39	117	78	15
71	58	141	176	29	232
72	211	14	186	64	78
73	115	233	172	140	13
74	104	3	215	26	24
75	167	106	120	137	208
76	153	104	114	51	203
77	199	110	71	127	61
78	78	220	135	237	104
79	191	80	145	165	102
80	56	206	150	115	22
81	127	180	55	62	187
82	183	11	80	84	132
83	179	242	29	38	44
84	178	176	213	72	245
85	69	13	3	173	83
86	110	59	67	155	181
87	232	191	41	200	212
88	188	108	32	119	8
89	111	223	128	216	109
90	106	222	100	73	231
91	220	83	142	222	77
92	4	10	20	176	98
93	181	143	220	83	112
94	30	21	199	56	123
95	154	77	59	69	228
96	84	132	118	183	48
97	71	25	103	178	215
98	96	218	155	168	161
99	9	84	214	188	72
100	29	199	223	243	81
101	116	26	70	221	69
102	226	72	76	224	111
103	100	58	190	45	119
104	163	178	217	95	73
105	201	65	236	125	93
106	45	111	206	111	116
107	20	161	245	47	88
108	70	85	238	81	167
109	47	200	139	133	193
110	27	100	77	223	139
111	77	170	147	172	103
112	124	147	73	70	217
113	51	140	168	145	182
114	214	128	133	150	17
115	114	136	192	28	223
116	140	103	79	104	195
117	80	163	138	187	80
118	23	15	68	235	152
119	162	60	124	12	59
120	206	151	191	189	121
121	55	208	189	211	214
122	150	185	39	9	106
123	34	70	162	238	159
124	229	47	234	139	31
125	48	238	136	225	234
126	1	179	231	227	218
127	147	30	180	244	192
128	94	201	154	19	138
129	118	133	165	158	124
130	241	139	193	77	23
131	235	183	58	193	0
132	52	32	207	121	238
133	156	92	115	33	210
134	36	193	33	60	11
135	221	153	225	118	222
136	224	33	94	181	50
137	231	126	244	120	196
138	112	235	171	68	237
139	6	162	42	42	70
140	15	87	157	82	178
141	74	17	219	80	165
142	99	71	62	154	131
143	31	56	99	166	120
144	49	29	26	159	188
145	57	158	183	192	27
146	25	64	153	144	191
147	238	122	60	191	164
148	170	94	143	88	87
149	173	187	131	218	117
150	129	142	91	90	2
151	86	202	185	239	53
152	184	53	195	76	113
153	79	225	181	215	158
154	205	19	224	162	241
155	54	118	159	131	105
156	133	229	45	184	63
157	21	181	30	57	91
158	87	156	121	39	200
159	149	177	151	143	82
160	107	192	208	232	198
161	46	227	75	101	127
162	50	241	170	209	19
163	187	114	212	201	213
164	109	63	235	167	66
165	209	46	228	37	183
166	85	116	51	85	190
167	197	204	221	89	134
168	59	52	197	148	176
169	244	221	233	205	136
170	66	189	226	208	184
171	67	79	122	213	226
172	193	145	72	79	79
173	185	109	130	113	197
174	82	127	56	147	189
175	225	112	96	228	56
176	108	214	237	91	140
177	92	75	229	198	145
178	177	190	105	54	57
179	213	123	201	66	133
180	165	98	140	245	239
181	192	171	123	23	71
182	219	89	69	182	36
183	98	160	164	123	153
184	175	245	187	34	143
185	42	237	49	142	114
186	123	165	104	210	148
187	101	91	113	138	75
188	171	96	7	27	207
189	76	149	230	52	94
190	136	99	134	206	89
191	204	54	90	114	126
192	83	159	203	71	201
193	227	42	179	234	172
194	245	164	188	220	49
195	218	152	158	230	6
196	174	236	64	75	236
197	60	196	127	105	146
198	2	86	66	86	170
199	152	57	239	174	227
200	16	16	132	8	225
201	180	97	63	202	244
202	53	101	177	87	58
203	75	182	167	130	162
204	168	172	194	100	46
205	35	82	85	204	9
206	134	67	89	17	65
207	216	213	216	246	233
208	72	212	163	6	155
209	33	76	198	186	174
