	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	3	3	3	3
1	7	7	7	7	7
2	13	13	13	13	13
3	26	26	26	26	26
4	28	28	28	28	28
5	40	40	40	40	40
6	63	63	63	63	63
7	65	65	65	65	65
8	91	91	91	91	91
9	95	95	95	95	95
10	97	97	97	97	97
11	119	119	119	119	119
12	120	120	120	120	120
13	135	135	135	135	135
14	139	139	139	139	139
15	146	146	146	146	146
16	159	159	159	159	159
17	166	166	166	166	166
18	176	176	176	176	176
19	189	189	189	189	189
20	198	198	198	198	198
21	203	203	203	203	203
22	215	215	215	215	215
23	222	222	222	222	222
24	223	223	223	223	223
25	230	230	230	231	231
26	236	236	236	236	236
27	237	237	237	238	238
28	239	239	239	240	240
29	243	243	243	244	244
30	35	98	132	227	96
31	174	6	197	104	2
32	112	102	102	200	134
33	177	104	6	111	167
34	114	201	134	242	137
35	50	138	70	147	169
36	49	205	111	23	80
37	240	206	83	53	17
38	80	240	185	87	82
39	88	177	154	152	19
40	92	179	123	122	178
41	190	123	157	158	87
42	34	164	131	131	69
43	227	231	110	132	165
44	4	234	206	218	105
45	133	107	19	15	237
46	231	16	147	208	78
47	42	80	181	79	79
48	107	149	24	50	15
49	205	22	153	149	50
50	111	183	124	22	20
51	51	121	61	90	148
52	55	58	158	93	149
53	122	221	57	190	190
54	38	128	226	33	1
55	232	199	195	36	36
56	172	232	227	234	90
57	110	233	34	75	133
58	208	103	106	140	39
59	82	9	11	143	4
60	116	204	204	145	218
61	85	143	46	113	42
62	184	213	115	115	140
63	153	151	151	209	143
64	90	153	88	245	183
65	220	218	60	59	58
66	224	192	1	0	0
67	131	130	167	161	66
68	9	131	44	4	104
69	74	5	142	228	136
70	11	171	79	74	12
71	76	109	29	235	172
72	242	78	51	44	206
73	52	49	53	48	112
74	213	86	152	150	81
75	21	56	186	24	18
76	123	29	155	153	181
77	126	62	125	62	186
78	130	2	98	32	194
79	132	165	164	66	98
80	196	77	103	232	130
81	102	238	234	72	142
82	73	79	140	142	207
83	171	147	178	14	241
84	46	20	84	18	180
85	148	85	55	154	214
86	87	118	22	92	88
87	154	27	23	29	217
88	61	156	220	94	156
89	30	31	62	31	127
90	192	1	0	5	161
91	193	226	4	38	162
92	195	101	37	103	38
93	71	70	101	168	201
94	199	41	232	8	106
95	12	106	170	69	115
96	207	43	78	107	52
97	86	47	16	16	21
98	151	18	113	81	56
99	124	244	59	179	121
100	62	23	92	55	219
101	191	216	94	219	184
102	32	32	192	1	33
103	226	33	2	196	34
104	99	35	163	41	226
105	136	75	36	10	164
106	45	12	35	43	5
107	47	44	38	12	109
108	48	46	43	46	141
109	16	15	80	178	177
110	118	24	48	21	24
111	182	90	211	88	92
112	218	188	27	56	29
113	157	30	127	157	31
114	129	0	32	35	32
115	1	162	33	133	37
116	5	4	194	37	8
117	6	100	5	11	41
118	8	38	8	108	10
119	105	68	105	172	11
120	106	73	41	52	173
121	109	245	14	181	14
122	17	54	20	54	16
123	145	185	213	148	185
124	19	154	217	116	220
125	83	190	90	30	30
126	160	108	161	129	131
127	225	14	228	98	227
128	228	48	107	195	196
129	41	208	12	100	229
130	14	113	15	167	101
131	188	148	208	201	76
132	181	55	81	187	145
133	183	89	175	182	211
134	216	122	245	184	118
135	58	59	121	123	216
136	59	60	187	220	61
137	60	125	31	216	191
138	96	163	160	39	192
139	163	195	129	71	224
140	217	227	165	141	225
141	165	72	69	78	67
142	10	74	71	207	73
143	75	170	39	17	75
144	244	174	233	84	209
145	117	124	136	117	84
146	20	50	205	20	246
147	22	51	17	57	55
148	25	242	179	221	60
149	125	92	150	127	158
150	161	193	67	225	195
151	164	39	104	193	197
152	167	71	235	165	230
153	235	8	172	134	43
154	78	10	108	70	204
155	175	140	47	136	49
156	212	19	112	101	51
157	84	84	207	9	213
158	150	116	212	229	25
159	56	150	118	86	154
160	186	87	56	121	59
161	187	93	156	125	125
162	0	160	96	192	99
163	162	161	225	2	103
164	200	67	130	226	72
165	234	99	138	6	233
166	140	11	75	241	170
167	44	17	76	82	168
168	113	82	149	83	77
169	149	212	182	85	144
170	245	181	184	118	147
171	155	184	25	217	153
172	93	61	126	186	122
173	158	126	30	27	94
174	64	225	64	194	160
175	68	132	66	68	193
176	69	69	201	169	45
177	168	196	137	42	46
178	233	235	144	76	47
179	138	187	145	45	208
180	108	207	114	110	85
181	173	52	241	174	53
182	147	214	148	80	117
183	214	182	244	114	89
184	54	219	86	212	124
185	221	158	89	89	93
186	100	34	224	162	64
187	77	133	193	34	129
188	206	136	199	164	35
189	79	169	42	230	6
190	219	173	202	105	138
191	209	110	77	77	235
192	141	175	174	175	174
193	180	111	141	144	175
194	89	180	82	49	245
195	27	155	18	243	22
196	156	220	122	211	152
197	127	94	191	188	221
198	194	194	99	128	70
199	67	228	68	130	202
200	197	36	229	67	171
201	101	134	72	99	108
202	169	200	169	137	107
203	201	210	45	138	44
204	204	115	238	205	242
205	143	21	240	19	243
206	18	117	177	214	116
207	211	88	117	151	151
208	24	57	21	25	155
209	94	127	87	126	62
