	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	9	5	1
1	7	5	12	7	10
2	13	9	14	11	20
3	26	20	15	21	35
4	28	24	17	22	40
5	40	37	18	32	43
6	63	49	22	35	47
7	65	50	23	49	60
8	91	66	24	53	68
9	95	69	31	58	85
10	97	81	38	59	86
11	119	95	54	63	95
12	120	105	57	94	97
13	135	120	61	96	108
14	139	124	82	99	115
15	146	125	93	102	118
16	159	137	101	103	128
17	166	138	107	116	141
18	176	146	108	117	154
19	189	150	111	124	156
20	198	169	129	126	157
21	203	174	137	129	173
22	215	186	141	146	179
23	222	188	144	164	180
24	223	194	149	180	185
25	230	195	166	194	186
26	236	197	210	207	221
27	237	203	211	212	224
28	239	205	232	229	229
29	243	210	242	242	246
30	244	245	85	90	78
31	74	79	86	89	79
32	76	80	87	81	80
33	77	82	88	87	81
34	78	83	89	88	82
35	79	84	90	85	83
36	80	85	91	84	84
37	81	86	92	83	87
38	82	87	94	86	88
39	83	88	84	10	90
40	84	89	27	14	245
41	85	90	120	29	38
42	86	91	34	4	34
43	75	18	3	3	33
44	245	33	0	0	217
45	68	60	95	106	73
46	125	74	96	80	61
47	69	76	97	91	74
48	71	77	98	92	76
49	72	78	99	93	77
50	73	92	100	95	89
51	87	93	102	97	91
52	88	94	103	98	92
53	89	96	83	100	93
54	90	97	245	101	94
55	92	75	200	104	96
56	93	244	10	82	98
57	94	46	33	246	99
58	70	43	46	44	75
59	242	216	74	140	244
60	61	70	77	114	67
61	62	71	78	77	69
62	52	58	67	79	109
63	64	72	79	105	70
64	67	98	81	107	72
65	96	99	104	108	100
66	98	100	105	109	101
67	99	101	106	110	102
68	100	102	109	111	103
69	101	103	110	112	104
70	102	104	112	78	105
71	103	106	113	245	106
72	104	107	114	24	71
73	66	73	80	12	243
74	241	243	244	216	171
75	56	63	71	70	59
76	57	64	72	71	62
77	58	65	73	72	63
78	48	54	125	123	119
79	59	67	75	73	64
80	105	108	115	75	66
81	106	109	116	76	107
82	107	110	117	113	110
83	108	111	118	115	111
84	109	112	119	118	112
85	110	113	121	119	113
86	111	114	122	120	114
87	112	115	123	121	116
88	60	68	76	74	65
89	240	242	36	244	242
90	50	56	68	66	54
91	51	57	69	67	55
92	53	59	70	68	56
93	54	61	124	69	57
94	124	128	126	122	58
95	55	62	127	125	117
96	114	117	128	127	120
97	115	118	130	128	121
98	116	119	131	130	122
99	117	121	132	131	123
100	118	122	133	132	124
101	121	123	135	57	125
102	122	126	243	243	127
103	113	116	43	214	241
104	238	241	28	38	226
105	43	47	63	60	48
106	44	48	140	61	49
107	45	51	139	62	50
108	46	52	138	64	51
109	47	53	147	65	52
110	133	136	136	143	136
111	49	55	134	133	53
112	126	129	66	135	129
113	127	130	65	136	130
114	128	131	64	137	131
115	129	132	48	138	132
116	130	133	215	139	133
117	131	134	32	141	134
118	123	127	5	134	126
119	235	240	35	241	240
120	143	147	153	150	143
121	142	145	152	149	142
122	141	144	151	148	140
123	140	143	150	147	139
124	138	142	148	145	138
125	137	141	146	144	137
126	136	140	145	142	135
127	134	139	143	56	46
128	132	135	142	55	45
129	42	45	62	54	44
130	41	44	60	52	42
131	39	42	59	51	41
132	38	41	56	48	37
133	144	148	241	240	239
134	234	239	208	218	26
135	32	34	52	160	155
136	154	158	164	159	153
137	152	156	162	158	152
138	151	155	161	157	151
139	150	154	160	156	150
140	149	153	159	155	149
141	148	152	158	154	148
142	147	151	157	153	147
143	145	149	156	152	146
144	37	40	155	151	145
145	36	39	154	50	144
146	35	38	58	47	39
147	34	36	55	46	36
148	153	157	163	238	237
149	233	238	240	239	238
150	165	167	175	170	166
151	164	166	174	169	165
152	163	165	173	168	164
153	162	164	172	167	163
154	161	163	171	166	162
155	160	162	170	165	161
156	158	161	169	163	160
157	157	160	168	162	159
158	156	159	167	161	158
159	155	35	165	45	32
160	33	32	53	43	31
161	31	30	51	42	30
162	30	237	50	41	29
163	231	15	238	181	178
164	232	207	239	237	236
165	175	179	184	182	181
166	174	178	183	179	177
167	173	177	182	178	176
168	172	176	181	177	175
169	171	175	180	176	174
170	170	173	179	175	172
171	169	172	178	174	170
172	168	171	177	173	169
173	167	170	176	172	168
174	29	168	49	171	167
175	27	31	47	40	28
176	25	29	45	39	27
177	24	28	44	37	25
178	182	185	190	34	23
179	229	236	41	236	235
180	21	25	195	31	21
181	22	26	194	33	22
182	23	27	193	36	24
183	177	180	192	183	182
184	178	181	37	184	183
185	179	182	191	185	184
186	180	183	188	186	187
187	181	184	187	187	188
188	183	187	186	188	189
189	184	189	185	189	190
190	185	190	42	190	191
191	186	191	40	191	192
192	187	192	189	192	193
193	19	22	237	28	18
194	228	235	4	235	234
195	12	204	21	20	13
196	196	14	205	23	14
197	14	17	25	25	15
198	16	19	29	26	16
199	17	21	30	27	17
200	18	23	39	30	19
201	20	193	196	193	194
202	188	196	197	195	195
203	190	198	198	196	196
204	191	199	199	197	197
205	192	200	201	198	198
206	193	201	202	199	199
207	194	16	203	200	200
208	15	234	26	233	232
209	227	3	236	234	233
