	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	9	5	1
1	7	5	12	7	10
2	13	9	14	11	20
3	26	20	15	21	35
4	28	24	17	22	40
5	40	37	18	32	43
6	63	49	22	35	47
7	65	50	23	49	60
8	91	66	24	53	68
9	95	69	31	58	85
10	97	81	38	59	86
11	119	95	54	63	95
12	120	105	57	94	97
13	135	120	61	96	108
14	139	124	82	99	115
15	146	125	93	102	118
16	159	137	101	103	128
17	166	138	107	116	141
18	176	146	108	117	154
19	189	150	111	124	156
20	198	169	129	126	157
21	203	174	137	129	173
22	215	186	141	146	179
23	222	188	144	164	180
24	223	194	149	180	185
25	230	195	166	194	186
26	236	197	210	207	221
27	237	203	211	212	224
28	239	205	232	229	229
29	243	210	242	242	246
30	99	23	218	216	189
31	126	38	103	227	56
32	44	18	4	46	32
33	196	59	187	86	220
34	110	36	120	204	12
35	130	33	20	168	30
36	16	48	94	235	159
37	74	41	215	1	59
38	89	35	204	141	8
39	200	26	110	43	42
40	182	43	244	240	38
41	204	28	13	4	121
42	32	25	182	137	172
43	156	14	75	148	34
44	19	211	178	238	208
45	145	226	32	88	109
46	105	136	88	60	188
47	45	149	44	14	112
48	217	4	1	38	216
49	116	218	48	10	71
50	0	10	131	13	105
51	163	21	10	26	31
52	213	68	59	150	37
53	161	47	28	39	242
54	226	44	8	9	39
55	192	227	155	134	145
56	153	199	35	24	174
57	218	126	36	41	4
58	184	56	46	48	0
59	11	116	56	213	193
60	30	1	0	27	130
61	231	89	5	31	11
62	149	131	3	159	21
63	106	57	90	104	24
64	225	117	27	110	13
65	87	101	60	30	26
66	90	29	55	221	41
67	23	103	135	195	16
68	208	244	30	179	135
69	17	12	239	182	219
70	181	166	113	56	18
71	187	27	171	172	107
72	244	109	163	234	182
73	220	75	189	8	238
74	175	215	195	225	5
75	109	193	81	156	212
76	193	182	16	29	139
77	100	79	11	0	201
78	85	165	86	143	239
79	76	58	105	3	183
80	103	184	243	142	14
81	25	55	109	157	66
82	52	213	196	183	28
83	140	15	226	12	177
84	38	151	106	205	25
85	142	231	165	121	245
86	82	106	127	145	167
87	178	196	29	18	33
88	39	181	33	36	143
89	194	110	41	197	162
90	165	233	201	28	168
91	62	200	181	33	101
92	96	19	73	55	65
93	34	87	52	140	237
94	224	32	118	246	55
95	71	73	200	173	155
96	93	128	184	108	98
97	48	192	208	52	146
98	123	156	233	233	133
99	232	130	223	70	125
100	233	132	65	131	196
101	46	208	192	244	234
102	18	100	193	181	209
103	68	133	115	62	94
104	136	8	130	98	222
105	199	223	183	92	78
106	12	54	191	84	67
107	171	163	175	65	202
108	54	61	140	202	205
109	20	31	157	16	138
110	157	154	156	162	93
111	195	90	213	101	131
112	147	245	227	74	75
113	8	171	70	186	15
114	207	96	92	189	124
115	132	72	147	109	161
116	79	217	125	105	49
117	154	46	160	151	243
118	47	175	37	130	231
119	70	204	146	245	178
120	133	225	136	166	197
121	73	189	121	188	92
122	172	84	43	214	76
123	107	140	47	219	214
124	69	207	207	34	62
125	118	65	216	209	218
126	83	99	98	107	110
127	64	232	176	81	227
128	41	70	25	200	70
129	191	51	26	224	140
130	150	178	138	118	52
131	216	187	79	47	81
132	188	142	100	193	88
133	148	183	161	90	3
134	128	3	245	196	29
135	75	71	67	201	151
136	151	239	172	187	150
137	37	158	153	174	223
138	101	180	158	149	36
139	36	94	186	78	90
140	86	127	95	113	203
141	183	82	164	50	181
142	169	67	21	220	116
143	167	107	237	120	187
144	14	122	234	226	217
145	125	30	117	25	149
146	127	83	104	133	192
147	122	234	190	54	79
148	144	85	231	115	191
149	29	216	199	44	240
150	160	176	19	158	58
151	21	86	220	222	235
152	1	206	194	161	64
153	102	80	235	135	54
154	206	155	179	61	132
155	4	123	58	218	120
156	238	147	221	20	61
157	56	160	180	37	199
158	50	16	167	228	166
159	94	162	170	15	73
160	117	191	168	125	84
161	6	222	229	51	27
162	158	144	116	223	207
163	77	135	68	79	184
164	61	143	50	163	9
165	155	11	72	178	232
166	113	60	133	68	7
167	205	164	169	152	194
168	35	111	124	75	129
169	170	167	64	122	100
170	152	228	84	206	225
171	31	173	69	95	228
172	219	157	222	153	106
173	240	153	132	232	236
174	180	22	206	192	136
175	84	161	42	217	111
176	234	98	66	57	50
177	242	62	188	67	153
178	227	40	71	100	200
179	245	78	78	184	163
180	10	139	209	138	126
181	58	64	40	154	117
182	173	39	150	136	69
183	112	148	148	106	44
184	9	235	139	97	213
185	141	76	224	165	82
186	235	229	152	191	22
187	57	118	217	241	210
188	221	220	128	155	45
189	98	221	142	111	158
190	55	145	145	66	51
191	124	243	7	112	48
192	162	88	225	64	204
193	177	201	62	73	171
194	5	2	151	139	195
195	168	42	80	40	114
196	78	237	74	211	134
197	92	242	174	132	211
198	60	97	219	45	206
199	131	214	51	69	103
200	228	168	85	72	104
201	33	112	126	82	176
202	59	141	203	17	74
203	129	7	236	210	123
204	211	102	228	177	72
205	80	209	49	76	96
206	42	52	173	71	244
207	164	179	76	215	102
208	22	172	205	231	164
209	51	224	97	2	142
