	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	0	9	5	1
1	7	5	12	7	10
2	13	9	14	11	20
3	26	20	15	21	35
4	28	24	17	22	40
5	40	37	18	32	43
6	63	49	22	35	47
7	65	50	23	49	60
8	91	66	24	53	68
9	95	69	31	58	85
10	97	81	38	59	86
11	119	95	54	63	95
12	120	105	57	94	97
13	135	120	61	96	108
14	139	124	82	99	115
15	146	125	93	102	118
16	159	137	101	103	128
17	166	138	107	116	141
18	176	146	108	117	154
19	189	150	111	124	156
20	198	169	129	126	157
21	203	174	137	129	173
22	215	186	141	146	179
23	222	188	144	164	180
24	223	194	149	180	185
25	230	195	166	194	186
26	236	197	210	207	221
27	237	203	211	212	224
28	239	205	232	229	229
29	243	210	242	242	246
30	41	90	213	29	26
31	125	58	33	140	24
32	156	44	1	0	8
33	217	222	106	30	32
34	175	26	32	8	11
35	76	46	10	159	0
36	171	55	46	44	38
37	107	35	90	4	13
38	126	198	44	43	14
39	232	171	43	14	12
40	32	154	115	16	33
41	154	48	13	13	16
42	20	33	35	24	41
43	207	43	113	216	30
44	56	18	28	38	18
45	227	178	7	221	73
46	98	103	73	236	37
47	140	7	192	233	191
48	131	34	58	47	146
49	199	12	52	199	181
50	16	59	188	223	210
51	84	28	162	145	58
52	245	41	215	208	112
53	11	15	16	181	227
54	124	56	164	81	92
55	103	73	5	18	244
56	9	3	34	120	42
57	163	68	36	157	39
58	242	36	120	112	220
59	50	23	187	173	34
60	219	117	245	245	199
61	128	54	198	161	140
62	2	135	183	90	177
63	117	38	48	12	217
64	133	217	81	139	219
65	209	4	222	240	159
66	151	78	153	156	21
67	90	131	94	128	79
68	141	107	92	36	52
69	39	106	41	121	54
70	105	215	121	193	84
71	200	25	204	10	211
72	22	204	56	46	106
73	53	221	217	153	124
74	204	164	189	205	145
75	64	32	8	84	234
76	121	89	196	163	88
77	221	84	171	183	59
78	49	30	231	184	163
79	75	245	116	52	150
80	42	52	47	54	231
81	196	75	88	232	209
82	178	97	228	150	183
83	21	170	155	185	241
84	54	232	220	133	218
85	194	231	112	73	239
86	0	47	143	246	184
87	94	207	207	191	31
88	213	1	154	218	7
89	23	196	0	115	48
90	132	116	230	231	189
91	52	85	131	110	212
92	73	31	234	92	133
93	36	128	132	41	57
94	10	133	98	189	70
95	87	233	175	187	151
96	143	60	173	31	62
97	188	235	233	111	132
98	161	86	235	1	55
99	187	100	105	68	243
100	17	228	178	109	9
101	190	109	84	131	121
102	5	101	55	56	111
103	1	57	20	105	222
104	8	208	27	106	142
105	153	175	244	88	69
106	34	99	21	57	236
107	89	163	163	107	105
108	55	143	140	197	214
109	100	19	40	101	175
110	83	162	62	79	27
111	234	183	26	234	98
112	4	40	209	55	187
113	101	180	208	142	225
114	14	173	169	210	101
115	164	115	201	132	51
116	37	27	194	141	76
117	68	121	190	48	116
118	148	153	239	78	226
119	158	155	203	202	109
120	244	160	30	204	3
121	147	129	69	69	245
122	80	14	205	151	120
123	48	93	133	213	131
124	192	230	104	60	143
125	19	209	123	26	29
126	110	132	221	98	78
127	129	220	71	143	182
128	162	74	219	226	197
129	231	192	3	71	90
130	228	161	79	27	81
131	86	216	50	62	4
132	122	213	225	220	5
133	109	79	158	165	188
134	59	189	4	97	75
135	81	179	160	188	123
136	106	225	200	222	93
137	183	156	214	235	149
138	115	87	195	104	192
139	193	200	102	214	196
140	185	136	161	182	50
141	138	94	97	155	107
142	33	8	179	136	165
143	12	234	100	61	103
144	235	219	130	206	204
145	6	127	19	51	205
146	60	10	156	130	168
147	136	187	78	76	36
148	201	21	59	149	216
149	72	166	124	3	201
150	173	108	72	70	61
151	15	223	185	162	72
152	214	201	135	201	155
153	134	237	122	34	136
154	45	88	136	172	129
155	113	168	184	135	235
156	216	190	74	224	83
157	127	177	199	100	190
158	195	126	109	113	91
159	220	141	103	123	94
160	160	239	223	190	113
161	99	212	117	209	202
162	46	113	180	215	102
163	155	112	51	50	153
164	77	229	212	75	96
165	69	111	125	144	114
166	233	206	126	138	117
167	57	134	127	137	119
168	208	158	53	17	137
169	210	70	241	91	99
170	180	67	138	127	126
171	226	227	139	122	127
172	38	71	142	119	240
173	88	62	114	19	15
174	104	17	197	114	134
175	47	184	146	20	135
176	145	61	145	95	65
177	112	140	226	125	100
178	177	149	70	2	71
179	170	80	60	65	104
180	85	65	159	170	125
181	225	148	157	82	89
182	179	64	152	86	174
183	93	185	83	87	82
184	149	102	170	89	77
185	92	145	85	147	67
186	182	39	148	148	66
187	43	123	147	152	237
188	197	199	86	154	230
189	67	214	87	243	49
190	18	244	240	160	166
191	44	139	65	167	44
192	51	72	64	85	130
193	66	83	11	244	56
194	229	110	206	177	139
195	165	42	151	40	63
196	78	45	193	42	64
197	169	53	227	45	80
198	82	91	63	176	87
199	168	77	237	66	110
200	150	114	243	77	122
201	79	118	77	80	138
202	212	130	177	158	144
203	241	151	218	239	147
204	111	92	91	169	148
205	218	243	68	171	152
206	174	242	110	174	158
207	25	16	229	72	160
208	205	11	75	241	162
209	184	165	128	39	242
