	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	3	3	3	3
1	7	7	7	7	7
2	13	13	13	13	13
3	26	26	26	26	26
4	28	28	28	28	28
5	40	40	40	40	40
6	63	63	63	63	63
7	65	65	65	65	65
8	91	91	91	91	91
9	95	95	95	95	95
10	97	97	97	97	97
11	119	119	119	119	119
12	120	120	120	120	120
13	135	135	135	135	135
14	139	139	139	139	139
15	146	146	146	146	146
16	159	159	159	159	159
17	166	166	166	166	166
18	176	176	176	176	176
19	189	189	189	189	189
20	198	198	198	198	198
21	203	203	203	203	203
22	215	215	215	215	215
23	222	222	222	222	222
24	223	223	223	223	223
25	230	230	230	231	231
26	236	236	236	236	236
27	237	237	237	238	238
28	239	239	239	240	240
29	243	243	243	244	244
30	131	46	188	47	52
31	107	103	73	208	156
32	187	30	46	199	42
33	109	23	113	36	211
34	76	78	38	218	210
35	10	154	154	233	24
36	232	24	41	16	191
37	41	15	217	24	39
38	126	36	143	1	11
39	20	44	43	48	30
40	171	12	44	32	18
41	11	43	33	46	10
42	56	56	16	10	41
43	207	90	245	44	16
44	154	41	48	43	34
45	194	33	196	98	58
46	213	32	90	88	115
47	178	35	10	173	33
48	199	131	231	221	31
49	153	207	190	55	226
50	147	129	84	35	109
51	22	196	5	216	199
52	34	58	164	38	73
53	23	217	183	181	246
54	244	47	34	143	145
55	163	188	232	30	92
56	227	245	35	41	84
57	16	20	12	52	218
58	90	73	115	18	148
59	75	171	1	81	220
60	60	100	31	140	140
61	217	213	155	185	128
62	19	133	47	141	88
63	156	231	207	92	197
64	50	25	234	101	12
65	21	117	59	183	54
66	161	38	81	112	181
67	204	101	107	197	121
68	128	18	52	73	130
69	32	232	0	232	78
70	0	68	20	229	38
71	141	48	54	58	112
72	125	34	32	142	37
73	64	9	88	157	59
74	117	27	204	115	201
75	9	228	162	150	163
76	55	31	55	113	150
77	84	187	153	165	173
78	88	143	124	205	227
79	5	5	92	60	21
80	42	155	101	246	187
81	242	153	57	209	101
82	165	0	93	31	111
83	188	158	78	156	239
84	196	57	112	163	185
85	49	128	228	14	209
86	151	164	121	184	214
87	209	54	58	12	183
88	54	52	9	121	62
89	103	125	14	191	48
90	113	8	208	84	132
91	228	234	220	79	75
92	77	180	27	29	27
93	175	233	192	111	79
94	143	1	62	132	229
95	235	221	116	187	55
96	155	121	106	4	177
97	17	183	187	217	141
98	219	132	109	131	124
99	164	124	8	0	116
100	221	107	98	54	57
101	6	55	56	145	8
102	2	89	4	56	14
103	1	208	194	90	184
104	94	194	36	68	1
105	210	59	233	214	157
106	81	173	105	193	105
107	108	161	79	69	69
108	134	192	132	8	106
109	229	4	133	148	81
110	87	115	175	226	151
111	129	216	111	105	219
112	158	163	209	136	76
113	53	235	110	234	212
114	132	127	19	220	133
115	218	210	235	133	0
116	89	49	213	107	98
117	4	84	219	210	243
118	190	19	94	106	142
119	8	170	173	21	32
120	51	10	24	5	93
121	33	111	71	104	216
122	100	109	123	153	234
123	231	93	244	235	96
124	234	99	212	116	107
125	133	219	129	27	204
126	48	178	100	245	131
127	122	21	225	100	104
128	193	85	163	71	225
129	162	74	156	213	5
130	185	94	161	62	153
131	138	79	69	149	4
132	36	160	131	102	180
133	112	162	171	57	51
134	148	220	140	151	90
135	72	88	158	182	162
136	124	50	205	206	102
137	101	60	184	50	188
138	12	212	130	70	136
139	136	87	160	34	175
140	127	14	214	9	205
141	200	156	221	180	29
142	15	113	50	172	202
143	192	200	169	59	195
144	46	126	60	123	103
145	37	209	149	155	49
146	59	175	30	175	143
147	14	83	104	177	165
148	245	195	102	76	217
149	68	204	178	78	36
150	47	205	199	122	118
151	225	61	70	83	168
152	182	214	136	117	235
153	220	179	23	103	100
154	80	110	72	99	61
155	106	169	74	96	94
156	173	140	21	89	129
157	170	229	197	87	123
158	160	71	61	114	45
159	195	145	180	243	149
160	83	190	108	224	71
161	115	80	179	204	230
162	214	86	15	61	50
163	183	112	200	207	155
164	201	185	195	118	196
165	168	39	80	241	126
166	216	69	76	128	138
167	226	184	22	127	144
168	52	165	17	126	89
169	45	116	118	75	25
170	140	244	181	125	137
171	99	123	201	110	60
172	208	108	134	86	56
173	180	149	174	85	179
174	25	227	227	82	221
175	86	17	122	80	245
176	205	225	242	124	15
177	149	67	206	242	113
178	73	62	64	201	70
179	38	105	229	162	9
180	110	226	77	161	74
181	184	150	82	66	77
182	57	141	83	77	80
183	233	197	85	130	82
184	197	16	86	137	83
185	43	136	87	138	85
186	104	199	89	237	87
187	179	76	99	147	99
188	66	134	103	152	108
189	121	106	114	154	110
190	44	206	117	158	114
191	92	72	125	72	117
192	67	92	126	239	122
193	145	70	240	11	134
194	177	168	241	94	242
195	181	66	49	49	47
196	212	77	53	169	53
197	152	75	66	67	66
198	70	114	67	194	67
199	174	118	68	188	68
200	238	122	75	168	72
201	69	130	127	22	86
202	98	137	128	51	125
203	172	142	137	190	127
204	93	147	138	93	147
205	169	172	141	200	152
206	82	102	142	129	154
207	18	11	144	109	158
208	111	242	147	195	161
209	85	64	238	202	160
