	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	3	3	3	3
1	7	7	7	7	7
2	13	13	13	13	13
3	26	26	26	26	26
4	28	28	28	28	28
5	40	40	40	40	40
6	63	63	63	63	63
7	65	65	65	65	65
8	91	91	91	91	91
9	95	95	95	95	95
10	97	97	97	97	97
11	119	119	119	119	119
12	120	120	120	120	120
13	135	135	135	135	135
14	139	139	139	139	139
15	146	146	146	146	146
16	159	159	159	159	159
17	166	166	166	166	166
18	176	176	176	176	176
19	189	189	189	189	189
20	198	198	198	198	198
21	203	203	203	203	203
22	215	215	215	215	215
23	222	222	222	222	222
24	223	223	223	223	223
25	230	230	230	231	231
26	236	236	236	236	236
27	237	237	237	238	238
28	239	239	239	240	240
29	243	243	243	244	244
30	145	24	73	41	210
31	56	188	143	140	219
32	9	36	1	145	191
33	84	90	5	11	30
34	154	48	41	44	14
35	124	78	113	218	38
36	217	154	43	36	24
37	126	245	217	16	209
38	11	12	46	32	10
39	100	15	16	180	39
40	242	56	33	48	18
41	131	46	8	24	16
42	163	103	245	43	34
43	232	44	48	46	42
44	245	73	44	14	41
45	204	190	84	52	112
46	10	52	171	199	177
47	60	207	31	112	141
48	22	34	58	143	73
49	155	23	88	35	54
50	141	196	52	173	52
51	36	58	234	29	145
52	103	143	220	18	218
53	196	33	207	12	199
54	128	25	228	30	31
55	200	43	183	181	211
56	75	164	164	150	92
57	227	41	10	81	115
58	90	0	232	216	84
59	199	171	12	38	220
60	167	158	38	208	246
61	23	231	55	9	150
62	178	122	94	229	195
63	110	18	54	185	109
64	49	75	194	161	227
65	235	131	36	232	33
66	2	125	188	90	187
67	64	32	153	175	76
68	20	5	231	233	201
69	209	68	4	157	124
70	53	101	27	10	181
71	50	9	0	142	58
72	207	35	56	121	59
73	171	57	115	115	130
74	16	30	34	68	140
75	133	156	59	156	111
76	21	232	121	88	116
77	219	99	209	221	133
78	5	228	208	62	12
79	87	55	93	191	173
80	107	235	195	73	27
81	143	117	9	246	183
82	164	20	32	55	101
83	158	54	110	106	11
84	0	153	35	210	185
85	76	1	112	234	79
86	187	221	47	58	37
87	1	217	78	183	48
88	194	107	90	47	239
89	190	194	204	202	1
90	234	155	57	182	132
91	94	175	175	84	106
92	244	183	235	79	163
93	161	161	116	78	98
94	221	94	106	92	180
95	17	208	173	184	121
96	136	47	233	245	88
97	42	234	154	0	21
98	125	89	196	31	81
99	89	21	162	56	75
100	156	31	92	1	157
101	117	173	155	171	184
102	8	84	101	124	55
103	188	124	98	8	142
104	213	100	81	205	156
105	41	121	132	165	188
106	14	79	192	107	212
107	59	115	79	98	57
108	210	168	221	209	204
109	153	177	107	109	105
110	115	49	105	54	216
111	148	212	131	4	122
112	109	129	140	132	214
113	228	133	24	197	51
114	73	85	14	187	131
115	151	127	163	111	229
116	12	233	133	141	93
117	77	170	111	101	243
118	132	59	160	133	192
119	201	210	20	163	8
120	177	87	123	21	9
121	47	244	161	113	234
122	86	62	219	164	29
123	170	180	213	131	20
124	37	229	169	116	69
125	129	160	201	70	196
126	81	67	60	59	5
127	122	162	62	235	168
128	15	227	19	226	217
129	231	108	156	57	143
130	185	163	109	162	96
131	195	209	50	27	4
132	68	109	187	76	197
133	34	128	244	220	32
134	101	187	190	105	0
135	72	93	179	123	80
136	33	141	184	61	113
137	173	140	200	151	108
138	192	105	11	102	103
139	205	136	205	149	100
140	127	116	100	60	99
141	83	204	199	155	89
142	69	219	149	5	87
143	55	88	71	136	86
144	38	126	30	213	85
145	48	4	225	50	110
146	183	199	158	153	245
147	218	112	178	69	50
148	226	132	129	193	129
149	19	178	23	104	151
150	51	225	229	108	128
151	45	165	72	114	71
152	214	81	51	99	126
153	175	11	70	96	127
154	113	27	145	89	117
155	216	39	180	243	114
156	160	213	136	206	83
157	32	8	138	204	82
158	220	14	103	100	77
159	180	10	168	94	125
160	92	192	75	177	242
161	88	220	122	148	136
162	6	60	141	20	202
163	193	86	148	71	104
164	106	110	124	34	165
165	121	216	227	241	72
166	184	214	61	128	138
167	80	50	104	127	137
168	104	111	74	126	66
169	140	169	147	77	78
170	4	38	130	117	62
171	52	179	214	87	94
172	134	61	21	85	36
173	99	106	210	83	70
174	212	149	15	82	225
175	179	113	128	103	60
176	225	200	68	188	205
177	162	71	69	122	107
178	149	74	185	51	90
179	46	195	102	75	162
180	27	185	77	80	169
181	208	98	82	137	53
182	66	83	83	138	68
183	85	205	85	144	134
184	67	134	87	147	144
185	233	206	89	242	147
186	70	145	99	67	148
187	111	242	117	195	152
188	182	17	118	224	237
189	108	80	241	134	158
190	165	184	127	129	160
191	54	72	137	207	161
192	93	19	80	214	164
193	79	69	126	39	67
194	62	70	206	118	241
195	168	42	45	33	56
196	147	45	53	37	44
197	150	51	167	42	64
198	114	53	66	45	43
199	186	77	142	49	35
200	78	114	144	53	25
201	241	118	240	64	23
202	98	130	67	66	19
203	112	137	64	72	233
204	39	240	186	86	167
205	57	66	134	125	170
206	82	241	96	152	171
207	138	64	76	237	172
208	25	150	212	168	178
209	44	226	242	239	2
