	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	16	3
1	3	15	51	26	5
2	5	20	62	41	6
3	9	25	64	49	8
4	15	32	65	59	23
5	20	44	76	79	34
6	27	53	78	86	50
7	28	98	79	87	56
8	34	111	81	96	57
9	54	113	82	111	59
10	62	119	92	112	70
11	67	120	96	117	75
12	76	123	103	127	76
13	77	147	107	150	87
14	84	151	114	157	94
15	117	171	118	173	111
16	130	182	122	184	114
17	146	208	126	186	115
18	155	234	132	193	119
19	166	238	151	200	126
20	176	240	158	203	138
21	191	242	171	213	147
22	195	243	187	254	148
23	204	244	195	255	159
24	205	246	198	256	172
25	222	248	216	260	173
26	227	260	233	274	178
27	228	275	234	277	179
28	231	304	241	289	185
29	246	312	264	296	190
30	248	325	275	306	201
31	257	329	283	307	214
32	265	332	286	318	215
33	272	343	309	322	218
34	273	367	312	334	239
35	310	382	320	344	248
36	314	384	374	367	255
37	322	392	378	368	257
38	323	401	391	379	261
39	333	415	393	396	263
40	351	418	403	401	270
41	362	449	409	435	289
42	374	454	420	443	308
43	377	455	444	455	309
44	384	469	445	456	348
45	390	477	473	473	349
46	396	522	478	479	351
47	398	527	486	482	365
48	417	541	512	484	378
49	424	547	514	492	431
50	445	565	538	496	435
51	451	594	539	509	441
52	452	612	541	511	444
53	454	613	544	518	485
54	459	615	548	546	492
55	467	618	556	572	493
56	473	632	574	582	497
57	477	636	582	585	514
58	480	651	597	588	516
59	488	659	629	607	532
60	508	662	638	621	543
61	514	677	641	624	544
62	523	681	658	625	545
63	531	700	663	633	549
64	566	707	679	637	581
65	578	713	688	644	599
66	593	728	692	647	634
67	599	731	697	648	639
68	602	745	704	651	645
69	613	748	709	660	648
70	672	749	715	663	653
71	683	759	716	675	696
72	687	768	720	679	698
73	694	775	726	691	713
74	731	777	729	701	714
75	736	790	736	717	735
76	746	794	738	733	740
77	759	807	740	741	746
78	768	809	742	744	747
79	784	823	748	747	760
80	792	826	750	770	767
81	793	834	753	780	775
82	796	842	784	796	776
83	828	851	796	799	779
84	834	860	808	821	783
85	868	866	811	823	787
86	884	872	823	829	816
87	892	890	839	839	861
88	907	893	861	845	863
89	910	894	873	847	873
90	936	927	875	885	879
91	939	928	894	886	899
92	942	936	910	897	905
93	950	948	915	898	911
94	952	957	944	901	921
95	959	962	945	910	932
96	966	966	959	922	933
97	987	969	977	926	935
98	994	972	985	955	995
99	995	988	990	978	999
100	638	642	1	12	1
101	649	643	4	653	2
102	658	652	653	23	679
103	26	21	19	25	682
104	663	26	25	40	35
105	665	661	30	47	685
106	29	665	35	692	688
107	39	52	691	57	43
108	40	686	49	697	694
109	43	55	696	706	65
110	680	57	695	707	67
111	50	699	698	72	77
112	699	702	700	77	719
113	711	708	67	81	723
114	719	74	711	719	91
115	720	714	72	721	92
116	80	719	70	84	93
117	82	82	714	722	729
118	83	722	727	729	734
119	89	97	95	731	104
120	748	99	737	734	109
121	749	739	752	99	113
122	758	115	112	738	755
123	767	754	756	100	759
124	777	756	117	740	123
125	129	771	116	107	761
126	132	774	768	746	763
127	133	144	128	110	128
128	789	799	770	116	765
129	801	800	134	134	766
130	803	159	135	152	770
131	805	803	782	790	141
132	809	164	138	797	782
133	159	169	139	172	792
134	169	831	155	804	163
135	829	190	160	813	164
136	836	839	163	817	174
137	194	202	810	197	817
138	845	850	170	827	182
139	212	210	179	830	184
140	863	864	837	205	830
141	225	233	201	212	831
142	877	880	847	841	192
143	233	883	850	215	193
144	879	891	860	217	834
145	878	249	221	220	197
146	894	897	864	852	836
147	260	902	227	856	838
148	261	262	878	226	846
149	913	907	242	866	848
150	266	270	891	235	209
151	923	916	893	870	849
152	278	934	899	250	216
153	928	296	266	257	862
154	937	947	269	262	224
155	941	964	294	263	238
156	297	970	930	913	883
157	946	971	931	918	252
158	305	327	297	292	288
159	306	974	943	303	938
160	956	977	946	943	947
161	957	330	958	311	950
162	324	340	328	945	317
163	974	990	333	946	319
164	975	347	337	331	321
165	980	995	341	983	969
166	338	993	982	345	970
167	350	998	983	987	336
168	353	352	353	353	337
169	357	366	355	355	342
170	359	368	988	394	981
171	363	374	360	400	983
172	387	385	361	411	984
173	399	388	377	422	989
174	414	399	379	426	364
175	420	400	381	440	369
176	426	408	390	457	385
177	439	428	413	463	393
178	453	439	418	467	395
179	455	452	429	470	404
180	464	460	439	476	426
181	466	471	443	489	434
182	468	481	453	491	436
183	495	499	460	499	460
184	500	503	471	500	468
185	512	517	481	501	486
186	515	521	491	504	487
187	520	534	496	506	511
188	536	537	499	527	525
189	542	545	501	534	527
190	561	555	515	541	533
191	562	558	519	547	552
192	592	576	535	553	558
193	608	577	565	556	564
