	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	16	3
1	3	15	51	26	5
2	5	20	62	41	6
3	9	25	64	49	8
4	15	32	65	59	23
5	20	44	76	79	34
6	27	53	78	86	50
7	28	98	79	87	56
8	34	111	81	96	57
9	54	113	82	111	59
10	62	119	92	112	70
11	67	120	96	117	75
12	76	123	103	127	76
13	77	147	107	150	87
14	84	151	114	157	94
15	117	171	118	173	111
16	130	182	122	184	114
17	146	208	126	186	115
18	155	234	132	193	119
19	166	238	151	200	126
20	176	240	158	203	138
21	191	242	171	213	147
22	195	243	187	254	148
23	204	244	195	255	159
24	205	246	198	256	172
25	222	248	216	260	173
26	227	260	233	274	178
27	228	275	234	277	179
28	231	304	241	289	185
29	246	312	264	296	190
30	248	325	275	306	201
31	257	329	283	307	214
32	265	332	286	318	215
33	272	343	309	322	218
34	273	367	312	334	239
35	310	382	320	344	248
36	314	384	374	367	255
37	322	392	378	368	257
38	323	401	391	379	261
39	333	415	393	396	263
40	351	418	403	401	270
41	362	449	409	435	289
42	374	454	420	443	308
43	377	455	444	455	309
44	384	469	445	456	348
45	390	477	473	473	349
46	396	522	478	479	351
47	398	527	486	482	365
48	417	541	512	484	378
49	424	547	514	492	431
50	445	565	538	496	435
51	451	594	539	509	441
52	452	612	541	511	444
53	454	613	544	518	485
54	459	615	548	546	492
55	467	618	556	572	493
56	473	632	574	582	497
57	477	636	582	585	514
58	480	651	597	588	516
59	488	659	629	607	532
60	508	662	638	621	543
61	514	677	641	624	544
62	523	681	658	625	545
63	531	700	663	633	549
64	566	707	679	637	581
65	578	713	688	644	599
66	593	728	692	647	634
67	599	731	697	648	639
68	602	745	704	651	645
69	613	748	709	660	648
70	672	749	715	663	653
71	683	759	716	675	696
72	687	768	720	679	698
73	694	775	726	691	713
74	731	777	729	701	714
75	736	790	736	717	735
76	746	794	738	733	740
77	759	807	740	741	746
78	768	809	742	744	747
79	784	823	748	747	760
80	792	826	750	770	767
81	793	834	753	780	775
82	796	842	784	796	776
83	828	851	796	799	779
84	834	860	808	821	783
85	868	866	811	823	787
86	884	872	823	829	816
87	892	890	839	839	861
88	907	893	861	845	863
89	910	894	873	847	873
90	936	927	875	885	879
91	939	928	894	886	899
92	942	936	910	897	905
93	950	948	915	898	911
94	952	957	944	901	921
95	959	962	945	910	932
96	966	966	959	922	933
97	987	969	977	926	935
98	994	972	985	955	995
99	995	988	990	978	999
100	440	904	618	951	132
101	161	517	453	42	383
102	70	319	633	602	67
103	108	73	358	253	368
104	662	399	288	945	781
105	269	837	992	506	182
106	486	409	231	326	792
107	363	606	18	15	704
108	686	528	145	682	753
109	852	599	38	921	929
110	993	456	844	429	143
111	290	381	130	666	478
112	837	991	299	958	973
113	518	949	755	477	442
114	111	16	125	468	820
115	947	996	853	782	246
116	393	643	270	915	384
117	303	122	754	198	353
118	403	905	306	292	107
119	876	160	504	480	390
120	922	588	353	933	592
121	789	738	867	335	323
122	634	88	240	601	439
123	181	625	513	720	765
124	584	583	798	170	315
125	342	841	397	680	942
126	801	544	852	940	774
127	305	152	802	678	742
128	684	330	968	613	336
129	718	832	759	83	637
130	854	222	143	462	585
131	73	316	778	944	369
132	590	24	425	99	609
133	875	313	871	436	964
134	299	270	611	828	202
135	382	694	363	874	102
136	18	570	390	629	326
137	40	529	242	459	762
138	475	512	185	341	161
139	453	406	172	851	314
140	255	524	687	968	36
141	836	141	757	765	826
142	36	81	106	992	617
143	991	623	115	252	64
144	515	193	744	786	860
145	623	463	928	177	456
146	487	231	926	516	176
147	532	564	947	805	687
148	316	695	791	914	286
149	14	863	786	515	66
150	985	432	734	662	695
151	769	378	797	877	18
152	582	292	381	299	429
153	21	267	789	493	311
154	762	769	897	36	928
155	675	820	447	803	157
156	465	692	819	400	865
157	972	156	799	600	211
158	139	933	238	623	302
159	207	556	117	593	810
160	914	169	311	34	267
161	238	861	157	819	624
162	409	187	159	495	171
163	734	230	379	858	786
164	953	89	888	291	580
165	270	315	864	313	957
166	617	345	495	351	960
167	829	672	417	646	843
168	505	647	505	946	372
169	359	635	464	478	856
170	587	178	564	250	120
171	763	257	773	216	875
172	7	756	384	748	379
173	411	284	40	329	538
174	266	344	654	636	630
175	844	70	571	919	406
176	455	987	751	513	156
177	747	346	261	287	426
178	753	929	310	417	183
179	63	489	487	732	488
180	187	177	972	595	139
181	429	516	418	330	859
182	44	457	769	47	530
183	815	131	546	62	918
184	609	265	138	409	370
185	247	287	951	290	618
186	712	909	847	247	909
187	391	881	200	219	141
188	330	94	94	5	510
189	871	277	296	383	734
190	606	121	891	236	824
191	287	145	139	265	838
192	732	5	68	308	919
193	822	554	370	973	697
