	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	16	3
1	3	15	51	26	5
2	5	20	62	41	6
3	9	25	64	49	8
4	15	32	65	59	23
5	20	44	76	79	34
6	27	53	78	86	50
7	28	98	79	87	56
8	34	111	81	96	57
9	54	113	82	111	59
10	62	119	92	112	70
11	67	120	96	117	75
12	76	123	103	127	76
13	77	147	107	150	87
14	84	151	114	157	94
15	117	171	118	173	111
16	130	182	122	184	114
17	146	208	126	186	115
18	155	234	132	193	119
19	166	238	151	200	126
20	176	240	158	203	138
21	191	242	171	213	147
22	195	243	187	254	148
23	204	244	195	255	159
24	205	246	198	256	172
25	222	248	216	260	173
26	227	260	233	274	178
27	228	275	234	277	179
28	231	304	241	289	185
29	246	312	264	296	190
30	248	325	275	306	201
31	257	329	283	307	214
32	265	332	286	318	215
33	272	343	309	322	218
34	273	367	312	334	239
35	310	382	320	344	248
36	314	384	374	367	255
37	322	392	378	368	257
38	323	401	391	379	261
39	333	415	393	396	263
40	351	418	403	401	270
41	362	449	409	435	289
42	374	454	420	443	308
43	377	455	444	455	309
44	384	469	445	456	348
45	390	477	473	473	349
46	396	522	478	479	351
47	398	527	486	482	365
48	417	541	512	484	378
49	424	547	514	492	431
50	445	565	538	496	435
51	451	594	539	509	441
52	452	612	541	511	444
53	454	613	544	518	485
54	459	615	548	546	492
55	467	618	556	572	493
56	473	632	574	582	497
57	477	636	582	585	514
58	480	651	597	588	516
59	488	659	629	607	532
60	508	662	638	621	543
61	514	677	641	624	544
62	523	681	658	625	545
63	531	700	663	633	549
64	566	707	679	637	581
65	578	713	688	644	599
66	593	728	692	647	634
67	599	731	697	648	639
68	602	745	704	651	645
69	613	748	709	660	648
70	672	749	715	663	653
71	683	759	716	675	696
72	687	768	720	679	698
73	694	775	726	691	713
74	731	777	729	701	714
75	736	790	736	717	735
76	746	794	738	733	740
77	759	807	740	741	746
78	768	809	742	744	747
79	784	823	748	747	760
80	792	826	750	770	767
81	793	834	753	780	775
82	796	842	784	796	776
83	828	851	796	799	779
84	834	860	808	821	783
85	868	866	811	823	787
86	884	872	823	829	816
87	892	890	839	839	861
88	907	893	861	845	863
89	910	894	873	847	873
90	936	927	875	885	879
91	939	928	894	886	899
92	942	936	910	897	905
93	950	948	915	898	911
94	952	957	944	901	921
95	959	962	945	910	932
96	966	966	959	922	933
97	987	969	977	926	935
98	994	972	985	955	995
99	995	988	990	978	999
100	183	941	683	958	470
101	95	584	774	894	520
102	516	524	357	635	259
103	414	296	654	266	451
104	181	403	157	414	910
105	917	125	518	808	854
106	867	379	144	444	517
107	343	998	268	784	786
108	74	150	67	91	872
109	576	409	408	502	811
110	147	635	189	658	652
111	184	163	684	352	697
112	656	841	730	180	860
113	107	720	865	587	437
114	316	838	743	668	589
115	978	18	417	0	137
116	646	537	168	709	524
117	105	276	185	165	232
118	402	160	972	984	163
119	4	629	594	300	488
120	134	349	212	555	502
121	863	351	801	328	636
122	757	476	872	939	150
123	306	315	339	278	769
124	861	624	964	921	89
125	880	737	225	437	557
126	336	656	849	219	907
127	853	131	680	818	777
128	641	375	580	124	758
129	735	27	248	490	292
130	852	795	24	639	619
131	724	591	928	113	594
132	440	265	569	764	638
133	984	548	612	596	558
134	338	100	879	405	334
135	197	300	886	160	915
136	801	56	780	350	187
137	705	352	47	170	597
138	886	511	579	971	363
139	546	433	75	646	177
140	879	411	531	279	132
141	728	887	500	422	941
142	31	967	587	45	325
143	951	436	359	813	282
144	922	712	496	674	814
145	606	630	640	100	151
146	924	209	837	446	949
147	392	330	479	392	140
148	188	885	937	932	635
149	49	847	833	205	568
150	985	176	80	580	360
151	55	187	483	726	749
152	617	800	767	804	442
153	251	4	962	981	108
154	534	486	520	508	427
155	862	909	371	503	428
156	669	850	616	46	193
157	699	133	15	620	63
158	715	69	533	232	95
159	626	458	165	469	233
160	335	230	788	523	724
161	481	320	278	216	466
162	519	820	108	416	690
163	691	157	926	827	753
164	631	779	633	598	373
165	163	298	299	110	68
166	40	221	751	622	388
167	780	228	27	419	461
168	36	316	337	501	768
169	287	404	214	905	116
170	776	837	951	61	426
171	655	143	958	339	600
172	937	589	667	275	737
173	484	786	68	698	835
174	914	201	58	577	890
175	611	463	45	547	394
176	109	328	399	281	631
177	500	289	983	544	979
178	975	376	802	217	510
179	579	190	46	454	322
180	104	761	153	3	656
181	174	6	372	913	838
182	106	935	971	441	155
183	102	689	770	247	880
184	100	81	17	611	260
185	750	186	634	736	659
186	210	605	355	351	537
187	877	412	56	215	443
188	285	772	427	10	264
189	727	472	172	584	398
190	643	663	453	604	384
191	509	557	511	323	475
192	567	514	250	782	953
193	354	778	184	471	531
