	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	0	256	0	225	0
31	160	352	225	386	96
32	132	384	356	356	66
33	228	386	166	230	99
34	122	195	264	231	100
35	296	249	364	265	228
36	9	198	365	76	389
37	10	296	301	269	132
38	78	299	219	396	289
39	177	140	334	272	89
40	211	113	370	48	349
41	371	381	371	212	366
42	22	220	21	373	14
43	375	213	341	21	271
44	151	310	23	148	337
45	118	375	154	153	242
46	154	24	91	346	280
47	220	377	188	190	57
48	254	188	190	62	60
49	286	311	375	127	285
50	64	65	130	159	64
51	289	354	34	195	320
52	2	36	324	387	33
53	291	165	249	67	225
54	164	38	102	390	384
55	357	154	104	71	37
56	100	46	73	170	328
57	295	14	330	268	393
58	202	304	362	397	233
59	139	156	331	173	203
60	203	212	174	239	108
61	171	149	399	208	302
62	207	22	142	50	239
63	146	52	336	19	399
64	82	380	82	374	50
65	182	186	112	216	342
66	55	123	208	25	87
67	312	124	280	59	88
68	316	285	313	285	318
69	319	94	349	223	31
70	288	34	288	289	323
71	129	35	248	69	196
72	1	162	223	102	325
73	258	131	323	167	69
74	292	6	67	103	263
75	69	7	224	345	232
76	344	345	134	234	5
77	193	367	391	75	327
78	99	176	72	92	395
79	265	209	393	240	109
80	330	157	138	369	398
81	396	23	13	16	127
82	79	62	271	306	208
83	48	183	80	372	370
84	244	90	211	115	148
85	372	91	184	341	213
86	214	279	152	57	344
87	308	221	56	348	124
88	24	190	158	317	126
89	253	278	159	350	383
90	96	121	65	162	258
91	257	130	357	35	227
92	191	67	358	389	260
93	355	164	297	351	261
94	5	5	10	327	133
95	326	134	267	27	296
96	134	263	236	6	392
97	107	389	141	203	234
98	75	105	397	108	107
99	366	137	176	109	202
100	335	298	177	78	141
101	239	302	381	31	174
102	46	51	275	81	146
103	17	307	93	149	21
104	51	53	343	87	278
105	398	342	216	58	310
106	150	312	58	158	218
107	184	89	125	60	91
108	88	61	382	95	220
109	31	318	191	191	317
110	66	96	384	1	32
111	354	97	161	4	355
112	260	351	192	313	35
113	261	295	195	9	387
114	68	326	66	267	262
115	39	265	2	12	9
116	104	393	229	300	300
117	41	331	238	142	48
118	138	109	270	236	177
119	235	207	304	80	305
120	155	241	49	112	82
121	301	177	179	172	240
122	45	115	51	337	117
123	338	340	373	85	181
124	84	181	342	342	151
125	180	338	244	54	373
126	87	344	276	89	81
127	249	315	61	90	93
128	91	152	253	156	157
129	188	31	350	318	94
130	224	64	32	96	352
131	97	257	256	65	385
132	192	227	258	99	162
133	185	325	96	100	226
134	101	391	196	197	324
135	358	168	197	324	359
136	71	10	6	291	329
137	102	45	262	133	299
138	109	141	395	41	268
139	367	77	279	299	333
140	144	239	272	141	270
141	336	335	240	145	175
142	50	269	347	17	187
143	115	117	340	220	176
144	81	343	182	182	114
145	284	88	183	281	339
146	86	281	344	218	374
147	343	378	155	252	248
148	25	187	252	93	27
149	28	287	254	287	156
150	195	128	160	320	128
151	227	56	193	226	98
152	38	132	226	323	68
153	103	229	325	131	7
154	263	122	296	391	135
155	233	100	27	296	137
156	199	106	268	329	10
157	391	173	237	394	106
158	76	110	366	359	43
159	141	142	367	295	45
160	219	111	239	333	11
161	399	81	338	361	145
162	269	82	117	338	17
163	359	148	22	243	149
164	210	184	247	279	85
165	117	58	88	376	23
166	152	60	345	185	150
167	250	125	250	186	24
168	347	158	283	91	122
169	125	95	157	125	59
170	159	290	257	321	97
171	162	185	162	194	101
172	197	196	327	354	102
173	70	323	200	168	40
174	73	262	201	201	105
175	298	39	394	250	8
176	282	40	300	200	12
177	236	9	45	237	76
178	77	138	78	302	155
179	395	72	303	367	15
180	142	362	368	176	143
181	368	78	378	336	147
182	369	337	50	178	52
183	275	116	306	211	119
184	215	21	308	316	55
185	248	119	374	343	153
186	314	216	246	378	158
187	187	25	218	251	28
188	285	316	348	284	61
189	287	223	285	349	62
190	32	353	354	160	129
191	4	387	227	297	34
192	389	324	261	330	131
193	262	357	390	169	4
194	169	26	351	393	134
195	362	199	168	366	103
196	393	297	319	270	72
197	108	234	172	368	42
198	13	395	335	305	44
199	300	268	175	399	140
200	111	174	369	339	78
201	272	371	178	340	79
202	16	180	207	246	47
203	112	182	337	247	49
204	53	348	278	280	63
205	85	313	55	380	51
206	89	282	314	187	115
207	380	252	317	188	58
208	94	222	62	254	29
209	351	30	287	319	159
210	321	321	320	288	65
211	153	226	1	352	130
212	388	355	291	258	1
213	133	161	387	325	36
214	232	225	228	165	90
215	361	166	231	398	38
216	234	3	392	303	73
217	204	8	265	175	138
218	174	360	41	209	75
219	222	33	74	210	13
220	307	267	232	177	46
221	116	364	42	244	77
222	277	305	302	207	16
223	54	29	263	278	112
224	157	308	180	214	18
225	242	245	53	183	84
226	281	247	150	315	53
227	63	317	377	311	152
228	382	253	251	382	154
229	223	383	221	255	120
230	384	160	290	385	2
231	352	291	326	227	6
232	34	228	167	262	71
233	128	327	230	392	39
234	65	232	170	204	74
235	231	264	332	332	139
236	345	328	173	174	110
237	105	392	206	335	142
238	170	332	398	219	111
239	173	237	269	274	113
240	206	398	209	275	144
241	303	270	242	180	19
242	370	366	204	308	116
243	339	12	212	179	83
244	114	370	213	375	22
245	181	206	181	309	118
246	217	219	312	276	25
247	252	266	380	181	123
248	29	347	286	242	92
249	95	286	255	222	30
250	323	153	353	224	160
251	58	197	386	384	192
252	324	167	163	161	224
253	294	169	164	312	164
254	165	170	389	292	295
255	8	202	292	228	167
256	297	236	293	326	330
257	363	108	198	261	363
258	268	365	233	264	397
259	251	399	266	171	207
260	274	368	169	370	304
261	19	204	234	307	338
262	213	208	361	347	275
263	342	19	241	245	308
264	21	341	210	310	180
265	56	374	339	215	347
266	246	87	243	184	281
267	90	233	245	217	250
268	123	57	379	283	379
269	216	218	318	286	222
270	385	320	385	256	163
271	226	289	260	353	292
272	387	356	294	164	357
273	136	294	199	357	294
274	329	329	360	198	197
275	106	363	329	263	165
276	200	203	359	260	293
277	140	301	235	233	170
278	172	238	171	298	298
279	334	397	205	202	266
280	273	334	299	238	332
281	178	273	203	271	210
282	310	336	220	273	381
283	119	244	307	371	341
284	376	277	309	277	182
285	121	280	310	213	183
286	315	346	311	344	253
287	92	251	281	314	186
288	381	284	316	381	284
289	383	382	383	383	311
290	35	192	132	0	288
291	356	224	69	257	321
292	37	322	70	290	290
293	167	258	71	163	256
294	360	2	90	229	356
295	168	259	9	294	388
296	74	194	75	166	354
297	331	385	108	134	351
298	175	200	110	73	265
299	337	361	111	362	396
300	49	171	273	395	301
301	83	396	115	331	236
302	148	333	52	301	172
303	113	172	277	334	245
304	247	303	85	47	279
305	313	242	149	241	376
306	59	306	376	51	345
307	60	215	121	377	316
308	349	189	186	282	343
309	158	255	95	221	375
310	225	32	89	36	291
311	3	193	131	37	185
312	196	292	100	7	319
313	325	261	4	72	199
314	166	230	39	14	200
315	327	359	103	42	297
316	42	27	105	139	362
317	12	13	135	106	394
318	205	205	139	110	364
319	365	15	12	79	201
320	279	272	140	46	206
321	305	271	79	144	367
322	18	210	16	146	368
323	241	243	145	147	238
324	179	369	87	18	241
325	23	246	120	117	307
326	346	214	57	150	377
327	348	379	122	23	189
328	311	28	28	88	190
329	62	350	127	94	287
330	256	129	98	33	161
331	280	66	3	34	193
332	290	99	68	3	255
333	98	135	133	68	390
334	198	103	101	97	326
335	328	43	7	38	168
336	72	107	40	101	230
337	40	79	43	40	267
338	364	112	107	11	303
339	15	17	11	44	209
340	304	145	76	13	178
341	156	146	143	77	211
342	306	84	14	143	276
343	176	179	81	140	244
344	209	150	146	29	188
