	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	275	142	149	147	146
31	107	141	148	146	145
32	104	140	147	145	144
33	34	138	146	144	143
34	97	137	145	143	142
35	301	136	144	142	141
36	303	123	143	141	140
37	317	135	104	100	102
38	321	132	142	140	139
39	329	131	140	138	137
40	59	130	139	137	135
41	338	129	138	135	134
42	53	128	137	134	133
43	51	127	136	133	132
44	342	126	135	132	131
45	46	125	134	131	130
46	44	134	133	130	129
47	349	399	132	129	128
48	295	36	141	139	138
49	399	190	399	399	399
50	109	153	159	160	159
51	155	152	126	159	158
52	20	151	153	158	157
53	40	150	152	157	156
54	309	149	160	156	155
55	79	148	151	155	154
56	307	118	150	154	153
57	225	398	161	153	152
58	358	146	131	121	120
59	45	145	130	152	151
60	346	144	129	150	149
61	122	143	128	149	148
62	299	124	158	148	147
63	314	122	157	128	127
64	294	121	223	127	126
65	260	120	221	125	125
66	72	119	270	124	124
67	78	203	273	123	123
68	70	37	250	151	150
69	372	179	258	398	398
70	279	161	170	114	115
71	174	160	169	172	172
72	112	159	168	171	170
73	103	158	167	170	169
74	100	112	166	169	168
75	267	156	164	168	167
76	124	157	163	167	166
77	259	154	162	166	165
78	83	147	118	165	164
79	19	117	156	164	163
80	255	116	154	163	162
81	249	115	127	162	161
82	248	114	125	161	160
83	325	155	124	122	122
84	140	397	122	120	119
85	335	198	121	118	118
86	344	206	120	117	117
87	230	31	155	115	116
88	135	392	79	113	114
89	398	2	50	397	397
90	331	110	112	105	107
91	13	175	115	106	108
92	21	174	182	183	184
93	39	173	181	182	183
94	42	172	180	181	182
95	65	171	179	180	181
96	114	170	178	179	180
97	136	169	177	178	179
98	175	109	113	177	178
99	196	168	176	185	186
100	199	166	174	176	177
101	201	165	173	174	175
102	266	164	172	173	174
103	283	162	171	112	113
104	285	113	119	111	112
105	289	111	117	110	111
106	292	167	116	109	110
107	315	10	175	108	109
108	359	189	398	175	176
109	197	1	43	396	396
110	137	181	105	197	99
111	147	182	106	95	100
112	146	183	107	97	101
113	138	184	195	195	198
114	145	185	194	194	197
115	142	186	193	193	196
116	134	187	192	191	195
117	139	89	191	190	193
118	141	95	190	188	192
119	116	7	189	187	190
120	144	192	188	186	189
121	256	17	186	184	188
122	36	325	185	104	187
123	68	23	184	103	185
124	251	216	183	102	106
125	172	209	111	101	105
126	253	208	110	99	104
127	367	34	108	96	103
128	89	15	397	395	79
129	11	82	45	332	395
130	186	177	97	88	91
131	384	200	98	89	92
132	284	180	209	212	211
133	32	188	99	90	93
134	96	193	101	92	96
135	91	194	102	93	97
136	113	108	103	94	98
137	306	199	196	196	199
138	310	196	197	198	200
139	123	197	198	200	201
140	23	4	199	201	202
141	263	6	200	202	203
142	152	210	201	203	204
143	340	29	203	204	205
144	156	214	204	207	206
145	163	379	205	208	207
146	232	39	206	209	208
147	357	178	207	210	209
148	131	14	100	91	94
149	160	28	396	394	394
150	380	102	90	81	83
151	215	103	91	82	84
152	101	104	92	83	85
153	217	105	225	68	68
154	282	106	93	84	87
155	298	107	95	86	89
156	118	195	96	87	90
157	119	201	208	211	210
158	269	204	210	213	212
159	128	207	211	214	213
160	216	213	212	215	214
161	252	215	213	216	215
162	150	219	215	217	217
163	243	396	216	218	218
164	61	176	218	219	219
165	368	202	219	220	220
166	28	205	220	221	221
167	180	212	94	222	222
168	250	361	395	85	88
169	296	217	240	393	393
170	129	96	82	74	74
171	237	229	83	75	75
172	277	99	84	76	76
173	189	97	85	77	77
174	345	100	86	78	78
175	5	218	87	79	81
176	388	220	88	80	82
177	239	221	89	223	223
178	328	222	224	224	224
179	15	223	226	225	225
180	16	224	227	226	226
181	376	225	228	227	227
182	375	226	229	228	228
183	164	227	230	229	229
184	18	395	231	230	230
185	326	347	232	231	232
186	148	268	233	233	233
187	364	267	234	234	234
188	270	54	236	237	236
189	54	32	394	392	392
190	125	86	73	65	64
191	133	87	74	66	65
192	149	88	75	67	66
193	151	90	76	69	69
194	132	239	78	71	71
195	153	91	80	72	72
196	31	93	81	73	73
197	235	94	235	236	235
198	88	228	237	238	238
199	63	230	238	239	239
200	337	231	239	240	240
201	49	232	241	241	241
202	334	233	242	242	242
203	308	234	243	243	243
204	169	235	244	244	244
205	319	236	245	245	245
206	223	237	246	246	246
207	257	92	247	247	247
208	209	8	66	57	57
209	87	3	67	391	391
210	111	81	65	56	55
211	159	83	68	58	58
212	117	84	69	59	59
213	115	85	70	60	60
214	120	255	71	61	61
215	121	241	72	62	62
216	154	238	248	63	63
217	157	243	264	264	262
218	327	244	249	250	248
219	330	245	252	252	250
220	268	246	253	254	251
221	227	247	254	255	252
222	8	249	255	256	253
223	167	251	256	257	254
224	233	252	257	258	255
225	247	253	260	260	256
226	290	242	261	261	258
227	393	393	262	262	260
228	324	25	251	251	249
229	0	12	393	390	390
230	94	75	59	49	48
231	95	76	60	50	49
232	98	77	61	51	50
233	99	78	62	52	51
234	102	79	64	53	52
235	105	80	263	54	53
236	106	254	279	55	54
237	173	266	265	263	261
238	108	256	267	47	46
239	161	258	268	265	263
240	162	259	269	268	265
241	165	260	271	269	266
242	166	261	272	270	267
243	168	262	275	271	268
244	170	263	276	272	269
245	158	264	277	273	270
246	396	257	266	274	271
247	27	391	392	275	272
248	220	43	5	267	264
249	261	13	52	389	389
250	82	67	51	40	40
251	84	282	293	289	287
252	85	280	291	287	285
253	90	69	54	42	43
254	92	70	55	44	44
255	176	71	56	46	45
256	171	72	57	48	47
257	177	73	58	276	273
258	178	265	278	277	274
259	181	269	280	278	275
260	182	270	281	279	276
261	395	271	283	280	277
262	281	272	284	281	278
263	356	273	285	282	279
264	382	274	286	283	280
265	179	277	287	284	281
266	86	278	288	285	282
267	254	279	290	286	284
268	2	281	292	288	286
269	347	389	49	387	388
270	198	298	310	304	301
271	195	62	309	303	300
272	193	297	308	302	299
273	192	295	307	301	298
274	191	64	306	300	297
275	188	65	305	299	296
276	187	66	304	298	295
277	185	68	303	297	294
278	184	284	302	296	293
279	81	296	301	295	292
280	203	285	300	294	291
281	12	287	299	292	290
282	71	289	297	291	289
283	41	290	296	290	288
284	64	291	294	41	42
285	66	292	53	39	39
286	75	294	47	38	38
287	231	286	42	37	37
288	22	387	40	35	35
289	394	9	391	386	387
290	221	314	326	318	318
291	219	313	325	317	317
292	218	312	324	316	316
293	74	311	323	315	314
294	214	310	320	314	312
295	212	58	33	30	30
296	211	309	319	313	311
297	210	307	317	311	308
298	207	306	316	310	307
299	206	305	315	309	306
300	205	304	314	308	305
301	204	303	313	307	304
302	202	302	312	306	303
303	200	301	311	305	302
304	77	299	41	36	36
305	213	63	39	34	34
306	391	61	38	33	33
307	312	60	36	32	32
308	229	308	318	312	310
309	3	386	390	385	386
310	246	327	341	334	332
311	245	326	340	333	331
312	244	324	339	331	330
313	242	323	338	330	329
314	67	322	337	329	328
315	236	321	336	327	327
316	241	320	335	326	326
317	228	51	334	325	325
318	226	319	332	324	324
319	224	317	331	323	323
320	222	316	330	322	322
321	76	59	329	321	321
322	73	57	328	320	320
323	234	56	327	319	319
324	390	55	34	31	31
325	25	53	32	29	29
326	24	318	28	28	28
327	354	385	27	27	27
328	273	315	25	25	24
329	265	362	389	384	385
330	56	26	8	7	8
331	55	383	387	382	383
332	60	45	17	18	17
333	288	47	20	20	19
334	286	338	351	344	342
335	280	337	350	343	341
336	276	336	349	342	340
337	274	335	348	341	339
338	58	334	347	340	338
339	272	333	346	339	337
340	262	46	18	19	18
341	258	332	345	338	336
342	69	330	343	336	334
343	62	329	342	335	333
344	264	328	26	26	25
