	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	43	72	28	215	383
31	211	341	359	244	203
32	389	202	70	148	233
33	376	47	341	93	305
34	13	26	134	34	280
35	395	58	159	182	112
36	335	176	96	181	187
37	383	384	395	279	91
38	172	63	50	262	234
39	186	393	163	209	36
40	81	262	157	141	241
41	368	271	194	386	301
42	55	196	178	29	278
43	396	111	319	146	312
44	15	13	375	157	336
45	120	258	345	197	258
46	95	36	232	37	224
47	35	83	115	82	150
48	328	395	241	32	7
49	296	158	12	191	271
50	61	398	26	213	165
51	185	326	199	195	316
52	27	73	53	389	102
53	354	75	390	297	98
54	200	108	107	11	21
55	223	2	272	204	365
56	105	164	168	81	255
57	3	27	240	179	53
58	254	331	317	63	293
59	195	263	335	252	351
60	154	69	152	374	394
61	243	193	270	41	42
62	72	24	254	271	245
63	28	328	43	395	350
64	51	268	221	49	238
65	230	59	262	24	215
66	205	85	191	283	390
67	260	329	352	74	344
68	198	60	374	365	151
69	309	350	224	352	149
70	137	32	248	176	14
71	283	82	175	102	199
72	349	56	308	224	256
73	104	39	344	169	96
74	40	25	13	151	180
75	225	57	320	31	349
76	69	304	256	131	22
77	46	3	160	61	168
78	145	96	146	383	369
79	313	192	127	2	291
80	346	205	263	334	268
81	365	65	142	201	44
82	74	309	296	142	174
83	101	91	299	338	125
84	327	359	135	168	92
85	178	165	59	76	333
86	355	156	286	348	332
87	312	70	340	30	210
88	193	273	153	54	225
89	212	218	350	106	17
90	11	138	337	1	147
91	337	121	49	17	236
92	187	372	346	377	122
93	36	348	193	369	392
94	175	381	223	3	252
95	42	214	293	301	99
96	24	106	251	220	145
97	362	201	93	327	235
98	168	110	219	55	326
99	275	363	15	13	190
100	216	338	215	368	212
101	390	361	104	156	142
102	289	12	62	51	73
103	138	371	10	26	395
104	170	66	212	120	273
105	68	186	226	140	227
106	262	17	313	294	130
107	17	198	98	166	10
108	31	269	393	48	248
109	343	318	156	278	49
110	380	325	382	52	28
111	48	118	162	138	223
112	30	145	291	36	195
113	196	233	387	350	1
114	279	40	325	226	345
115	201	9	336	312	60
116	0	266	358	272	35
117	317	157	207	193	58
118	292	279	65	330	335
119	325	132	94	324	260
120	1	366	242	392	183
121	33	222	57	269	2
122	270	278	204	357	397
123	369	314	60	27	329
124	47	87	367	0	59
125	219	252	105	59	220
126	163	160	237	260	143
127	122	67	332	280	387
128	359	61	66	349	29
129	169	187	174	101	188
130	78	392	180	104	253
131	272	346	18	72	104
132	56	109	103	173	115
133	247	44	318	159	178
134	67	1	25	77	69
135	124	43	154	117	247
136	88	92	351	382	124
137	250	116	361	222	128
138	370	280	129	363	11
139	269	360	34	177	386
140	398	55	148	313	140
141	84	387	218	381	318
142	311	172	364	287	264
143	338	323	14	5	330
144	264	317	198	112	87
145	76	197	246	375	52
146	315	169	182	62	106
147	323	30	172	73	277
148	134	362	276	251	311
149	34	234	245	227	157
150	180	148	368	394	132
151	358	335	252	121	388
152	25	95	203	390	76
153	268	22	100	68	308
154	16	150	183	165	389
155	77	255	253	38	348
156	32	53	80	65	265
157	97	239	0	216	396
158	345	117	11	109	97
159	367	93	2	164	160
160	135	375	36	362	261
161	255	86	235	240	55
162	322	147	88	172	362
163	54	31	6	44	359
164	23	367	81	217	169
165	226	151	27	128	62
166	393	213	140	236	213
167	261	389	249	387	319
168	351	131	192	184	33
169	41	45	230	97	219
170	246	142	380	118	48
171	391	10	356	67	250
172	19	77	357	265	110
173	341	287	51	14	117
174	248	28	67	12	354
175	384	261	42	28	4
176	253	251	366	223	254
177	324	182	108	318	12
178	352	254	343	94	18
179	363	21	16	264	5
180	10	308	244	239	338
181	252	195	342	346	201
182	314	220	239	196	208
183	385	336	300	229	74
184	321	183	1	276	222
185	64	357	5	270	119
186	90	212	394	337	249
187	117	168	120	171	113
188	231	294	167	344	159
189	151	301	372	69	221
190	386	369	3	129	393
191	295	120	176	361	361
192	71	94	195	183	398
193	153	236	267	343	339
194	179	243	23	370	317
195	158	89	110	267	377
196	146	84	89	398	84
197	274	343	95	376	155
198	129	124	73	322	127
199	276	383	334	47	355
200	373	378	391	315	141
201	234	50	370	384	34
202	149	353	323	325	100
203	66	207	111	311	300
204	116	382	210	233	181
205	20	4	238	91	370
206	50	19	269	393	218
207	160	319	302	373	347
208	266	231	280	144	200
209	319	29	355	359	320
210	39	71	84	170	176
211	29	179	231	261	50
212	107	347	87	90	54
213	21	204	211	4	240
214	394	173	294	250	232
215	326	159	363	105	39
216	199	264	145	302	131
217	222	181	72	339	61
218	96	6	4	366	376
219	350	167	261	295	6
220	139	208	258	212	40
221	290	128	247	241	340
222	331	155	106	40	31
223	302	246	305	160	81
224	82	247	220	53	156
225	299	224	379	87	197
226	232	215	190	86	46
227	273	229	169	316	353
228	2	289	181	331	63
229	217	7	55	21	51
230	347	312	173	127	135
231	148	125	285	329	243
232	203	90	264	89	337
233	307	153	330	23	196
234	336	345	17	268	204
235	228	105	117	292	27
236	132	146	315	56	170
237	381	189	381	57	299
238	176	298	161	289	380
239	136	171	79	231	89
240	297	161	130	80	321
241	109	20	205	167	43
242	285	397	69	158	328
243	87	316	177	257	375
244	49	232	326	33	198
245	173	299	139	71	287
246	242	380	384	108	0
247	171	23	45	238	366
248	209	122	377	162	71
249	206	334	396	150	202
250	125	80	101	234	138
251	98	226	292	135	15
252	227	315	74	296	19
253	12	14	250	225	123
254	207	310	132	139	327
255	167	112	133	103	78
256	236	217	119	378	214
257	188	296	121	326	172
258	388	68	58	208	72
259	60	237	227	290	302
260	204	210	143	155	126
261	241	242	68	314	101
262	239	8	83	130	322
263	265	100	389	277	75
264	344	306	7	18	391
265	70	297	307	125	30
266	162	154	75	397	158
267	86	97	268	335	239
268	306	51	97	306	385
269	62	249	82	288	116
270	37	170	8	132	279
271	286	238	47	345	161
272	75	137	61	305	37
273	121	368	125	46	270
274	94	320	347	354	114
275	91	33	33	194	16
276	218	130	243	96	352
277	5	227	22	25	373
278	4	42	131	19	25
279	63	115	209	50	367
280	114	178	339	286	146
281	111	377	376	243	304
282	79	221	138	263	152
283	128	228	303	110	324
284	258	260	234	111	207
285	181	129	56	380	167
286	257	79	41	230	211
287	108	235	338	273	244
288	38	52	365	35	179
289	7	307	311	200	77
290	256	259	273	258	103
291	152	5	147	256	262
292	364	399	281	396	45
293	9	324	297	122	137
294	304	175	85	113	82
295	259	330	304	214	85
296	83	184	213	123	331
297	224	62	386	79	286
298	142	337	290	95	24
299	281	385	278	291	363
300	291	134	229	153	295
301	59	126	185	16	65
302	249	174	328	353	129
303	229	332	310	321	162
304	192	352	353	185	88
305	298	194	324	237	8
306	284	107	260	351	133
307	92	303	118	308	288
308	197	257	76	319	272
309	131	379	385	247	23
310	233	270	329	8	64
311	161	267	64	298	382
312	342	49	170	180	374
313	118	290	236	92	294
314	45	188	91	145	163
315	144	166	52	203	290
316	287	291	200	332	399
317	102	38	398	254	13
318	177	253	124	124	38
319	53	281	201	114	314
320	237	272	126	149	323
321	73	365	397	320	263
322	159	64	32	323	378
323	375	342	279	66	177
324	357	284	371	75	364
325	141	265	399	202	356
326	165	143	116	84	229
327	361	322	196	355	289
328	182	200	92	285	228
329	316	302	309	367	9
330	348	354	360	85	242
331	334	15	99	186	154
332	147	149	179	347	379
333	191	34	284	274	134
334	387	274	171	187	307
335	294	391	327	379	296
336	251	135	265	307	206
337	213	123	136	372	166
338	115	245	86	152	153
339	382	162	228	207	281
340	112	190	378	39	94
341	65	364	122	342	285
342	184	144	166	246	306
343	155	216	271	99	325
344	156	295	314	137	184
