	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	654	652	9	6	650
101	15	13	650	7	13
102	676	660	654	15	662
103	46	663	15	658	663
104	688	664	656	664	664
105	52	35	658	24	28
106	53	676	23	27	683
107	696	43	663	51	51
108	701	45	26	692	60
109	702	47	29	63	705
110	64	696	686	702	64
111	66	64	45	67	715
112	712	715	702	705	81
113	727	76	64	71	84
114	729	723	80	80	88
115	735	85	725	84	92
116	97	89	85	741	94
117	98	92	94	108	97
118	756	94	95	752	738
119	757	738	100	122	120
120	120	112	107	123	761
121	762	757	753	761	767
122	124	761	757	757	772
123	131	120	761	762	142
124	775	772	124	765	782
125	779	775	131	767	154
126	144	133	779	139	159
127	154	138	786	141	797
128	795	139	151	791	803
129	158	794	794	795	171
130	800	154	795	162	811
131	162	155	153	805	815
132	802	801	155	817	821
133	177	159	162	179	826
134	181	170	165	183	191
135	817	177	166	185	201
136	201	831	809	189	207
137	217	832	172	193	210
138	851	193	173	199	849
139	853	203	174	203	850
140	858	208	175	207	220
141	226	850	185	208	221
142	873	215	196	859	865
143	874	216	208	217	231
144	245	859	209	222	885
145	249	220	222	223	246
146	252	863	224	874	892
147	253	224	874	252	253
148	894	867	239	253	268
149	258	240	240	912	913
150	272	246	881	917	273
151	276	888	882	273	274
152	277	891	884	274	926
153	913	898	252	919	291
154	922	902	265	284	292
155	290	271	913	286	933
156	291	273	277	933	296
157	939	274	927	937	309
158	301	912	291	300	311
159	942	917	933	307	316
160	307	922	304	955	955
161	309	290	319	311	320
162	319	926	320	314	323
163	965	933	329	320	963
164	327	302	972	963	327
165	332	304	976	334	329
166	973	939	977	337	334
167	976	949	345	980	341
168	343	317	348	985	346
169	344	955	349	986	991
170	985	322	995	344	998
171	346	344	360	346	359
172	987	982	362	342	365
173	360	353	373	348	374
174	374	354	374	349	386
175	377	992	376	370	390
176	388	362	377	386	411
177	392	388	388	403	418
178	420	401	392	405	436
179	434	413	413	411	443
180	435	436	414	414	450
181	436	438	420	420	452
182	438	447	430	431	458
183	442	450	449	435	461
184	445	460	450	442	463
185	449	465	463	458	465
186	454	474	481	471	476
187	467	487	498	476	481
188	481	500	500	481	497
189	518	501	515	490	498
190	527	503	518	494	507
191	551	507	527	496	515
192	557	511	539	511	518
193	563	515	549	527	527
194	578	520	568	549	555
195	604	535	589	555	578
196	607	569	603	575	603
197	611	584	607	603	614
198	627	603	610	629	627
199	631	614	631	634	630
200	641	4	3	9	4
201	642	6	644	657	12
202	8	653	14	23	658
203	649	656	674	672	19
204	658	18	681	38	25
205	662	657	682	675	675
206	30	22	685	679	36
207	682	38	44	45	37
208	685	691	700	50	677
209	689	697	58	56	45
210	50	60	703	57	47
211	693	704	704	700	50
212	58	75	66	703	689
213	699	79	710	66	57
214	700	81	712	68	58
215	709	722	69	710	700
216	711	726	76	72	73
217	76	728	719	76	77
218	716	733	723	721	716
219	717	748	728	723	719
220	721	750	101	725	720
221	728	105	744	92	725
222	105	132	110	735	730
223	746	781	115	737	733
224	752	785	759	748	100
225	122	790	767	112	744
226	130	156	132	750	121
227	769	807	135	753	789
228	771	811	146	120	156
229	142	813	796	758	800
230	781	818	798	764	801
231	785	175	815	772	816
232	790	822	838	156	194
233	156	827	845	166	833
234	793	187	205	174	196
235	173	189	206	178	835
236	816	194	860	827	838
237	200	204	221	837	841
238	849	205	862	192	844
239	857	847	864	838	213
240	223	212	878	196	852
241	227	854	883	845	851
242	861	857	247	848	858
243	231	221	887	209	861
244	235	865	890	855	225
245	880	227	891	862	227
246	884	235	255	876	230
247	885	877	899	878	883
248	887	243	905	880	884
249	255	892	907	237	247
250	904	268	918	886	898
251	910	904	919	242	901
252	918	276	925	894	266
253	919	910	282	895	275
254	285	909	928	898	923
255	923	291	929	899	290
256	928	937	938	266	293
257	297	938	300	922	941
258	937	303	943	925	299
259	941	305	947	927	942
260	964	954	948	929	305
261	325	962	952	935	948
262	354	336	962	938	952
263	996	976	964	952	959
264	368	341	984	965	960
265	369	984	351	971	961
266	390	989	355	331	962
267	393	379	999	329	969
268	397	387	397	984	984
269	404	417	398	352	989
270	408	430	400	999	370
271	414	437	422	376	373
272	415	441	424	382	376
273	424	470	425	398	379
274	429	471	429	404	389
275	432	475	440	406	397
276	451	486	441	417	398
277	464	488	446	424	435
278	465	495	475	430	438
279	472	504	477	445	451
280	480	533	485	449	472
281	509	534	496	468	477
282	511	546	511	485	516
283	528	547	516	512	531
284	534	548	517	516	533
285	546	553	519	528	547
286	547	555	524	535	552
287	553	577	528	553	553
288	554	578	554	558	566
289	558	586	570	574	567
290	561	587	573	584	582
291	583	589	576	592	584
292	585	608	594	598	586
293	592	609	598	600	589
294	593	619	601	601	598
295	602	623	605	606	600
296	614	633	621	608	610
297	622	637	628	612	618
298	623	638	633	614	623
299	632	639	638	618	633
300	3	642	640	639	641
301	6	8	641	3	649
302	646	12	643	646	655
303	665	665	646	11	659
304	25	27	8	12	22
305	679	667	661	667	670
306	40	675	27	669	33
307	687	39	672	673	680
308	61	679	31	42	682
309	710	44	675	682	684
310	77	683	40	683	687
311	80	48	689	694	694
312	726	690	51	65	698
313	82	693	53	704	61
314	731	698	697	714	710
315	94	61	698	726	713
316	737	699	55	731	714
317	738	65	79	734	79
318	740	707	88	98	80
319	107	713	738	740	721
320	748	74	741	104	722
321	115	720	104	106	728
322	119	735	748	746	729
323	141	93	119	118	745
324	789	740	765	127	747
325	792	745	126	132	760
326	796	104	769	774	130
327	160	118	127	778	132
328	168	766	781	145	776
329	809	121	785	787	145
330	182	127	787	151	781
331	190	130	789	793	784
332	191	774	792	801	790
333	193	135	797	164	794
334	824	796	169	168	796
335	197	160	820	810	169
336	833	164	178	818	177
337	202	165	822	182	180
338	840	190	182	187	182
339	846	837	825	190	822
340	847	846	190	194	188
341	865	213	191	841	830
342	230	230	841	852	199
343	241	876	200	857	840
344	879	883	843	861	204
345	246	247	202	865	847
346	895	890	846	225	209
347	898	263	854	230	860
348	911	905	857	235	876
349	284	278	869	247	232
350	921	284	235	892	879
351	293	287	877	890	880
352	294	921	241	251	890
353	295	924	243	905	251
354	943	295	886	906	895
355	945	297	889	921	280
356	311	311	251	277	284
357	954	946	909	282	295
358	956	947	911	287	938
359	961	953	920	294	943
360	335	961	280	297	947
361	336	330	283	945	953
362	338	347	932	312	318
363	979	986	299	959	326
364	350	351	941	962	982
365	351	355	301	326	347
366	366	357	302	336	990
367	371	359	949	347	351
368	373	366	956	994	361
369	376	367	958	995	368
370	385	368	318	361	385
371	387	375	327	366	388
372	394	378	330	378	406
373	412	390	974	390	415
374	422	393	331	399	424
375	427	397	340	408	427
376	430	398	982	425	440
377	446	406	341	446	441
378	462	419	989	451	442
379	466	422	357	455	446
380	470	427	361	462	453
381	477	440	378	466	454
382	485	451	379	470	457
383	491	453	387	488	462
384	499	466	394	491	471
385	516	468	406	495	480
386	519	480	408	504	495
387	538	499	412	509	502
388	544	512	417	517	504
389	565	513	433	529	512
390	573	517	442	544	528
391	576	542	488	547	558
392	584	566	502	554	588
393	595	570	577	573	601
394	598	574	602	577	602
395	606	576	606	588	606
396	615	585	608	616	609
397	628	588	623	626	622
398	637	615	626	635	626
399	639	640	639	637	637
400	645	2	4	2	0
401	651	7	647	649	6
402	652	647	10	652	10
403	9	654	659	655	18
404	12	655	24	666	657
405	10	661	666	670	673
406	21	662	677	34	31
407	667	23	680	684	676
408	668	31	684	685	679
409	669	33	42	689	40
410	670	34	690	693	686
411	672	672	693	60	691
412	34	36	50	707	707
413	680	42	54	709	75
414	684	680	717	711	83
415	47	681	82	713	724
416	48	685	729	719	93
417	698	51	731	720	102
418	705	53	106	89	106
419	708	54	751	729	113
420	70	55	752	730	759
421	714	57	758	736	149
422	78	695	762	100	150
423	722	701	763	134	785
424	81	702	770	144	151
425	86	66	771	152	793
426	730	68	776	790	160
427	87	708	777	161	804
428	89	716	134	802	809
429	92	718	782	165	812
430	734	78	141	804	175
431	739	86	150	808	174
432	101	725	824	171	825
433	742	88	835	813	827
434	104	91	836	816	843
435	753	96	837	826	206
436	118	98	197	830	845
437	766	759	840	835	212
438	767	117	842	842	853
439	136	763	203	843	223
440	145	768	850	200	224
441	787	769	212	851	869
442	151	126	215	206	872
443	152	129	858	854	893
444	161	131	859	860	257
445	165	142	232	864	896
446	185	789	872	866	908
447	822	145	873	871	912
448	192	798	875	875	271
449	825	799	879	877	272
450	837	166	245	234	278
451	206	816	249	882	279
452	844	173	894	887	924
453	220	179	906	250	937
454	854	180	908	256	944
455	225	197	271	901	946
456	860	199	275	902	303
457	228	209	924	910	312
458	876	222	286	918	951
459	877	879	293	920	954
460	242	242	942	283	322
461	244	255	953	299	965
462	896	908	955	964	967
463	256	277	325	321	972
464	261	911	336	969	976
465	262	286	338	332	985
466	263	293	342	978	986
467	265	932	343	979	360
468	905	296	987	987	392
469	912	300	998	991	394
470	278	307	364	359	399
471	283	945	368	367	400
472	308	320	372	392	403
473	949	956	380	395	409
474	310	328	396	413	416
475	321	331	399	441	423
476	334	978	407	444	431
477	974	995	427	447	482
478	347	358	459	460	494
479	991	361	460	469	496
480	358	369	464	475	500
481	999	373	472	522	503
482	365	380	482	525	522
483	370	382	491	533	526
484	378	403	499	534	534
485	380	415	514	536	537
486	384	434	522	537	544
487	389	443	525	538	548
488	444	444	543	540	556
489	453	454	546	543	561
490	457	457	560	551	565
491	471	459	565	565	579
492	502	467	582	567	585
493	524	473	583	570	592
494	541	502	585	589	596
495	570	525	586	593	605
496	580	561	588	596	613
497	600	594	622	610	615
498	618	602	629	622	619
499	620	627	630	627	632
500	644	5	0	0	1
501	648	9	5	640	643
502	653	14	649	643	647
503	656	32	18	5	651
504	660	678	657	650	652
505	18	688	21	16	14
506	33	69	30	19	16
507	678	71	32	660	661
508	39	73	43	22	24
509	41	95	48	662	668
510	62	737	696	28	669
511	72	743	56	29	671
512	73	113	699	31	42
513	79	760	707	32	697
514	90	762	67	671	703
515	732	123	715	35	708
516	95	771	726	36	69
517	99	128	87	676	717
518	102	773	91	40	718
519	744	777	760	678	727
520	747	134	121	681	732
521	106	786	764	47	736
522	109	144	123	691	743
523	111	802	766	701	746
524	113	806	128	706	751
525	751	168	133	717	752
526	759	815	778	78	756
527	125	823	783	718	758
528	774	824	157	722	764
529	137	178	810	727	129
530	139	826	811	733	769
