	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	303	319	442	978	334
101	304	331	304	73	333
102	306	324	305	508	338
103	307	326	313	396	331
104	308	332	259	516	346
105	309	335	443	398	329
106	495	334	308	518	328
107	365	328	928	964	326
108	293	320	411	387	324
109	291	330	514	386	323
110	268	790	1	402	327
111	269	32	412	937	347
112	272	236	516	983	317
113	274	704	64	938	463
114	276	584	21	968	348
115	277	440	414	903	322
116	278	233	23	496	318
117	279	944	964	141	337
118	283	942	916	102	319
119	284	940	27	298	320
120	285	939	440	299	968
121	286	938	477	745	500
122	287	288	485	746	989
123	289	821	430	748	28
124	290	36	976	749	965
125	292	957	512	628	991
126	313	108	488	210	474
127	310	961	33	752	435
128	343	264	949	304	972
129	354	150	984	761	449
130	351	992	987	764	31
131	355	148	500	614	527
132	350	989	44	613	58
133	347	147	991	194	39
134	346	471	418	308	986
135	357	673	416	627	939
136	345	796	446	297	461
137	358	280	406	734	462
138	344	815	846	733	975
139	314	980	404	676	19
140	360	977	812	685	948
141	342	445	335	673	494
142	338	973	163	252	41
143	352	972	606	270	6
144	337	970	607	667	457
145	336	968	608	666	713
146	335	444	176	237	920
147	334	242	787	272	825
148	333	22	620	273	616
149	332	351	779	658	820
150	328	695	312	278	626
151	327	501	776	714	807
152	325	924	194	225	341
153	324	716	631	726	649
154	323	635	307	730	330
155	491	884	764	637	213
156	319	199	640	773	775
157	317	748	761	191	220
158	315	198	759	606	664
159	363	87	757	779	315
160	353	754	208	346	760
161	508	91	747	568	675
162	985	194	731	565	309
163	997	743	674	837	743
164	470	758	247	559	476
165	998	95	698	553	727
166	484	383	697	552	282
167	964	312	819	829	721
168	267	180	522	132	269
169	387	315	822	859	274
170	46	629	345	861	614
171	288	858	524	361	360
172	237	378	525	545	611
173	702	562	400	112	832
174	301	547	905	878	548
175	779	423	901	103	913
176	311	321	894	128	903
177	321	615	531	100	898
178	818	604	94	573	405
179	828	925	385	575	404
180	364	561	552	782	401
181	737	49	111	784	886
182	129	52	870	601	571
183	125	506	869	598	575
184	120	507	867	791	121
185	404	580	368	321	535
186	592	786	860	178	873
187	99	888	858	177	582
188	418	510	857	818	394
189	428	609	564	322	392
190	564	65	565	326	386
191	559	904	853	803	858
192	444	902	845	332	856
193	448	212	573	808	385
194	59	304	840	810	375
195	53	573	351	812	156
196	547	175	833	814	605
197	541	417	828	324	835
198	746	460	591	999	581
199	607	525	999	519	998
200	380	53	458	530	295
201	379	48	925	532	293
202	378	466	38	533	418
203	377	26	929	536	419
204	242	910	930	538	469
205	376	913	931	282	291
206	504	914	933	274	290
207	375	43	32	271	289
208	249	42	940	558	395
209	505	409	31	567	436
210	244	35	943	572	909
211	520	930	953	263	917
212	245	453	361	584	69
213	374	406	251	586	534
214	246	847	87	490	453
215	506	807	700	258	926
216	373	94	199	489	477
217	509	215	197	342	988
218	371	582	310	395	985
219	370	209	715	413	10
220	260	581	723	393	491
221	523	694	319	391	976
222	534	204	568	423	974
223	518	698	728	425	18
224	8	586	729	426	20
225	485	203	178	428	465
226	480	702	567	383	33
227	503	309	741	381	454
228	494	192	321	434	907
229	951	576	560	376	952
230	561	715	171	369	446
231	945	722	751	367	947
232	26	723	699	366	946
233	565	579	752	447	943
234	974	217	294	459	941
235	510	680	590	466	441
236	50	587	638	352	440
237	544	627	639	470	524
238	487	623	641	471	60
239	511	642	243	473	933
240	570	643	262	344	61
241	980	270	263	479	62
242	573	284	234	120	424
243	576	614	232	590	132
244	982	286	272	592	539
245	39	655	605	713	806
246	633	295	666	171	804
247	602	240	219	165	803
248	820	235	599	731	609
249	813	593	682	736	356
250	806	228	287	750	352
251	173	672	685	158	790
252	802	226	686	757	624
253	796	221	292	155	630
254	679	179	323	765	184
255	682	504	557	767	635
256	688	570	518	711	608
257	367	728	344	772	299
258	912	130	511	777	658
259	775	535	508	146	747
260	769	356	349	143	292
261	263	357	355	795	738
262	262	531	107	135	226
263	760	123	498	133	728
264	756	632	101	801	679
265	754	808	517	802	272
266	712	118	357	809	239
267	748	818	832	816	709
268	230	521	96	823	703
269	234	114	836	775	755
270	204	112	95	256	362
271	824	827	838	196	161
272	662	511	841	689	365
273	832	837	492	595	547
274	902	838	843	600	421
275	901	177	831	250	892
276	447	789	760	611	891
277	895	797	505	615	553
278	101	135	520	618	555
279	435	735	554	621	94
280	434	742	551	622	98
281	877	560	162	232	101
282	430	745	158	635	397
283	660	166	330	230	393
284	866	160	333	231	390
285	875	541	781	643	849
286	865	343	783	646	585
287	857	153	519	652	698
288	855	769	146	222	140
289	644	548	139	220	833
290	408	144	342	662	831
291	145	141	527	668	149
292	839	136	795	669	596
293	148	765	526	205	827
294	394	428	134	477	369
295	960	401	523	491	368
296	453	430	140	889	601
297	546	749	864	793	602
298	731	517	952	260	81
299	880	630	850	640	733
300	253	966	938	910	265
301	35	976	932	904	266
302	252	978	91	901	268
303	251	949	923	895	270
304	250	887	25	68	275
305	241	982	911	892	273
306	236	892	907	69	271
307	235	895	957	857	278
308	231	900	53	723	297
309	256	855	15	91	264
310	24	908	977	499	298
311	369	852	897	501	311
312	397	946	965	323	303
313	25	937	55	507	248
314	412	898	56	511	306
315	411	488	11	514	312
316	384	816	10	312	250
317	409	294	971	523	247
318	417	305	887	495	901
319	401	346	886	311	983
320	414	352	883	303	431
321	415	358	975	300	528
322	396	359	963	537	925
323	393	368	927	547	719
324	420	370	420	550	522
325	392	390	100	281	993
326	390	405	539	555	896
327	30	407	546	269	982
328	388	419	549	306	518
329	385	422	559	574	716
330	419	434	569	341	251
331	975	437	293	469	50
332	21	448	579	390	967
333	931	450	280	410	970
334	965	243	598	385	971
335	48	452	609	414	676
336	926	241	612	416	14
337	979	223	619	417	26
338	928	12	624	420	955
339	954	18	246	421	495
340	918	34	245	481	929
341	532	54	533	424	980
342	95	69	629	433	507
343	224	74	326	435	218
344	706	75	327	375	942
345	229	81	408	443	42
346	691	102	399	450	45
347	254	125	429	358	12
348	299	126	432	455	514
349	668	128	437	460	659
350	389	129	392	382	723
351	410	156	387	589	90
352	413	163	461	259	84
353	631	187	363	475	288
354	629	197	483	722	838
355	429	227	343	253	641
356	622	465	487	758	834
357	442	467	497	104	758
358	614	468	503	774	373
359	451	617	329	778	822
360	462	634	529	783	136
361	585	638	848	138	816
362	581	639	633	125	194
363	492	651	646	124	764
364	545	668	765	807	813
365	528	675	167	813	633
366	94	678	161	113	632
367	724	696	777	838	597
368	219	721	155	827	305
369	1	757	148	828	157
370	837	759	143	830	171
371	154	761	131	169	793
372	795	774	810	108	160
373	858	781	811	710	592
374	726	785	815	849	382
375	781	787	123	853	843
376	107	597	117	248	284
377	780	826	826	234	888
378	840	596	115	616	423
379	778	583	758	626	615
380	863	475	643	629	879
381	867	480	704	233	878
382	768	484	753	634	876
383	187	996	239	226	872
384	753	492	235	214	552
385	751	495	653	211	654
386	749	499	233	207	409
387	727	591	659	203	276
388	114	502	218	202	560
389	910	508	675	679	407
390	500	536	207	190	562
391	218	551	689	703	279
392	973	554	692	179	402
393	920	555	419	107	851
394	967	564	710	926	199
395	924	566	712	145	198
396	774	578	190	957	847
397	295	503	748	151	746
398	118	998	173	855	83
399	162	763	884	985	997
400	423	361	24	411	415
401	422	362	255	409	480
402	368	313	261	408	450
403	366	310	20	407	448
404	298	322	266	406	458
405	296	296	270	404	447
406	294	277	271	399	444
407	49	278	275	392	464
408	265	279	276	384	467
409	261	282	277	380	456
410	258	418	264	378	471
411	255	285	19	372	442
412	228	287	301	307	439
413	427	290	299	302	428
414	431	291	298	347	472
415	87	415	300	235	427
416	436	293	302	267	475
417	449	308	291	254	479
418	446	297	289	251	443
419	47	412	286	229	366
420	44	363	285	218	370
421	43	402	283	268	280
422	432	307	3	217	497
423	439	303	28	247	262
424	458	302	996	283	260
425	452	300	989	266	257
426	41	367	854	284	255
427	445	879	856	265	253
428	457	70	948	238	246
429	454	990	882	213	498
430	992	396	863	236	244
431	77	505	922	301	243
432	952	883	881	290	238
433	956	420	955	287	237
434	957	398	908	289	501
435	923	934	918	512	231
436	9	399	958	403	230
437	981	45	962	948	364
438	922	33	50	950	281
439	977	63	972	753	452
440	976	387	40	741	332
441	82	414	934	958	353
442	896	954	407	405	351
443	22	964	88	227	349
444	937	922	623	955	335
445	893	962	616	488	361
446	551	487	611	962	354
447	103	909	610	200	359
448	659	413	601	199	316
449	438	403	597	441	489
450	654	993	595	439	313
451	641	416	592	462	296
452	638	397	257	437	981
453	637	276	585	195	904
454	466	76	265	11	951
455	625	590	238	12	521
456	617	159	530	193	979
457	609	311	499	15	513
458	502	608	340	20	516
459	604	619	468	22	935
460	600	189	360	967	549
461	996	190	450	996	16
462	595	301	378	223	940
463	524	585	388	522	37
464	583	724	425	294	960
465	582	645	396	943	505
466	580	647	421	277	519
467	579	222	413	886	699
468	525	224	502	670	85
469	542	234	844	153	708
470	556	657	231	149	224
471	663	663	224	95	232
472	885	269	837	888	233
473	297	640	119	288	683
474	217	872	817	317	206
475	833	327	121	842	749
476	830	138	126	865	753
477	825	78	804	106	756
478	823	79	133	860	314
479	140	520	794	118	350
480	807	863	793	608	645
481	159	856	136	754	163
482	161	533	141	571	162
483	782	546	785	898	623
484	770	556	644	43	137
485	182	563	772	45	133
486	757	798	763	528	607
487	752	117	755	933	389
488	191	822	744	176	400
489	193	568	174	925	416
490	197	819	182	570	114
491	734	569	398	242	425
492	201	574	196	919	853
493	202	805	690	168	438
494	728	133	665	355	93
495	722	134	656	72	870
496	710	823	771	160	92
497	708	479	703	365	569
498	686	983	58	446	451
499	598	750	626	494	503
500	185	72	338	201	88
501	999	71	924	444	87
502	557	68	920	23	80
503	465	41	348	19	79
504	467	66	350	13	77
505	554	61	356	445	75
506	469	59	358	449	73
507	553	57	359	10	72
508	472	55	362	458	67
509	473	51	364	461	195
510	550	47	365	9	200
511	477	64	373	468	183
512	478	208	374	7	201
513	481	173	376	198	403
514	464	210	377	472	406
515	548	369	379	485	408
516	483	373	380	5	410
517	489	375	381	3	411
518	493	377	389	487	412
519	498	379	914	492	481
520	499	380	394	504	488
521	540	381	397	506	502
522	538	384	187	509	504
523	537	386	314	517	506
524	513	388	316	2	512
525	519	393	254	521	515
526	526	421	192	1	526
527	189	427	195	6	399
528	558	431	200	431	531
529	530	432	201	442	533
530	424	436	202	24	537
