	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	781	515	928	570	697
101	534	945	890	441	896
102	368	790	883	790	730
103	928	534	781	999	515
104	945	570	938	534	247
105	911	368	515	938	736
106	532	27	989	989	781
107	541	285	911	182	368
108	844	883	285	206	534
109	999	221	364	289	130
110	561	938	999	984	647
111	182	130	412	889	561
112	477	716	261	22	840
113	524	524	251	552	847
114	790	961	640	151	790
115	538	539	53	945	39
116	570	290	758	104	938
117	742	356	533	816	194
118	717	440	191	359	743
119	261	101	178	282	31
120	136	984	340	968	318
121	438	531	833	532	601
122	284	104	630	160	225
123	290	284	420	455	361
124	716	954	361	23	351
125	961	573	965	567	441
126	670	640	169	533	126
127	295	532	119	27	98
128	206	763	27	538	136
129	430	441	440	416	715
130	225	136	341	925	907
131	595	541	982	723	759
132	384	561	136	98	968
133	408	438	468	158	151
134	573	384	436	108	400
135	367	430	418	601	538
136	830	742	388	525	288
137	334	794	525	408	707
138	618	807	148	611	22
139	682	911	243	736	886
140	600	108	351	876	436
141	101	367	229	430	675
142	98	609	631	367	876
143	485	720	318	720	605
144	413	334	879	247	366
145	542	227	930	321	204
146	436	781	300	947	496
147	120	263	203	573	820
148	850	494	643	964	206
149	130	282	104	983	807
150	743	417	239	880	914
151	525	576	952	433	299
152	587	619	992	100	960
153	576	956	333	681	350
154	952	774	55	826	749
155	299	618	133	959	700
156	106	664	276	730	83
157	960	503	751	235	584
158	619	4	433	618	476
159	10	413	289	997	160
160	579	120	954	734	961
161	951	359	110	670	861
162	700	972	425	685	880
163	173	502	242	371	898
164	689	699	981	888	893
165	734	38	88	225	279
166	227	704	760	655	975
167	503	697	99	539	879
168	698	336	173	426	833
169	982	422	747	886	399
170	335	989	628	135	872
171	807	525	214	727	401
172	885	399	372	646	786
173	863	816	45	801	212
174	263	944	79	967	989
175	866	455	115	918	58
176	774	432	446	259	312
177	685	406	327	600	331
178	893	998	91	595	382
179	997	564	789	926	892
180	929	133	379	145	813
181	972	937	126	812	385
182	651	955	206	311	100
183	793	542	157	43	311
184	880	950	972	650	594
185	695	398	783	508	273
186	546	296	100	227	929
187	747	580	275	384	269
188	813	23	638	804	218
189	881	495	339	863	971
190	805	486	176	477	532
191	606	962	940	355	811
192	875	228	767	807	349
193	975	759	642	689	47
194	527	940	219	152	69
195	978	607	374	814	289
196	733	546	710	290	889
197	508	632	576	385	389
198	867	436	238	413	951
199	385	127	69	191	390
200	151	135	889	951	716
201	954	850	707	774	984
202	715	22	441	961	776
203	417	12	368	12	440
204	631	584	151	960	883
205	664	723	417	664	275
206	956	867	825	417	1
207	584	269	956	640	954
208	941	585	697	263	564
209	446	891	661	120	720
210	311	701	715	592	816
211	726	668	247	956	959
212	12	715	197	299	664
213	641	976	672	805	282
214	420	387	293	1	408
215	204	43	963	952	609
216	965	696	127	481	592
217	759	813	695	944	552
218	39	831	11	955	631
219	422	899	958	870	481
220	944	579	338	406	108
221	296	335	216	929	952
222	481	787	105	571	544
223	998	651	212	598	794
224	22	397	406	544	406
225	294	556	357	980	619
226	390	661	299	937	598
227	336	838	286	336	439
228	571	983	684	439	182
229	770	852	408	518	398
230	467	854	798	196	941
231	387	980	984	973	120
232	418	948	200	547	585
233	228	13	941	387	494
234	131	973	4	637	869
235	104	294	123	127	518
236	197	608	266	810	925
237	943	863	726	948	972
238	397	970	809	390	937
239	996	602	570	962	602
240	923	574	762	31	503
241	1	650	329	811	948
242	502	925	870	793	549
243	250	587	770	399	593
244	699	409	657	966	501
245	622	279	772	922	522
246	910	966	231	423	571
247	973	402	470	409	563
248	635	869	235	404	502
249	424	750	132	549	607
250	645	845	106	657	397
251	432	903	996	749	870
252	21	39	121	950	950
253	986	724	995	498	670
254	470	908	254	410	689
255	638	480	82	407	537
256	47	482	517	437	415
257	254	727	647	935	944
258	414	743	152	414	597
259	593	818	782	405	519
260	981	204	298	514	793
261	762	871	66	854	237
262	152	811	792	537	4
263	731	414	85	568	699
264	94	194	674	704	489
265	544	694	460	638	356
266	749	405	248	755	423
267	423	968	835	420	504
268	990	3	155	517	747
269	721	638	987	694	659
270	636	517	452	446	641
271	691	467	331	294	410
272	276	94	656	828	580
273	942	129	283	386	581
274	557	504	325	593	516
275	728	121	909	559	547
276	937	31	703	551	446
277	40	805	143	754	527
278	980	416	161	429	613
279	355	926	232	522	227
280	409	589	21	369	13
281	637	466	843	189	569
282	220	855	167	621	727
283	602	946	700	901	133
284	564	681	146	312	586
285	118	726	80	557	18
286	580	212	454	971	73
287	633	590	222	366	926
288	293	423	991	450	221
289	686	288	134	471	599
290	559	557	96	635	405
291	930	942	32	117	611
292	495	514	692	626	506
293	671	645	355	731	394
294	526	390	209	779	637
295	547	996	449	536	424
296	979	981	316	490	724
297	739	297	208	645	722
298	427	7	837	133	127
299	6	418	753	965	686
300	505	798	221	628	955
301	551	36	356	106	973
302	442	420	101	36	228
303	540	450	539	424	962
304	48	551	524	403	998
305	985	505	844	425	923
306	858	910	531	845	418
307	628	526	477	757	980
308	757	858	426	540	942
309	754	386	541	5	946
310	828	657	595	978	296
311	189	547	742	943	982
312	917	635	430	435	505
313	752	594	182	977	940
314	662	403	38	459	632
315	756	427	282	375	633
316	744	407	567	750	12
317	9	268	763	304	622
318	369	591	400	853	645
319	581	986	552	590	591
320	627	540	422	329	935
321	410	435	135	917	858
322	429	369	413	346	636
323	970	995	776	756	657
324	324	5	579	250	845
325	663	459	597	752	409
326	156	48	605	666	435
327	977	773	564	773	514
328	550	757	840	622	425
329	435	982	805	187	329
330	607	633	602	957	369
331	949	978	601	529	526
332	922	922	641	630	404
333	648	771	585	469	276
334	854	754	598	396	386
335	17	581	619	271	770
336	283	627	867	431	943
337	304	6	397	927	965
338	931	593	810	996	450
339	855	663	948	855	447
340	286	762	878	995	407
341	666	924	920	899	744
342	957	985	919	767	853
343	504	163	968	931	752
344	652	276	432	610	810
345	411	189	43	878	250
346	820	499	901	149	661
347	915	949	955	986	117
348	782	760	573	993	760
349	771	614	416	932	375
350	297	396	983	442	614
351	644	634	336	634	756
352	499	117	1	615	495
353	545	346	850	910	917
354	778	827	854	827	985
355	904	678	482	703	970
356	585	977	811	391	535
357	760	749	590	778	924
358	614	437	424	771	36
359	389	98	481	912	196
360	469	186	686	281	901
361	632	304	498	678	728
362	471	909	666	504	338
363	491	761	270	577	694
364	735	71	899	679	559
365	779	312	3	780	14
366	993	471	554	934	976
367	37	934	589	306	152
368	598	490	832	550	471
369	934	187	913	218	610
370	678	401	942	297	663
371	884	744	437	324	651
372	268	957	611	68	630
373	401	293	908	194	635
374	566	748	853	411	416
375	46	497	831	882	590
376	105	630	499	535	827
377	431	932	521	7	427
378	625	246	487	838	986
379	102	375	321	176	814
380	346	718	869	475	403
381	610	931	519	234	871
382	853	14	391	338	411
383	751	271	975	808	983
384	766	415	812	748	566
385	676	326	501	553	678
386	518	577	862	270	679
387	246	311	894	933	755
388	187	775	923	662	346
389	748	113	550	73	16
390	927	179	582	395	421
391	396	419	689	128	703
392	679	615	824	421	469
393	939	933	962	939	186
394	218	652	793	16	691
395	338	662	966	893	831
396	306	679	891	543	846
397	13	26	814	71	560
398	419	224	744	843	106
399	307	560	970	594	626
400	926	421	731	761	442
401	451	988	387	985	909
402	224	156	594	467	988
403	549	451	636	765	587
404	639	993	551	614	270
405	784	431	5	616	448
406	924	765	935	764	431
407	200	286	505	178	751
408	825	9	414	718	419
409	992	73	294	639	933
410	32	695	759	402	26
411	388	17	858	627	936
412	554	882	943	735	761
413	767	846	263	762	803
414	158	639	557	721	993
415	553	447	490	32	271
416	846	843	757	499	171
417	73	721	427	268	884
418	141	270	755	428	662
419	901	324	622	936	402
420	428	566	971	179	904
421	415	992	998	447	882
422	823	904	929	512	268
423	800	171	559	823	912
424	795	49	794	904	627
425	562	554	14	102	17
426	134	428	450	803	467
427	321	673	48	969	20
428	140	823	442	963	199
429	976	102	633	554	565
430	967	545	577	915	615
431	70	321	699	141	997
432	902	535	663	784	246
433	328	917	526	171	967
434	448	176	518	0	949
435	785	803	828	987	102
436	806	383	407	156	841
437	26	215	196	283	718
438	314	166	827	162	428
439	865	493	403	990	497
440	291	280	728	871	550
441	452	562	419	992	324
442	377	722	644	358	990
443	124	291	607	451	149
444	964	735	925	902	969
445	788	623	922	766	395
446	49	328	977	383	156
447	439	134	65	834	825
448	358	307	512	65	84
449	987	475	389	199	297
450	298	19	761	220	556
451	829	96	529	795	562
452	162	553	429	545	812
453	493	448	766	70	28
454	555	512	304	496	163
455	350	766	718	565	512
456	894	806	855	476	451
457	792	358	312	629	314
458	969	902	957	392	991
459	612	452	549	591	908
460	404	47	543	277	200
461	920	990	186	19	124
462	116	32	497	487	829
463	702	128	927	792	616
464	447	487	399	652	623
465	803	70	752	991	834
466	3	220	845	84	939
467	483	479	562	124	224
468	35	377	863	560	475
469	68	947	932	365	291
470	366	154	846	479	764
471	817	234	16	134	721
472	487	569	26	286	176
473	150	884	392	144	491
474	582	65	10	979	830
475	149	20	514	153	85
476	272	344	735	200	767
477	345	332	764	835	902
478	332	153	9	555	293
479	787	492	681	841	963
480	357	912	924	237	555
481	492	241	520	332	947
482	899	801	823	817	482
483	777	834	396	444	19
484	620	141	469	558	915
485	912	476	459	726	558
486	835	690	404	722	231
487	729	886	163	6	298
488	154	888	291	919	745
489	43	820	997	589	843
490	289	75	171	20	979
491	277	84	820	492	0
492	365	555	949	345	121
493	216	768	483	47	49
494	903	366	560	434	553
495	701	625	808	491	784
496	642	788	544	46	383
497	241	150	871	40	232
498	344	149	19	829	765
499	722	508	117	872	456
500	285	2	639	494	452
501	629	629	748	702	479
502	623	457	421	9	806
503	609	707	779	700	328
504	569	964	931	326	652
505	615	178	271	35	326
506	444	85	277	729	365
507	18	939	17	466	162
508	183	691	448	183	94
509	234	672	610	691	281
510	457	582	795	60	360
511	449	68	259	787	582
512	494	277	0	232	75
513	688	444	224	307	6
514	185	483	411	88	758
515	558	388	234	782	332
516	434	88	591	449	444
517	724	123	502	13	729
518	727	702	479	531	624
519	466	808	882	528	37
520	64	536	246	314	449
521	690	199	20	443	981
522	489	785	934	612	500
523	506	35	771	521	723
524	509	688	218	775	35
525	592	509	558	123	838
526	808	900	158	920	801
527	292	434	94	958	123
528	528	655	350	603	128
529	991	18	626	813	306
530	500	642	838	509	453
