	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	473	479	968	479	314
101	477	480	19	433	315
102	393	482	966	926	316
103	478	396	965	396	317
104	481	483	916	128	318
105	483	486	957	361	319
106	484	487	425	588	320
107	485	488	420	586	322
108	487	490	419	745	323
109	489	494	418	187	324
110	491	495	940	578	326
111	492	497	938	182	297
112	480	484	492	312	327
113	392	393	496	589	296
114	390	399	933	758	293
115	389	388	927	568	269
116	301	315	925	168	270
117	303	316	924	98	271
118	304	317	922	775	272
119	306	319	503	558	273
120	307	320	956	779	274
121	308	321	886	782	275
122	309	322	255	570	276
123	310	324	883	590	278
124	311	328	748	593	279
125	313	330	751	726	280
126	314	331	616	267	281
127	315	332	758	258	282
128	317	390	759	639	284
129	321	334	761	634	288
130	324	335	762	685	289
131	325	313	765	630	290
132	327	312	194	693	291
133	299	311	767	618	292
134	298	310	769	289	295
135	297	286	770	218	328
136	296	287	609	614	998
137	269	288	186	290	352
138	272	290	781	611	353
139	274	291	622	608	351
140	276	294	215	206	359
141	277	295	633	601	350
142	279	336	719	600	349
143	283	296	672	161	348
144	284	300	675	329	347
145	328	301	680	560	360
146	285	302	264	553	361
147	288	303	249	818	354
148	289	305	658	534	341
149	290	307	242	786	362
150	291	308	603	132	338
151	292	297	275	834	346
152	293	339	647	837	331
153	294	333	646	529	366
154	295	340	703	528	365
155	286	363	233	816	329
156	525	368	282	355	330
157	332	369	287	356	337
158	334	370	219	514	332
159	367	373	697	512	333
160	368	375	884	857	356
161	369	377	176	511	334
162	370	378	330	861	335
163	371	379	558	509	364
164	373	380	119	508	747
165	374	381	117	522	632
166	375	382	115	543	481
167	376	383	552	999	476
168	377	384	368	795	505
169	378	387	546	549	975
170	379	362	376	790	840
171	380	361	100	158	608
172	384	366	377	547	607
173	385	349	533	793	972
174	387	341	388	804	971
175	388	343	391	334	833
176	366	344	392	803	852
177	365	347	79	802	804
178	364	348	126	627	871
179	363	359	361	807	411
180	335	351	131	229	579
181	336	352	358	552	622
182	338	998	169	50	73
183	342	354	588	864	935
184	343	355	339	629	67
185	344	356	808	104	590
186	345	358	157	519	312
187	346	353	819	957	943
188	333	758	820	489	944
189	347	909	174	907	946
190	351	640	821	753	549
191	352	748	143	596	399
192	353	12	350	38	883
193	354	223	141	962	412
194	355	512	351	952	389
195	357	716	136	748	388
196	358	551	833	332	873
197	360	590	135	734	872
198	350	489	148	428	755
199	999	760	731	635	428
200	526	615	870	28	251
201	527	614	970	283	299
202	528	613	901	934	250
203	530	612	37	47	248
204	546	94	974	989	247
205	532	608	975	992	513
206	537	95	907	966	246
207	538	604	16	944	515
208	540	603	894	918	244
209	541	602	850	912	516
210	542	599	448	967	239
211	544	597	105	964	238
212	534	596	526	969	237
213	445	96	528	905	233
214	452	593	529	904	232
215	278	591	543	70	231
216	323	589	344	66	507
217	319	98	551	59	303
218	287	587	554	901	266
219	444	542	559	42	305
220	267	541	523	11	500
221	265	560	340	984	386
222	263	539	565	56	385
223	262	514	335	932	383
224	261	513	569	68	382
225	260	511	329	421	381
226	258	540	575	882	379
227	256	507	326	517	376
228	255	117	318	525	375
229	254	504	591	533	501
230	253	118	564	536	373
231	252	501	379	337	372
232	251	515	380	323	374
233	228	500	385	507	502
234	229	476	442	317	306
235	230	475	441	314	309
236	234	474	453	311	311
237	235	473	434	308	313
238	236	121	433	573	503
239	337	123	468	303	368
240	237	125	422	301	369
241	242	467	421	316	474
242	244	466	417	365	370
243	245	120	414	366	514
244	246	517	413	372	512
245	249	553	479	423	950
246	250	532	482	424	28
247	241	533	408	413	976
248	394	536	484	437	564
249	998	520	498	444	535
250	418	521	499	404	941
251	427	531	394	446	940
252	428	526	505	447	983
253	396	114	294	451	496
254	430	524	848	459	1
255	431	962	291	461	949
256	415	441	626	390	967
257	432	534	763	469	965
258	414	972	178	472	228
259	413	815	173	488	936
260	434	653	171	594	402
261	423	980	779	300	390
262	435	492	785	997	169
263	412	148	796	612	679
264	411	807	800	89	796
265	397	453	757	868	794
266	401	113	804	853	191
267	442	879	822	835	703
268	404	642	826	830	767
269	408	629	827	814	758
270	439	630	831	152	751
271	438	993	121	787	746
272	410	149	840	170	744
273	436	871	106	766	243
274	409	918	843	762	722
275	424	405	805	886	937
276	789	66	755	183	627
277	559	922	753	731	407
278	231	240	744	181	890
279	429	916	628	213	566
280	592	574	640	640	60
281	632	416	261	268	581
282	805	933	259	660	582
283	637	759	643	667	451
284	61	499	247	207	416
285	268	510	659	675	889
286	939	224	665	673	213
287	942	525	235	700	867
288	944	907	234	227	113
289	619	505	232	235	614
290	951	502	685	248	425
291	495	397	695	765	120
292	417	955	209	756	619
293	960	509	702	706	884
294	472	508	704	73	749
295	419	145	205	100	401
296	420	418	199	939	939
297	422	950	735	925	630
298	679	633	623	880	896
299	756	917	0	603	756
300	557	208	851	417	88
301	556	414	989	993	25
302	555	452	908	409	436
303	554	454	949	978	439
304	553	455	842	411	419
305	568	457	983	395	26
306	587	578	829	382	24
307	593	576	1	876	431
308	595	575	787	45	438
309	639	573	299	46	427
310	638	572	301	910	424
311	636	570	304	460	423
312	996	995	305	951	442
313	633	568	320	955	421
314	629	566	321	62	441
315	628	564	325	63	926
316	627	563	328	898	991
317	625	562	341	963	49
318	623	413	343	23	968
319	622	561	355	468	6
320	621	555	356	890	929
321	620	554	357	959	925
322	618	548	360	71	980
323	617	546	398	367	882
324	615	503	399	74	973
325	612	493	404	931	35
326	611	471	407	360	13
327	610	470	430	429	47
328	609	465	293	894	974
329	607	464	436	22	955
330	606	460	286	234	951
331	604	459	272	112	952
332	602	556	9	106	954
333	600	412	14	191	970
334	599	415	24	720	962
335	598	406	38	598	753
336	551	263	44	405	106
337	550	407	69	717	673
338	549	255	84	259	395
339	548	248	101	199	668
340	454	247	110	200	403
341	453	246	123	201	659
342	451	244	151	703	408
343	449	243	175	203	643
344	448	241	206	701	435
345	447	239	212	185	637
346	446	236	221	616	631
347	227	234	241	217	618
348	226	233	248	250	616
349	225	230	263	643	447
350	224	228	271	223	268
351	223	227	280	645	449
352	220	226	455	671	602
353	219	222	460	247	599
354	218	221	477	669	597
355	217	220	611	230	591
356	216	217	638	666	588
357	214	216	639	242	578
358	213	215	642	232	491
359	210	213	654	658	562
360	207	211	674	637	558
361	206	264	682	727	556
362	204	269	686	521	548
363	203	260	690	271	544
364	202	270	699	518	522
365	201	309	710	237	605
366	200	304	723	826	101
367	457	327	728	823	689
368	642	346	738	320	699
369	458	357	742	538	114
370	464	367	764	298	117
371	547	285	777	297	124
372	545	386	782	141	832
373	524	326	784	144	831
374	523	398	606	288	827
375	520	401	605	270	825
376	519	280	602	778	822
377	518	278	592	551	820
378	516	277	488	146	138
379	511	276	490	156	140
380	510	274	500	159	814
381	509	403	508	174	145
382	508	271	512	160	809
383	506	284	514	754	807
384	505	890	517	746	151
385	504	104	519	567	155
386	503	903	522	555	156
387	502	293	828	167	781
388	500	934	524	286	770
389	499	858	541	936	761
390	498	242	557	938	759
391	493	754	562	135	531
392	471	750	567	947	745
393	470	745	568	915	727
394	469	160	572	889	714
395	467	940	573	689	220
396	466	904	577	985	224
397	465	2	579	829	230
398	462	634	539	176	997
399	997	961	999	442	404
400	149	586	265	344	264
401	150	585	262	406	37
402	665	583	285	225	260
403	664	582	257	346	257
404	663	581	253	347	255
405	662	580	252	348	532
406	660	579	27	349	253
407	659	577	246	352	229
408	658	588	245	353	227
409	656	557	244	331	226
410	654	506	243	284	225
411	653	468	254	287	533
412	652	451	289	392	223
413	651	450	26	226	298
414	649	164	67	231	452
415	648	445	292	386	33
416	646	444	310	236	440
417	645	443	25	238	448
418	644	545	23	251	446
419	641	440	302	385	444
420	635	594	313	252	443
421	631	618	300	384	527
422	614	661	298	253	29
423	666	660	308	254	518
424	585	657	942	256	528
425	667	656	66	260	410
426	669	655	932	282	409
427	700	992	65	263	406
428	699	652	943	383	400
429	698	651	996	265	397
430	696	617	992	281	22
431	695	650	58	278	83
432	693	646	906	277	989
433	691	645	977	376	876
434	690	643	919	274	38
435	689	635	53	378	979
436	688	632	964	416	963
437	687	627	55	420	904
438	686	625	967	380	56
439	685	623	890	273	908
440	684	647	953	272	959
441	682	438	952	269	45
442	680	447	954	266	948
443	678	435	963	381	947
444	676	437	424	358	923
445	672	203	869	933	39
446	671	199	251	402	16
447	670	198	598	704	869
448	668	194	277	407	752
449	702	193	583	994	860
450	584	192	307	431	217
451	582	190	560	434	682
452	187	189	312	987	262
453	185	205	520	986	674
454	183	186	338	983	392
455	182	180	511	977	393
456	181	179	501	403	394
457	177	177	630	441	415
458	173	176	497	7	418
459	170	175	363	10	633
460	168	173	389	919	626
461	167	171	459	449	606
462	165	170	456	408	598
463	162	166	400	455	586
464	161	184	406	20	495
465	160	209	446	971	498
466	159	204	440	12	571
467	158	654	416	845	504
468	157	428	432	481	560
469	156	210	429	233	555
470	154	417	487	679	526
471	152	409	68	719	865
472	151	402	631	664	198
473	189	282	657	749	207
474	583	279	863	752	174
475	190	427	860	646	858
476	192	273	857	606	853
477	581	431	127	139	850
478	580	432	137	134	94
479	579	212	812	387	847
480	578	434	811	571	841
481	576	430	809	805	839
482	572	420	152	341	121
483	571	673	155	498	830
484	570	749	794	499	829
485	569	883	224	501	129
486	566	73	778	371	136
487	565	968	760	369	801
488	563	135	183	817	149
489	562	957	740	863	152
490	561	926	729	860	791
491	558	947	717	345	784
492	513	584	707	342	160
493	494	942	197	554	162
494	198	939	200	425	772
495	197	419	681	750	764
496	195	547	667	622	730
497	193	609	222	190	574
498	191	946	766	841	635
499	993	932	998	755	212
500	10	19	48	398	57
501	9	20	45	399	79
502	8	23	43	414	75
503	6	26	42	426	72
504	3	27	41	430	69
505	13	32	54	5	64
506	30	33	191	3	62
507	32	34	165	2	61
508	33	35	195	439	77
509	53	36	378	443	188
510	52	38	283	445	175
511	50	59	412	450	195
512	49	57	316	458	461
513	48	55	319	462	462
514	47	54	411	466	463
515	46	53	323	467	464
516	44	52	327	470	465
517	43	61	331	471	467
518	41	51	333	359	194
519	40	48	336	354	472
520	39	45	342	65	475
521	37	44	192	302	477
522	35	43	403	294	479
523	34	42	348	16	480
524	55	41	349	338	482
525	774	49	359	209	488
526	113	721	362	304	494
527	115	130	397	220	497
528	737	133	396	208	506
529	735	667	365	307	575
530	734	668	387	306	569
