	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	6	2	661	645	649
101	9	13	25	7	12
102	12	18	28	649	20
103	17	660	669	650	675
104	21	664	37	15	678
105	668	34	40	662	40
106	33	35	684	28	42
107	37	39	45	30	686
108	706	677	53	34	698
109	70	690	62	676	57
110	73	53	704	684	61
111	716	57	65	56	705
112	78	59	68	60	72
113	77	60	715	62	716
114	80	701	76	701	728
115	717	65	718	65	91
116	726	69	729	704	732
117	722	71	731	705	98
118	92	76	109	71	114
119	735	79	758	717	756
120	96	86	116	78	760
121	109	726	121	729	764
122	111	728	763	731	765
123	116	95	772	735	772
124	119	98	137	99	142
125	122	758	783	748	784
126	139	759	142	117	786
127	140	118	788	778	159
128	145	766	789	779	177
129	148	775	148	780	183
130	150	785	152	787	829
131	156	138	153	807	830
132	168	787	798	174	834
133	806	798	162	177	835
134	809	150	811	816	838
135	185	155	170	183	841
136	819	815	812	193	205
137	822	818	819	838	206
138	828	819	179	853	849
139	197	175	194	854	212
140	839	187	203	859	853
141	855	197	846	878	860
142	858	209	857	892	220
143	865	850	218	263	232
144	236	858	862	905	878
145	878	859	238	906	238
146	884	223	239	915	247
147	885	871	883	917	898
148	893	246	252	286	903
149	895	890	901	932	265
150	255	895	907	937	908
151	900	269	264	939	909
152	902	925	918	298	912
153	903	939	919	299	273
154	265	307	276	943	278
155	905	309	920	304	929
156	268	310	925	306	306
157	918	312	291	307	313
158	922	315	933	308	314
159	286	949	935	316	952
160	298	320	308	317	953
161	301	326	313	967	961
162	307	327	957	980	969
163	308	330	318	994	337
164	310	982	319	354	980
165	314	352	966	359	350
166	317	990	326	367	353
167	960	359	968	370	997
168	335	367	329	375	364
169	342	377	977	392	368
170	993	379	339	402	406
171	360	405	981	404	407
172	374	406	982	414	408
173	396	414	992	421	418
174	409	428	385	426	436
175	418	438	422	429	454
176	431	444	430	443	457
177	435	450	442	446	458
178	439	467	445	458	475
179	467	480	448	459	476
180	493	492	454	462	481
181	499	494	458	470	506
182	509	495	460	492	507
183	520	503	464	508	516
184	524	507	470	511	532
185	525	514	483	519	535
186	547	533	511	523	539
187	550	535	529	531	544
188	553	539	539	532	549
189	558	540	552	537	559
190	573	546	565	540	564
191	579	551	570	551	579
192	581	555	575	555	589
193	592	556	585	561	590
194	617	564	588	570	598
195	620	586	592	575	602
196	623	589	605	588	605
197	625	602	611	601	617
198	632	633	617	611	623
199	637	634	624	635	627
200	652	6	0	639	17
201	669	652	5	655	18
202	671	14	647	27	31
203	676	662	15	668	33
204	678	31	18	669	674
205	34	671	659	31	680
206	680	36	30	671	41
207	43	679	680	679	682
208	44	680	682	51	684
209	695	45	690	692	45
210	54	692	695	693	689
211	66	696	51	694	699
212	79	61	717	710	700
213	86	66	79	77	58
214	733	70	725	725	706
215	98	709	740	92	713
216	104	716	105	730	715
217	746	75	755	96	77
218	113	78	759	98	718
219	753	720	128	100	85
220	756	81	777	741	725
221	760	721	779	746	97
222	766	84	785	750	102
223	767	727	143	113	745
224	138	737	793	123	749
225	788	96	800	128	753
226	789	101	163	135	119
227	152	745	184	141	125
228	154	105	829	801	138
229	157	757	192	167	780
230	802	771	835	170	152
231	805	783	197	171	155
232	173	139	209	179	799
233	807	789	212	818	800
234	198	144	214	184	803
235	200	145	859	827	166
236	203	807	219	829	167
237	219	820	229	835	809
238	228	176	232	195	811
239	862	177	872	201	814
240	874	821	874	203	180
241	241	184	875	206	832
242	242	192	240	862	210
243	881	193	881	226	858
244	249	198	247	874	862
245	896	843	248	876	870
246	262	217	249	234	243
247	269	863	908	238	883
248	272	864	265	247	248
249	274	865	913	248	251
250	277	234	270	253	253
251	915	239	287	898	895
252	916	876	293	903	257
253	285	885	299	907	907
254	923	888	941	920	915
255	291	270	302	281	917
256	930	271	304	925	276
257	937	277	956	320	920
258	949	912	321	323	919
259	952	287	971	968	292
260	954	922	333	969	299
261	321	301	336	977	943
262	323	940	340	336	305
263	325	311	983	978	309
264	333	321	344	986	950
265	973	322	345	987	954
266	337	958	350	346	317
267	338	335	997	989	959
268	343	354	358	992	319
269	347	358	357	353	962
270	991	370	362	996	963
271	353	387	373	358	330
272	992	388	378	372	354
273	357	409	380	405	356
274	996	420	388	428	390
275	365	422	396	442	392
276	375	423	397	451	398
277	378	430	418	469	401
278	385	435	427	472	438
279	389	452	440	477	442
280	394	465	449	485	447
281	404	475	465	489	452
282	438	476	479	494	471
283	445	482	492	527	488
284	451	493	498	535	494
285	457	499	524	543	504
286	481	505	527	545	505
287	492	548	543	549	514
288	500	554	551	560	524
289	506	563	567	571	537
290	523	569	577	572	547
291	530	570	591	573	555
292	538	576	594	577	558
293	541	577	601	578	563
294	562	603	602	584	569
295	568	614	608	613	575
296	619	618	622	618	580
297	635	623	623	628	599
298	636	627	629	630	606
299	639	639	639	634	637
300	648	8	4	5	0
301	15	17	8	652	651
302	24	656	649	22	13
303	670	20	653	24	652
304	41	48	16	667	656
305	48	691	657	672	24
306	693	693	26	689	677
307	698	697	32	691	47
308	699	698	33	709	691
309	702	699	38	72	60
310	705	702	41	86	708
311	64	74	689	91	73
312	68	724	50	745	714
313	710	89	54	749	717
314	72	738	698	753	79
315	727	740	56	756	720
316	89	109	702	120	90
317	90	760	94	124	729
318	95	123	96	125	730
319	739	125	99	762	736
320	101	772	101	129	108
321	114	141	760	772	746
322	115	788	119	137	759
323	752	142	770	775	123
324	759	148	131	139	128
325	125	797	133	145	140
326	131	802	139	153	145
327	769	803	794	797	782
328	771	805	157	809	785
329	777	163	805	811	793
330	141	811	165	181	163
331	143	168	808	834	164
332	144	826	167	842	816
333	793	827	815	198	821
334	161	831	817	843	188
335	165	832	176	200	831
336	804	194	178	848	194
337	193	842	824	205	833
338	829	204	844	208	200
339	202	205	848	214	848
340	204	848	211	861	850
341	216	854	215	863	213
342	849	227	877	872	852
343	220	230	878	232	214
344	223	872	242	877	856
345	859	247	882	887	221
346	226	248	245	890	865
347	225	891	891	250	226
348	867	892	909	254	228
349	875	264	271	901	879
350	246	273	916	259	882
351	250	276	277	266	246
352	254	910	285	910	255
353	906	911	928	268	901
354	910	916	292	269	264
355	917	932	300	912	275
356	921	300	952	272	279
357	288	937	310	274	281
358	289	308	314	921	925
359	929	944	316	278	291
360	943	948	963	283	938
361	958	317	323	288	303
362	964	319	325	290	944
363	328	328	989	936	312
364	332	332	363	297	315
365	975	336	374	948	320
366	336	340	381	955	333
367	354	977	391	312	974
368	366	343	398	314	341
369	367	347	403	344	346
370	387	349	411	349	349
371	388	988	416	352	991
372	390	989	419	997	370
373	428	995	426	380	373
374	430	363	434	387	374
375	432	369	452	409	376
376	442	378	453	411	381
377	469	382	455	416	395
378	471	386	468	424	415
379	504	396	472	433	416
380	513	431	473	434	424
381	516	437	478	435	441
382	518	441	490	481	451
383	532	454	491	488	464
384	534	470	508	516	467
385	537	471	521	534	479
386	545	487	523	538	482
387	548	488	530	548	503
388	554	490	533	550	515
389	555	513	544	553	526
390	572	524	550	554	548
391	576	534	572	557	550
392	578	545	586	558	567
393	584	580	589	565	578
394	602	599	597	589	581
395	606	608	599	592	587
396	611	612	606	600	597
397	614	615	609	606	604
398	618	619	621	621	622
399	629	635	628	637	635
400	644	643	1	0	1
401	649	5	650	1	647
402	651	647	14	12	10
403	654	655	654	13	658
404	18	668	20	660	22
405	664	44	663	20	25
406	25	683	667	664	26
407	32	49	672	29	28
408	679	64	42	42	669
409	682	707	686	43	676
410	684	72	699	681	683
411	685	73	63	682	54
412	686	722	64	683	697
413	52	88	707	700	710
414	62	92	66	702	721
415	708	748	710	67	84
416	712	112	81	68	724
417	714	765	735	707	727
418	728	768	741	720	733
419	106	127	742	723	101
420	107	130	744	90	106
421	754	131	106	727	109
422	121	777	748	108	113
423	762	786	110	134	752
424	130	794	111	777	770
425	137	147	762	143	137
426	774	153	764	786	776
427	780	808	123	792	150
428	787	165	765	793	153
429	149	166	771	795	789
430	151	816	136	159	806
431	803	824	140	160	171
432	181	179	792	800	174
433	810	180	161	162	175
434	183	836	169	164	812
435	813	838	820	165	815
436	832	839	821	804	176
437	833	846	183	166	182
438	842	208	185	813	186
439	844	211	828	176	836
440	847	852	831	814	843
441	217	855	833	187	211
442	851	222	836	841	217
443	227	868	195	196	218
444	237	228	837	199	223
445	244	244	199	852	229
446	894	898	841	207	873
447	256	899	845	209	231
448	260	268	206	857	876
449	263	908	854	217	239
450	911	278	855	864	886
451	278	917	869	222	888
452	920	285	241	871	904
453	292	291	246	230	269
454	297	926	255	236	913
455	303	934	899	242	914
456	941	945	905	889	272
457	945	313	262	894	926
458	970	957	911	895	288
459	976	964	272	252	933
460	978	339	923	267	940
461	979	341	286	919	947
462	980	981	289	922	326
463	346	984	298	287	968
464	990	351	942	933	973
465	355	355	305	964	976
466	373	362	330	965	989
467	377	373	331	329	359
468	380	380	338	985	360
469	401	381	342	990	365
470	411	383	348	991	366
471	417	390	349	348	379
472	419	397	999	995	385
473	423	399	376	360	386
474	436	403	377	365	389
475	447	419	379	376	394
476	448	432	387	393	403
477	462	436	389	398	411
478	470	457	399	407	412
479	477	459	406	410	425
480	478	464	412	431	449
481	485	483	417	447	453
482	487	504	429	455	469
483	489	509	443	471	472
484	498	515	485	475	480
485	502	521	488	491	519
486	505	541	499	495	521
487	528	542	516	499	527
488	544	560	518	521	528
489	556	561	519	528	533
490	559	562	520	533	566
491	561	572	528	536	594
492	566	573	541	539	596
493	569	579	557	552	603
494	570	583	560	568	609
495	583	584	582	591	615
496	587	597	613	593	618
497	595	604	620	595	624
498	612	630	630	598	626
499	627	638	636	638	630
500	642	642	2	640	641
501	13	3	3	2	4
502	658	4	644	643	654
503	659	7	642	9	19
504	656	650	9	10	659
505	667	653	10	11	661
506	26	654	17	653	664
507	30	23	656	16	668
508	672	32	660	23	671
509	40	33	665	670	687
510	688	41	674	40	50
511	689	47	677	45	51
512	690	685	685	46	64
513	53	688	44	52	709
514	59	52	48	57	69
515	701	68	700	59	81
516	724	713	58	706	719
517	82	718	703	713	87
518	87	723	706	76	92
519	94	725	69	718	742
520	742	94	719	719	751
521	744	99	82	89	126
522	747	743	84	95	767
523	748	744	726	102	129
524	749	102	87	107	132
525	751	103	91	752	136
526	118	108	738	118	775
527	124	113	752	755	154
528	770	761	117	758	791
529	779	117	126	764	161
530	795	120	127	767	801
