	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	285	500	570	551	955
101	286	505	575	643	937
102	319	506	357	573	903
103	466	508	582	574	961
104	317	831	363	638	951
105	287	515	585	433	481
106	296	532	355	575	431
107	473	535	640	578	31
108	920	370	638	584	1
109	992	344	186	635	425
110	489	334	740	634	907
111	427	326	427	590	926
112	438	3	755	591	925
113	432	14	758	622	502
114	458	55	759	600	923
115	974	88	761	601	494
116	965	93	425	611	495
117	915	98	167	527	491
118	998	117	424	525	921
119	40	120	443	621	913
120	43	121	771	684	12
121	451	132	419	714	979
122	449	536	155	459	946
123	47	145	150	711	989
124	465	187	397	720	940
125	978	194	399	522	408
126	943	203	792	461	407
127	22	239	141	439	944
128	499	242	134	703	976
129	53	263	403	437	844
130	444	268	776	449	896
131	525	285	728	472	804
132	442	297	519	435	346
133	527	322	389	477	598
134	436	154	248	481	518
135	13	540	650	496	335
136	471	511	239	997	334
137	431	545	440	694	770
138	914	667	235	693	613
139	709	542	234	514	614
140	419	694	229	518	320
141	168	697	224	476	619
142	625	721	222	450	622
143	628	724	429	952	591
144	345	727	437	734	624
145	805	728	686	629	632
146	632	744	211	157	635
147	803	745	693	12	636
148	336	748	698	27	742
149	328	750	205	993	643
150	779	759	708	990	727
151	653	761	715	22	293
152	656	766	216	29	716
153	621	769	477	756	663
154	216	771	433	108	668
155	762	799	5	100	246
156	227	803	335	741	250
157	751	813	514	653	755
158	748	820	441	51	807
159	746	662	128	141	599
160	237	655	523	841	589
161	297	677	641	722	895
162	686	998	642	612	522
163	731	608	860	864	527
164	258	629	221	471	88
165	700	586	848	868	883
166	705	650	726	390	538
167	219	632	633	369	872
168	420	583	840	366	871
169	620	634	763	516	386
170	160	638	769	411	548
171	95	639	158	767	862
172	96	589	146	528	113
173	408	603	143	834	810
174	885	640	133	898	120
175	106	642	106	398	560
176	875	645	884	532	851
177	387	647	611	271	835
178	868	557	552	256	152
179	379	546	525	251	151
180	124	525	539	552	149
181	351	509	541	227	826
182	274	19	928	931	578
183	136	816	305	444	847
184	139	581	605	191	512
185	849	781	563	442	561
186	367	393	406	936	846
187	355	489	577	937	564
188	828	973	286	170	604
189	353	743	592	277	980
190	158	966	55	405	959
191	352	708	594	13	745
192	853	309	925	925	312
193	999	315	751	863	14
194	370	403	499	685	954
195	32	380	619	326	790
196	611	879	516	588	626
197	430	234	934	957	972
198	876	384	387	451	415
199	904	594	599	519	967
200	927	430	218	247	463
201	649	419	954	248	462
202	825	939	657	259	461
203	756	418	781	258	458
204	752	968	312	254	457
205	295	972	923	253	456
206	587	378	922	274	438
207	740	12	208	230	439
208	738	976	918	252	440
209	593	977	579	294	441
210	735	416	178	299	443
211	830	397	932	229	444
212	729	438	955	278	435
213	291	931	957	300	446
214	724	924	490	290	449
215	210	981	442	289	450
216	717	918	2	288	451
217	614	445	430	287	452
218	279	983	426	286	453
219	698	933	8	284	454
220	235	921	989	301	447
221	268	635	9	225	369
222	682	877	421	283	374
223	680	802	983	282	366
224	637	312	420	281	313
225	671	128	169	298	368
226	670	526	979	948	306
227	669	531	416	46	305
228	667	765	976	935	303
229	664	763	666	939	298
230	250	749	412	933	297
231	645	551	456	671	296
232	757	293	967	423	295
233	760	556	411	996	292
234	598	560	965	426	291
235	1	716	597	226	290
236	191	568	407	407	289
237	804	570	461	213	288
238	161	282	784	718	284
239	806	576	911	721	282
240	808	696	703	392	281
241	562	178	706	960	260
242	561	693	343	962	262
243	313	587	810	964	264
244	569	590	867	966	265
245	815	593	864	399	266
246	787	597	778	983	268
247	557	609	738	20	314
248	822	612	777	692	269
249	154	215	174	977	272
250	551	614	565	980	273
251	572	646	531	989	274
252	576	805	853	402	276
253	580	806	851	810	278
254	774	402	850	533	279
255	767	869	748	874	271
256	581	79	752	778	315
257	770	859	564	871	311
258	781	807	544	537	317
259	582	852	826	779	347
260	642	864	551	639	348
261	952	850	554	334	349
262	651	848	835	161	350
263	644	846	617	346	351
264	434	865	831	849	352
265	334	633	871	568	353
266	658	868	573	830	354
267	668	346	521	128	356
268	418	343	874	828	359
269	690	832	646	807	360
270	759	824	644	816	361
271	159	101	712	814	362
272	727	494	717	589	364
273	304	103	501	297	365
274	696	808	350	268	316
275	924	871	812	417	341
276	749	988	639	658	998
277	996	873	887	593	327
278	606	409	886	761	337
279	55	886	65	903	333
280	710	995	882	352	318
281	283	961	875	917	331
282	702	129	79	752	330
283	583	453	814	498	329
284	46	811	199	662	319
285	712	964	508	355	328
286	595	569	511	919	322
287	513	420	894	512	323
288	769	845	808	889	338
289	747	484	588	771	324
290	9	573	517	921	326
291	623	757	414	895	933
292	732	431	972	934	960
293	666	940	817	927	939
294	413	883	975	950	404
295	558	934	940	637	592
296	957	925	546	511	270
297	975	856	962	234	962
298	743	867	484	547	507
299	629	547	906	922	975
300	981	353	998	413	501
301	987	352	80	410	500
302	858	351	454	409	498
303	923	349	81	408	497
304	879	366	452	406	496
305	881	294	450	403	489
306	26	317	448	396	488
307	87	236	446	393	482
308	960	260	445	387	480
309	899	255	84	386	479
310	902	248	432	385	477
311	44	247	85	383	475
312	944	246	473	382	474
313	49	244	475	381	390
314	73	243	478	380	389
315	939	241	479	378	403
316	50	240	68	376	388
317	25	233	524	321	280
318	922	230	69	320	275
319	396	228	520	999	257
320	116	227	518	235	255
321	241	226	515	217	253
322	622	224	512	263	225
323	249	223	505	260	251
324	255	222	503	207	248
325	599	221	502	250	247
326	584	220	418	208	299
327	578	217	500	238	244
328	263	216	497	237	226
329	568	213	496	209	227
330	288	212	492	205	239
331	547	264	491	236	229
332	546	269	488	233	238
333	299	996	487	211	230
334	538	271	485	232	237
335	534	279	483	231	233
336	528	280	482	223	232
337	519	278	481	222	243
338	404	277	498	214	309
339	410	284	417	220	231
340	393	286	434	218	370
341	392	276	87	210	385
342	424	274	360	265	213
343	435	288	413	206	214
344	631	290	358	266	381
345	462	273	356	317	217
346	993	287	351	316	379
347	344	270	99	314	376
348	504	673	348	199	375
349	506	993	100	312	332
350	508	654	344	311	218
351	321	790	342	200	220
352	481	428	341	308	373
353	633	938	340	307	221
354	612	6	339	306	372
355	483	962	338	304	223
356	784	955	336	201	547
357	162	664	333	302	4
358	148	945	331	273	567
359	234	13	330	272	758
360	744	421	101	270	968
361	739	108	328	269	42
362	144	949	327	202	13
363	816	926	326	267	228
364	728	534	104	203	29
365	716	423	362	303	970
366	708	978	364	731	743
367	151	917	359	968	201
368	200	815	368	961	22
369	688	857	400	416	952
370	687	858	398	750	224
371	817	331	88	995	476
372	679	715	91	395	574
373	829	335	94	826	132
374	837	321	388	391	383
375	641	160	385	839	382
376	691	566	381	845	816
377	149	838	380	853	405
378	371	84	391	870	153
379	453	619	0	875	102
380	982	733	378	877	853
381	985	464	377	149	806
382	823	291	372	549	410
383	639	89	373	74	411
384	780	437	376	754	154
385	733	361	374	242	793
386	929	554	379	158	679
387	928	910	996	535	442
388	926	448	779	117	889
389	646	564	984	906	891
390	906	356	285	772	829
391	792	70	974	57	904
392	754	954	674	384	768
393	945	235	190	664	58
394	896	517	916	851	765
395	111	414	890	748	579
396	846	49	136	645	673
397	818	948	731	430	533
398	423	957	629	404	815
399	62	980	404	749	935
400	346	332	320	494	526
401	343	373	319	492	531
402	342	330	318	491	580
403	338	375	316	490	575
404	337	379	314	489	566
405	333	434	313	1	565
406	332	432	310	487	563
407	354	427	308	485	562
408	272	417	307	479	558
409	294	412	304	475	423
410	997	407	302	473	556
411	223	406	301	470	553
412	254	401	300	469	552
413	253	399	201	468	550
414	225	398	298	467	544
415	226	396	294	466	539
416	252	390	293	462	534
417	220	388	325	460	532
418	246	386	329	2	555
419	244	383	345	360	421
420	242	382	365	359	503
421	236	381	530	361	997
422	228	377	528	358	392
423	269	328	527	198	205
424	230	358	526	7	204
425	245	324	472	195	395
426	260	296	470	194	397
427	256	295	469	193	212
428	261	211	468	192	209
429	213	210	465	190	199
430	267	209	292	189	398
431	265	208	463	187	399
432	214	205	459	322	400
433	218	327	458	185	206
434	217	204	455	183	211
435	229	199	453	182	198
436	262	198	449	181	196
437	964	197	436	179	210
438	900	193	422	178	406
439	377	192	396	177	409
440	565	184	392	176	207
441	942	190	460	174	419
442	910	189	291	171	416
443	911	300	299	184	208
444	941	302	287	6	195
445	980	301	247	323	194
446	636	319	289	324	393
447	602	180	245	356	611
448	973	307	244	354	537
449	912	311	243	353	535
450	224	313	242	349	936
451	570	305	241	348	948
452	898	316	240	347	171
453	917	310	238	345	200
454	347	308	249	344	760
455	635	304	233	342	559
456	930	320	231	34	973
457	384	303	219	341	593
458	385	436	215	338	981
459	782	415	214	337	19
460	335	989	212	336	984
461	104	459	209	332	733
462	500	170	207	331	571
463	134	422	206	329	549
464	813	932	203	932	782
465	810	984	232	929	418
466	809	435	251	978	898
467	895	450	246	943	412
468	807	179	253	963	839
469	800	455	283	985	106
470	509	9	282	956	845
471	530	31	280	536	696
472	793	944	277	802	686
473	518	946	276	618	402
474	777	985	275	196	630
475	802	913	272	753	687
476	293	891	270	755	860
477	839	186	252	499	504
478	860	575	264	764	505
479	891	553	266	570	870
480	448	742	999	829	394
481	70	819	254	610	656
482	556	76	255	836	654
483	715	512	263	488	81
484	721	596	259	848	521
485	231	834	261	854	645
486	855	413	262	855	528
487	141	69	856	859	67
488	484	604	977	73	637
489	251	499	590	861	633
490	363	872	966	65	427
491	685	387	598	458	569
492	977	890	891	420	631
493	39	39	576	441	983
494	903	904	841	926	814
495	306	405	626	803	756
496	958	34	948	955	597
497	937	363	567	843	428
498	972	982	941	904	849
499	494	440	257	757	401
500	314	17	15	62	64
501	315	8	16	60	45
502	323	7	18	59	61
503	12	5	19	56	57
504	325	4	20	52	56
505	327	20	21	50	54
506	350	41	23	47	51
507	358	42	24	45	50
508	360	43	25	43	49
509	365	65	26	42	60
510	10	64	27	71	150
511	366	63	28	138	138
512	368	61	29	127	506
513	369	60	30	143	596
514	373	59	53	431	436
515	374	57	51	434	448
516	375	54	48	443	464
517	376	53	45	445	465
518	8	52	44	446	467
519	6	51	43	447	469
520	378	48	56	139	471
521	380	47	42	495	472
522	388	45	40	504	155
523	307	44	37	506	513
524	303	68	34	507	514
525	309	524	33	508	515
526	298	141	32	517	191
527	190	144	31	429	516
528	192	476	41	521	603
529	21	475	661	530	524
530	193	474	153	531	581
