	Strategy	Query	Class	Value
0	Random	q0	sci.med	2
1	Random	q0	sci.space	3
2	Random	q0	rec.sport.hockey	0
3	Random	q0	talk.politics.misc	1
4	Random	q0	talk.politics.guns	2
5	Random	q0	soc.religion.christian	3
6	Random	q0	alt.atheism	1
7	Random	q0	misc.forsale	6
8	Random	q0	comp.graphics	34
9	Random	q0	talk.religion.misc	0
10	Random	q0	comp.sys.ibm.pc.hardware	3
11	Random	q0	comp.sys.mac.hardware	4
12	Random	q0	talk.politics.mideast	3
13	Random	q0	sci.electronics	2
14	Random	q0	comp.windows.x	4
15	Random	q0	sci.crypt	3
16	Random	q0	rec.motorcycles	14
17	Random	q0	comp.os.ms-windows.misc	3
18	Random	q0	rec.sport.baseball	7
19	Random	q0	rec.autos	5
20	Random	q1	sci.med	0
21	Random	q1	sci.space	3
22	Random	q1	rec.sport.hockey	2
23	Random	q1	talk.politics.misc	3
24	Random	q1	talk.politics.guns	2
25	Random	q1	soc.religion.christian	4
26	Random	q1	alt.atheism	0
27	Random	q1	misc.forsale	11
28	Random	q1	comp.graphics	32
29	Random	q1	talk.religion.misc	1
30	Random	q1	comp.sys.ibm.pc.hardware	0
31	Random	q1	comp.sys.mac.hardware	5
32	Random	q1	talk.politics.mideast	0
33	Random	q1	sci.electronics	1
34	Random	q1	comp.windows.x	2
35	Random	q1	sci.crypt	0
36	Random	q1	rec.motorcycles	13
37	Random	q1	comp.os.ms-windows.misc	3
38	Random	q1	rec.sport.baseball	16
39	Random	q1	rec.autos	2
40	Random	q2	sci.med	1
41	Random	q2	sci.space	0
42	Random	q2	rec.sport.hockey	4
43	Random	q2	talk.politics.misc	1
44	Random	q2	talk.politics.guns	1
45	Random	q2	soc.religion.christian	3
46	Random	q2	alt.atheism	4
47	Random	q2	misc.forsale	9
48	Random	q2	comp.graphics	38
49	Random	q2	talk.religion.misc	3
50	Random	q2	comp.sys.ibm.pc.hardware	1
51	Random	q2	comp.sys.mac.hardware	3
52	Random	q2	talk.politics.mideast	1
53	Random	q2	sci.electronics	2
54	Random	q2	comp.windows.x	2
55	Random	q2	sci.crypt	0
56	Random	q2	rec.motorcycles	15
57	Random	q2	comp.os.ms-windows.misc	0
58	Random	q2	rec.sport.baseball	11
59	Random	q2	rec.autos	1
60	Random	q3	sci.med	2
61	Random	q3	sci.space	4
62	Random	q3	rec.sport.hockey	0
63	Random	q3	talk.politics.misc	4
64	Random	q3	talk.politics.guns	2
65	Random	q3	soc.religion.christian	1
66	Random	q3	alt.atheism	2
67	Random	q3	misc.forsale	12
68	Random	q3	comp.graphics	35
69	Random	q3	talk.religion.misc	0
70	Random	q3	comp.sys.ibm.pc.hardware	1
71	Random	q3	comp.sys.mac.hardware	1
72	Random	q3	talk.politics.mideast	1
73	Random	q3	sci.electronics	0
74	Random	q3	comp.windows.x	0
75	Random	q3	sci.crypt	4
76	Random	q3	rec.motorcycles	13
77	Random	q3	comp.os.ms-windows.misc	2
78	Random	q3	rec.sport.baseball	14
79	Random	q3	rec.autos	2
80	Random	q4	sci.med	3
81	Random	q4	sci.space	3
82	Random	q4	rec.sport.hockey	2
83	Random	q4	talk.politics.misc	2
84	Random	q4	talk.politics.guns	4
85	Random	q4	soc.religion.christian	2
86	Random	q4	alt.atheism	2
87	Random	q4	misc.forsale	11
88	Random	q4	comp.graphics	32
89	Random	q4	talk.religion.misc	1
90	Random	q4	comp.sys.ibm.pc.hardware	3
91	Random	q4	comp.sys.mac.hardware	0
92	Random	q4	talk.politics.mideast	1
93	Random	q4	sci.electronics	2
94	Random	q4	comp.windows.x	1
95	Random	q4	sci.crypt	2
96	Random	q4	rec.motorcycles	18
97	Random	q4	comp.os.ms-windows.misc	2
98	Random	q4	rec.sport.baseball	7
99	Random	q4	rec.autos	2
100	Random	q5	sci.med	3
101	Random	q5	sci.space	1
102	Random	q5	rec.sport.hockey	2
103	Random	q5	talk.politics.misc	0
104	Random	q5	talk.politics.guns	1
105	Random	q5	soc.religion.christian	2
106	Random	q5	alt.atheism	1
107	Random	q5	misc.forsale	9
108	Random	q5	comp.graphics	32
109	Random	q5	talk.religion.misc	2
110	Random	q5	comp.sys.ibm.pc.hardware	4
111	Random	q5	comp.sys.mac.hardware	0
112	Random	q5	talk.politics.mideast	2
113	Random	q5	sci.electronics	2
114	Random	q5	comp.windows.x	4
115	Random	q5	sci.crypt	6
116	Random	q5	rec.motorcycles	12
117	Random	q5	comp.os.ms-windows.misc	3
118	Random	q5	rec.sport.baseball	14
119	Random	q5	rec.autos	0
120	Random	q6	sci.med	1
121	Random	q6	sci.space	1
122	Random	q6	rec.sport.hockey	3
123	Random	q6	talk.politics.misc	2
124	Random	q6	talk.politics.guns	2
125	Random	q6	soc.religion.christian	1
126	Random	q6	alt.atheism	4
127	Random	q6	misc.forsale	10
128	Random	q6	comp.graphics	38
129	Random	q6	talk.religion.misc	3
130	Random	q6	comp.sys.ibm.pc.hardware	3
131	Random	q6	comp.sys.mac.hardware	1
132	Random	q6	talk.politics.mideast	1
133	Random	q6	sci.electronics	4
134	Random	q6	comp.windows.x	0
135	Random	q6	sci.crypt	0
136	Random	q6	rec.motorcycles	18
137	Random	q6	comp.os.ms-windows.misc	1
138	Random	q6	rec.sport.baseball	4
139	Random	q6	rec.autos	3
140	Random	q7	sci.med	4
141	Random	q7	sci.space	0
142	Random	q7	rec.sport.hockey	3
143	Random	q7	talk.politics.misc	3
144	Random	q7	talk.politics.guns	1
145	Random	q7	soc.religion.christian	0
146	Random	q7	alt.atheism	2
147	Random	q7	misc.forsale	10
148	Random	q7	comp.graphics	33
149	Random	q7	talk.religion.misc	5
150	Random	q7	comp.sys.ibm.pc.hardware	1
151	Random	q7	comp.sys.mac.hardware	2
152	Random	q7	talk.politics.mideast	6
153	Random	q7	sci.electronics	3
154	Random	q7	comp.windows.x	2
155	Random	q7	sci.crypt	1
156	Random	q7	rec.motorcycles	14
157	Random	q7	comp.os.ms-windows.misc	2
158	Random	q7	rec.sport.baseball	7
159	Random	q7	rec.autos	1
160	Uncertainty	q0	sci.med	2
161	Uncertainty	q0	sci.space	3
162	Uncertainty	q0	rec.sport.hockey	0
163	Uncertainty	q0	talk.politics.misc	1
164	Uncertainty	q0	talk.politics.guns	2
165	Uncertainty	q0	soc.religion.christian	3
166	Uncertainty	q0	alt.atheism	1
167	Uncertainty	q0	misc.forsale	6
168	Uncertainty	q0	comp.graphics	34
169	Uncertainty	q0	talk.religion.misc	0
170	Uncertainty	q0	comp.sys.ibm.pc.hardware	3
171	Uncertainty	q0	comp.sys.mac.hardware	4
172	Uncertainty	q0	talk.politics.mideast	3
173	Uncertainty	q0	sci.electronics	2
174	Uncertainty	q0	comp.windows.x	4
175	Uncertainty	q0	sci.crypt	3
176	Uncertainty	q0	rec.motorcycles	14
177	Uncertainty	q0	comp.os.ms-windows.misc	3
178	Uncertainty	q0	rec.sport.baseball	7
179	Uncertainty	q0	rec.autos	5
180	Uncertainty	q1	sci.med	3
181	Uncertainty	q1	sci.space	3
182	Uncertainty	q1	rec.sport.hockey	1
183	Uncertainty	q1	talk.politics.misc	6
184	Uncertainty	q1	talk.politics.guns	4
185	Uncertainty	q1	soc.religion.christian	2
186	Uncertainty	q1	alt.atheism	8
187	Uncertainty	q1	misc.forsale	9
188	Uncertainty	q1	comp.graphics	23
189	Uncertainty	q1	talk.religion.misc	5
190	Uncertainty	q1	comp.sys.ibm.pc.hardware	0
191	Uncertainty	q1	comp.sys.mac.hardware	1
192	Uncertainty	q1	talk.politics.mideast	2
193	Uncertainty	q1	sci.electronics	3
194	Uncertainty	q1	comp.windows.x	2
195	Uncertainty	q1	sci.crypt	2
196	Uncertainty	q1	rec.motorcycles	16
197	Uncertainty	q1	comp.os.ms-windows.misc	2
198	Uncertainty	q1	rec.sport.baseball	5
199	Uncertainty	q1	rec.autos	3
200	Uncertainty	q2	sci.med	5
201	Uncertainty	q2	sci.space	3
202	Uncertainty	q2	rec.sport.hockey	2
203	Uncertainty	q2	talk.politics.misc	4
204	Uncertainty	q2	talk.politics.guns	3
205	Uncertainty	q2	soc.religion.christian	7
206	Uncertainty	q2	alt.atheism	3
207	Uncertainty	q2	misc.forsale	12
208	Uncertainty	q2	comp.graphics	20
209	Uncertainty	q2	talk.religion.misc	3
210	Uncertainty	q2	comp.sys.ibm.pc.hardware	2
211	Uncertainty	q2	comp.sys.mac.hardware	2
212	Uncertainty	q2	talk.politics.mideast	6
213	Uncertainty	q2	sci.electronics	6
214	Uncertainty	q2	comp.windows.x	1
215	Uncertainty	q2	sci.crypt	0
216	Uncertainty	q2	rec.motorcycles	13
217	Uncertainty	q2	comp.os.ms-windows.misc	0
218	Uncertainty	q2	rec.sport.baseball	7
219	Uncertainty	q2	rec.autos	1
220	Uncertainty	q3	sci.med	1
221	Uncertainty	q3	sci.space	3
222	Uncertainty	q3	rec.sport.hockey	3
223	Uncertainty	q3	talk.politics.misc	2
224	Uncertainty	q3	talk.politics.guns	1
225	Uncertainty	q3	soc.religion.christian	4
226	Uncertainty	q3	alt.atheism	3
227	Uncertainty	q3	misc.forsale	15
228	Uncertainty	q3	comp.graphics	23
229	Uncertainty	q3	talk.religion.misc	2
230	Uncertainty	q3	comp.sys.ibm.pc.hardware	2
231	Uncertainty	q3	comp.sys.mac.hardware	5
232	Uncertainty	q3	talk.politics.mideast	1
233	Uncertainty	q3	sci.electronics	1
234	Uncertainty	q3	comp.windows.x	0
235	Uncertainty	q3	sci.crypt	3
236	Uncertainty	q3	rec.motorcycles	14
237	Uncertainty	q3	comp.os.ms-windows.misc	0
238	Uncertainty	q3	rec.sport.baseball	17
239	Uncertainty	q3	rec.autos	0
240	Uncertainty	q4	sci.med	0
241	Uncertainty	q4	sci.space	1
242	Uncertainty	q4	rec.sport.hockey	4
243	Uncertainty	q4	talk.politics.misc	0
244	Uncertainty	q4	talk.politics.guns	3
245	Uncertainty	q4	soc.religion.christian	0
246	Uncertainty	q4	alt.atheism	1
247	Uncertainty	q4	misc.forsale	10
248	Uncertainty	q4	comp.graphics	33
249	Uncertainty	q4	talk.religion.misc	4
250	Uncertainty	q4	comp.sys.ibm.pc.hardware	6
251	Uncertainty	q4	comp.sys.mac.hardware	0
252	Uncertainty	q4	talk.politics.mideast	3
