	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	698	285	909	501	553
101	792	39	407	331	404
102	106	675	69	371	602
103	849	526	789	595	213
104	214	789	783	827	699
105	942	582	43	381	627
106	607	255	778	135	609
107	314	48	302	876	449
108	985	437	243	250	47
109	979	766	232	50	56
110	680	208	767	764	674
111	385	339	63	403	0
112	177	5	308	741	752
113	118	305	298	169	915
114	39	430	203	598	730
115	651	438	404	567	728
116	181	330	357	168	623
117	24	242	726	826	636
118	452	603	425	344	800
119	365	859	167	829	360
120	141	553	185	390	909
121	53	63	879	730	879
122	569	745	170	517	400
123	89	865	385	603	13
124	129	639	952	65	893
125	122	23	194	425	230
126	453	574	741	675	84
127	26	224	240	413	565
128	854	35	411	35	862
129	198	783	605	426	858
130	296	148	498	430	72
131	599	212	388	547	814
132	368	912	427	939	708
133	201	475	107	36	825
134	789	486	146	534	198
135	735	397	997	22	388
136	284	815	934	997	588
137	432	633	886	610	722
138	255	902	643	302	117
139	638	420	971	42	949
140	157	813	966	479	232
141	711	246	832	320	446
142	373	489	400	753	833
143	770	41	17	393	45
144	224	843	396	771	548
145	782	632	76	710	200
146	64	103	675	762	25
147	294	532	252	668	80
148	478	514	779	176	276
149	877	129	442	182	206
150	328	679	794	593	590
151	688	662	448	179	791
152	555	973	126	652	257
153	472	79	764	385	512
154	558	428	132	63	890
155	559	525	640	521	223
156	664	772	280	799	322
157	700	725	453	462	106
158	637	155	514	67	102
159	37	476	472	839	385
160	695	586	68	673	562
161	671	333	629	349	671
162	648	93	264	414	759
163	285	414	890	100	650
164	484	944	418	701	809
165	548	384	835	398	39
166	618	507	503	714	447
167	498	234	27	307	706
168	712	940	266	731	839
169	334	398	429	103	504
170	389	343	785	816	632
171	191	466	207	51	679
172	793	204	469	366	767
173	324	144	183	353	476
174	566	26	14	950	349
175	87	131	18	234	507
176	668	405	884	606	6
177	766	367	216	653	694
178	448	422	381	166	83
179	690	629	247	801	352
180	313	609	215	105	503
181	689	890	326	917	372
182	161	699	572	152	631
183	32	556	199	528	229
184	822	512	179	2	266
185	301	328	286	444	785
186	584	827	958	575	891
187	709	241	325	758	751
188	218	850	932	359	888
189	256	572	533	10	228
190	656	431	115	629	960
191	682	884	537	683	914
192	931	149	992	297	438
193	654	612	757	487	849
194	464	693	209	153	130
195	333	75	148	960	359
196	881	213	205	987	184
197	321	982	829	129	973
198	672	692	459	11	998
199	667	160	995	15	469
200	641	868	524	589	361
201	961	387	539	608	441
202	679	470	541	980	329
203	956	820	101	69	100
204	419	27	610	691	870
205	944	9	845	964	338
206	952	304	246	773	366
207	568	794	967	635	375
208	629	444	938	772	601
209	525	473	870	1	727
210	891	69	477	749	296
211	810	924	531	209	87
212	622	423	221	407	176
213	160	900	842	256	313
214	12	871	700	638	719
215	587	796	106	308	709
216	924	976	761	640	16
217	980	12	781	750	513
218	846	279	770	485	444
219	495	141	792	509	765
220	387	171	953	871	120
221	579	505	747	470	317
222	833	322	929	322	152
223	905	742	412	810	720
224	576	535	931	194	961
225	627	775	515	814	589
226	866	135	436	655	668
227	941	88	828	468	645
228	505	551	955	693	658
229	670	995	2	985	201
230	195	399	557	962	233
231	304	966	927	77	124
232	904	750	858	956	91
233	863	121	622	865	211
234	839	903	608	845	876
235	790	22	285	886	451
236	519	445	552	890	544
237	418	482	270	102	707
238	726	599	544	943	407
239	859	883	956	481	373
240	687	170	690	0	452
241	916	645	4	434	475
242	759	781	517	314	265
243	756	467	564	338	157
244	311	630	823	118	289
245	610	187	976	990	533
246	547	347	846	496	436
247	561	483	437	927	151
248	580	447	88	898	471
249	142	396	811	272	946
250	564	594	417	836	1
251	612	341	450	469	950
252	739	608	819	387	782
253	49	587	585	139	979
254	751	114	686	780	664
255	480	74	577	399	776
256	611	955	923	537	231
257	609	926	899	986	829
258	431	344	812	878	673
259	749	895	883	321	770
260	508	506	512	383	181
261	392	749	31	32	85
262	565	958	458	892	807
263	457	243	162	326	535
264	970	20	433	518	311
265	573	546	872	382	90
266	272	563	590	863	811
267	923	847	591	361	412
268	254	17	550	842	457
269	824	418	100	929	781
270	35	547	349	191	861
271	384	6	826	849	381
272	614	774	525	855	820
273	465	977	195	271	608
274	598	637	867	951	467
275	18	640	26	756	64
276	663	380	505	685	288
277	220	819	579	289	108
278	748	504	871	251	472
279	121	917	174	944	614
280	50	479	157	570	794
281	412	178	261	473	598
282	878	818	595	74	846
283	80	876	742	630	678
284	856	13	760	868	113
285	380	589	5	88	834
286	922	807	430	571	390
287	860	869	426	459	670
288	538	545	776	779	556
289	628	493	703	408	769
290	884	858	408	242	160
291	466	492	10	535	687
292	823	635	623	933	415
293	236	811	387	854	22
294	444	280	901	807	784
295	873	331	598	882	954
296	702	839	979	544	169
297	182	336	836	774	12
298	30	661	603	409	630
299	777	511	882	600	368
300	388	957	748	106	498
301	526	962	445	396	703
302	632	294	996	961	31
303	996	754	793	127	591
304	976	932	470	983	494
305	516	209	922	926	926
306	992	968	631	391	397
307	779	877	483	471	959
308	420	73	482	966	944
309	858	864	235	138	965
310	731	577	66	707	939
311	390	7	771	294	558
312	9	515	755	828	418
313	540	691	974	932	972
314	102	964	797	872	587
315	6	737	559	979	742
316	714	937	784	551	566
317	337	948	32	550	826
318	778	128	810	755	403
319	965	856	977	552	272
320	435	824	685	270	399
321	185	454	964	16	845
322	470	842	119	948	812
323	975	798	943	439	853
324	645	685	229	618	564
325	528	743	424	213	813
326	369	740	897	737	810
327	189	760	972	671	985
328	893	961	601	565	718
329	715	802	998	162	744
330	502	980	139	735	749
331	631	934	674	761	453
332	592	655	62	108	586
333	158	634	419	901	335
334	97	845	44	754	271
335	410	748	957	626	951
336	768	614	529	451	481
337	149	867	965	967	560
338	551	988	414	466	896
339	170	324	588	968	596
340	8	954	310	658	521
341	375	757	50	899	194
342	820	984	941	936	425
343	411	501	752	420	585
344	549	683	626	591	392
345	520	826	568	925	454
346	202	728	449	955	847
347	342	922	82	160	129
348	604	690	889	404	883
349	625	627	40	790	10
350	360	720	894	627	427
351	269	403	599	568	559
352	246	761	23	89	940
353	583	914	822	646	844
354	879	588	42	190	579
355	351	312	399	536	550
356	483	406	962	9	618
357	17	618	85	572	515
358	774	758	565	804	989
359	757	440	518	957	527
360	943	173	666	664	518
361	436	471	833	729	61
362	760	453	65	405	755
363	414	194	653	934	578
364	451	386	454	428	713
365	662	908	633	989	622
366	25	607	398	416	439
367	977	846	361	7	581
368	323	996	982	230	127
369	562	604	133	433	351
370	120	972	21	634	571
371	602	278	983	235	919
372	481	822	485	514	350
373	427	455	641	475	532
374	469	660	464	843	652
375	617	918	954	703	142
376	960	593	1	495	827
377	716	369	769	185	967
378	997	321	163	643	659
379	825	47	975	864	796
380	623	848	123	935	655
381	666	904	940	574	955
382	404	490	443	317	982
383	868	260	111	628	522
384	113	882	684	601	237
385	918	460	336	709	975
386	572	130	855	818	293
387	262	985	989	996	456
388	134	247	546	573	440
389	197	186	348	614	872
390	974	863	877	12	312
391	842	925	695	721	980
392	345	177	744	447	332
393	853	983	758	494	604
394	684	613	908	904	597
395	511	464	597	679	743
396	187	657	105	158	409
397	131	836	29	560	952
398	951	118	857	893	935
399	537	388	786	637	797
400	445	524	497	775	962
401	986	101	594	870	88
402	954	541	141	734	159
403	807	539	178	666	410
404	241	295	521	596	976
405	830	307	677	978	549
406	47	652	772	931	772
407	556	531	345	645	936
408	524	290	981	410	607
409	874	221	715	27	723
410	295	284	422	834	933
411	394	564	305	450	635
412	752	409	144	969	924
413	928	8	814	508	878
414	926	65	759	490	662
415	775	664	166	823	155
416	781	413	128	880	24
417	415	508	607	813	898
418	541	998	312	171	641
419	784	823	928	722	502
420	454	992	820	802	643
421	430	432	766	622	501
422	438	419	95	193	291
423	230	744	432	205	968
424	439	790	169	225	610
425	63	190	64	684	613
426	151	509	182	905	161
427	101	939	620	31	406
428	743	230	878	446	605
429	737	18	373	748	250
430	991	2	257	745	753
431	235	668	158	952	270
432	104	415	374	227	943
433	967	104	905	918	171
434	993	930	825	723	884
435	21	718	558	555	937
436	357	159	562	554	156
437	917	931	15	196	758
438	152	768	589	557	970
439	621	735	161	406	416
440	934	274	777	611	324
441	354	497	719	903	856
442	298	933	241	73	925
443	509	145	522	146	408
444	740	31	304	549	929
445	929	407	660	527	217
446	156	435	947	170	889
447	190	436	963	857	761
448	237	625	80	336	370
449	939	459	999	380	280
450	896	727	672	435	971
451	982	271	403	838	474
452	771	199	933	752	314
453	862	938	549	805	997
454	972	576	490	577	374
455	901	990	338	592	402
456	213	560	930	104	389
457	250	956	925	719	637
458	753	715	153	421	969
459	835	643	575	417	850
460	22	427	455	467	981
461	915	378	707	91	733
462	557	416	710	915	756
463	358	53	613	984	423
464	990	562	358	817	149
465	593	787	824	588	953
466	691	584	527	959	593
467	978	127	638	947	496
468	43	557	9	512	269
469	930	277	570	345	398
470	964	949	831	97	273
471	401	417	397	672	209
472	658	623	16	894	183
473	159	216	0	613	29
474	40	681	19	274	114
475	397	763	446	199	941
476	633	615	669	424	682
477	467	981	321	676	166
478	724	978	628	912	394
479	642	672	657	332	97
480	183	696	11	852	563
481	442	805	350	704	305
482	424	899	176	682	428
483	795	412	262	937	724
484	553	296	406	525	790
485	297	60	372	977	284
486	350	510	560	718	700
487	855	671	318	460	208
488	828	54	630	286	745
489	137	797	968	657	419
490	332	707	762	783	600
491	899	578	924	30	395
492	981	156	892	476	592
493	699	970	244	60	938
494	659	286	586	329	196
495	910	51	856	793	435
496	55	95	54	507	984
497	636	568	765	902	860
498	927	421	728	174	26
499	957	240	573	282	35
500	111	502	186	889	793
501	62	834	731	120	923
502	635	503	314	441	552
503	216	816	376	877	497
504	785	947	152	945	318
505	258	189	551	958	865
506	173	270	104	670	281
507	370	19	465	312	547
508	46	950	609	395	764
509	730	769	863	149	67
510	800	855	171	299	282
511	291	773	948	358	574
512	154	302	173	778	383
513	544	402	201	757	164
514	423	801	441	13	464
515	114	879	283	720	871
516	286	579	319	922	633
517	293	771	642	999	405
518	278	585	460	145	505
519	998	642	911	800	948
520	473	554	844	639	696
521	754	4	452	539	279
522	615	401	294	711	326
523	265	487	342	70	942
524	119	759	456	167	73
525	371	575	282	553	136
526	44	713	753	543	353
527	90	886	763	177	901
528	422	722	639	455	167
529	66	617	576	346	18
530	987	905	200	311	462
