	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	1	662	649	0	657
101	10	27	657	643	662
102	15	41	20	10	663
103	662	44	24	657	664
104	22	51	665	667	22
105	669	52	27	668	669
106	34	59	28	670	671
107	688	63	29	672	673
108	693	69	37	40	35
109	55	709	38	47	684
110	61	83	686	52	50
111	63	726	690	65	58
112	705	733	48	707	60
113	66	92	704	721	61
114	709	93	707	725	69
115	82	103	67	726	81
116	728	112	68	90	83
117	732	763	710	727	85
118	735	769	723	92	92
119	96	134	725	735	732
120	738	139	91	740	97
121	740	145	735	107	98
122	102	796	738	748	738
123	103	798	105	750	106
124	106	799	107	117	749
125	749	160	757	124	752
126	113	179	765	766	756
127	122	824	126	144	759
128	131	831	769	787	760
129	779	832	133	797	125
130	143	834	779	167	126
131	144	190	137	835	128
132	158	193	143	838	137
133	816	197	789	194	142
134	193	204	148	193	145
135	824	215	151	198	150
136	195	220	797	202	152
137	197	222	158	203	789
138	837	865	804	206	790
139	840	234	163	207	804
140	855	873	814	209	167
141	860	892	823	863	807
142	226	895	824	220	809
143	862	274	835	874	175
144	865	277	838	875	821
145	877	279	199	236	200
146	900	282	200	238	205
147	903	916	201	892	843
148	910	285	203	260	846
149	278	925	850	263	209
150	921	930	854	904	847
151	290	297	855	912	221
152	291	302	232	915	867
153	292	937	233	273	872
154	930	309	872	919	889
155	307	950	241	277	891
156	309	953	259	933	251
157	956	319	262	297	893
158	958	320	263	298	895
159	323	954	911	948	896
160	974	332	272	956	275
161	975	976	276	969	276
162	980	978	287	991	921
163	346	351	932	349	281
164	993	995	935	993	933
165	354	996	307	358	939
166	357	357	962	999	947
167	996	369	321	365	317
168	363	370	326	367	963
169	366	390	968	370	327
170	375	403	972	381	971
171	419	428	331	382	331
172	429	430	336	385	974
173	432	443	982	386	986
174	439	447	349	396	350
175	442	460	357	408	352
176	444	465	361	410	361
177	446	466	420	421	374
178	452	474	434	424	392
179	462	480	455	426	403
180	483	483	458	433	405
181	487	487	460	437	431
182	492	494	461	447	438
183	499	501	464	461	439
184	504	503	469	476	446
185	505	504	478	485	452
186	511	510	481	494	458
187	525	520	485	511	471
188	530	534	499	528	494
189	532	536	505	530	522
190	537	541	511	531	527
191	538	553	517	536	535
192	548	555	563	537	544
193	557	557	565	545	556
194	573	578	573	595	561
195	592	581	583	596	566
196	604	587	606	612	591
197	607	602	622	628	594
198	615	603	629	635	609
199	632	632	631	638	632
200	649	6	1	2	1
201	652	652	15	649	13
202	653	26	23	16	26
203	12	668	680	19	28
204	656	33	693	20	676
205	658	36	697	658	39
206	17	677	56	35	41
207	24	679	58	51	686
208	667	692	706	705	700
209	668	694	708	706	705
210	30	71	712	73	64
211	680	74	719	78	67
212	695	715	79	84	714
213	726	85	87	722	87
214	727	89	740	95	90
215	737	98	763	97	94
216	99	750	123	99	113
217	743	109	771	755	114
218	116	757	772	761	751
219	118	760	132	764	753
220	756	128	777	767	124
221	759	129	141	775	768
222	121	132	144	777	132
223	137	136	150	782	136
224	781	785	795	146	138
225	148	786	798	156	153
226	789	138	166	160	791
227	796	153	809	800	156
228	165	801	170	804	159
229	170	805	175	169	799
230	177	807	821	179	176
231	187	811	825	183	815
232	822	170	184	827	177
233	829	173	185	185	826
234	198	187	826	190	188
235	832	203	832	836	194
236	206	205	194	841	196
237	207	226	843	843	199
238	844	872	205	205	838
239	216	236	209	852	845
240	219	239	859	214	207
241	220	879	860	862	852
242	859	884	219	222	223
243	231	247	221	226	228
244	241	898	864	229	878
245	884	268	875	231	239
246	885	904	242	888	886
247	887	908	882	894	890
248	891	276	887	251	257
249	260	293	247	895	904
250	263	300	249	253	265
251	904	303	889	259	908
252	269	305	257	267	914
253	916	944	909	918	919
254	918	312	918	920	279
255	288	956	280	286	926
256	289	326	282	290	289
257	934	327	285	937	937
258	301	334	299	303	297
259	943	972	957	304	298
260	310	344	323	958	941
261	311	346	971	312	312
262	313	349	330	317	953
263	951	993	329	962	955
264	317	358	976	965	960
265	960	359	340	323	326
266	961	998	984	968	328
267	327	362	344	973	337
268	969	367	350	978	346
269	332	381	356	985	988
270	336	384	997	989	989
271	981	397	368	990	365
272	351	420	392	371	370
273	352	427	396	390	427
274	358	434	408	402	448
275	388	438	412	404	450
276	390	445	422	411	461
277	392	452	427	429	463
278	396	453	429	430	464
279	409	457	472	441	469
280	417	468	479	459	496
281	424	479	482	469	498
282	448	495	497	475	504
283	449	502	502	490	505
284	458	514	512	492	506
285	480	517	528	504	507
286	493	526	546	507	531
287	494	539	564	512	533
288	523	545	567	527	558
289	524	546	572	547	580
290	546	562	577	548	585
291	549	563	590	555	590
292	565	564	591	559	596
293	568	568	594	573	603
294	578	576	603	578	604
295	581	579	610	615	613
296	585	584	611	616	614
297	612	586	620	626	617
298	623	591	624	627	619
299	628	604	626	629	635
300	648	642	8	639	0
301	8	643	16	1	14
302	654	645	656	6	656
303	659	5	663	12	18
304	665	7	25	24	658
305	25	650	667	28	20
306	26	651	30	30	659
307	33	653	675	671	31
308	35	656	33	681	696
309	39	18	695	685	54
310	684	20	696	693	707
311	41	663	702	59	719
312	43	32	81	60	725
313	40	671	744	701	91
314	686	35	104	702	736
315	687	38	766	704	108
316	50	680	770	68	116
317	54	681	131	69	121
318	699	695	778	74	761
319	701	61	783	737	765
320	702	66	784	102	770
321	712	72	142	100	784
322	77	723	787	105	157
323	721	96	161	106	811
324	724	99	162	113	174
325	730	743	810	752	820
326	90	102	173	123	183
327	98	113	174	765	184
328	747	762	833	771	832
329	125	131	840	137	195
330	767	777	844	138	201
331	138	142	845	779	210
332	140	790	846	143	861
333	145	155	206	783	862
334	790	156	212	786	230
335	154	803	856	157	232
336	157	175	857	161	244
337	804	177	867	162	884
338	808	184	234	801	885
339	810	189	877	802	248
340	817	836	879	803	274
341	200	845	244	170	278
342	833	208	245	811	282
343	203	227	897	181	942
344	839	869	901	829	305
345	210	243	905	187	948
346	846	881	907	192	314
347	214	885	264	201	959
348	854	248	266	857	330
349	858	890	271	859	972
350	225	263	916	865	333
351	863	902	922	232	334
352	230	909	923	878	335
353	873	278	283	887	980
354	242	917	928	889	983
355	252	286	930	890	985
356	894	287	293	893	353
357	255	288	301	254	362
358	258	947	308	899	368
359	265	313	310	905	372
360	906	316	325	907	376
361	911	955	328	268	379
362	913	966	342	274	385
363	914	333	345	283	388
364	287	970	355	935	395
365	293	343	996	943	402
366	294	980	359	945	404
367	308	983	364	947	416
368	315	356	381	307	424
369	954	375	394	959	435
370	965	378	404	320	442
371	333	379	424	321	454
372	973	380	430	967	474
373	976	405	441	332	476
374	977	406	446	337	479
375	979	407	448	987	481
376	343	417	453	347	482
377	345	423	483	354	497
378	360	448	487	360	501
379	371	451	503	384	512
380	374	455	522	409	519
381	393	459	529	423	528
382	397	488	541	428	537
383	408	492	549	443	538
384	410	511	550	444	539
385	414	524	557	445	547
386	428	525	558	446	555
387	453	540	569	450	560
388	477	542	582	458	563
389	516	547	586	460	571
390	519	548	595	471	582
391	542	570	597	477	588
392	544	573	601	488	600
393	545	583	602	489	602
394	579	596	605	514	606
395	582	612	607	544	608
396	610	613	608	549	615
397	633	627	619	558	624
398	637	634	633	561	626
399	638	639	639	588	637
400	9	3	2	3	10
401	666	646	642	9	12
402	671	13	5	11	652
403	32	19	647	13	19
404	676	661	9	652	661
405	678	23	650	660	29
406	37	673	653	666	37
407	52	674	14	32	42
408	53	39	17	673	687
409	698	42	18	676	694
410	708	55	659	45	697
411	715	696	660	684	56
412	76	60	661	692	75
413	78	697	26	694	715
414	79	707	682	711	716
415	89	75	40	717	80
416	94	721	44	80	721
417	739	725	51	720	728
418	744	735	54	86	129
419	105	742	698	730	154
420	104	749	700	96	155
421	111	754	66	733	793
422	775	759	80	736	162
423	780	765	729	741	801
424	788	766	94	745	164
425	150	768	742	118	163
426	156	125	755	756	171
427	795	126	115	122	813
428	806	144	760	127	819
429	182	150	119	133	186
430	818	154	764	134	830
431	190	164	124	139	191
432	192	168	134	780	834
433	823	169	135	784	208
434	202	816	782	159	212
435	204	819	165	164	214
436	847	821	169	805	858
437	850	176	171	810	226
438	218	822	815	816	229
439	227	180	817	184	233
440	866	827	179	189	882
441	234	846	822	839	243
442	236	209	837	199	883
443	875	850	842	851	892
444	250	855	851	211	902
445	253	858	207	860	903
446	893	223	215	861	269
447	898	864	218	870	913
448	902	867	224	227	271
449	268	228	229	230	917
450	912	871	231	880	925
451	276	877	873	886	290
452	277	242	238	248	293
453	915	886	886	250	296
454	926	255	253	252	943
455	296	899	913	903	303
456	297	269	914	269	313
457	298	271	920	271	316
458	299	914	924	281	318
459	942	918	931	927	319
460	306	295	938	284	965
461	304	296	940	288	332
462	949	939	942	936	976
463	319	308	304	939	982
464	338	310	953	300	984
465	986	311	312	301	347
466	347	958	319	951	348
467	987	962	963	306	351
468	990	328	320	316	354
469	367	339	333	336	998
470	369	977	335	342	366
471	404	348	977	361	386
472	413	990	975	372	399
473	418	992	979	376	411
474	427	366	351	380	412
475	434	373	387	392	415
476	464	377	389	395	418
477	465	386	397	399	419
478	478	399	425	416	441
479	485	409	426	417	447
480	489	418	437	420	453
481	491	440	442	435	457
482	509	454	443	462	465
483	518	464	445	468	467
484	520	467	449	470	472
485	526	471	468	479	500
486	541	493	473	491	516
487	553	497	492	499	532
488	559	509	514	516	548
489	562	512	516	518	550
490	564	513	519	525	559
491	571	521	525	538	564
492	572	533	530	543	567
493	576	554	531	552	579
494	583	560	554	571	581
495	598	574	559	572	597
496	600	582	568	589	611
497	609	589	589	598	618
498	620	615	598	614	623
499	627	619	628	621	636
500	641	2	0	5	6
501	3	654	643	15	650
502	644	672	4	29	651
503	6	675	10	669	16
504	663	43	669	31	668
505	21	683	32	34	670
506	664	685	34	36	33
507	682	690	42	679	36
508	685	701	685	50	682
509	691	702	53	691	683
510	68	64	55	703	49
511	711	708	63	71	699
512	73	70	69	72	62
513	717	73	85	710	708
514	81	720	95	709	72
515	729	724	96	713	77
516	87	94	741	719	720
517	92	95	100	103	724
518	733	738	752	104	88
519	101	758	116	746	93
520	107	761	117	112	742
521	109	120	127	753	744
522	748	130	136	125	746
523	753	775	139	128	119
524	119	133	788	132	120
525	760	147	792	141	758
526	124	149	794	145	123
527	771	818	796	149	767
528	136	178	805	151	133
529	139	823	167	791	140
530	778	192	819	155	776
