	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	141	441	455	608	154
101	136	440	454	603	637
102	131	312	449	596	636
103	130	313	312	586	155
104	122	436	442	578	633
105	120	435	327	577	652
106	119	434	328	574	632
107	109	315	427	571	630
108	227	428	331	568	627
109	743	319	422	560	626
110	451	423	421	554	157
111	473	321	419	551	623
112	665	420	418	550	160
113	663	418	417	544	161
114	660	417	413	540	617
115	659	415	234	538	616
116	653	451	577	536	615
117	649	123	579	534	156
118	645	248	148	532	654
119	644	246	715	522	152
120	666	160	151	614	657
121	641	690	710	616	696
122	636	685	157	621	694
123	633	680	158	622	691
124	632	170	162	709	689
125	631	671	699	706	687
126	627	663	165	694	683
127	625	154	696	691	682
128	623	186	693	681	137
129	622	192	167	679	679
130	637	645	170	678	678
131	667	640	686	676	677
132	668	639	171	675	676
133	672	638	172	672	675
134	740	635	176	518	674
135	739	634	719	668	138
136	738	657	672	657	140
137	731	697	726	655	142
138	730	698	731	652	668
139	722	149	128	645	149
140	711	129	764	640	662
141	705	748	762	639	661
142	698	744	761	638	659
143	696	743	133	635	151
144	695	742	134	634	614
145	693	735	757	629	162
146	691	733	135	664	611
147	690	728	136	512	610
148	686	724	137	511	184
149	684	138	751	506	563
150	682	722	748	423	194
151	678	718	747	417	560
152	676	715	139	416	195
153	621	147	741	414	556
154	467	707	141	411	553
155	620	704	735	409	552
156	612	148	729	407	550
157	544	633	126	404	547
158	542	546	179	403	544
159	540	209	666	398	204
160	538	629	612	424	537
161	537	577	611	395	535
162	530	576	215	392	534
163	527	574	607	387	533
164	523	573	606	386	532
165	546	570	605	385	531
166	519	568	602	383	527
167	505	566	601	381	206
168	504	578	599	378	207
169	500	564	598	375	522
170	499	561	222	370	209
171	498	243	594	369	567
172	491	556	592	393	516
173	485	555	588	713	181
174	480	554	586	426	578
175	506	553	585	429	608
176	548	551	582	504	607
177	554	563	613	997	606
178	555	579	667	494	605
179	611	234	617	491	604
180	610	584	621	481	164
181	609	623	182	472	602
182	607	212	185	471	166
183	604	617	659	470	600
184	602	615	186	469	599
185	599	614	657	467	597
186	598	216	187	428	594
187	587	609	190	460	171
188	585	608	653	450	174
189	581	607	650	447	175
190	579	604	643	446	590
191	572	602	640	445	588
192	570	594	199	442	587
193	568	224	638	441	586
194	565	227	202	439	585
195	564	587	207	433	584
196	563	586	208	431	580
197	556	585	209	430	579
198	618	630	619	459	575
199	999	2	498	498	998
200	256	304	873	38	989
201	462	199	927	936	480
202	254	305	916	36	423
203	458	683	497	927	385
204	457	688	855	943	982
205	454	194	392	627	438
206	250	692	396	864	428
207	249	308	398	250	954
208	502	189	399	552	953
209	503	696	400	549	960
210	508	699	403	740	952
211	509	204	404	745	951
212	246	524	407	746	447
213	245	233	411	748	949
214	513	235	391	256	961
215	224	285	420	752	962
216	225	278	430	156	450
217	226	575	433	754	406
218	549	580	437	757	38
219	444	547	440	152	39
220	229	545	453	533	399
221	658	286	490	762	453
222	230	588	998	260	407
223	234	589	501	146	440
224	526	541	503	766	970
225	447	287	426	263	409
226	272	539	511	727	435
227	997	288	387	726	933
228	452	597	359	722	17
229	445	603	2	171	392
230	129	291	5	615	924
231	662	260	17	630	714
232	429	255	18	650	349
233	160	247	26	653	898
234	159	532	31	598	806
235	158	242	37	195	799
236	753	294	42	670	313
237	286	526	44	227	624
238	756	239	385	684	635
239	757	295	84	771	645
240	759	701	146	187	220
241	156	702	166	183	781
242	762	187	211	575	769
243	766	310	255	573	656
244	287	142	257	707	663
245	768	786	262	570	230
246	769	141	271	235	671
247	161	328	280	718	237
248	770	136	336	719	811
249	152	794	94	720	755
250	775	796	518	701	749
251	151	134	521	772	282
252	778	332	522	773	700
253	779	333	744	265	738
254	150	130	752	814	733
255	149	128	755	282	730
256	782	125	760	823	729
257	784	121	763	827	706
258	413	811	766	828	275
259	788	339	769	830	262
260	792	475	771	104	724
261	470	819	778	103	713
262	138	341	742	102	719
263	771	822	781	117	718
264	747	109	797	479	238
265	162	471	808	97	373
266	418	826	811	95	814
267	670	470	824	91	816
268	671	831	826	851	494
269	428	150	838	852	369
270	680	834	844	475	497
271	189	492	853	473	890
272	688	493	854	857	501
273	187	713	793	466	503
274	699	505	740	98	884
275	700	720	707	865	100
276	701	179	703	811	878
277	702	383	529	499	873
278	424	177	546	775	515
279	183	726	554	267	518
280	709	311	560	779	865
281	182	737	564	780	521
282	423	738	565	139	324
283	177	740	570	270	350
284	737	745	589	271	338
285	735	175	603	792	846
286	734	750	624	793	845
287	733	316	633	277	840
288	732	501	639	795	838
289	420	759	641	128	153
290	430	760	644	127	833
291	728	168	646	274	832
292	726	763	674	802	159
293	170	499	680	508	830
294	422	497	682	507	827
295	173	769	685	501	825
296	716	771	698	807	176
297	715	324	700	808	819
298	727	155	860	514	852
299	721	384	999	835	759
300	926	900	266	978	279
301	970	949	948	933	281
302	927	917	3	977	265
303	928	32	956	934	290
304	975	914	10	399	288
305	916	961	943	935	289
306	967	911	957	302	291
307	965	909	906	932	284
308	906	966	954	208	312
309	939	907	955	420	947
310	961	968	953	862	946
311	941	19	43	174	549
312	942	972	914	673	943
313	943	903	962	529	35
314	899	950	971	685	225
315	958	403	972	168	940
316	893	156	934	166	939
317	952	877	952	702	361
318	1	482	933	164	709
319	876	353	940	176	935
320	262	352	40	704	41
321	296	349	48	521	926
322	306	344	50	232	925
323	315	507	928	159	710
324	333	508	925	158	359
325	338	336	923	517	127
326	344	514	964	153	441
327	261	322	922	509	938
328	345	521	920	731	366
329	375	531	918	710	643
330	380	301	913	177	703
331	385	557	911	530	386
332	392	560	897	662	655
333	394	562	406	209	988
334	408	297	65	584	397
335	411	996	272	203	651
336	358	296	608	557	984
337	220	479	597	593	650
338	219	467	583	198	232
339	201	405	291	194	980
340	6	406	557	217	641
341	25	398	549	192	402
342	26	413	544	191	404
343	48	397	533	610	405
344	50	396	530	218	972
345	62	419	525	613	971
346	76	422	321	626	969
347	80	390	517	182	410
348	97	387	326	643	375
349	104	386	335	646	965
350	111	437	499	658	129
351	114	381	344	179	403
352	115	444	483	321	917
353	118	447	996	145	51
354	139	369	349	496	796
355	168	367	479	737	869
356	185	468	358	443	83
357	427	879	363	817	862
358	878	290	456	826	467
359	432	277	445	435	809
360	466	120	436	425	858
361	807	805	432	837	744
362	809	108	416	272	745
363	816	818	397	89	746
364	829	832	270	88	558
365	830	93	263	561	664
366	835	842	629	413	505
367	844	88	631	845	306
368	802	847	891	848	844
369	846	855	875	410	839
370	850	858	872	78	114
371	851	859	864	854	760
372	853	78	858	855	566
373	858	865	106	859	280
374	862	867	850	273	332
375	867	872	845	813	871
376	875	73	842	281	872
377	849	127	841	812	742
378	796	583	840	809	444
379	760	785	837	749	257
380	752	781	833	755	720
381	493	271	123	756	451
382	528	625	894	764	903
383	551	627	124	767	62
384	553	654	127	774	800
385	566	661	822	251	896
386	584	221	131	778	775
387	592	672	817	782	442
388	606	213	810	124	893
389	615	674	805	462	601
390	617	679	800	258	889
391	638	691	183	118	512
392	642	708	196	259	886
393	651	190	770	800	885
394	687	723	767	451	507
395	714	754	758	996	882
396	729	169	661	266	807
397	749	775	248	805	270
398	464	139	825	106	456
399	439	998	482	449	849
400	923	22	259	960	335
401	978	399	241	961	317
402	40	263	871	956	337
403	921	244	329	955	316
404	920	241	982	962	315
405	915	240	877	950	266
406	46	236	1	964	264
407	913	230	890	965	330
408	912	228	365	966	233
409	930	226	41	945	354
410	910	223	412	944	224
411	49	20	886	939	227
412	35	309	878	987	228
413	934	273	989	938	229
414	900	276	11	931	231
415	898	5	356	973	260
416	944	307	408	926	239
417	945	303	984	984	243
418	949	302	14	921	223
419	895	300	975	919	244
420	887	293	977	985	246
421	972	274	958	918	360
422	63	368	20	917	247
423	881	280	24	915	226
424	977	279	942	912	248
425	12	18	941	906	251
426	891	4	343	937	255
427	350	284	932	0	351
428	859	924	870	406	213
429	415	43	966	880	352
430	308	992	931	189	364
431	431	988	930	196	250
432	307	986	967	213	217
433	304	23	28	230	214
434	442	926	968	237	221
435	996	947	924	283	362
436	299	946	29	178	253
437	453	942	909	304	218
438	465	940	908	312	356
439	291	956	19	336	909
440	288	17	378	352	985
441	279	962	32	359	36
442	276	985	901	384	31
443	298	35	58	390	400
444	265	13	562	306	950
445	410	976	863	402	976
446	401	977	153	169	923
447	354	981	502	160	975
448	343	39	505	7	929
449	342	8	697	15	974
450	336	931	163	19	937
451	366	964	175	22	353
452	335	26	261	43	968
453	404	773	195	47	967
454	369	48	524	162	942
455	324	282	201	50	944
456	314	535	205	80	14
457	389	525	500	120	40
458	390	515	642	129	948
459	396	513	531	133	979
460	397	511	539	135	613
461	370	510	623	138	822
462	534	503	622	73	415
463	255	335	620	887	758
464	252	490	616	995	756
465	744	484	541	490	513
466	748	476	221	750	514
467	154	993	591	753	751
468	781	455	590	803	747
469	144	453	558	810	722
470	800	431	212	816	699
471	191	427	867	818	571
472	803	421	496	735	697
473	124	388	753	834	196
474	823	591	862	863	670
475	98	593	62	866	589
476	828	270	857	870	658
477	837	637	429	871	598
478	94	904	67	872	761
479	134	902	316	874	502
480	710	884	80	839	496
481	202	857	829	458	272
482	210	854	828	734	47
483	559	84	313	730	879
484	244	846	452	535	993
485	241	95	283	547	870
486	237	104	819	555	425
487	236	47	814	558	439
488	576	790	812	559	847
489	235	762	307	594	895
490	218	171	101	733	841
491	595	758	787	595	609
492	614	757	785	618	820
493	629	727	784	637	297
494	635	721	294	666	804
495	639	693	779	682	476
496	646	673	477	714	477
497	652	656	759	721	273
498	860	789	88	612	829
499	998	995	997	999	421
500	293	347	200	202	296
501	10	348	235	205	298
502	206	351	308	105	299
503	295	354	305	100	303
504	297	355	304	99	305
505	334	356	302	96	309
506	301	357	301	5	311
507	303	358	300	11	314
508	309	361	233	20	318
509	310	362	298	24	319
510	332	363	293	28	320
511	311	366	292	29	322
512	313	370	289	30	323
513	9	373	287	34	326
514	317	375	286	35	327
515	319	377	285	40	328
516	8	378	282	46	329
517	321	264	310	51	331
518	323	222	276	52	333
519	285	334	314	207	341
520	327	217	319	57	346
521	325	184	355	60	347
522	347	220	351	63	348
523	355	193	350	65	365
524	214	180	348	66	368
525	216	197	345	67	370
526	217	198	342	69	372
527	353	205	341	70	374
528	223	208	340	71	376
529	352	203	339	74	295
530	228	215	338	76	130
