	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	544	635	779	537	791
101	702	688	525	468	109
102	423	634	214	758	953
103	120	643	798	439	45
104	980	813	32	920	850
105	620	402	999	522	858
106	262	683	436	429	645
107	903	846	940	958	804
108	853	88	137	160	461
109	756	421	381	282	770
110	975	521	765	714	776
111	625	415	530	999	794
112	451	514	245	549	943
113	913	49	519	861	108
114	810	117	328	451	944
115	928	723	785	298	843
116	409	401	796	423	801
117	47	406	742	574	449
118	296	398	481	901	102
119	246	678	930	554	341
120	859	618	977	772	214
121	653	639	892	521	163
122	914	535	286	889	160
123	951	47	350	984	722
124	278	120	586	529	670
125	332	361	333	622	97
126	277	884	293	989	720
127	921	932	983	721	938
128	66	348	723	778	87
129	695	775	979	748	885
130	342	48	34	122	991
131	254	248	33	392	561
132	87	487	412	232	370
133	206	534	690	100	676
134	167	964	379	733	352
135	473	73	285	395	559
136	967	309	882	611	841
137	711	623	501	169	917
138	294	495	649	919	727
139	805	105	511	399	369
140	58	226	528	424	57
141	619	159	123	948	914
142	687	576	325	741	878
143	526	797	152	959	136
144	565	192	964	404	898
145	898	667	686	931	79
146	111	709	289	598	606
147	863	102	491	356	603
148	308	179	301	966	862
149	357	101	704	358	114
150	557	504	914	360	129
151	1	754	889	944	292
152	525	45	1	672	54
153	606	278	699	365	891
154	418	762	947	342	280
155	611	215	128	875	942
156	177	276	176	773	106
157	804	409	567	964	47
158	924	216	963	535	532
159	941	728	698	730	949
160	807	827	259	157	694
161	900	561	630	164	809
162	449	327	484	560	998
163	144	324	132	125	700
164	442	821	577	242	40
165	802	176	675	835	124
166	751	599	588	965	500
167	508	235	922	67	924
168	987	457	234	196	479
169	438	351	248	30	16
170	527	818	187	895	682
171	201	836	955	273	662
172	623	6	219	385	867
173	919	911	862	129	230
174	825	557	680	141	580
175	789	280	212	679	706
176	553	471	871	675	217
177	689	551	693	410	167
178	220	918	512	834	522
179	242	998	231	137	952
180	874	13	809	183	668
181	568	574	948	523	206
182	896	769	194	97	296
183	998	802	26	467	335
184	299	193	18	57	174
185	952	341	153	124	176
186	140	789	778	905	85
187	934	536	203	534	191
188	923	396	913	107	123
189	884	277	967	337	132
190	161	213	312	52	560
191	489	236	894	466	164
192	829	190	365	322	38
193	790	555	313	430	687
194	219	931	427	888	768
195	868	85	741	475	312
196	881	18	351	887	556
197	559	57	857	765	130
198	637	677	475	166	360
199	641	83	952	509	12
200	258	397	249	226	882
201	313	147	906	446	765
202	315	335	864	32	819
203	696	650	971	753	410
204	283	697	836	489	330
205	113	212	552	441	575
206	364	264	148	779	279
207	77	892	465	501	597
208	943	84	94	491	101
209	187	986	314	685	935
210	644	902	718	845	482
211	119	843	119	762	593
212	471	615	453	152	50
213	98	563	24	849	346
214	974	662	146	750	919
215	203	466	441	578	200
216	670	113	140	222	769
217	230	447	378	182	264
218	21	224	109	614	589
219	727	70	446	782	385
220	151	180	200	969	929
221	534	279	771	802	972
222	819	871	16	653	718
223	961	872	572	334	393
224	595	189	933	933	879
225	635	142	703	886	373
226	97	957	452	283	719
227	236	211	211	235	20
228	498	370	66	855	951
229	260	591	883	51	98
230	847	578	407	151	607
231	492	286	182	935	844
232	930	422	270	530	631
233	371	308	443	359	128
234	444	320	81	236	950
235	105	383	308	683	677
236	393	989	343	425	790
237	428	824	524	323	744
238	480	785	516	193	351
239	865	184	890	19	205
240	229	234	349	59	315
241	392	781	485	755	180
242	631	340	761	348	954
243	754	632	843	539	453
244	659	255	304	533	438
245	307	569	455	40	803
246	227	450	589	6	895
247	35	114	25	23	976
248	576	467	424	209	904
249	142	3	55	512	24
250	62	99	21	945	584
251	965	53	909	13	401
252	216	826	850	70	323
253	849	937	326	352	56
254	917	541	863	557	120
255	397	917	811	927	368
256	660	20	418	158	587
257	770	468	762	706	495
258	800	166	174	390	253
259	548	654	735	0	986
260	982	575	992	162	515
261	52	168	656	872	673
262	651	637	851	865	72
263	94	244	520	332	159
264	945	263	364	816	689
265	722	630	394	718	435
266	375	806	576	189	973
267	198	690	340	723	793
268	139	34	238	859	83
269	822	270	674	237	547
270	360	170	911	123	912
271	241	761	87	955	275
272	636	983	943	590	366
273	598	22	20	745	649
274	920	220	116	77	849
275	491	914	432	937	289
276	563	452	731	701	643
277	585	123	272	324	64
278	654	823	88	925	674
279	642	205	141	485	271
280	234	675	638	102	497
281	604	344	879	828	710
282	500	302	470	536	822
283	728	745	414	265	332
284	612	566	492	375	198
285	63	438	68	88	846
286	366	586	783	676	454
287	309	500	318	527	444
288	667	977	263	443	632
289	54	384	222	252	531
290	82	474	380	992	655
291	34	848	2	225	813
292	32	757	216	511	723
293	154	607	310	912	997
294	168	905	820	890	465
295	160	39	275	852	17
296	37	432	825	177	937
297	412	886	459	596	626
298	742	955	934	871	60
299	779	868	201	591	564
300	81	349	408	71	73
301	862	916	209	934	600
302	740	436	931	250	544
303	235	925	968	561	635
304	646	708	953	841	717
305	17	492	997	722	491
306	454	627	69	983	832
307	554	585	603	700	119
308	374	502	95	473	100
309	504	473	150	437	423
310	435	346	766	281	759
311	581	629	551	710	786
312	777	475	266	968	848
313	388	197	385	194	732
314	540	822	136	479	364
315	648	171	617	558	91
316	138	545	831	66	811
317	738	109	641	660	984
318	13	233	537	65	204
319	926	685	292	639	598
320	767	852	899	860	989
321	328	135	115	288	614
322	708	413	715	68	186
323	464	239	388	185	652
324	902	596	241	396	503
325	837	368	523	98	708
326	250	484	916	973	427
327	566	580	881	127	549
328	124	790	514	187	507
329	148	664	416	190	152
330	334	301	23	726	590
331	502	603	166	490	519
332	96	865	3	314	14
333	785	608	518	577	714
334	780	882	689	233	314
335	288	973	473	713	451
336	830	583	425	195	713
337	419	240	321	985	594
338	335	750	751	251	94
339	970	31	981	786	871
340	137	427	437	381	582
341	550	271	362	28	948
342	90	417	398	531	295
343	485	588	336	346	772
344	269	766	126	301	569
345	714	125	846	118	209
346	95	661	355	540	306
347	808	36	0	525	6
348	445	334	344	495	852
349	584	379	769	586	886
350	686	832	359	36	356
351	901	509	845	594	521
352	297	663	419	92	746
353	70	285	901	445	456
354	509	453	197	735	528
355	716	388	728	370	780
356	274	326	10	256	398
357	50	377	759	320	350
358	721	533	302	104	782
359	218	725	257	103	212
360	806	950	396	926	201
361	306	386	62	492	707
362	387	593	932	421	347
363	106	61	411	575	869
364	79	430	608	450	716
365	434	657	76	952	348
366	977	597	972	702	359
367	911	175	450	854	967
368	390	328	772	133	981
369	762	313	283	27	796
370	856	876	44	349	353
371	569	680	958	128	908
372	3	489	105	387	925
373	997	269	48	449	126
374	676	98	665	326	578
375	768	480	299	678	284
376	910	587	643	910	326
377	583	154	158	857	810
378	30	380	254	864	75
379	457	856	276	606	613
380	150	444	460	106	411
381	828	694	539	799	821
382	956	486	905	917	488
383	678	972	192	472	88
384	787	996	789	684	329
385	18	71	397	643	947
386	739	976	800	414	266
387	875	448	853	843	464
388	717	501	28	792	320
389	439	12	781	72	400
390	291	104	965	727	820
391	115	617	420	947	888
392	394	66	579	231	42
393	572	497	573	882	243
394	906	451	206	201	207
395	343	656	740	272	697
396	73	63	80	616	153
397	327	877	45	571	586
398	185	992	753	671	827
399	145	744	430	153	915
400	748	962	14	105	233
401	33	59	681	673	853
402	858	850	413	316	428
403	990	403	606	734	838
404	669	465	374	979	26
405	286	934	434	839	959
406	370	460	822	1	313
407	373	520	330	366	140
408	114	554	619	428	265
409	41	982	663	646	13
410	125	698	320	155	971
411	466	525	695	341	502
412	771	359	335	11	901
413	735	177	38	990	10
414	904	787	558	749	923
415	532	854	877	604	605
416	404	774	824	878	28
417	24	330	422	514	903
418	363	855	67	801	861
419	905	247	30	893	77
420	319	796	251	967	926
421	104	604	639	670	262
422	53	660	844	258	395
423	129	209	823	977	815
424	851	816	564	877	399
425	385	721	110	971	675
426	458	7	345	168	121
427	873	169	305	960	550
428	766	76	838	717	680
429	973	295	568	56	281
430	712	701	502	416	847
431	287	322	923	413	636
432	621	602	631	929	274
433	665	961	42	805	151
434	131	14	872	274	154
435	173	287	468	476	138
436	323	716	927	709	290
437	447	382	497	725	409
438	693	69	856	263	49
439	545	733	541	629	579
440	511	51	253	589	985
441	8	646	9	372	255
442	937	507	399	517	721
443	506	141	644	662	836
444	493	445	96	752	374
445	252	414	264	548	743
446	832	155	633	630	450
447	679	363	255	120	156
448	915	707	429	496	965
449	857	4	938	951	361
450	775	760	316	406	334
451	417	347	610	939	220
452	503	148	294	638	84
453	420	343	358	694	51
454	157	819	403	904	458
455	705	412	151	775	137
456	484	95	797	838	860
457	337	838	867	74	419
458	143	970	786	996	25
459	290	777	243	254	349
460	379	900	298	290	705
461	401	138	624	719	316
462	354	758	562	205	247
463	784	794	942	870	33
464	981	2	763	538	728
465	231	312	186	402	80
466	833	912	533	302	535
467	796	808	65	321	4
468	964	282	280	704	816
469	256	284	31	417	442
470	304	79	764	640	125
471	99	980	184	9	199
472	729	33	560	378	268
473	724	799	64	294	218
474	792	454	82	544	703
475	698	988	242	499	574
476	524	268	826	682	659
477	538	749	598	317	581
478	314	524	433	621	408
479	546	499	157	918	749
480	912	735	107	991	563
481	927	65	215	627	742
482	752	72	456	287	617
483	333	228	246	736	298
484	389	727	812	214	269
485	541	788	661	455	592
486	368	305	611	211	365
487	122	693	41	206	555
488	760	317	859	289	92
489	429	366	515	238	596
490	261	204	505	800	884
491	542	954	458	481	278
492	44	217	592	994	807
493	210	978	221	666	784
494	165	831	842	795	229
495	380	966	5	902	755
496	715	847	841	135	175
497	706	984	376	167	534
498	999	187	925	995	471
499	818	81	482	371	257
500	793	26	685	99	591
501	860	178	479	420	362
502	46	482	472	108	157
503	102	303	858	880	182
504	284	362	887	980	155
505	663	378	448	69	752
506	846	156	175	207	588
507	732	369	794	42	388
508	68	23	79	10	224
509	369	553	178	170	407
510	48	674	11	338	276
511	700	121	814	863	601
512	688	42	987	813	425
513	731	614	776	757	968
514	638	938	657	470	982
515	26	290	85	311	324
516	293	765	550	138	512
517	582	246	449	461	246
518	265	738	202	516	845
519	528	488	104	494	251
520	338	89	357	810	31
521	701	653	361	229	39
522	152	513	143	764	397
523	628	807	654	572	941
524	972	5	870	411	421
525	985	924	338	469	658
526	960	508	962	277	970
527	929	939	496	658	161
528	472	921	15	477	526
529	251	981	183	35	974
530	996	512	623	181	650
