	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	978	213	285	683	742
101	774	890	481	11	31
102	628	774	832	707	645
103	618	285	263	737	582
104	670	120	134	890	760
105	658	330	767	713	915
106	651	493	388	160	418
107	685	545	795	910	841
108	782	492	996	46	500
109	698	557	84	127	948
110	121	515	789	12	819
111	106	301	828	312	400
112	742	441	135	600	19
113	365	627	385	447	154
114	682	307	838	931	447
115	220	652	137	89	560
116	847	723	781	125	47
117	637	130	965	211	985
118	334	618	200	106	784
119	285	534	377	417	395
120	246	133	958	721	476
121	931	513	810	709	330
122	861	607	28	104	404
123	378	992	240	792	382
124	986	103	20	767	699
125	53	693	280	380	609
126	136	363	69	317	1
127	815	246	242	670	548
128	620	630	326	986	724
129	985	324	110	153	865
130	473	773	879	19	965
131	558	694	568	420	369
132	625	312	76	151	72
133	130	197	710	489	797
134	654	367	443	814	940
135	566	930	844	176	752
136	39	45	207	865	346
137	987	713	407	823	849
138	868	790	323	808	767
139	182	373	27	485	534
140	12	883	333	353	728
141	638	480	179	316	17
142	376	691	397	321	929
143	484	336	913	917	360
144	557	777	811	540	552
145	555	125	380	870	184
146	905	420	146	118	872
147	680	794	199	678	335
148	690	615	166	338	93
149	712	843	247	947	605
150	942	212	741	331	446
151	49	339	468	96	217
152	254	305	406	213	389
153	321	604	107	598	228
154	595	986	63	414	140
155	877	14	998	774	974
156	781	60	115	451	891
157	559	148	595	613	893
158	265	302	412	270	675
159	230	781	820	978	635
160	452	230	254	606	449
161	610	568	971	700	954
162	537	95	381	985	281
163	727	226	266	979	993
164	652	419	502	628	435
165	762	632	308	36	962
166	837	945	815	178	45
167	313	269	594	992	375
168	502	982	245	559	0
169	739	796	448	999	785
170	307	79	351	250	229
171	732	918	338	522	858
172	593	316	272	902	781
173	80	956	475	604	925
174	564	12	517	681	419
175	277	89	877	501	407
176	225	946	300	630	943
177	13	554	41	201	124
178	412	396	241	32	83
179	622	726	305	933	575
180	251	696	772	421	772
181	249	749	344	726	233
182	790	535	892	200	297
183	387	278	310	521	62
184	568	815	758	980	223
185	82	536	148	52	550
186	943	798	196	525	102
187	829	204	141	595	475
188	513	985	185	146	206
189	451	72	157	45	800
190	432	397	514	971	727
191	44	47	14	627	67
192	809	742	526	685	69
193	304	540	203	22	988
194	195	321	643	102	588
195	770	455	124	533	443
196	777	454	55	956	352
197	822	127	503	0	386
198	504	663	170	775	130
199	671	675	886	294	39
200	807	39	541	835	120
201	457	763	524	966	600
202	495	154	539	67	515
203	219	855	477	386	176
204	96	871	221	423	436
205	997	344	531	288	700
206	160	917	212	993	677
207	505	19	693	943	680
208	974	898	543	144	870
209	922	957	551	47	513
210	926	955	954	407	153
211	684	2	641	27	16
212	279	831	400	416	664
213	561	546	312	608	265
214	756	642	759	755	127
215	627	295	982	994	366
216	939	524	956	939	889
217	415	948	101	741	790
218	295	101	432	399	662
219	743	541	827	462	643
220	336	964	525	499	451
221	102	614	417	757	100
222	397	539	677	838	883
223	571	531	999	391	973
224	541	581	136	657	270
225	466	290	628	383	601
226	510	44	890	964	938
227	388	221	940	983	826
228	751	177	44	508	211
229	964	639	953	189	683
230	204	593	989	662	720
231	930	551	163	929	88
232	70	415	106	544	544
233	542	944	957	589	555
234	442	510	689	779	776
235	152	503	82	6	689
236	419	514	418	404	405
237	972	508	763	764	659
238	524	834	559	80	946
239	617	760	275	355	670
240	431	18	932	297	521
241	633	23	32	590	984
242	417	431	420	512	655
243	380	612	938	903	820
244	631	92	182	748	497
245	636	629	631	611	324
246	771	623	952	108	769
247	660	418	731	439	953
248	423	984	123	90	64
249	800	573	700	640	186
250	961	925	569	961	40
251	428	673	871	901	495
252	945	199	916	959	721
253	470	7	777	442	225
254	779	602	16	43	736
255	996	532	867	934	80
256	9	180	793	387	182
257	954	387	104	995	657
258	754	284	622	951	160
259	980	590	757	535	975
260	519	980	690	845	496
261	283	403	558	193	637
262	427	108	567	571	844
263	793	450	588	435	106
264	1	118	826	592	559
265	960	685	577	263	569
266	244	440	680	378	709
267	614	664	751	205	480
268	494	500	235	356	654
269	853	242	823	534	668
270	410	824	65	927	944
271	915	398	436	443	809
272	619	671	630	406	793
273	170	803	642	639	481
274	965	818	430	922	722
275	424	149	270	567	338
276	396	954	426	88	694
277	50	989	579	345	782
278	525	934	361	864	6
279	235	816	624	445	439
280	467	501	500	937	311
281	46	845	211	551	563
282	556	579	905	871	632
283	418	646	48	349	87
284	641	587	797	852	415
285	863	858	394	311	196
286	527	520	633	496	416
287	319	903	760	904	679
288	92	248	276	479	532
289	813	224	833	179	392
290	471	393	299	537	271
291	944	243	855	935	397
292	775	597	808	369	825
293	749	300	492	756	579
294	345	17	822	601	622
295	878	447	942	749	980
296	465	406	234	754	440
297	876	423	187	593	295
298	94	507	870	103	284
299	912	805	152	753	230
300	335	517	552	629	213
301	422	73	505	42	963
302	213	160	31	156	989
303	918	745	975	854	890
304	177	823	817	704	807
305	700	417	925	618	673
306	828	468	782	861	756
307	297	452	325	842	641
308	150	135	723	655	471
309	855	933	433	984	749
310	369	721	707	225	312
311	819	405	470	882	636
312	385	64	592	158	402
313	679	688	927	431	251
314	338	570	858	552	350
315	808	787	943	634	814
316	858	656	564	76	12
317	291	996	427	693	427
318	672	27	121	960	968
319	120	949	748	734	132
320	122	291	752	358	743
321	544	416	419	965	292
322	585	886	964	324	861
323	411	235	845	637	608
324	446	164	899	519	589
325	276	533	856	761	133
326	429	31	884	366	351
327	26	738	21	638	936
328	759	633	972	196	830
329	937	638	497	50	898
330	138	402	499	950	939
331	744	436	576	945	933
332	977	268	496	952	425
333	404	750	629	557	937
334	158	474	933	128	909
335	929	328	761	932	614
336	914	876	609	948	556
337	435	171	883	413	175
338	840	572	404	828	950
339	481	525	814	973	656
340	958	789	522	962	79
341	347	311	416	63	976
342	632	368	363	348	163
343	934	735	398	925	961
344	803	589	515	878	275
345	728	98	718	926	955
346	534	645	455	750	469
347	921	88	194	570	759
348	554	655	941	402	847
349	993	820	456	802	663
350	695	931	608	9	359
351	299	222	133	561	972
352	192	566	469	711	960
353	666	961	729	194	796
354	237	457	779	660	924
355	975	822	819	209	136
356	916	294	589	65	822
357	224	937	666	615	212
358	551	724	544	550	878
359	602	603	411	727	537
360	187	922	794	477	633
361	885	683	425	284	896
362	342	279	620	957	813
363	716	958	889	977	150
364	547	847	929	265	428
365	817	428	389	410	755
366	721	335	703	679	952
367	449	995	695	495	831
368	570	277	930	531	503
369	498	36	15	771	882
370	72	356	853	906	833
371	693	940	422	290	322
372	920	775	968	120	703
373	263	869	282	398	914
374	576	114	37	898	505
375	332	76	977	848	398
376	629	163	784	411	888
377	911	740	190	919	38
378	952	608	656	944	848
379	820	349	328	876	522
380	615	574	923	804	627
381	904	578	611	626	507
382	358	990	607	133	90
383	623	575	169	149	827
384	131	432	40	396	411
385	581	939	178	346	982
386	662	947	621	872	303
387	298	451	563	237	613
388	183	972	962	863	821
389	923	547	292	905	547
390	151	754	408	347	592
391	895	582	682	162	594
392	839	153	948	199	926
393	325	220	764	813	810
394	976	296	857	375	765
395	862	672	127	549	617
396	823	988	11	304	856
397	439	970	392	826	431
398	874	412	87	784	970
399	676	471	537	614	424
400	64	380	261	790	895
401	22	827	755	235	274
402	438	757	908	777	631
403	999	52	804	367	280
404	982	977	9	664	423
405	453	263	728	159	162
406	367	369	860	588	298
407	598	54	992	645	745
408	731	309	841	816	145
409	430	707	935	746	114
410	573	555	132	31	607
411	156	176	529	889	25
412	767	962	262	441	949
413	992	343	372	758	901
414	436	807	934	682	383
415	970	38	94	538	328
416	787	271	80	830	923
417	227	613	459	723	262
418	998	123	882	714	581
419	752	998	995	745	947
420	317	479	100	646	329
421	635	950	298	912	412
422	609	953	50	446	860
423	981	643	872	227	630
424	54	759	785	16	279
425	896	315	831	782	54
426	390	48	265	168	117
427	274	926	446	969	409
428	746	910	440	372	332
429	25	399	307	818	50
430	879	973	842	509	361
431	722	280	598	299	224
432	154	661	848	773	123
433	98	808	987	433	723
434	384	690	947	529	232
435	444	347	304	390	567
436	3	190	205	554	746
437	849	699	955	672	347
438	311	978	640	731	448
439	454	136	762	650	171
440	538	435	681	455	997
441	10	9	465	968	753
442	352	932	824	282	561
443	714	422	626	152	535
444	18	509	928	70	811
445	760	444	449	989	531
446	656	194	25	555	761
447	910	448	686	722	758
448	956	209	26	272	519
449	6	282	931	405	853
450	846	357	343	141	812
451	508	173	979	195	394
452	368	966	649	460	921
453	607	564	95	622	309
454	445	390	158	425	393
455	343	588	738	703	97
456	351	379	617	689	10
457	830	912	636	575	410
458	87	900	657	220	444
459	357	758	186	385	904
460	258	65	117	352	221
461	77	993	650	157	538
462	611	276	19	834	290
463	499	863	348	740	869
464	553	662	864	392	935
465	748	737	675	547	199
466	255	854	562	987	846
467	464	563	518	936	886
468	89	704	638	408	912
469	711	679	335	473	381
470	639	864	970	729	969
471	162	331	554	371	166
472	691	467	907	643	751
473	757	386	778	298	852
474	483	909	911	171	479
475	687	826	591	475	682
476	730	637	336	801	879
477	190	665	414	807	832
478	766	57	744	487	121
479	664	976	155	596	250
480	364	358	572	35	884
481	15	640	914	610	442
482	924	495	922	997	697
483	740	51	24	577	626
484	447	241	175	466	403
485	724	340	846	719	273
486	818	981	840	720	35
487	500	709	717	467	401
488	726	26	825	574	477
489	645	852	674	841	715
490	973	487	437	66	580
491	434	968	434	868	829
492	62	427	639	177	379
493	927	104	453	860	981
494	379	499	601	301	73
495	710	247	403	444	408
496	95	761	549	38	385
497	366	904	454	458	815
498	860	594	685	669	514
499	580	121	665	730	803
500	324	744	776	430	804
501	825	473	396	155	512
502	784	3	924	426	624
503	689	414	162	673	562
504	941	576	672	281	282
505	549	728	966	996	658
506	582	409	612	434	967
507	928	346	704	886	806
508	159	234	2	765	237
509	592	585	294	793	26
510	509	482	557	3	816
511	733	938	271	251	501
512	709	505	391	428	951
513	485	413	301	393	524
514	600	512	429	92	22
515	392	879	771	395	518
516	844	584	901	361	390
517	893	497	984	230	37
518	565	617	23	938	686
519	901	407	17	359	871
520	503	147	798	829	744
521	328	378	863	449	58
522	587	560	176	490	14
523	40	359	590	170	24
524	951	361	379	15	764
525	76	466	191	326	527
526	480	475	660	13	707
527	197	186	368	762	598
528	659	189	963	893	876
529	648	813	452	752	845
530	854	270	357	206	590
