	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	682	931	948	416	917
101	234	947	897	980	919
102	629	39	919	927	972
103	582	60	962	931	58
104	579	9	27	15	399
105	578	977	918	392	419
106	576	212	18	51	926
107	262	856	954	466	973
108	254	521	16	945	941
109	593	363	989	259	549
110	595	545	927	870	518
111	572	353	909	591	611
112	263	352	977	590	724
113	251	554	979	199	607
114	602	343	949	723	217
115	604	564	943	586	320
116	570	570	941	726	732
117	607	572	69	577	324
118	609	333	928	183	601
119	249	332	966	593	315
120	265	577	446	568	599
121	568	327	94	311	329
122	614	324	550	178	593
123	615	322	360	176	592
124	566	316	554	754	755
125	618	591	356	756	756
126	564	313	562	761	591
127	622	517	568	321	759
128	623	514	569	551	196
129	236	513	546	746	746
130	627	383	572	709	439
131	269	437	577	598	716
132	631	435	579	704	312
133	813	450	582	650	663
134	542	451	330	263	668
135	540	422	605	655	650
136	754	421	607	638	674
137	756	420	610	634	289
138	757	466	344	666	677
139	499	417	611	626	265
140	498	312	544	672	262
141	762	473	539	622	641
142	148	475	455	616	637
143	493	492	440	230	684
144	492	397	437	615	694
145	141	396	427	227	697
146	775	499	477	683	298
147	777	501	419	611	627
148	489	387	418	693	706
149	139	504	541	608	622
150	311	386	417	213	231
151	782	415	398	284	230
152	136	95	396	549	589
153	134	599	394	774	588
154	790	608	389	158	334
155	125	190	524	156	335
156	793	743	531	353	555
157	317	744	533	514	552
158	121	178	490	108	550
159	120	170	883	839	658
160	321	765	612	104	833
161	473	774	640	843	834
162	806	781	809	508	548
163	807	786	144	849	839
164	808	149	824	365	129
165	152	789	825	501	127
166	204	148	827	96	846
167	752	141	136	367	534
168	749	803	832	860	533
169	538	806	794	861	117
170	200	813	838	370	858
171	537	822	845	90	375
172	691	843	111	864	108
173	695	848	101	89	519
174	698	723	869	371	870
175	699	204	870	828	819
176	701	713	871	872	872
177	702	704	872	258	816
178	528	609	842	125	160
179	706	304	613	334	582
180	708	617	171	543	581
181	710	297	784	152	579
182	712	291	641	538	176
183	525	288	643	537	782
184	715	643	650	792	784
185	189	647	270	535	785
186	520	650	672	534	338
187	727	602	245	529	789
188	731	273	221	803	790
189	734	268	786	346	793
190	735	664	448	525	571
191	299	248	740	808	569
192	161	246	748	809	799
193	303	674	757	810	166
194	158	690	759	811	163
195	746	227	760	812	806
196	502	224	761	128	161
197	500	702	779	127	809
198	751	657	211	823	814
199	690	493	999	519	440
200	25	301	408	902	24
201	964	540	992	65	84
202	47	542	997	966	22
203	943	294	882	399	20
204	941	557	891	369	971
205	934	285	952	967	949
206	931	562	907	943	80
207	930	568	947	36	35
208	928	526	381	13	888
209	923	573	385	978	933
210	922	575	25	451	946
211	920	277	31	937	976
212	58	579	934	936	979
213	905	274	933	983	923
214	900	271	932	431	942
215	881	270	931	985	718
216	738	584	21	11	97
217	879	585	930	404	366
218	495	255	453	948	362
219	504	596	963	929	513
220	505	574	923	926	515
221	369	603	965	925	356
222	368	525	19	950	526
223	513	311	922	989	350
224	355	401	37	429	537
225	532	412	916	973	547
226	551	393	38	952	560
227	557	427	970	955	563
228	334	440	908	956	322
229	581	369	397	917	306
230	600	444	429	918	594
231	297	367	971	667	597
232	291	366	822	485	600
233	633	362	481	778	609
234	637	515	299	559	501
235	371	453	573	766	616
236	641	457	576	571	497
237	480	459	175	762	481
238	384	358	176	758	427
239	423	357	731	757	411
240	429	476	728	574	410
241	420	487	286	750	442
242	419	330	186	748	443
243	434	508	283	578	407
244	435	509	194	740	448
245	418	315	195	588	405
246	413	455	599	592	400
247	411	838	275	554	456
248	410	607	763	182	398
249	451	234	271	189	395
250	401	749	697	603	462
251	397	750	263	606	463
252	394	754	626	195	393
253	462	759	684	196	476
254	392	763	628	717	479
255	385	769	224	710	496
256	379	131	631	707	630
257	880	773	674	270	631
258	642	775	633	268	632
259	645	787	666	694	182
260	818	742	665	689	768
261	820	790	642	682	769
262	823	121	247	235	174
263	131	805	657	596	171
264	837	808	699	146	159
265	840	811	479	552	154
266	844	816	565	550	800
267	850	818	158	889	807
268	111	821	867	352	815
269	853	831	357	84	136
270	854	103	483	495	133
271	858	102	76	871	832
272	860	794	350	97	120
273	868	614	856	98	119
274	873	153	853	863	844
275	875	728	95	857	845
276	877	632	841	855	752
277	817	633	837	854	186
278	285	637	336	507	749
279	145	213	104	332	747
280	795	653	335	326	635
281	648	655	109	838	643
282	651	662	559	324	272
283	659	663	326	522	255
284	664	665	123	790	673
285	670	187	519	793	237
286	679	154	131	547	682
287	237	681	522	544	233
288	230	692	133	536	871
289	220	693	134	312	687
290	424	695	135	894	699
291	747	697	797	805	212
292	748	709	537	814	423
293	753	715	543	816	720
294	190	163	781	317	728
295	769	721	552	826	199
296	160	722	557	827	195
297	159	724	771	834	742
298	809	685	517	813	227
299	999	998	703	0	0
300	17	924	257	248	56
301	294	51	255	247	47
302	293	956	254	242	935
303	307	390	253	238	57
304	22	916	282	237	950
305	24	986	251	38	39
306	298	988	243	236	954
307	301	995	249	252	955
308	308	346	244	269	67
309	292	989	248	30	960
310	296	909	265	271	912
311	290	993	238	29	36
312	976	467	264	298	963
313	965	355	246	297	902
314	993	934	235	294	83
315	996	930	266	290	26
316	43	431	276	288	889
317	37	31	277	287	980
318	985	432	272	286	94
319	987	961	280	283	19
320	978	344	403	282	100
321	956	948	663	289	415
322	76	441	984	281	220
323	32	962	404	278	128
324	967	22	432	277	326
325	12	423	606	272	566
326	918	19	982	274	575
327	961	18	363	273	584
328	990	17	400	50	303
329	975	976	1	5	587
330	716	448	608	906	590
331	855	452	609	47	296
332	260	14	48	7	603
333	261	938	889	9	605
334	612	937	622	10	613
335	587	380	212	987	614
336	580	47	14	935	288
337	286	356	414	932	282
338	569	651	955	934	281
339	287	869	17	904	535
340	559	904	416	922	332
341	556	135	420	12	346
342	555	768	938	23	512
343	554	760	935	951	409
344	549	757	968	22	428
345	544	748	601	957	435
346	541	740	925	35	436
347	524	738	972	42	406
348	324	160	924	939	444
349	396	402	26	405	401
350	404	727	424	76	623
351	409	235	974	572	397
352	427	612	975	570	386
353	428	576	646	565	385
354	431	171	639	299	471
355	255	707	764	509	369
356	432	696	681	499	495
357	439	694	560	322	503
358	353	623	805	347	505
359	457	683	804	450	453
360	466	627	798	359	860
361	483	635	726	378	626
362	325	638	166	434	647
363	436	673	793	428	767
364	856	216	505	417	770
365	628	642	810	395	775
366	639	208	738	413	797
367	106	716	163	396	803
368	846	801	744	410	175
369	114	563	141	408	162
370	830	280	776	407	156
371	829	73	751	406	825
372	815	497	770	575	826
373	804	888	527	589	827
374	787	500	758	594	155
375	784	503	787	600	153
376	781	83	719	835	835
377	156	84	498	829	841
378	778	321	312	129	204
379	162	879	594	801	761
380	766	87	863	764	760
381	760	89	196	749	758
382	742	510	857	736	273
383	733	92	187	735	270
384	644	652	80	734	250
385	646	865	700	731	675
386	653	307	585	882	676
387	656	858	704	730	679
388	665	532	484	718	686
389	227	535	833	681	279
390	252	302	178	673	689
391	671	845	829	653	698
392	685	114	828	646	703
393	686	837	570	645	710
394	689	834	100	643	714
395	721	827	564	629	719
396	722	560	718	234	744
397	197	815	815	621	206
398	224	65	452	719	696
399	998	405	998	692	998
400	344	305	345	391	354
401	378	303	365	205	349
402	377	341	362	390	292
403	376	347	361	384	997
404	375	317	359	383	274
405	374	241	358	382	269
406	373	336	355	381	271
407	370	240	351	380	257
408	367	221	349	376	253
409	366	370	364	375	275
410	283	217	305	372	276
411	365	215	329	366	251
412	363	373	261	387	260
413	360	211	287	20	268
414	358	210	239	62	264
415	354	209	240	306	291
416	352	205	252	307	247
417	351	203	289	229	266
418	347	199	233	226	278
419	346	198	232	225	248
420	345	197	292	223	464
421	364	194	231	222	709
422	279	193	241	220	447
423	997	192	293	218	645
424	210	189	229	217	636
425	244	222	285	214	707
426	213	368	259	211	633
427	242	220	242	210	936
428	241	228	301	209	947
429	214	223	302	208	929
430	235	230	222	207	925
431	231	361	298	232	624
432	229	226	219	233	938
433	228	233	300	231	671
434	278	236	43	260	567
435	226	239	864	24	379
436	225	428	877	267	991
437	223	407	875	302	403
438	216	964	995	250	989
439	217	379	434	266	662
440	218	984	449	303	13
441	245	985	442	265	14
442	219	914	873	300	416
443	268	990	911	301	17
444	277	918	40	254	951
445	203	43	2	253	975
446	250	970	983	251	970
447	253	944	391	304	25
448	276	406	399	256	664
449	256	973	964	947	29
450	258	953	638	964	425
451	267	932	200	995	37
452	206	982	407	968	38
453	274	950	20	960	909
454	272	949	23	16	418
455	207	413	598	992	908
456	944	12	656	958	353
457	709	946	426	27	904
458	182	351	234	962	531
459	973	398	11	977	847
460	951	958	675	961	843
461	974	645	304	979	840
462	430	908	343	969	838
463	954	263	325	944	311
464	980	108	321	420	831
465	979	123	162	886	194
466	960	762	161	652	598
467	970	761	117	614	829
468	688	758	778	595	280
469	687	556	497	557	151
470	408	726	500	555	812
471	825	581	526	527	284
472	911	587	153	657	183
473	449	588	294	506	804
474	547	630	755	385	290
475	101	656	752	386	562
476	805	186	307	430	822
477	803	639	515	425	359
478	313	820	291	409	743
479	583	823	551	421	514
480	82	824	808	481	467
481	509	512	475	901	221
482	246	48	65	662	896
483	884	992	583	701	893
484	503	326	182	876	475
485	357	57	465	862	477
486	774	883	844	852	480
487	894	882	843	845	351
488	335	300	840	106	738
489	901	911	456	830	213
490	902	483	262	679	723
491	744	871	831	817	337
492	732	863	82	779	500
493	350	855	823	771	106
494	635	88	821	737	394
495	636	505	470	162	608
496	726	846	814	168	729
497	452	276	558	706	328
498	893	76	835	807	610
499	863	701	190	999	657
500	52	61	63	134	72
501	50	59	62	103	69
502	49	55	58	72	64
503	48	54	56	184	62
504	55	53	55	187	77
505	143	52	54	354	211
506	124	63	53	185	993
507	314	156	51	356	218
508	289	144	179	358	313
509	295	284	183	360	376
510	304	282	172	361	316
511	306	377	319	393	317
512	309	286	320	398	318
513	310	287	323	34	319
514	144	290	327	32	323
515	315	293	430	403	327
516	319	388	328	411	330
517	323	295	331	349	389
518	327	296	333	31	214
519	332	164	338	28	388
520	333	308	184	426	333
521	336	309	339	435	341
522	337	310	340	6	347
523	338	319	341	441	348
524	342	320	342	442	383
525	446	328	422	443	360
526	445	331	348	444	361
527	444	382	368	445	364
528	442	335	372	446	365
529	422	381	373	447	370
530	415	339	374	2	372
