	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	573	73	325	469	603
101	663	547	854	270	549
102	47	31	928	455	617
103	73	617	482	748	579
104	957	820	2	962	687
105	274	216	9	332	49
106	466	926	825	12	516
107	294	934	26	519	937
108	49	980	794	616	120
109	438	12	828	1	601
110	568	294	592	872	991
111	954	918	626	392	329
112	159	428	843	784	985
113	429	583	989	811	942
114	629	912	845	947	663
115	975	924	527	516	917
116	430	640	216	69	651
117	627	434	586	937	18
118	40	763	784	187	797
119	170	70	15	635	760
120	120	922	483	127	972
121	817	750	43	375	498
122	378	514	38	640	761
123	392	399	468	218	176
124	498	957	897	498	883
125	236	688	811	855	578
126	103	961	429	812	590
127	807	535	14	828	604
128	557	415	48	943	746
129	945	2	948	578	619
130	502	387	427	117	439
131	739	694	1	560	182
132	649	377	983	750	389
133	731	945	631	437	650
134	345	38	392	496	979
135	911	396	117	755	613
136	645	633	448	538	136
137	104	988	496	948	62
138	453	940	919	780	494
139	660	437	962	404	615
140	631	955	779	345	904
141	387	170	855	989	846
142	525	6	699	190	716
143	728	189	363	912	58
144	622	749	971	535	383
145	439	453	858	980	747
146	980	944	835	638	392
147	865	662	568	426	591
148	327	227	853	430	106
149	377	534	616	906	673
150	559	215	943	590	399
151	792	141	212	634	288
152	833	910	977	614	632
153	929	846	419	428	668
154	790	986	508	2	890
155	544	572	609	874	297
156	641	899	629	878	480
157	265	588	437	761	592
158	328	546	144	106	982
159	190	504	941	983	675
160	756	638	976	951	296
161	746	564	927	565	505
162	985	525	241	508	889
163	754	634	141	845	784
164	435	590	152	311	860
165	367	947	623	407	830
166	106	435	572	893	793
167	751	557	883	586	790
168	417	966	965	573	369
169	664	582	872	537	544
170	825	761	757	932	547
171	949	685	821	476	946
172	757	827	940	568	694
173	538	946	636	871	816
174	638	246	146	385	518
175	419	742	338	935	614
176	784	639	321	853	935
177	781	973	617	836	489
178	299	985	399	608	607
179	951	321	582	571	553
180	338	757	728	890	968
181	423	883	17	551	833
182	960	554	194	553	707
183	637	843	934	756	641
184	896	962	106	754	923
185	540	855	246	919	450
186	644	383	761	424	12
187	121	956	190	367	961
188	495	803	579	15	495
189	923	890	641	944	933
190	311	367	356	149	807
191	200	39	158	396	989
192	715	419	841	707	755
193	401	635	607	312	500
194	427	744	684	514	742
195	39	607	312	435	954
196	905	212	860	977	534
197	941	312	417	203	39
198	12	948	31	679	312
199	285	285	285	271	896
200	979	495	481	549	19
201	706	324	824	509	941
202	830	331	442	398	600
203	618	683	923	237	270
204	809	615	949	194	814
205	690	505	554	543	410
206	670	984	564	593	969
207	847	127	848	417	398
208	394	407	842	104	537
209	48	643	742	666	366
210	418	578	3	294	84
211	803	925	787	321	871
212	628	444	425	615	503
213	835	460	391	996	449
214	999	759	570	420	212
215	805	938	622	965	940
216	365	625	242	532	826
217	534	47	543	816	840
218	572	553	512	959	810
219	671	561	955	552	924
220	46	390	29	518	845
221	564	556	518	957	350
222	454	263	336	284	408
223	261	900	957	22	208
224	651	508	846	682	975
225	452	270	748	160	993
226	837	679	953	384	852
227	554	681	453	413	16
228	553	794	640	628	843
229	317	171	922	128	431
230	961	937	666	557	973
231	422	630	935	410	560
232	432	467	445	926	951
233	749	455	488	299	160
234	667	603	929	588	194
235	915	724	271	434	237
236	283	65	178	178	689
237	823	32	573	927	60
238	876	451	932	985	944
239	500	413	529	834	794
240	408	787	432	956	633
241	680	815	411	752	282
242	903	357	519	334	616
243	708	412	991	807	552
244	822	487	755	499	571
245	612	479	793	626	745
246	917	575	598	731	829
247	687	867	947	416	519
248	611	996	557	38	38
249	813	989	703	993	645
250	774	816	823	27	902
251	752	27	954	423	411
252	944	664	642	451	870
253	722	848	956	749	806
254	13	911	590	978	943
255	916	977	350	595	722
256	397	637	905	425	555
257	806	406	899	600	497
258	972	882	952	814	626
259	297	570	975	889	728
260	793	632	624	939	556
261	934	332	357	227	406
262	621	43	517	779	446
263	978	501	968	629	974
264	860	235	771	992	962
265	858	858	759	433	275
266	828	431	577	466	893
267	412	642	440	841	395
268	571	427	814	156	756
269	609	964	731	406	636
270	965	414	982	630	936
271	928	466	751	481	960
272	384	18	400	746	564
273	927	978	758	439	196
274	350	665	414	31	436
275	931	593	996	429	588
276	922	135	576	925	407
277	937	297	396	936	884
278	952	627	752	282	428
279	685	931	94	758	589
280	782	612	972	395	152
281	607	854	966	757	623
282	237	976	633	63	609
283	414	386	398	966	338
284	642	983	27	525	803
285	519	704	760	73	409
286	593	774	964	601	948
287	489	992	505	910	416
288	939	968	407	945	662
289	639	930	397	46	953
290	614	436	275	268	558
291	635	577	588	694	827
292	977	160	763	141	841
293	743	981	890	968	397
294	856	950	385	645	559
295	467	5	525	522	664
296	993	520	546	774	622
297	547	745	420	933	631
298	759	909	104	547	481
299	576	728	551	414	31
300	225	771	995	803	412
301	569	35	459	863	88
302	620	740	707	533	298
303	87	459	613	995	462
304	206	839	412	421	764
305	424	671	359	431	266
306	820	826	914	799	879
307	298	702	265	730	514
308	732	311	183	298	963
309	714	3	162	381	947
310	585	379	186	839	94
311	249	423	560	450	419
312	912	300	95	826	926
313	775	584	422	722	72
314	58	998	698	108	532
315	413	995	747	950	656
316	380	655	316	383	305
317	77	474	262	882	166
318	901	905	597	849	637
319	491	609	291	693	605
320	857	420	819	961	782
321	724	972	817	471	35
322	855	335	137	843	776
323	213	358	37	409	317
324	682	293	653	490	939
325	347	95	804	723	912
326	853	667	196	133	440
327	919	908	987	306	955
328	976	754	76	494	335
329	187	953	261	331	293
330	648	500	663	536	847
331	376	933	498	870	709
332	526	178	675	76	880
333	434	904	550	146	723
334	584	48	810	598	171
335	974	526	408	837	876
336	158	51	456	704	849
337	508	71	263	720	97
338	98	512	500	805	465
339	600	36	406	915	163
340	844	596	628	23	515
341	760	695	41	574	77
342	410	545	179	592	988
343	770	418	870	449	402
344	449	672	539	575	471
345	160	506	521	7	247
346	625	831	942	577	356
347	711	699	826	765	796
348	930	680	704	830	580
349	592	190	998	952	743
350	404	4	689	740	751
351	662	532	84	390	80
352	411	304	776	408	769
353	587	405	611	80	155
354	37	194	25	804	123
355	672	9	974	555	326
356	335	691	999	967	598
357	762	993	781	98	744
358	665	668	764	902	448
359	956	417	294	613	230
360	192	701	21	297	658
361	740	932	136	604	971
362	420	942	54	934	368
363	76	497	304	369	87
364	276	806	276	572	781
365	368	502	930	196	929
366	415	282	343	324	29
367	156	721	541	673	512
368	481	562	877	714	311
369	446	805	997	534	528
370	385	368	469	964	390
371	942	707	844	326	186
372	656	696	101	929	351
373	721	765	815	904	405
374	970	14	491	9	183
375	738	886	389	655	415
376	709	17	67	764	379
377	964	872	889	999	635
378	893	551	958	65	213
379	457	422	938	960	496
380	598	440	455	745	655
381	43	597	416	507	332
382	987	748	524	622	25
383	969	790	911	391	610
384	44	475	65	787	858
385	943	697	299	403	47
386	428	416	552	938	752
387	998	23	833	50	400
388	182	482	646	637	451
389	334	44	925	790	280
390	9	673	166	639	424
391	291	725	50	627	385
392	114	614	163	387	159
393	910	492	800	495	587
394	230	328	218	979	394
395	846	576	434	529	364
396	636	613	992	570	765
397	551	493	924	971	425
398	595	623	280	793	759
399	558	398	933	973	925
400	973	301	82	727	447
401	658	148	364	195	585
402	140	982	549	589	649
403	867	366	100	710	201
404	530	199	562	504	274
405	252	128	329	356	42
406	832	608	605	371	959
407	307	692	869	771	965
408	777	94	176	259	477
409	769	303	326	777	652
410	804	187	702	733	359
411	304	226	501	213	801
412	364	197	175	741	195
413	537	163	16	567	713
414	766	222	135	199	454
415	227	302	894	353	770
416	250	939	857	95	825
417	582	760	603	307	476
418	904	473	638	35	220
419	563	305	368	359	729
420	748	108	863	773	472
421	355	88	151	352	804
422	366	168	174	446	531
423	580	353	0	40	475
424	653	781	610	860	199
425	325	566	822	559	37
426	524	313	630	289	504
427	296	274	918	918	151
428	22	72	197	158	526
429	565	738	882	646	313
430	351	823	282	165	0
431	659	645	19	84	162
432	25	403	602	675	643
433	379	421	583	726	24
434	342	471	10	886	775
435	570	186	502	658	721
436	729	447	499	232	262
437	737	758	812	810	441
438	815	443	298	711	699
439	17	871	87	56	386
440	431	476	575	818	736
441	195	857	735	366	238
442	700	120	661	230	697
443	541	209	770	247	834
444	369	743	200	162	153
445	161	773	601	0	438
446	615	271	235	527	324
447	343	515	270	210	976
448	829	133	963	610	574
449	646	768	528	506	453
450	504	657	433	612	352
451	924	154	161	402	569
452	693	351	659	854	295
453	220	723	132	11	375
454	730	432	886	880	671
455	82	26	706	685	901
456	306	159	695	702	674
457	277	766	335	358	998
458	509	879	612	778	322
459	884	276	831	861	346
460	610	448	901	277	888
461	710	230	840	19	710
462	183	769	544	43	719
463	863	234	719	512	732
464	357	22	487	894	513
465	532	454	608	706	418
466	527	869	187	621	13
467	189	213	808	611	627
468	926	336	515	596	575
469	262	499	514	386	469
470	816	131	413	984	404
471	191	536	436	766	733
472	513	344	449	77	659
473	566	775	856	123	328
474	494	902	871	809	608
475	505	20	884	987	101
476	313	156	681	838	457
477	473	801	418	662	700
478	795	326	685	135	284
479	787	296	533	13	117
480	390	517	567	876	535
481	396	204	497	603	815
482	201	123	867	672	844
483	50	239	829	963	676
484	235	388	503	317	427
485	510	845	686	336	749
486	778	650	909	823	567
487	80	807	753	441	562
488	321	653	594	997	983
489	742	280	979	795	980
490	55	970	558	852	594
491	15	401	916	487	22
492	555	888	765	283	291
493	499	555	5	200	393
494	6	369	693	827	423
495	958	375	984	399	456
496	824	83	394	5	435
497	623	722	171	554	276
498	550	949	657	16	952
499	562	726	404	901	657
500	518	819	473	931	257
501	35	822	430	231	872
502	352	921	892	132	133
503	753	581	446	848	260
504	785	821	907	118	606
505	873	693	53	921	563
506	914	165	388	168	273
507	287	42	342	248	1
508	256	574	470	161	73
509	678	568	475	492	113
510	982	288	314	737	915
511	152	808	301	272	64
512	840	838	257	718	997
513	666	203	460	361	724
514	303	468	740	97	403
515	800	737	232	713	116
516	689	381	589	234	908
517	393	660	712	558	720
518	354	676	762	102	401
519	332	690	715	470	272
520	542	114	128	797	200
521	881	224	836	782	130
522	875	169	88	346	539
523	789	220	266	734	967
524	363	850	809	152	461
525	138	277	426	683	714
526	733	136	805	365	506
527	676	818	215	347	853
528	177	347	454	182	320
529	992	541	24	479	981
530	699	295	697	120	730
