	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	633	588	515	621	585
101	632	587	656	618	567
102	631	586	653	616	553
103	625	585	650	615	550
104	622	584	649	614	548
105	621	583	647	613	547
106	619	582	646	612	534
107	618	581	642	611	515
108	617	579	641	610	514
109	615	578	639	608	513
110	612	575	638	606	506
111	611	574	636	604	504
112	609	573	633	603	579
113	606	545	631	600	616
114	604	570	626	596	622
115	645	568	623	595	623
116	646	566	621	643	675
117	648	564	619	594	673
118	651	563	617	646	671
119	688	561	613	650	670
120	687	560	611	691	669
121	686	557	609	689	664
122	685	556	658	685	663
123	682	555	608	683	662
124	680	554	659	682	661
125	679	553	661	679	657
126	676	551	704	678	656
127	672	548	702	676	655
128	671	547	700	673	654
129	670	569	698	672	650
130	602	489	697	671	645
131	669	487	695	670	643
132	667	484	693	669	641
133	666	422	692	668	636
134	665	421	689	667	635
135	664	420	686	666	633
136	663	419	685	664	632
137	662	418	684	662	631
138	660	417	682	660	627
139	659	414	680	658	626
140	658	413	677	657	624
141	656	412	672	653	503
142	652	409	669	652	679
143	668	407	667	649	502
144	508	406	666	593	495
145	600	405	665	592	399
146	598	403	663	591	397
147	549	423	660	543	390
148	548	402	606	540	389
149	546	398	605	539	388
150	545	396	603	538	386
151	544	393	559	537	385
152	542	390	557	536	383
153	541	388	552	535	382
154	538	387	550	532	379
155	537	386	549	531	375
156	532	384	544	530	400
157	530	380	543	529	374
158	528	379	541	528	370
159	527	378	539	527	369
160	526	375	537	523	364
161	525	373	531	522	361
162	524	370	530	521	356
163	523	399	528	519	351
164	519	427	527	518	350
165	518	428	526	517	346
166	516	430	525	516	338
167	513	483	524	514	335
168	511	482	523	512	332
169	998	480	521	511	373
170	550	479	519	544	401
171	553	476	518	545	402
172	554	475	560	547	406
173	556	473	562	548	481
174	595	471	563	590	479
175	592	470	564	589	469
176	587	467	602	586	461
177	585	466	598	578	458
178	583	460	597	577	457
179	582	459	595	575	453
180	581	457	594	574	451
181	579	455	592	572	450
182	578	454	591	571	448
183	576	453	590	570	446
184	573	431	589	568	442
185	599	432	586	693	440
186	572	434	514	567	439
187	570	435	582	560	438
188	569	436	577	559	435
189	568	437	576	558	431
190	565	368	575	557	425
191	564	438	573	555	424
192	563	443	572	554	421
193	562	445	570	553	419
194	561	447	569	552	415
195	559	448	568	551	412
196	558	450	567	550	408
197	557	451	565	549	407
198	571	440	579	565	497
199	999	998	498	999	998
200	695	615	417	342	395
201	189	614	419	341	171
202	431	613	421	287	393
203	225	612	424	337	152
204	454	609	426	352	531
205	457	608	429	160	993
206	224	607	403	443	526
207	462	604	293	445	524
208	220	603	263	700	129
209	466	602	261	694	183
210	467	599	2	692	182
211	448	597	5	684	533
212	470	596	9	681	136
213	473	594	10	675	500
214	477	593	16	655	491
215	216	632	24	645	149
216	480	633	25	167	482
217	445	634	31	168	151
218	213	635	38	169	477
219	230	671	40	170	476
220	234	668	44	174	505
221	235	667	50	630	782
222	237	665	58	629	618
223	201	664	67	176	637
224	200	663	100	627	746
225	198	662	117	177	745
226	197	661	121	178	744
227	499	660	132	701	743
228	502	657	135	702	742
229	432	656	146	703	738
230	504	591	152	166	736
231	192	655	166	161	733
232	242	652	182	730	732
233	809	651	186	729	730
234	151	650	200	726	729
235	700	647	212	298	728
236	753	646	221	723	727
237	754	645	430	722	725
238	756	642	828	721	296
239	757	640	432	720	747
240	120	639	436	601	749
241	760	638	747	719	751
242	390	637	748	717	752
243	388	653	751	714	780
244	263	673	752	713	776
245	770	590	753	711	775
246	771	580	757	165	229
247	385	507	758	709	293
248	777	506	759	707	768
249	380	505	760	706	295
250	107	504	763	705	297
251	780	503	764	164	765
252	781	502	770	444	761
253	782	501	738	179	760
254	379	500	778	584	759
255	269	499	795	473	758
256	272	497	804	472	418
257	226	495	809	211	755
258	101	494	812	470	753
259	795	493	815	469	764
260	97	492	817	468	630
261	95	490	819	467	67
262	94	488	820	466	720
263	806	486	821	462	687
264	807	474	822	461	225
265	752	441	823	460	683
266	698	416	824	459	682
267	121	415	781	458	680
268	129	401	731	213	678
269	701	397	728	214	677
270	702	508	726	217	676
271	149	509	440	449	674
272	709	510	441	447	668
273	144	511	446	218	658
274	711	577	450	475	652
275	712	576	453	210	651
276	254	572	455	209	649
277	715	562	477	208	647
278	142	546	481	182	689
279	717	542	482	183	691
280	721	541	491	184	694
281	408	540	502	533	696
282	307	539	505	185	719
283	726	536	529	190	718
284	727	535	546	191	717
285	729	589	551	504	716
286	730	534	554	192	715
287	731	531	583	181	714
288	138	526	610	193	713
289	733	525	616	198	721
290	735	524	622	199	709
291	737	521	628	200	299
292	738	520	629	201	706
293	739	517	657	202	705
294	397	515	696	203	73
295	134	995	703	205	700
296	396	513	715	206	699
297	130	512	718	207	698
298	125	532	433	195	708
299	436	996	999	425	697
300	347	327	380	47	329
301	346	326	385	50	328
302	345	324	387	51	327
303	344	320	389	135	326
304	343	319	391	134	324
305	360	317	392	132	323
306	378	316	394	127	322
307	384	315	396	117	320
308	387	313	397	106	319
309	438	312	272	100	318
310	435	310	270	144	368
311	996	308	235	98	317
312	430	305	234	80	372
313	429	304	3	73	381
314	428	341	4	71	474
315	427	343	11	70	472
316	424	344	20	68	471
317	423	346	23	67	467
318	422	533	29	65	465
319	420	468	37	96	991
320	419	465	65	334	463
321	418	464	82	336	462
322	417	452	87	344	456
323	415	444	96	509	454
324	414	383	106	508	452
325	413	382	399	499	449
326	412	381	133	494	447
327	411	377	136	492	444
328	410	369	151	490	443
329	409	303	158	481	441
330	404	366	162	479	428
331	401	362	163	476	427
332	394	361	175	471	423
333	393	359	183	455	416
334	392	358	190	451	409
335	389	356	194	450	405
336	342	355	197	446	403
337	338	992	206	442	398
338	337	353	209	525	394
339	336	351	134	598	376
340	291	348	833	622	316
341	290	347	997	626	315
342	289	363	406	767	314
343	288	302	675	766	260
344	287	301	699	765	257
345	286	300	710	764	255
346	285	241	723	761	253
347	284	240	740	756	251
348	283	239	761	755	250
349	279	236	762	441	248
350	278	235	766	753	247
351	277	234	767	741	246
352	276	233	769	731	244
353	274	230	777	718	243
354	268	228	779	710	239
355	267	227	784	704	238
356	265	226	786	639	237
357	262	242	788	628	233
358	261	224	797	749	232
359	260	222	798	435	231
360	258	221	800	433	230
361	256	220	808	430	228
362	255	217	810	386	227
363	253	216	811	385	226
364	252	215	814	384	224
365	251	211	827	380	223
366	250	210	829	378	221
367	292	208	831	375	220
368	246	205	674	369	262
369	293	204	654	387	264
370	295	223	643	367	265
371	335	629	620	359	266
372	334	243	407	358	313
373	333	246	408	353	312
374	332	297	412	349	311
375	328	296	413	347	309
376	327	294	414	346	306
377	325	291	416	345	305
378	324	290	418	365	303
379	323	288	420	778	298
380	321	287	425	390	292
381	319	286	442	393	290
382	317	285	448	428	289
383	315	284	456	424	288
384	314	280	404	420	480
385	313	244	459	416	284
386	311	279	463	414	280
387	310	277	465	413	279
388	309	274	473	411	278
389	308	273	479	391	276
390	306	270	492	410	275
391	304	269	499	408	274
392	303	268	500	406	273
393	301	264	508	405	272
394	299	263	517	399	271
395	298	260	533	398	270
396	297	255	585	396	269
397	296	248	588	395	268
398	294	278	460	409	281
399	997	993	998	421	997
400	64	23	141	321	555
401	63	22	342	383	331
402	62	20	344	403	282
403	61	48	345	404	1
404	59	171	349	407	4
405	58	49	350	417	6
406	55	59	351	426	10
407	89	93	356	429	12
408	181	88	131	431	13
409	182	87	128	439	14
410	183	85	307	996	16
411	483	84	127	95	17
412	478	83	174	92	18
413	472	78	301	402	19
414	471	76	232	496	20
415	469	70	241	312	22
416	465	69	242	306	24
417	464	68	224	247	26
418	458	65	246	235	29
419	492	64	219	231	42
420	453	63	215	256	58
421	451	60	211	230	87
422	449	53	257	263	106
423	447	175	262	266	117
424	446	176	203	225	120
425	444	178	202	270	156
426	442	725	201	196	162
427	439	723	275	194	186
428	377	721	199	311	194
429	452	715	277	189	196
430	493	713	196	162	212
431	500	709	282	159	213
432	534	708	283	158	291
433	654	707	195	284	813
434	653	702	185	156	556
435	649	699	179	290	559
436	644	696	298	299	605
437	642	695	178	151	606
438	641	694	300	146	607
439	639	989	304	145	609
440	638	691	124	304	610
441	636	726	363	171	611
442	629	690	364	534	613
443	628	727	48	76	614
444	627	737	630	588	615
445	620	766	640	802	617
446	614	765	644	32	619
447	992	763	681	804	659
448	584	762	706	807	684
449	555	761	708	30	686
450	551	760	712	809	703
451	540	758	717	29	707
452	376	757	719	811	710
453	375	754	725	813	722
454	374	750	729	814	724
455	373	749	735	816	756
456	228	748	42	35	769
457	227	745	744	817	770
458	223	744	755	823	790
459	219	740	765	826	796
460	218	733	771	827	803
461	217	769	772	828	804
462	214	688	776	829	809
463	210	683	782	830	810
464	207	311	783	27	811
465	206	307	787	24	604
466	204	295	792	836	558
467	203	293	32	838	603
468	202	276	601	839	601
469	195	247	62	818	560
470	193	213	64	795	561
471	191	212	69	793	562
472	190	197	365	40	563
473	187	194	368	634	564
474	185	190	995	635	565
475	229	189	116	637	566
476	684	186	377	638	569
477	231	180	378	640	571
478	241	179	379	727	574
479	371	322	111	736	575
480	370	685	388	60	578
481	369	328	400	745	580
482	368	336	427	746	989
483	366	681	434	748	582
484	365	680	826	750	586
485	364	679	437	752	587
486	363	678	445	754	588
487	358	677	449	757	589
488	357	676	461	758	590
489	355	675	464	771	591
490	354	674	95	773	592
491	353	672	470	774	593
492	352	654	94	775	594
493	351	643	475	779	596
494	350	630	483	780	597
495	249	627	88	782	598
496	245	340	84	784	599
497	244	339	76	43	600
498	236	332	443	842	602
499	993	990	996	477	581
500	498	925	965	944	986
501	161	909	972	947	967
502	503	911	927	948	962
503	506	912	954	950	961
504	509	913	952	951	960
505	510	914	929	952	929
506	520	916	930	955	933
507	547	917	931	956	936
508	566	918	932	957	938
509	580	910	933	958	941
510	593	2	934	882	946
511	607	759	976	960	947
512	610	858	938	961	925
513	623	156	941	934	948
514	505	166	942	880	950
515	635	170	943	226	951
516	160	192	947	877	952
517	156	209	948	324	953
518	3	321	949	326	954
519	6	331	940	97	955
520	8	334	878	332	959
521	9	135	0	356	949
522	10	335	875	392	886
523	13	357	362	423	0
524	15	367	398	437	884
525	17	692	422	995	404
526	18	693	472	42	410
527	21	697	485	38	411
528	22	698	487	506	436
529	158	701	490	725	475
530	24	704	496	733	494
