	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	524	81	400	441	565
101	422	166	183	779	951
102	200	4	680	89	297
103	915	854	725	506	279
104	868	313	856	658	698
105	352	946	740	348	686
106	81	588	412	169	462
107	573	524	165	586	515
108	165	309	179	669	255
109	203	413	987	0	443
110	663	120	592	705	904
111	119	387	201	156	853
112	324	990	796	990	512
113	978	145	864	288	786
114	652	418	333	550	873
115	116	643	977	973	812
116	411	163	214	317	647
117	6	848	840	938	689
118	151	726	674	265	862
119	863	845	579	922	428
120	760	19	242	434	588
121	314	541	23	203	130
122	861	293	929	816	519
123	885	156	568	124	230
124	344	638	611	491	161
125	854	356	872	638	481
126	645	358	879	112	497
127	740	484	777	764	631
128	853	328	45	594	150
129	731	633	577	402	765
130	451	743	69	151	83
131	987	664	526	346	556
132	346	127	492	161	901
133	217	382	586	978	775
134	805	32	351	646	752
135	714	796	488	266	288
136	893	596	633	421	613
137	550	280	828	43	591
138	884	553	468	810	633
139	734	102	953	673	558
140	33	992	825	98	327
141	952	60	76	443	909
142	918	359	473	390	188
143	609	511	764	933	593
144	920	440	975	190	354
145	397	420	516	574	177
146	207	890	363	723	126
147	53	961	613	802	938
148	990	444	925	987	319
149	61	718	15	512	276
150	619	639	528	507	815
151	261	220	163	45	151
152	540	343	783	618	940
153	862	888	272	214	133
154	678	856	104	471	630
155	708	176	938	525	567
156	722	189	629	200	351
157	627	802	294	413	742
158	343	2	747	829	435
159	491	492	26	595	102
160	526	859	330	108	416
161	701	129	203	621	418
162	633	72	965	416	195
163	187	466	971	504	57
164	44	242	659	904	90
165	787	334	63	60	231
166	39	823	53	334	720
167	293	153	43	263	456
168	781	783	391	694	680
169	662	311	999	571	745
170	939	234	797	543	366
171	493	240	44	268	64
172	996	330	150	540	383
173	614	414	364	201	451
174	121	843	984	455	764
175	508	139	767	3	113
176	977	593	17	920	415
177	578	788	630	439	596
178	115	210	345	233	732
179	193	471	51	610	835
180	118	341	421	734	392
181	113	304	169	347	624
182	109	383	446	199	971
183	754	193	505	9	504
184	226	766	244	578	316
185	943	995	178	603	650
186	291	933	87	311	838
187	733	694	869	778	155
188	648	86	761	473	257
189	518	187	394	727	654
190	568	613	128	143	534
191	365	421	681	756	436
192	551	774	862	892	262
193	877	482	786	132	394
194	292	671	215	80	379
195	130	562	640	423	467
196	465	513	998	508	954
197	396	781	758	65	528
198	55	904	194	206	376
199	617	750	429	306	915
200	231	507	924	895	518
201	313	415	490	535	707
202	582	506	784	910	607
203	458	520	667	122	114
204	252	798	9	837	495
205	825	113	949	634	963
206	944	103	356	902	590
207	228	786	33	845	12
208	162	510	320	650	1
209	585	378	859	639	330
210	569	12	995	643	320
211	969	125	983	62	212
212	424	704	216	529	166
213	847	876	355	568	73
214	910	632	728	426	233
215	492	576	196	511	888
216	788	708	152	384	803
217	789	332	927	813	42
218	49	312	883	855	282
219	328	144	595	316	281
220	206	662	167	404	292
221	528	101	153	260	382
222	510	65	408	830	661
223	157	169	176	359	209
224	612	479	157	737	539
225	122	625	619	552	337
226	105	630	461	971	463
227	287	745	512	229	780
228	478	55	521	537	983
229	554	531	499	997	626
230	846	43	255	875	75
231	829	263	841	461	937
232	699	247	563	409	718
233	487	148	327	519	675
234	770	310	991	302	239
235	742	637	140	495	465
236	637	3	135	7	423
237	48	583	80	943	658
238	195	88	200	223	569
239	607	99	362	804	303
240	467	926	963	901	834
241	355	63	649	29	349
242	262	855	781	470	651
243	509	268	692	685	54
244	873	271	358	965	533
245	161	352	141	431	623
246	965	501	31	735	368
247	250	789	109	391	375
248	849	584	48	185	246
249	230	590	239	626	206
250	63	384	731	570	317
251	473	972	101	342	785
252	431	476	310	238	708
253	808	84	497	731	678
254	499	375	757	210	694
255	327	533	434	963	526
256	338	768	238	851	860
257	197	348	430	179	820
258	716	773	508	273	266
259	771	556	589	405	461
260	774	301	41	218	722
261	410	89	549	691	618
262	653	665	644	492	353
263	296	180	958	76	196
264	244	656	282	561	60
265	495	76	759	104	562
266	931	803	887	852	13
267	717	954	811	408	733
268	307	427	550	567	850
269	779	319	989	517	933
270	973	154	425	955	427
271	538	525	19	378	973
272	542	5	698	660	250
273	768	416	30	612	923
274	830	680	572	490	408
275	649	49	396	192	717
276	364	121	602	662	831
277	500	270	554	593	309
278	737	500	1	66	876
279	220	71	956	370	237
280	134	655	575	786	411
281	802	368	919	272	67
282	3	307	280	853	475
283	50	373	186	967	839
284	154	59	58	381	730
285	140	64	527	320	360
286	942	499	718	823	502
287	73	95	567	270	299
288	583	836	617	860	335
289	914	983	50	905	45
290	504	369	455	331	469
291	527	676	111	565	160
292	149	303	824	706	760
293	145	9	389	78	218
294	905	585	142	536	77
295	124	910	187	27	826
296	227	709	450	153	362
297	958	142	38	72	28
298	435	534	891	749	49
299	368	640	559	488	729
300	472	326	262	159	679
301	319	17	700	67	41
302	685	114	770	947	453
303	818	239	91	267	516
304	941	663	741	921	809
305	347	962	573	24	969
306	576	317	948	205	656
307	295	126	199	993	503
308	981	748	848	932	388
309	480	324	376	925	489
310	724	409	892	964	313
311	679	136	809	509	331
312	658	763	289	784	284
313	106	551	906	366	186
314	644	863	814	222	404
315	570	826	470	838	801
316	277	305	483	803	507
317	541	728	343	827	616
318	900	351	326	912	942
319	735	982	620	864	924
320	253	539	380	703	617
321	881	467	822	177	851
322	929	602	905	375	683
323	297	838	855	689	610
324	747	149	209	284	949
325	13	336	857	259	47
326	370	213	560	622	496
327	272	775	689	326	547
328	160	977	205	92	941
329	997	816	197	337	153
330	809	130	106	341	609
331	951	217	175	736	306
332	691	591	964	1	944
333	922	321	588	721	214
334	860	735	541	614	199
335	448	956	240	874	587
336	202	589	484	730	884
337	185	545	348	11	58
338	592	178	877	615	174
339	213	205	121	534	201
340	494	300	533	750	871
341	537	657	928	50	571
342	810	222	166	741	981
343	777	452	742	531	312
344	22	344	565	184	395
345	384	362	248	127	738
346	832	839	860	251	109
347	103	53	832	771	119
348	954	654	341	774	885
349	505	678	899	242	243
350	379	248	305	176	444
351	452	48	318	12	314
352	806	512	99	468	227
353	839	315	287	584	159
354	285	428	233	628	979
355	229	165	413	52	457
356	546	986	10	395	696
357	251	758	448	123	458
358	902	112	246	681	476
359	912	831	397	42	293
360	219	612	477	560	37
361	895	468	878	125	706
362	10	412	453	729	181
363	389	842	650	220	962
364	25	27	388	765	162
365	223	379	812	70	145
366	198	827	0	936	506
367	891	377	115	527	412
368	269	742	251	811	840
369	418	105	418	960	149
370	415	349	271	447	100
371	189	964	997	107	813
372	850	26	21	51	943
373	303	211	609	487	14
374	672	224	117	232	604
375	667	713	472	843	893
376	332	794	729	253	867
377	757	635	433	135	985
378	961	504	601	740	275
379	985	316	686	248	176
380	345	109	518	559	156
381	394	603	107	753	895
382	979	945	265	611	191
383	366	790	459	575	598
384	369	586	304	596	579
385	317	199	241	787	505
386	276	905	66	958	846
387	90	968	385	637	24
388	819	884	594	174	364
389	79	759	28	102	970
390	790	907	139	797	36
391	235	445	792	772	755
392	980	973	608	539	664
393	930	353	18	10	393
394	283	322	646	86	93
395	638	970	735	762	811
396	64	554	606	358	350
397	481	698	710	152	699
398	432	675	496	430	18
399	926	135	564	799	33
400	342	716	79	857	759
401	530	769	918	496	482
402	792	91	785	369	56
403	571	744	328	692	474
404	793	203	100	209	184
405	66	949	871	720	872
406	778	246	884	258	296
407	502	192	833	670	858
408	622	938	293	878	993
409	182	473	511	935	756
410	928	914	551	862	790
411	572	221	411	683	390
412	471	390	793	425	488
413	660	924	481	187	776
414	859	406	685	792	152
415	993	720	475	814	454
416	167	594	706	22	548
417	114	278	427	887	975
418	738	762	292	645	4
419	30	978	8	428	810
420	299	386	719	766	959
421	417	340	835	755	142
422	606	31	931	952	789
423	21	857	842	754	81
424	642	490	763	144	129
425	144	333	116	329	784
426	191	8	647	286	88
427	949	785	932	213	399
428	306	672	261	247	804
429	409	976	992	848	200
430	513	581	954	467	796
431	378	886	657	36	438
432	749	607	624	234	856
433	972	569	16	655	498
434	875	147	266	170	442
435	600	68	760	888	447
436	581	521	823	278	464
437	82	78	286	808	946
438	76	197	88	437	322
439	934	22	420	989	953
440	711	347	726	710	879
441	584	555	669	880	670
442	170	573	675	118	691
443	321	470	222	555	210
444	553	134	185	141	69
445	469	614	957	992	20
446	173	806	192	414	611
447	214	57	460	980	494
448	625	302	923	969	889
449	177	228	707	230	907
450	671	953	621	157	948
451	548	226	819	183	919
452	68	435	853	700	513
453	414	922	941	117	772
454	9	811	252	919	550
455	419	308	442	927	365
456	520	652	979	446	560
457	544	94	426	906	585
458	970	285	636	77	721
459	557	557	276	303	769
460	404	233	379	13	852
461	654	168	851	671	643
462	923	642	699	939	848
463	974	902	85	889	892
464	751	150	996	627	878
465	288	488	907	590	659
466	457	850	612	403	92
467	795	70	947	629	564
468	158	459	119	528	341
469	602	450	762	809	682
470	752	96	247	761	25
471	310	366	464	554	85
472	249	42	503	146	580
473	181	837	478	835	619
474	337	917	854	120	724
475	137	186	695	956	265
476	775	223	291	996	253
477	143	493	976	281	700
478	906	715	582	19	521
479	466	871	874	376	94
480	58	331	607	165	207
481	15	822	715	356	372
482	380	772	365	489	728
483	695	354	955	178	575
484	95	777	631	818	544
485	351	131	206	226	269
486	595	925	285	782	703
487	234	405	208	915	655
488	107	260	693	385	843
489	503	33	661	235	137
490	800	548	127	100	663
491	387	398	524	256	950
492	813	52	562	679	80
493	887	629	64	99	163
494	350	434	843	349	715
495	308	873	525	71	116
496	599	194	195	442	600
497	668	212	65	608	0
498	807	455	708	521	264
499	289	824	794	287	389
500	237	327	628	793	822
501	669	805	557	300	947
502	705	617	338	899	472
503	420	61	922	640	972
504	423	295	155	207	584
505	385	948	372	290	770
506	77	402	968	894	537
507	646	727	952	890	920
508	945	403	658	801	324
509	388	423	234	336	217
510	477	903	245	182	912
511	855	881	161	748	182
512	256	872	82	951	684
513	363	787	500	533	132
514	150	243	748	917	627
515	957	818	381	501	295
516	439	291	886	417	662
517	367	572	523	657	549
518	428	891	610	393	821
519	138	650	845	604	280
520	483	274	219	354	244
521	70	230	84	841	960
522	921	83	641	217	709
523	374	563	537	780	407
524	26	697	24	105	373
525	896	942	677	948	603
526	218	597	934	898	532
527	562	797	838	227	514
528	260	494	487	435	431
529	822	236	940	198	657
530	438	821	920	225	998
