	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	996	688	814	902	561
101	844	740	956	893	19
102	267	420	886	855	821
103	642	585	429	880	496
104	985	950	630	962	716
105	823	3	570	989	423
106	709	513	588	955	1
107	729	263	282	912	338
108	620	981	397	965	581
109	941	638	948	135	840
110	896	490	564	749	758
111	923	977	419	392	869
112	930	596	335	817	404
113	958	625	491	411	397
114	144	632	857	525	976
115	641	961	407	944	297
116	696	569	446	818	132
117	854	938	659	999	810
118	96	642	954	514	329
119	956	956	427	812	409
120	629	482	731	898	500
121	762	663	569	693	403
122	12	423	657	568	42
123	553	599	521	611	589
124	746	17	275	980	0
125	439	586	981	547	560
126	333	542	629	574	516
127	666	508	573	853	963
128	150	7	598	512	650
129	954	615	761	616	389
130	200	722	781	146	809
131	614	992	974	391	727
132	636	479	385	603	825
133	851	735	928	915	416
134	774	995	338	43	632
135	388	681	190	424	636
136	297	978	212	845	983
137	40	575	965	778	614
138	477	640	941	589	947
139	960	954	923	922	588
140	480	441	293	918	944
141	94	774	840	863	755
142	840	821	392	554	395
143	698	432	448	517	841
144	999	749	952	939	12
145	606	405	508	977	398
146	770	983	758	433	981
147	644	748	938	263	830
148	24	520	744	910	756
149	230	993	396	557	942
150	679	568	417	387	924
151	197	758	957	731	980
152	924	26	751	643	952
153	397	564	235	537	951
154	363	19	387	570	312
155	9	760	975	813	39
156	835	727	968	979	893
157	633	890	883	608	760
158	559	14	947	417	989
159	928	396	755	560	565
160	744	931	554	499	985
161	637	450	590	969	587
162	396	806	757	396	17
163	566	270	966	882	949
164	816	128	433	925	962
165	993	503	833	346	512
166	645	763	748	561	946
167	355	942	962	857	494
168	346	976	979	496	439
169	687	8	516	645	419
170	627	332	146	964	598
171	806	962	633	904	724
172	276	517	759	808	415
173	364	415	576	985	435
174	790	234	350	958	790
175	299	602	611	495	534
176	911	572	977	876	400
177	638	775	312	905	637
178	825	65	889	629	971
179	986	947	942	403	751
180	39	505	420	956	955
181	751	629	514	476	975
182	525	555	955	31	270
183	231	948	989	423	679
184	561	769	194	951	335
185	759	502	412	404	759
186	807	998	399	666	535
187	254	964	964	393	476
188	134	22	643	429	412
189	664	883	924	960	984
190	952	633	567	494	641
191	224	679	418	437	505
192	190	623	996	235	993
193	965	135	779	750	673
194	929	955	984	948	407
195	728	120	640	947	896
196	351	9	860	12	816
197	379	635	517	779	960
198	235	846	890	529	860
199	722	790	65	890	58
200	350	576	76	653	744
201	336	898	845	997	615
202	547	577	254	84	521
203	957	715	283	444	497
204	511	349	940	957	870
205	502	402	916	573	431
206	481	31	182	416	844
207	393	582	853	758	714
208	779	818	552	194	898
209	756	75	812	935	571
210	503	867	305	767	846
211	540	918	976	29	349
212	715	980	416	232	635
213	987	937	234	414	73
214	413	398	364	250	385
215	158	589	606	938	886
216	434	514	543	386	853
217	106	757	29	338	915
218	385	984	400	425	424
219	974	284	931	390	889
220	939	588	863	638	386
221	321	47	820	830	440
222	261	418	638	185	406
223	600	583	96	407	537
224	420	743	100	533	582
225	724	738	525	158	351
226	162	431	379	95	814
227	804	696	437	358	834
228	748	726	224	762	663
229	618	728	608	347	967
230	760	905	546	991	925
231	977	436	636	96	998
232	423	367	949	383	526
233	619	802	11	934	965
234	743	888	815	984	767
235	689	845	403	945	884
236	979	437	932	966	954
237	357	412	481	145	659
238	611	657	3	987	804
239	387	664	686	106	682
240	344	499	828	398	162
241	931	493	858	449	539
242	686	570	558	344	503
243	427	489	355	225	633
244	492	399	972	74	890
245	937	639	344	409	592
246	893	823	610	952	552
247	734	540	455	20	926
248	631	435	639	441	18
249	708	958	908	331	974
250	551	409	983	993	813
251	438	526	280	754	507
252	754	321	922	764	761
253	435	428	958	132	410
254	998	393	726	2	498
255	404	865	450	410	933
256	752	38	357	733	749
257	663	949	557	816	606
258	598	996	894	992	563
259	415	924	738	420	350
260	493	311	998	306	428
261	571	759	829	190	456
262	499	422	884	926	867
263	980	535	2	640	948
264	967	73	927	614	399
265	587	643	505	311	883
266	747	492	432	272	907
267	910	916	404	761	747
268	446	970	436	336	979
269	408	190	855	726	590
270	410	884	186	431	619
271	688	419	934	606	514
272	972	858	421	160	961
273	570	645	551	270	425
274	495	910	841	458	938
275	915	593	602	986	527
276	338	904	929	439	519
277	414	388	136	664	959
278	213	486	424	961	22
279	519	909	728	983	411
280	576	762	641	929	689
281	419	397	753	943	923
282	429	136	158	745	919
283	424	933	930	931	686
284	961	557	823	889	939
285	970	985	704	689	609
286	949	357	128	963	845
287	293	813	272	355	408
288	943	966	963	639	935
289	430	406	776	933	858
290	659	387	763	434	622
291	436	932	846	780	602
292	639	413	933	996	776
293	431	235	644	466	585
294	975	574	760	932	970
295	311	351	943	203	943
296	781	554	135	995	969
297	47	427	388	635	937
298	557	293	622	97	4
299	945	704	626	774	626
300	380	132	16	535	383
301	632	566	864	498	129
302	500	163	38	765	515
303	951	879	719	973	630
304	739	307	658	672	683
305	358	352	692	886	627
306	665	647	498	519	608
307	973	939	769	727	710
308	313	773	693	447	156
309	564	525	656	450	736
310	733	473	515	746	284
311	803	653	42	413	745
312	452	495	702	577	807
313	853	194	712	553	555
314	701	242	483	406	574
315	833	619	971	36	182
316	98	754	394	162	159
317	428	534	906	627	272
318	737	156	718	540	295
319	793	476	559	766	237
320	80	799	665	9	31
321	775	361	10	756	224
322	283	630	605	588	556
323	182	531	14	508	775
324	263	940	821	630	671
325	25	295	650	803	481
326	898	587	575	511	929
327	491	512	680	477	691
328	369	168	398	67	171
329	454	93	715	809	402
330	964	212	24	628	436
331	201	803	700	127	24
332	367	627	21	773	448
333	976	483	649	610	988
334	534	74	653	710	553
335	120	204	389	626	213
336	651	285	831	367	29
337	43	709	771	297	728
338	554	820	747	0	282
339	602	466	408	775	603
340	922	934	740	321	781
341	682	286	697	552	696
342	8	926	443	837	50
343	904	646	321	559	418
344	291	536	241	637	611
345	466	417	685	182	446
346	526	691	660	428	753
347	296	176	67	592	441
348	538	766	778	24	106
349	82	297	682	15	38
350	757	2	666	492	480
351	64	922	689	334	194
352	384	186	18	565	450
353	249	816	810	100	136
354	542	344	490	704	940
355	740	121	441	804	703
356	716	590	620	722	225
357	332	363	502	771	631
358	969	335	690	455	25
359	409	744	31	539	904
360	156	556	171	752	47
361	610	533	500	19	121
362	508	407	766	600	715
363	593	421	0	829	230
364	780	134	592	790	950
365	234	989	925	978	221
366	573	384	162	860	833
367	225	761	577	312	986
368	753	925	263	805	427
369	934	414	413	841	40
370	390	553	482	814	567
371	749	857	607	349	616
372	411	831	411	405	453
373	926	781	531	757	941
374	607	745	391	598	968
375	505	547	905	967	936
376	159	416	43	385	645
377	22	434	764	950	972
378	160	386	4	681	290
379	417	716	58	621	388
380	272	224	497	622	394
381	448	750	703	571	364
382	483	440	646	402	605
383	622	55	817	384	379
384	537	336	603	748	293
385	295	370	696	481	477
386	392	379	529	430	657
387	942	268	663	50	780
388	136	551	406	959	769
389	830	43	970	408	687
390	149	972	422	555	305
391	412	312	425	446	743
392	731	39	967	426	393
393	727	383	619	937	346
394	905	945	995	755	558
395	726	614	270	435	664
396	422	12	752	657	566
397	592	946	631	22	311
398	394	986	499	823	547
399	50	988	825	551	722
400	782	451	176	11	352
401	562	192	365	683	127
402	145	303	326	670	77
403	101	721	44	307	128
404	563	203	378	595	368
405	506	618	869	810	35
406	817	675	161	652	562
407	191	500	585	634	271
408	712	177	285	835	670
409	676	694	827	834	401
410	828	130	300	907	676
411	735	690	867	442	120
412	615	855	793	558	720
413	583	660	511	811	678
414	884	346	675	700	130
415	1	707	782	691	655
416	902	737	209	536	803
417	706	902	684	719	730
418	509	189	819	702	281
419	668	471	742	489	14
420	648	891	463	673	443
421	771	331	811	927	303
422	18	819	808	491	811
423	710	6	291	156	75
424	742	326	449	40	618
425	306	656	919	694	697
426	927	358	201	528	706
427	76	35	358	718	908
428	532	209	336	735	819
429	863	713	879	144	280
430	510	796	935	851	649
431	368	347	484	618	6
432	15	117	87	802	462
433	625	524	681	32	709
434	444	509	5	283	675
435	418	668	765	740	276
436	324	18	331	504	504
437	992	783	707	196	231
438	26	982	15	888	324
439	489	378	359	1	765
440	457	213	25	575	313
441	285	71	804	650	647
442	451	170	562	38	770
443	256	453	674	399	812
444	738	92	621	104	471
445	328	724	735	13	347
446	442	661	325	213	991
447	810	334	710	646	593
448	581	676	170	421	651
449	129	159	163	76	815
450	10	129	589	591	717
451	846	563	50	507	610
452	494	282	723	527	442
453	805	608	276	703	742
454	635	685	9	669	738
455	307	771	197	734	643
456	17	443	992	443	707
457	711	695	911	65	149
458	58	403	313	777	405
459	684	815	380	717	463
460	6	390	999	682	161
461	981	944	777	171	366
462	555	968	568	720	451
463	556	4	152	737	206
464	467	912	442	16	531
465	92	805	492	531	67
466	334	680	453	649	334
467	769	480	582	714	997
468	732	881	526	534	973
469	473	447	469	678	457
470	944	665	349	549	257
471	3	655	430	395	26
472	21	957	82	721	513
473	652	637	368	567	196
474	670	683	628	6	16
475	656	876	37	332	332
476	558	444	909	42	447
477	808	671	512	660	752
478	649	13	26	590	275
479	672	672	434	968	212
480	680	650	221	615	390
481	700	808	440	5	831
482	693	160	477	7	479
483	796	380	363	668	491
484	524	692	953	117	601
485	152	96	414	828	160
486	658	678	987	282	764
487	857	5	94	593	268
488	646	973	261	152	482
489	860	149	299	129	600
490	389	448	762	676	438
491	653	32	456	971	746
492	766	911	642	709	186
493	546	921	132	490	827
494	678	494	982	234	163
495	73	291	544	3	953
496	432	455	55	73	533
497	335	515	533	679	117
498	778	573	106	120	421
499	978	603	351	753	829
500	292	126	307	381	684
501	193	789	121	206	871
502	30	76	79	380	264
503	714	64	612	314	184
504	818	114	920	134	382
505	165	61	541	251	768
506	255	85	797	736	373
507	484	79	550	365	102
508	139	108	826	277	232
509	997	49	464	105	291
510	617	246	565	177	153
511	251	460	111	300	723
512	68	301	144	108	354
513	298	613	874	273	233
514	721	634	445	596	452
515	868	343	527	299	195
516	279	241	594	165	791
517	371	487	907	870	247
518	527	917	62	231	296
519	32	733	843	254	472
520	599	654	166	586	255
521	53	562	783	128	10
522	612	908	549	871	13
523	244	674	616	523	370
524	792	274	870	723	337
525	130	718	560	772	607
526	66	313	583	371	796
527	819	772	487	27	654
528	46	171	706	359	549
529	122	302	795	451	228
530	916	497	914	192	137
