	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	14	4
1	4	14	50	25	6
2	7	19	58	36	8
3	14	25	61	47	10
4	19	37	62	55	21
5	24	46	74	73	30
6	28	58	75	80	44
7	29	102	76	81	54
8	36	114	79	91	55
9	58	115	80	110	57
10	64	119	91	112	65
11	71	120	94	115	68
12	83	124	99	123	70
13	84	148	103	139	78
14	90	152	108	146	86
15	131	177	113	159	103
16	144	186	117	169	106
17	161	214	123	172	107
18	168	242	129	179	110
19	176	247	151	190	118
20	184	248	157	193	131
21	200	251	171	203	141
22	203	253	185	244	142
23	212	254	192	245	158
24	213	256	193	246	172
25	227	258	209	252	173
26	232	267	228	269	180
27	233	287	229	271	181
28	236	311	240	282	187
29	252	318	262	289	191
30	254	333	272	298	200
31	261	337	281	300	216
32	266	342	283	311	217
33	273	348	307	316	222
34	274	373	310	330	239
35	317	387	317	340	246
36	321	389	367	362	252
37	328	399	371	364	255
38	329	408	385	375	258
39	339	427	386	393	260
40	361	430	394	403	268
41	372	455	401	433	288
42	383	459	415	441	303
43	388	460	439	459	304
44	393	476	440	460	341
45	397	484	462	474	343
46	401	524	467	479	346
47	403	528	475	481	357
48	423	541	508	484	372
49	431	550	511	495	421
50	454	568	537	499	425
51	458	601	538	513	429
52	460	618	540	515	435
53	463	619	543	521	479
54	468	621	546	545	486
55	476	623	555	569	487
56	482	640	574	580	491
57	486	644	581	583	509
58	489	658	596	587	510
59	496	666	623	607	526
60	514	669	631	622	536
61	520	687	633	626	539
62	528	689	648	627	540
63	534	710	656	635	544
64	568	719	671	638	578
65	578	724	681	644	594
66	594	735	686	647	629
67	601	737	691	649	636
68	604	750	700	653	640
69	616	752	704	662	642
70	681	753	712	666	648
71	692	762	713	676	685
72	696	767	715	680	687
73	703	774	719	691	709
74	734	778	721	698	710
75	740	791	729	711	734
76	751	795	731	732	738
77	763	809	733	739	741
78	772	811	736	742	742
79	791	822	744	746	755
80	797	829	746	768	766
81	798	839	749	774	776
82	801	848	780	793	777
83	833	860	792	796	781
84	836	869	804	822	785
85	869	874	807	824	789
86	885	880	819	830	818
87	891	894	834	840	862
88	903	896	854	845	864
89	905	897	869	847	873
90	930	931	874	879	880
91	932	933	895	881	895
92	936	942	915	896	901
93	943	952	919	898	906
94	949	961	946	901	917
95	959	964	947	911	928
96	964	970	961	924	929
97	985	972	977	929	932
98	991	975	984	952	996
99	992	991	989	976	999
100	162	356	36	305	590
101	157	543	898	621	588
102	610	481	781	586	598
103	611	444	586	171	674
104	569	517	325	304	673
105	192	916	588	791	994
106	563	743	777	966	698
107	151	469	757	643	953
108	575	934	3	331	992
109	316	960	446	163	568
110	510	51	761	168	589
111	500	429	569	967	657
112	525	433	797	809	677
113	344	55	31	946	569
114	234	224	859	971	984
115	244	458	582	593	817
116	341	715	32	624	669
117	783	728	10	408	822
118	231	483	12	753	728
119	652	382	796	921	662
120	612	446	621	473	973
121	412	928	750	853	564
122	175	489	481	619	599
123	449	525	867	514	556
124	159	465	788	790	716
125	505	526	529	476	572
126	503	521	7	534	820
127	437	188	0	713	579
128	662	50	495	981	957
129	404	233	492	605	667
130	511	364	35	945	663
131	654	501	323	231	808
132	580	98	865	178	693
133	582	141	561	191	993
134	674	531	787	302	964
135	523	910	461	538	989
136	562	328	305	216	980
137	683	729	636	951	694
138	615	65	880	639	660
139	318	171	466	712	990
140	785	923	456	92	832
141	426	434	899	56	654
142	441	730	564	62	997
143	160	511	879	891	688
144	687	303	485	67	827
145	416	518	560	629	678
146	693	537	600	57	847
147	689	150	42	955	723
148	777	585	526	599	323
149	684	678	472	449	954
150	421	545	324	496	974
151	634	464	892	823	717
