	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	14	4
1	4	14	50	25	6
2	7	19	58	36	8
3	14	25	61	47	10
4	19	37	62	55	21
5	24	46	74	73	30
6	28	58	75	80	44
7	29	102	76	81	54
8	36	114	79	91	55
9	58	115	80	110	57
10	64	119	91	112	65
11	71	120	94	115	68
12	83	124	99	123	70
13	84	148	103	139	78
14	90	152	108	146	86
15	131	177	113	159	103
16	144	186	117	169	106
17	161	214	123	172	107
18	168	242	129	179	110
19	176	247	151	190	118
20	184	248	157	193	131
21	200	251	171	203	141
22	203	253	185	244	142
23	212	254	192	245	158
24	213	256	193	246	172
25	227	258	209	252	173
26	232	267	228	269	180
27	233	287	229	271	181
28	236	311	240	282	187
29	252	318	262	289	191
30	254	333	272	298	200
31	261	337	281	300	216
32	266	342	283	311	217
33	273	348	307	316	222
34	274	373	310	330	239
35	317	387	317	340	246
36	321	389	367	362	252
37	328	399	371	364	255
38	329	408	385	375	258
39	339	427	386	393	260
40	361	430	394	403	268
41	372	455	401	433	288
42	383	459	415	441	303
43	388	460	439	459	304
44	393	476	440	460	341
45	397	484	462	474	343
46	401	524	467	479	346
47	403	528	475	481	357
48	423	541	508	484	372
49	431	550	511	495	421
50	454	568	537	499	425
51	458	601	538	513	429
52	460	618	540	515	435
53	463	619	543	521	479
54	468	621	546	545	486
55	476	623	555	569	487
56	482	640	574	580	491
57	486	644	581	583	509
58	489	658	596	587	510
59	496	666	623	607	526
60	514	669	631	622	536
61	520	687	633	626	539
62	528	689	648	627	540
63	534	710	656	635	544
64	568	719	671	638	578
65	578	724	681	644	594
66	594	735	686	647	629
67	601	737	691	649	636
68	604	750	700	653	640
69	616	752	704	662	642
70	681	753	712	666	648
71	692	762	713	676	685
72	696	767	715	680	687
73	703	774	719	691	709
74	734	778	721	698	710
75	740	791	729	711	734
76	751	795	731	732	738
77	763	809	733	739	741
78	772	811	736	742	742
79	791	822	744	746	755
80	797	829	746	768	766
81	798	839	749	774	776
82	801	848	780	793	777
83	833	860	792	796	781
84	836	869	804	822	785
85	869	874	807	824	789
86	885	880	819	830	818
87	891	894	834	840	862
88	903	896	854	845	864
89	905	897	869	847	873
90	930	931	874	879	880
91	932	933	895	881	895
92	936	942	915	896	901
93	943	952	919	898	906
94	949	961	946	901	917
95	959	964	947	911	928
96	964	970	961	924	929
97	985	972	977	929	932
98	991	975	984	952	996
99	992	991	989	976	999
100	897	566	965	353	488
101	895	571	931	351	415
102	501	502	955	350	413
103	997	534	73	349	495
104	414	376	33	342	408
105	85	375	449	339	406
106	915	374	32	314	403
107	417	503	464	315	402
108	971	573	77	319	400
109	27	504	81	322	396
110	488	380	446	323	527
111	497	527	488	325	528
112	60	529	921	377	380
113	23	927	23	326	373
114	51	92	82	329	553
115	941	615	653	331	259
116	491	90	794	332	660
117	443	955	218	335	261
118	75	536	331	336	209
119	980	583	739	338	669
120	914	10	740	328	248
121	20	994	334	378	725
122	38	585	747	355	764
123	17	20	709	379	718
124	12	985	204	404	676
125	49	27	191	396	199
126	445	33	790	392	692
127	839	591	793	391	744
128	98	934	554	383	717
129	322	977	553	382	716
130	323	967	156	384	714
131	623	547	203	402	688
132	615	59	805	380	237
133	612	61	708	405	691
134	762	951	235	381	707
135	316	949	650	854	679
136	764	540	275	48	668
137	188	70	277	167	694
138	185	76	280	967	250
139	182	39	285	52	257
140	609	513	670	764	787
141	780	493	706	541	174
142	175	832	255	56	743
143	189	853	675	327	175
144	174	668	299	958	665
145	738	217	688	570	662
146	720	223	693	40	183
147	271	434	701	34	736
148	672	121	311	753	186
149	685	432	287	853	735
150	263	230	808	977	772
151	690	364	0	412	254
