	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	14	4
1	4	14	50	25	6
2	7	19	58	36	8
3	14	25	61	47	10
4	19	37	62	55	21
5	24	46	74	73	30
6	28	58	75	80	44
7	29	102	76	81	54
8	36	114	79	91	55
9	58	115	80	110	57
10	64	119	91	112	65
11	71	120	94	115	68
12	83	124	99	123	70
13	84	148	103	139	78
14	90	152	108	146	86
15	131	177	113	159	103
16	144	186	117	169	106
17	161	214	123	172	107
18	168	242	129	179	110
19	176	247	151	190	118
20	184	248	157	193	131
21	200	251	171	203	141
22	203	253	185	244	142
23	212	254	192	245	158
24	213	256	193	246	172
25	227	258	209	252	173
26	232	267	228	269	180
27	233	287	229	271	181
28	236	311	240	282	187
29	252	318	262	289	191
30	254	333	272	298	200
31	261	337	281	300	216
32	266	342	283	311	217
33	273	348	307	316	222
34	274	373	310	330	239
35	317	387	317	340	246
36	321	389	367	362	252
37	328	399	371	364	255
38	329	408	385	375	258
39	339	427	386	393	260
40	361	430	394	403	268
41	372	455	401	433	288
42	383	459	415	441	303
43	388	460	439	459	304
44	393	476	440	460	341
45	397	484	462	474	343
46	401	524	467	479	346
47	403	528	475	481	357
48	423	541	508	484	372
49	431	550	511	495	421
50	454	568	537	499	425
51	458	601	538	513	429
52	460	618	540	515	435
53	463	619	543	521	479
54	468	621	546	545	486
55	476	623	555	569	487
56	482	640	574	580	491
57	486	644	581	583	509
58	489	658	596	587	510
59	496	666	623	607	526
60	514	669	631	622	536
61	520	687	633	626	539
62	528	689	648	627	540
63	534	710	656	635	544
64	568	719	671	638	578
65	578	724	681	644	594
66	594	735	686	647	629
67	601	737	691	649	636
68	604	750	700	653	640
69	616	752	704	662	642
70	681	753	712	666	648
71	692	762	713	676	685
72	696	767	715	680	687
73	703	774	719	691	709
74	734	778	721	698	710
75	740	791	729	711	734
76	751	795	731	732	738
77	763	809	733	739	741
78	772	811	736	742	742
79	791	822	744	746	755
80	797	829	746	768	766
81	798	839	749	774	776
82	801	848	780	793	777
83	833	860	792	796	781
84	836	869	804	822	785
85	869	874	807	824	789
86	885	880	819	830	818
87	891	894	834	840	862
88	903	896	854	845	864
89	905	897	869	847	873
90	930	931	874	879	880
91	932	933	895	881	895
92	936	942	915	896	901
93	943	952	919	898	906
94	949	961	946	901	917
95	959	964	947	911	928
96	964	970	961	924	929
97	985	972	977	929	932
98	991	975	984	952	996
99	992	991	989	976	999
100	192	84	384	258	461
101	104	170	24	413	515
102	523	4	880	807	256
103	418	852	936	443	442
104	189	307	848	778	905
105	911	946	675	86	855
106	868	588	773	504	511
107	349	525	350	660	788
108	81	303	643	350	872
109	576	411	156	166	812
110	162	126	514	586	647
111	193	385	144	670	686
112	658	994	266	0	861
113	121	151	66	705	427
114	323	419	400	152	584
115	976	643	187	988	130
116	650	167	677	292	518
117	119	846	722	553	235
118	407	731	861	975	161
119	5	842	737	323	483
120	149	17	412	940	496
121	864	539	166	272	631
122	761	288	183	922	144
123	314	164	967	437	770
124	860	635	593	210	79
125	882	356	205	818	552
126	343	358	798	121	902
127	851	483	868	491	778
128	645	321	336	640	753
129	739	631	959	113	291
130	849	744	219	762	613
131	727	664	842	596	589
132	449	132	673	404	634
133	982	381	580	148	553
134	345	28	246	347	327
135	206	796	995	157	912
136	805	597	933	974	189
137	712	274	569	646	591
138	887	552	610	273	355
139	551	105	878	421	178
140	881	995	885	40	123
141	731	63	776	812	938
142	33	359	47	675	321
143	947	513	579	96	279
144	915	440	73	445	816
145	609	423	529	387	146
146	917	891	493	935	948
147	399	962	587	195	134
148	197	444	352	578	630
149	52	723	489	723	566
150	983	638	632	802	352
151	59	215	832	986	743
