	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	48	14	4
1	4	14	50	25	6
2	7	19	58	36	8
3	14	25	61	47	10
4	19	37	62	55	21
5	24	46	74	73	30
6	28	58	75	80	44
7	29	102	76	81	54
8	36	114	79	91	55
9	58	115	80	110	57
10	64	119	91	112	65
11	71	120	94	115	68
12	83	124	99	123	70
13	84	148	103	139	78
14	90	152	108	146	86
15	131	177	113	159	103
16	144	186	117	169	106
17	161	214	123	172	107
18	168	242	129	179	110
19	176	247	151	190	118
20	184	248	157	193	131
21	200	251	171	203	141
22	203	253	185	244	142
23	212	254	192	245	158
24	213	256	193	246	172
25	227	258	209	252	173
26	232	267	228	269	180
27	233	287	229	271	181
28	236	311	240	282	187
29	252	318	262	289	191
30	254	333	272	298	200
31	261	337	281	300	216
32	266	342	283	311	217
33	273	348	307	316	222
34	274	373	310	330	239
35	317	387	317	340	246
36	321	389	367	362	252
37	328	399	371	364	255
38	329	408	385	375	258
39	339	427	386	393	260
40	361	430	394	403	268
41	372	455	401	433	288
42	383	459	415	441	303
43	388	460	439	459	304
44	393	476	440	460	341
45	397	484	462	474	343
46	401	524	467	479	346
47	403	528	475	481	357
48	423	541	508	484	372
49	431	550	511	495	421
50	454	568	537	499	425
51	458	601	538	513	429
52	460	618	540	515	435
53	463	619	543	521	479
54	468	621	546	545	486
55	476	623	555	569	487
56	482	640	574	580	491
57	486	644	581	583	509
58	489	658	596	587	510
59	496	666	623	607	526
60	514	669	631	622	536
61	520	687	633	626	539
62	528	689	648	627	540
63	534	710	656	635	544
64	568	719	671	638	578
65	578	724	681	644	594
66	594	735	686	647	629
67	601	737	691	649	636
68	604	750	700	653	640
69	616	752	704	662	642
70	681	753	712	666	648
71	692	762	713	676	685
72	696	767	715	680	687
73	703	774	719	691	709
74	734	778	721	698	710
75	740	791	729	711	734
76	751	795	731	732	738
77	763	809	733	739	741
78	772	811	736	742	742
79	791	822	744	746	755
80	797	829	746	768	766
81	798	839	749	774	776
82	801	848	780	793	777
83	833	860	792	796	781
84	836	869	804	822	785
85	869	874	807	824	789
86	885	880	819	830	818
87	891	894	834	840	862
88	903	896	854	845	864
89	905	897	869	847	873
90	930	931	874	879	880
91	932	933	895	881	895
92	936	942	915	896	901
93	943	952	919	898	906
94	949	961	946	901	917
95	959	964	947	911	928
96	964	970	961	924	929
97	985	972	977	929	932
98	991	975	984	952	996
99	992	991	989	976	999
100	760	744	861	907	232
101	636	422	388	231	694
102	434	915	316	670	460
103	249	51	798	327	639
104	813	6	223	438	416
105	239	923	588	883	548
106	983	910	610	345	249
107	618	453	790	335	997
108	969	650	459	762	617
109	807	924	689	337	951
110	795	55	539	488	986
111	543	82	349	586	66
112	685	423	909	640	983
113	587	208	699	88	637
114	59	69	601	158	470
115	716	548	200	759	77
116	303	934	965	163	484
117	611	661	224	567	225
118	349	18	805	20	452
119	191	53	973	892	952
120	348	469	679	90	72
121	631	419	544	427	220
122	52	746	170	554	327
123	325	375	523	4	627
124	599	97	431	776	508
125	756	479	969	572	595
126	425	190	859	585	716
127	650	831	757	839	647
128	512	483	670	201	236
129	87	65	563	815	67
130	334	204	652	851	598
131	188	819	627	827	242
132	746	72	451	314	745
133	780	210	884	589	422
134	633	729	796	26	85
135	574	170	856	878	669
136	306	678	417	19	401
137	839	246	360	228	912
138	781	442	852	721	454
139	305	736	325	532	84
140	510	54	411	43	400
141	93	447	375	222	581
142	783	76	976	875	926
143	22	497	822	224	569
144	880	229	867	751	988
145	609	401	221	861	63
146	617	928	535	745	314
147	343	50	986	535	672
148	175	470	82	519	624
149	637	936	835	925	332
150	827	471	650	617	944
151	737	11	529	812	645
